"","Date","concentrations.Cl","Flow"
"1",2009-07-07,13.112,0.01
"2",2009-07-14,12.916,0.01
"3",2009-07-21,11.404,0.01
"4",2009-07-28,12.66,0.01
"5",2009-08-04,12.329,0.01
"6",2009-08-11,11.044,0.01
"7",2009-08-18,12.375,0.01
"8",2009-08-25,11.849,0.01
"9",2009-09-01,12.132,0.01
"10",2009-09-08,10.352,3.695801939
"11",2009-09-10,6.987,8.366047922
"12",2009-09-15,9.328,2.792228224
"13",2009-09-22,4.966,353.9933151
"14",2009-09-29,10.3915,2.838809754
"15",2009-10-06,11.029,2.025204799
"16",2009-10-09,1.922,2698.454539
"17",2009-10-13,7.638,66.59875256
"18",2009-10-20,9.2475,6.037327785
"19",2009-10-27,9.162,68.0259744
"20",2009-11-03,8.033,4.442203605
"21",2009-11-10,10.025,4.067681507
"22",2009-11-17,10.233,4.323359692
"23",2009-11-23,10.084,3.841214561
"24",2009-12-01,11.101,3.193143569
"25",2009-12-08,10.737,2.957275656
"26",2009-12-15,11.109,2.634415351
"27",2009-12-21,11.5555,2.357967489
"28",2009-12-29,11.878,3.134925823
"29",2010-01-05,12.417,2.666060426
"30",2010-01-12,12.192,2.07521859
"31",2010-01-19,11.608,2.491461303
"32",2010-01-26,10.735,4.288047033
"33",2010-02-03,12.296,20.07832978
"34",2010-02-10,12.092,5.248397869
"35",2010-02-16,11.177,4.358777324
"36",2010-02-23,11.0885,4.60689917
"37",2010-03-02,11.393,3.915291646
"38",2010-03-08,11.711,3.36648783
"39",2010-03-16,12.126,3.169472192
"40",2010-03-22,10.86,62.08284061
"41",2010-03-30,8.321,4.562618165
"42",2010-04-07,8.686,4.356900323
"43",2010-04-13,10.146,3.356916451
"44",2010-04-20,10.797,2.595896721
"45",2010-04-27,10.591,2.496969692
"46",2010-05-04,11.427,1.982423491
"47",2010-05-11,11.316,2.106962193
"48",2010-05-14,5.421,7.064972474
"49",2010-05-18,7.313,4.334831077
"50",2010-05-25,9.515,3.038308199
"51",2010-06-01,11.125,1.934423363
"52",2010-06-08,10.073,2.044854996
"53",2010-06-15,10.783,2.410909768
"54",2010-06-23,11.921,1.154780943
"55",2010-08-04,12.052,0.01
"56",2010-08-09,12.044,0.01
"57",2010-08-18,12.078,0.01
"58",2010-08-25,12.17,0.01
"59",2010-09-02,11.948,0.01
"60",2010-09-08,11.483,0.01
"61",2010-09-15,11.407,2.945405791
"62",2010-09-23,12.964,0.01
"63",2010-09-30,13.048,0.01
"64",2010-10-07,12.546,0.01
"65",2010-10-13,12.506,0.01
"66",2010-10-21,11.391,0.01
"67",2010-10-28,14.2655,0.01
"68",2010-11-03,14.158,0.01
