"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"1",5,0.55,0.149884309126903,5,0.7,0.207944262547757,5,0.2,0.113766678526083,5,0.2,0.139239919211557,5,0.6,0.150522898115678,5,0.6,0.122324426449187,5,0.5,0.128428491975186
"2",6,0.45,0.14121918121437,6,0.75,0.184545774422344,6,0.2,0.0876914814469875,6,0.35,0.116215844225216,6,0.6,0.133481635211648,6,0.55,0.128098335951211,6,0.5,0.109381377365097
"3",7,0.55,0.137232113811689,7,0.65,0.168861735494711,7,0.2,0.0906664665864139,7,0.3,0.100919244337,7,0.6,0.11858433664679,7,0.7,0.114842394220097,7,0.35,0.106622546147327
"4",8,0.7,0.149829835452879,8,0.65,0.157790871674104,8,0.2,0.0870432686210996,8,0.35,0.103139493415669,8,0.55,0.105506552654616,8,0.8,0.134486931312591,8,0.5,0.0843280765213812
"5",9,0.6,0.174616197205559,9,0.7,0.182457711063497,9,0.2,0.0769375575067343,9,0.3,0.107195225297261,9,0.55,0.13151006790046,9,0.6,0.103509833901353,9,0.55,0.0941178158761991
"6",10,0.7,0.155606122328533,10,0.7,0.186648747925189,10,0.2,0.0778604193281746,10,0.2,0.0797252936587856,10,0.55,0.0948737076758533,10,0.6,0.130930734141595,10,0.5,0.0953190132434987
"7",11,0.7,0.162659654694414,11,0.7,0.183681178976519,11,0.3,0.0680710912898255,11,0.3,0.0937266977843081,11,0.6,0.0998161575403624,11,0.6,0.115068746089156,11,0.5,0.0904692979830783
"8",12,0.3,0.167335054331611,12,0.7,0.206578047710589,12,0.2,0.0738448456189719,12,0.3,0.0858570240075241,12,0.55,0.10505586463343,12,0.7,0.116776430386776,12,0.55,0.0996166120070097
"9",13,0.5,0.14602208387635,13,0.75,0.194925417448179,13,0.2,0.0830785219917069,13,0.3,0.0727660494955145,13,0.6,0.122311913081403,13,0.6,0.118252583351856,13,0.55,0.0819967644956501
"10",14,0.7,0.151996911891294,14,0.75,0.182656139524853,14,0.35,0.0721110255092798,14,0.3,0.0644363314933938,14,0.5,0.0954901426689623,14,0.8,0.132945439169301,14,0.5,0.0851708966293831
"11",15,0.5,0.150851325645417,15,0.75,0.180489696692761,15,0.2,0.0806605383628177,15,0.35,0.0721463931240941,15,0.55,0.0832993127835043,15,0.8,0.122240979801608,15,0.45,0.0750578008563251
"12",16,0.55,0.142860714241073,16,0.7,0.158320264408726,16,0.2,0.0814411017927956,16,0.35,0.0714285714285714,16,0.6,0.0959591749928381,16,0.8,0.119202280487705,16,0.55,0.0817911726188551
"13",17,0.3,0.164518468661157,17,0.65,0.187855784894603,17,0.2,0.0798531816037714,17,0.35,0.081215259448868,17,0.55,0.0598382172603593,17,0.8,0.118842203731482,17,0.55,0.0694658923795098
"14",18,0.55,0.139107945165484,18,0.7,0.191620372995511,18,0.35,0.0818410604994429,18,0.35,0.0801783725737273,18,0.6,0.0925820099772552,18,0.6,0.113519754641549,18,0.55,0.0784089228575005
"15",19,0.3,0.161004499873736,19,0.7,0.197080735554063,19,0.35,0.0735679610833356,19,0.3,0.0749149177264394,19,0.55,0.0750781905341195,19,0.7,0.118166261285201,19,0.55,0.0717421687399413
"16",20,0.7,0.151956626464694,20,0.75,0.167222203388553,20,0.35,0.0757614408414158,20,0.35,0.0777817459305202,20,0.6,0.109549168906767,20,0.8,0.124232336649472,20,0.55,0.0702836817360001
"17",21,0.7,0.16044898737923,21,0.75,0.134880899844482,21,0.35,0.0749421545634514,21,0.3,0.0794689003475509,21,0.6,0.0662093155786084,21,0.8,0.111029505179516,21,0.55,0.0857380919321352
"18",22,0.3,0.161308425580517,22,0.65,0.213285762128021,22,0.35,0.0699854212223765,22,0.3,0.08315218406203,22,0.6,0.0723934826246853,22,0.75,0.111776015097249,22,0.5,0.0775912892228587
"19",23,0.45,0.136579945938828,23,0.7,0.160356745147455,23,0.2,0.072625682756986,23,0.3,0.0569281681290608,23,0.55,0.0807427257101347,23,0.8,0.124113180736991,23,0.55,0.0754307358996805
"20",24,0.4,0.159078981795143,24,0.65,0.221856728911397,24,0.2,0.0731297421277654,24,0.3,0.0600085027988806,24,0.55,0.0414531946529912,24,0.75,0.0942424142998322,24,0.55,0.0751936276066866
"21",25,0.7,0.147941659764508,25,0.7,0.213973582195445,25,0.2,0.0716852530873965,25,0.3,0.064712866588035,25,0.55,0.0772221814385119,25,0.8,0.0987110811966945,25,0.55,0.0766385633200095
"22",26,0.7,0.150169971725919,26,0.7,0.196979746187681,26,0.35,0.0744777737013547,26,0.35,0.0509501557146486,26,0.6,0.0737134551448225,26,0.8,0.101196918562428,26,0.5,0.0593244279795603
"23",27,0.65,0.139151950421553,27,0.65,0.197538423025569,27,0.35,0.0651607118388599,27,0.35,0.0409579176766613,27,0.55,0.0789536159361163,27,0.75,0.0844489943875072,27,0.45,0.0656599153958937
"24",28,0.45,0.147361141833419,28,0.65,0.156869892794335,28,0.35,0.0691124490395536,28,0.35,0.0692599362944423,28,0.6,0.0828140281915215,28,0.6,0.109846832137355,28,0.45,0.0777817459305202
"25",29,0.45,0.158838256842408,29,0.7,0.208502924170754,29,0.2,0.0715997947779524,29,0.35,0.0601359005138548,29,0.6,0.0720614816865234,29,0.8,0.109958248105954,29,0.55,0.0737411357523114
"26",30,0.65,0.147803648017723,30,0.65,0.188982236504614,30,0.35,0.0712569366476567,30,0.35,0.0544827252157854,30,0.55,0.0722029452731843,30,0.7,0.104143738973339,30,0.55,0.065745334280022
