"","Date","concentrations.SO4","Flow"
"1",2009-07-07,12.136,0.01
"2",2009-07-14,11.17,0.01
"3",2009-07-21,9.512,0.01
"4",2009-07-28,10.2,0.01
"5",2009-08-04,10.11,0.01
"6",2009-08-11,10.542,0.01
"7",2009-08-18,10.373,0.01
"8",2009-08-25,11.018,0.01
"9",2009-09-01,12.279,0.01
"10",2009-09-08,17.423,3.695801939
"11",2009-09-10,14.465,8.366047922
"12",2009-09-15,14.138,2.792228224
"13",2009-09-22,7.911,353.9933151
"14",2009-09-29,14.415,2.838809754
"15",2009-10-06,14.398,2.025204799
"16",2009-10-09,3.952,2698.454539
"17",2009-10-13,14.513,66.59875256
"18",2009-10-20,14.482,6.037327785
"19",2009-10-27,16.621,68.0259744
"20",2009-11-03,13.843,4.442203605
"21",2009-11-10,14.906,4.067681507
"22",2009-11-17,17.516,4.323359692
"23",2009-11-23,18.241,3.841214561
"24",2009-12-01,19.502,3.193143569
"25",2009-12-08,18.939,2.957275656
"26",2009-12-15,21.383,2.634415351
"27",2009-12-21,21.026,2.357967489
"28",2009-12-29,26.05,3.134925823
"29",2010-01-05,26.728,2.666060426
"30",2010-01-12,24.164,2.07521859
"31",2010-01-19,24.023,2.491461303
"32",2010-01-26,21.31,4.288047033
"33",2010-02-03,20.136,20.07832978
"34",2010-02-10,19.028,5.248397869
"35",2010-02-16,20.125,4.358777324
"36",2010-02-23,20.664,4.60689917
"37",2010-03-02,20.643,3.915291646
"38",2010-03-08,20.826,3.36648783
"39",2010-03-16,22.777,3.169472192
"40",2010-03-22,18.774,62.08284061
"41",2010-03-30,15.999,4.562618165
"42",2010-04-07,16.312,4.356900323
"43",2010-04-13,16.072,3.356916451
"44",2010-04-20,16.45,2.595896721
"45",2010-04-27,19.009,2.496969692
"46",2010-05-04,16.435,1.982423491
"47",2010-05-11,15.108,2.106962193
"48",2010-05-14,10.256,7.064972474
"49",2010-05-18,17.508,4.334831077
"50",2010-05-25,15.909,3.038308199
"51",2010-06-01,14.965,1.934423363
"52",2010-06-08,13.35,2.044854996
"53",2010-06-15,12.931,2.410909768
"54",2010-06-23,12.776,1.154780943
"55",2010-08-04,12.231,0.01
"56",2010-08-09,11.434,0.01
"57",2010-08-18,10.34,0.01
"58",2010-08-25,9.9905,0.01
"59",2010-09-02,9.783,0.01
"60",2010-09-08,10.382,0.01
"61",2010-09-15,25.699,2.945405791
"62",2010-09-23,17.679,0.01
"63",2010-09-30,17.022,0.01
"64",2010-10-07,15.719,0.01
"65",2010-10-13,14.487,0.01
"66",2010-10-21,12.424,0.01
"67",2010-10-28,16.2035,0.01
"68",2010-11-03,14.966,0.01
"69",2010-11-11,14.0765,0.432499757
"70",2010-11-16,12.698,0.40274232
"71",2010-11-29,25.421,0.687722021
"72",2010-12-09,24.824,0.01
"73",2010-12-16,22.188,0.01
"74",2011-01-06,28.84,0.01
"75",2011-01-12,29.126,0.01
"76",2011-01-21,25.459,0.01
"77",2011-01-26,26.1615,0.01
"78",2011-02-06,33.548,0.134626532
"79",2011-02-12,36.205,0.387239786
"80",2011-02-14,23.016,4.366402354
"81",2011-02-24,24.384,2.034153604
"82",2011-02-28,13.393,128.4619453
"83",2011-03-04,21.13,3.126912342
