"","Date","concentrations.TN","Flow"
"1",2009-07-07,2.87,0.01
"2",2009-07-14,2.65,0.01
"3",2009-07-28,2.28,0.01
"4",2009-08-04,2.17,0.01
"5",2009-08-11,1.9,0.01
"6",2009-08-18,2.19,0.01
"7",2009-08-25,2.24,0.01
"8",2009-09-01,1.89,0.01
"9",2009-09-08,3.034,3.695801939
"10",2009-09-10,1.45,8.366047922
"11",2009-09-15,2.62,2.792228224
"12",2009-09-22,2.15,353.9933151
"13",2009-09-29,5.085,2.838809754
"14",2009-10-06,4.71,2.025204799
"15",2009-10-09,1.29,2698.454539
"16",2009-10-13,3.09,66.59875256
"17",2009-10-20,4.22,6.037327785
"18",2009-10-27,1.62,68.0259744
"19",2009-11-03,3.44,4.442203605
"20",2009-11-10,3.79,4.067681507
"21",2009-11-17,2.41,4.323359692
"22",2009-11-23,2.5,3.841214561
"23",2009-12-01,2.54,3.193143569
"24",2009-12-08,2.98,2.957275656
"25",2009-12-15,2.43,2.634415351
"26",2009-12-21,2.93,2.357967489
"27",2009-12-29,2.1,3.134925823
"28",2010-01-05,2.6,2.666060426
"29",2010-01-12,3.24,2.07521859
"30",2010-01-19,2.51,2.491461303
"31",2010-01-26,2.59,4.288047033
"32",2010-02-03,2.27,20.07832978
"33",2010-02-10,3.02,5.248397869
"34",2010-02-16,2.94,4.358777324
"35",2010-02-23,2.36,4.60689917
"36",2010-03-02,3.11,3.915291646
"37",2010-03-08,3.06,3.36648783
"38",2010-03-16,2.68,3.169472192
"39",2010-03-22,1.89,62.08284061
"40",2010-03-30,3.47,4.562618165
"41",2010-04-07,2.85,4.356900323
"42",2010-04-13,3.31,3.356916451
"43",2010-04-20,3.37,2.595896721
"44",2010-04-27,2.87,2.496969692
"45",2010-05-04,3.45,1.982423491
"46",2010-05-11,3.43,2.106962193
"47",2010-05-14,1.78,7.064972474
"48",2010-05-18,1.81,4.334831077
"49",2010-05-25,3.12,3.038308199
"50",2010-06-01,3.2,1.934423363
"51",2010-06-08,3.09,2.044854996
"52",2010-06-15,3.04,2.410909768
"53",2010-06-23,2.765,1.154780943
"54",2010-08-04,1.94,0.01
"55",2010-08-09,1.62,0.01
"56",2010-08-18,1.79,0.01
"57",2010-08-25,1.625,0.01
"58",2010-09-02,1.77,0.01
"59",2010-09-08,1.55,0.01
"60",2010-09-15,5.55,2.945405791
"61",2010-09-23,2.57,0.01
"62",2010-09-30,2.45,0.01
"63",2010-10-07,2.9,0.01
"64",2010-10-13,2.65,0.01
"65",2010-10-21,2.41,0.01
"66",2010-10-28,1.54,0.01
"67",2010-11-03,2.34,0.01
"68",2010-11-11,1.99,0.432499757
"69",2010-11-16,1.74,0.40274232
"70",2010-11-29,4.16,0.687722021
"71",2010-12-09,3.73,0.01
"72",2010-12-16,3.47,0.01
"73",2011-01-06,3.32,0.01
"74",2011-01-12,3.42,0.01
"75",2011-01-21,2.92,0.01
"76",2011-01-26,2.585,0.01
"77",2011-02-06,2.1,0.134626532
"78",2011-02-12,3.6,0.387239786
"79",2011-02-14,4.45,4.366402354
"80",2011-02-24,3.22,2.034153604
"81",2011-03-14,2.76,1.204531407
"82",2011-03-31,3.04,0.39716575
"83",2011-04-07,2.225,0.324902568
"84",2011-04-11,2.15,0.243312207
"85",2011-04-20,2.18,0.48494366
"86",2011-04-23,2.31,44.13852378
"87",2011-04-25,1.55,2538.297658
"88",2011-04-25,1.21,2538.297658
"89",2011-05-11,4.47,3019.374652
"90",2011-05-18,3.76,101.473672
"91",2011-05-23,1.34,93.57275788
"92",2011-06-09,4.34,46.49306849
"93",2011-06-16,4.675,37.45138912
"94",2011-07-14,2,26.02971129
"95",2011-07-20,1.83,20.74528355
"96",2011-07-28,1.83,21.20709096
"97",2011-08-04,1.74,4.255510575
"98",2011-08-10,3.29,3.839047447
"99",2011-08-17,3.32,6.634501502
"100",2011-08-31,2.14,6.140072969
"101",2011-09-07,2.17,6.582940516
"102",2011-09-15,1.95,6.256021487
"103",2011-09-21,2.3,6.57159531
"104",2011-09-29,2.21,6.654851947
"105",2011-10-05,2.32,6.748401943
"106",2011-10-12,1.55,6.747782789
"107",2011-10-27,2.21,8.404896704
"108",2011-11-02,2.03,22.47423633
"109",2011-11-08,5.62,28.75776019
"110",2011-11-16,6.87,38.32411943
"111",2011-11-30,6.19,42.06015798
"112",2011-12-07,6.59,NA
"113",2011-12-15,4.82,NA
"114",2012-01-04,4.93,36.50459106
"115",2012-01-11,4.31,67.95405257
"116",2012-01-18,4.12,35.22578073
"117",2012-01-25,3.68,539.7966202
"118",2012-02-01,4.63,50.26343579
