"","Date","concentrations.TP","Flow"
"1",2009-07-07,0.082,0.01
"2",2009-07-14,0.098,0.01
"3",2009-07-21,0.136,0.01
"4",2009-07-28,0.1,0.01
"5",2009-08-04,0.17,0.01
"6",2009-08-11,0.306,0.01
"7",2009-08-18,0.152,0.01
"8",2009-08-25,0.13,0.01
"9",2009-09-01,0.176,0.01
"10",2009-09-08,0.237,3.695801939
"11",2009-09-10,1.048,8.366047922
"12",2009-09-15,0.432,2.792228224
"13",2009-09-22,1.024,353.9933151
"14",2009-09-29,0.079,2.838809754
"15",2009-10-06,0.136,2.025204799
"16",2009-10-09,0.872,2698.454539
"17",2009-10-13,0.28,66.59875256
"18",2009-10-20,0.087,6.037327785
"19",2009-10-27,0.524,68.0259744
"20",2009-11-03,0.082,4.442203605
"21",2009-11-10,0.046,4.067681507
"22",2009-11-17,0.102,4.323359692
"23",2009-11-23,0.05,3.841214561
"24",2009-12-01,0.032,3.193143569
"25",2009-12-08,0.12,2.957275656
"26",2009-12-15,0.02,2.634415351
"27",2009-12-21,0.01,2.357967489
"28",2009-12-29,0.026,3.134925823
"29",2010-01-05,0.03,2.666060426
"30",2010-01-12,0.024,2.07521859
"31",2010-01-19,0.052,2.491461303
"32",2010-01-26,0.074,4.288047033
"33",2010-02-03,0.244,20.07832978
"34",2010-02-10,0.084,5.248397869
"35",2010-02-16,0.038,4.358777324
"36",2010-02-23,0.093,4.60689917
"37",2010-03-02,0.032,3.915291646
"38",2010-03-08,0.044,3.36648783
"39",2010-03-16,0.066,3.169472192
"40",2010-03-22,0.262,62.08284061
"41",2010-03-30,0.08,4.562618165
"42",2010-04-07,0.078,4.356900323
"43",2010-04-13,0.04,3.356916451
"44",2010-04-20,0.026,2.595896721
"45",2010-04-27,0.054,2.496969692
"46",2010-05-04,0.056,1.982423491
"47",2010-05-11,0.05,2.106962193
"48",2010-05-14,1.528,7.064972474
"49",2010-05-18,0.194,4.334831077
"50",2010-05-25,0.13,3.038308199
"51",2010-06-01,0.118,1.934423363
"52",2010-06-08,0.26,2.044854996
"53",2010-06-15,0.234,2.410909768
"54",2010-06-23,0.168,1.154780943
"55",2010-08-04,0.138,0.01
"56",2010-08-09,0.122,0.01
"57",2010-08-18,0.114,0.01
"58",2010-08-25,0.109,0.01
"59",2010-09-02,0.11,0.01
"60",2010-09-08,0.142,0.01
"61",2010-09-15,0.392,2.945405791
"62",2010-09-23,0.134,0.01
"63",2010-09-30,0.094,0.01
"64",2010-10-07,0.07,0.01
"65",2010-10-13,0.07,0.01
"66",2010-10-21,0.096,0.01
"67",2010-10-28,0.079,0.01
"68",2010-11-03,0.074,0.01
"69",2010-11-11,0.069,0.432499757
"70",2010-11-16,0.064,0.40274232
"71",2010-11-29,0.096,0.687722021
"72",2010-12-09,0.058,0.01
"73",2010-12-16,0.05,0.01
"74",2011-01-06,0.08,0.01
"75",2011-01-12,0.054,0.01
"76",2011-01-21,0.06,0.01
"77",2011-01-26,0.07,0.01
"78",2011-02-06,0.064,0.134626532
"79",2011-02-12,0.056,0.387239786
"80",2011-02-14,0.446,4.366402354
"81",2011-02-24,0.254,2.034153604
"82",2011-02-28,0.682,128.4619453
"83",2011-03-04,0.422,3.126912342
"84",2011-03-14,0.702,1.204531407
"85",2011-03-31,0.044,0.39716575
"86",2011-04-07,0.053,0.324902568
"87",2011-04-11,0.428,0.243312207
"88",2011-04-20,0.086,0.48494366
"89",2011-04-23,0.935,44.13852378
"90",2011-04-25,0.66,2538.297658
"91",2011-04-25,0.632,2538.297658
"92",2011-05-11,0.066,3019.374652
"93",2011-05-18,0.056,101.473672
"94",2011-05-23,1,93.57275788
"95",2011-06-09,0.061,46.49306849
"96",2011-06-16,0.075,37.45138912
"97",2011-07-14,0.068,26.02971129
"98",2011-07-20,0.066,20.74528355
"99",2011-07-28,0.068,21.20709096
"100",2011-08-04,0.086,4.255510575
"101",2011-08-10,1.778,3.839047447
"102",2011-08-17,0.252,6.634501502
"103",2011-08-31,0.168,6.140072969
"104",2011-09-07,0.112,6.582940516
"105",2011-09-15,0.086,6.256021487
"106",2011-09-21,0.098,6.57159531
"107",2011-09-29,0.108,6.654851947
"108",2011-10-05,0.082,6.748401943
"109",2011-10-12,0.094,6.747782789
"110",2011-10-27,0.078,8.404896704
"111",2011-11-02,0.062,22.47423633
"112",2011-11-08,0.7,28.75776019
"113",2011-11-16,0.092,38.32411943
"114",2011-11-30,0.062,42.06015798
"115",2011-12-07,0.072,NA
"116",2011-12-15,0.414,NA
"117",2012-01-04,0.032,36.50459106
"118",2012-01-11,0.186,67.95405257
"119",2012-01-18,0.03,35.22578073
"120",2012-01-25,1.148,539.7966202
"121",2012-02-01,0.06,50.26343579
"122",2012-02-08,0.08,58.55747991
"123",2012-02-15,0.046,49.1529257
"124",2012-02-29,0.036,37.07003608
"125",2012-03-12,0.086,56.92700523
"126",2012-03-20,0.888,634.8771563
"127",2012-03-28,0.066,55.50835073
"128",2012-04-11,0.056,30.59222016
"129",2012-04-15,0.082,84.62761826
"130",2012-04-25,0.074,22.86095156
"131",2012-05-02,0.104,17.83741703
"132",2012-05-09,0.09,6.858535752
"133",2012-05-17,0.064,6.086328518
"134",2012-05-23,0.066,6.718242011
"135",2012-05-31,0.134,6.758052346
"136",2012-06-06,0.104,6.001905328
"137",2012-06-13,0.088,6.747935311
"138",2012-06-20,0.086,6.674627452
"139",2012-06-28,0.106,6.143451134
"140",2012-07-11,0.092,6.51712139
"141",2012-07-18,0.096,6.389271902
"142",2012-07-25,0.102,4.305025311
"143",2012-08-16,0.078,NA
"144",2012-08-30,0.078,NA
"145",2012-09-06,0.132,NA
"146",2012-09-12,0.06,NA
"147",2012-09-27,0.05,NA
"148",2012-10-03,0.044,NA
"149",2012-10-10,0.04,NA
"150",2012-10-16,0.222,NA
"151",2012-10-25,0.096,NA
"152",2012-11-01,0.062,NA
"153",2012-11-08,0.052,NA
"154",2012-11-15,0.052,NA
"155",2012-11-29,0.07,NA
"156",2012-12-06,0.06,NA
"157",2012-12-13,0.056,NA
"158",2013-01-04,0.038,NA
"159",2013-01-11,0.044,2.522064853
"160",2013-01-14,0.048,0.01
"161",2013-01-24,0.044,1.008997279
"162",2013-01-30,0.414,6.375956161
"163",2013-02-07,0.06,2.881091161
"164",2013-02-13,0.086,3.270889709
"165",2013-02-21,0.302,4.124727473
"166",2013-02-26,0.078,4.205942856
"167",2013-02-28,0.048,2.982428121
"168",2013-03-07,0.04,2.641730018
"169",2013-03-10,0.576,262.0234585
"170",2013-03-20,0.042,3.096175127
"171",2013-03-28,0.032,4.309539908
"172",2013-04-04,0.098,NA
"173",2013-04-10,0.058,6.709076195
"174",2013-04-18,1.36,78.04960802
"175",2013-04-18,1.14,78.04960802
"176",2013-04-25,0.054,4.323271327
"177",2013-04-29,0.118,6.429867359
"178",2013-05-10,0.46,948.5657743
"179",2013-05-21,0.484,563.139389
"180",2013-05-31,0.27,49.40611997
"181",2013-06-07,0.092,7.089095657
"182",2013-06-13,0.066,6.920844807
"183",2013-06-26,0.068,6.536712427
"184",2013-07-10,0.058,NA
"185",2013-07-17,0.052,4.309671749
"186",2013-08-01,0.092,4.352896715
"187",2013-08-09,0.096,4.289330663
"188",2013-08-15,0.092,4.138366121
"189",2013-08-21,0.074,4.28916644
"190",2013-08-29,0.078,4.039496814
"191",2013-09-05,0.08,1.9086868
"192",2013-09-12,0.082,0.946201241
"193",2013-09-19,0.104,1.624231667
"194",2013-09-25,0.23,3.710572011
"195",2013-10-03,0.124,4.33275
"196",2013-10-21,0.146,3.61997759
"197",2013-10-30,0.116,4.239079996
"198",2013-11-07,0.264,6.600279921
"199",2013-11-14,0.068,3.47976869
"200",2013-11-21,0.154,6.335429827
"201",2013-12-03,0.05,4.260103984
"202",2013-12-13,0.054,4.324777921
"203",2013-12-20,0.082,6.757061347
"204",2013-12-21,0.704,313.754179
"205",2014-01-07,0.054,3.603049933
"206",2014-01-10,0.83,54.51181592
"207",2014-01-23,0.036,3.463601015
"208",2014-01-29,0.048,2.864129479
"209",2014-02-07,0.028,2.287202523
"210",2014-02-13,0.041,4.360222987
"211",2014-02-20,0.036,4.362300614
"212",2014-02-26,0.034,1.719606369
"213",2014-03-06,0.174,6.76424652
"214",2014-03-13,0.058,6.477161821
"215",2014-03-16,0.97,245.827232
"216",2014-03-28,0.049,8.199085946
"217",2014-04-03,0.056,29.62093303
"218",2014-04-08,0.144,23.69074073
"219",2014-04-15,0.086,6.356069619
"220",2014-04-24,0.054,6.526520395
"221",2014-04-29,0.07,4.250322806
"222",2014-05-08,0.28,6.21016468
"223",2014-05-13,0.35,26.2777816
"224",2014-05-15,0.162,7.413093655
"225",2014-05-21,0.126,6.019160683
"226",2014-05-29,0.118,4.279784458
"227",2014-06-03,0.4,6.182908084
"228",2014-06-16,0.142,4.581762206
"229",2014-06-19,0.159,4.326364255
"230",2014-07-02,0.158,4.295980694
"231",2014-07-07,0.168,4.320012671
"232",2014-07-22,0.104,4.359600884
"233",2014-07-31,0.152,4.29804371
"234",2014-08-06,0.13,4.326457886
"235",2014-08-13,0.312,3.355067749
"236",2014-08-21,0.156,4.323565199
"237",2014-08-28,0.228,4.112975642
"238",2014-09-02,0.34,4.330779154
"239",2014-09-11,0.168,3.154179181
"240",2014-09-18,0.192,3.995448028
"241",2014-09-24,0.132,1.691106599
"242",2014-10-01,0.14,NA
"243",2014-10-09,0.12,4.113033368
"244",2014-10-10,1.23,5.025506648
"245",2014-10-13,1.311,193.5731912
"246",2014-10-23,0.108,4.220535792
"247",2014-10-29,0.088,4.258955313
"248",2014-11-06,0.146,4.332117075
"249",2014-11-13,0.058,1.958322303
"250",2014-11-19,0.044,3.176071957
"251",2014-12-03,0.054,3.765171313
"252",2014-12-11,0.07,4.359179642
"253",2014-12-17,0.122,4.787857443
"254",2015-01-08,0.068,3.098055909
"255",2015-01-15,0.046,4.113379598
"256",2015-01-21,0.05,3.826690147
"257",2015-01-29,0.032,3.984721663
"258",2015-02-04,0.038,3.851622922
"259",2015-02-11,0.05,3.322358775
"260",2015-02-18,0.048,2.062175856
"261",2015-02-25,0.064,3.993627861
"262",2015-03-05,0.228,6.731606399
"263",2015-03-11,0.196,12.83240968
"264",2015-03-14,0.632,284.5401368
"265",2015-03-19,0.17,22.44010527
"266",2015-03-26,0.614,158.3756792
"267",2015-04-01,0.062,6.044791588
"268",2015-04-14,0.478,8.656045122
"269",2015-04-22,0.116,6.36171928
"270",2015-04-29,0.068,4.245436737
"271",2015-05-08,0.532,294.0624295
"272",2015-05-11,0.568,307.5017408
"273",2015-05-24,0.624,1822.075868
"274",2015-06-01,0.176,84.73221636
"275",2015-06-19,0.554,793.1567129
