"","Date","concentrations.Cl","Flow"
"1",2009-07-07,9.798,5.5
"2",2009-07-14,10.008,2.8
"3",2009-07-21,9.646,5.1
"4",2009-07-28,10.67,2.1
"5",2009-08-04,10.751,2.2
"6",2009-08-11,9.343,16
"7",2009-08-18,9.899,2.1
"8",2009-08-25,10.149,2.2
"9",2009-09-01,9.197,2.9
"10",2009-09-05,3.185,63
"11",2009-09-08,6.383,14
"12",2009-09-10,2.642,409
"13",2009-09-15,6.374,32
"14",2009-09-22,2.973,773
"15",2009-09-29,7.002,29
"16",2009-10-06,7.825,23
"17",2009-10-09,1.726,1500
"18",2009-10-13,5.512,269
"19",2009-10-20,6.147,41
"20",2009-10-27,5.245,186
"21",2009-11-03,5.189,67
"22",2009-11-10,6.297,32
"23",2009-11-17,6.46,34
"24",2009-11-23,6.474,27
"25",2009-12-01,6.689,24
"26",2009-12-08,6.754,20
"27",2009-12-15,7.31,16
"28",2009-12-21,8.009,14
"29",2009-12-29,6.928,25
"30",2010-01-05,6.843,22
"31",2010-01-12,7.572,22
"32",2010-01-26,5.809,70
"33",2010-02-03,6.148,134
"34",2010-02-10,6.125,85
"35",2010-02-16,6.468,63
"36",2010-02-23,6.335,71
"37",2010-03-02,6.925,42
"38",2010-03-08,7.326,37
"39",2010-03-16,7.228,34
"40",2010-03-22,5.345,273
"41",2010-03-30,5.336,83
"42",2010-04-07,5.499,52
"43",2010-04-13,6.298,30
"44",2010-04-20,7.157,24
"45",2010-04-27,6.235,30
"46",2010-05-04,6.678,28
"47",2010-05-11,5.21,67
"48",2010-05-13,3.42,142
"49",2010-05-14,2.678,412
"50",2010-05-18,4.326,83
"51",2010-05-25,6,34
"52",2010-06-01,6.798,17
"53",2010-06-08,6.439,17
"54",2010-06-15,7.272,10
"55",2010-06-23,8.334,4.6
"56",2010-08-04,8.884,1.6
"57",2010-08-09,8.405,1.2
"58",2010-08-18,8.4995,0.58
"59",2010-08-25,8.159,0.26
"60",2010-09-02,7.652,0.38
"61",2010-09-08,8.885,0.82
"62",2010-09-15,6.32,41
"63",2010-09-23,8.675,6.1
"64",2010-09-30,9.453,5
"65",2010-10-07,9.969,3.9
"66",2010-10-13,10.134,3.9
"67",2010-10-21,11.455,5.6
"68",2010-10-28,10.165,6.1
"69",2010-11-03,7.495,14
"70",2010-11-11,9.662,6.7
"71",2010-11-16,10.26,7.3
"72",2010-11-29,8.101,17
"73",2010-12-09,9.133,5.7
"74",2010-12-16,9.595,4
"75",2011-01-06,16.334,8.8
"76",2011-01-12,9.221,5.5
"77",2011-01-21,14.277,4.7
"78",2011-01-26,10.307,5
"79",2011-02-06,10.237,9.8
"80",2011-02-12,9.314,19
"81",2011-02-14,6.805,131
"82",2011-02-24,7.235,75
"83",2011-02-28,5.641,113
"84",2011-03-04,7.086,39
"85",2011-03-14,6.275,115
"86",2011-03-31,7.274,22
"87",2011-04-07,8.315,14
"88",2011-04-11,7.311,86
"89",2011-04-20,6.251,21
"90",2011-04-23,3.585,263
"91",2011-04-25,2.357,4860
"92",2011-04-25,1.822,4860
"93",2011-05-11,6.4905,27
"94",2011-05-18,6.583,17
"95",2011-05-23,1.402,2460
"96",2011-06-09,6.625,16
"97",2011-06-16,7.313,14
"98",2011-07-14,8.558,2.4
"99",2011-07-20,9.3775,2.3
"100",2011-07-28,8.797,2
"101",2011-08-04,9.298,2.1
"102",2011-08-31,9.439,3.1
"103",2011-09-07,9.589,2
"104",2011-09-15,9.378,1.6
"105",2011-09-21,8.864,3.2
"106",2011-09-29,9.315,4.4
"107",2011-10-05,10.075,3.7
"108",2011-10-13,9.775,7.1
"109",2011-10-27,11.496,9.1
"110",2011-11-02,11.056,8.7
"111",2011-11-08,2.861,750
"112",2011-11-16,8.938,18
"113",2011-11-30,7.078,25
"114",2011-12-07,6.591,54
"115",2011-12-15,3.557,319
"116",2012-01-04,7.339,19
"117",2012-01-11,6.071,67
"118",2012-01-18,7.106,21
"119",2012-01-25,3.173,416
"120",2012-02-01,6.116,37
"121",2012-02-08,5.693,49
"122",2012-02-15,6.427,35
"123",2012-02-29,6.497,33
"124",2012-03-12,4.588,82
"125",2012-03-20,2.009,751
"126",2012-03-28,5.414,54
"127",2012-04-11,6.1025,22
"128",2012-04-18,5.844,21
"129",2012-04-25,6.58,14
"130",2012-05-02,7.507,17
"131",2012-05-09,7.519,7.7
"132",2012-05-17,7.888,6
"133",2012-05-23,7.895,4.7
"134",2012-05-31,7.951,5.1
"135",2012-06-04,4.879,84
"136",2012-06-13,6.79,0.63
"137",2012-06-20,7.607,0.51
"138",2012-06-28,7.718,0.45
"139",2012-07-11,7.83,0.6
"140",2012-07-18,7.606,0.67
"141",2012-07-25,7.664,0.58
"142",2012-08-01,7.593,0.25
"143",2012-08-16,7.006,0.15
"144",2012-08-22,6.796,0.2
"145",2012-08-30,13.905,0.47
"146",2012-09-06,7.612,0.62
"147",2012-09-12,7.636,0.55
"148",2012-09-27,10.915,1.1
"149",2012-10-03,10.422,1.7
"150",2012-10-10,9.863,1.9
"151",2012-10-16,10.731,4.5
"152",2012-10-25,10.256,2.7
"153",2012-11-01,10.557,2.7
"154",2012-11-08,10.647,3.4
"155",2012-11-15,12.062,5.1
"156",2012-11-29,12.615,4.9
"157",2012-12-06,12.254,5.1
"158",2012-12-13,13.395,4.8
"159",2013-01-03,14.828,6.2
"160",2013-01-11,13.06,5.2
"161",2013-01-14,12.751,6.3
"162",2013-01-24,12.884,5.7
"163",2013-01-30,4.01,143
"164",2013-02-07,9.75,11
"165",2013-02-13,7.688,28
"166",2013-02-21,8.614,24
"167",2013-02-28,7.24,30
"168",2013-03-07,8.869,14
"169",2013-03-10,3.521,356
"170",2013-03-20,7.97,26
"171",2013-03-28,7.304,26
"172",2013-04-04,4.778,105
"173",2013-04-18,2.235,972
"174",2013-04-25,5.7705,31
"175",2013-04-29,4.337,62
"176",2013-05-09,5.364,87
"177",2013-05-21,4.94,643
"178",2013-05-21,2.235,643
"179",2013-05-31,5.392,34
"180",2013-06-07,5.755,24
"181",2013-06-13,6.514,12
"182",2013-06-26,7.267,4.9
"183",2013-07-10,7.855,4.2
"184",2013-07-17,7.793,6.3
"185",2013-08-01,9.557,9.3
"186",2013-08-09,9.33,12
"187",2013-08-15,10.131,12
"188",2013-08-21,10.365,8.4
"189",2013-08-29,10.052,5.2
"190",2013-09-05,9.667,5.7
"191",2013-09-12,8.976,4.5
"192",2013-09-19,8.832,4.7
"193",2013-09-25,13.694,7.5
"194",2013-10-03,11.949,7.6
"195",2013-10-21,12.422,2.3
"196",2013-10-30,12.164,3.9
"197",2013-11-07,12.335,12
"198",2013-11-14,11.545,7.9
"199",2013-11-21,11.356,19
"200",2013-12-03,10.926,3.3
"201",2013-12-20,9.44,3.8
"202",2013-12-21,4.748,183
"203",2014-01-08,10.761,1.9
"204",2014-01-10,7.672,70
"205",2014-01-23,8.716,1.2
"206",2014-01-29,9.345,0.7
"207",2014-02-07,10.429,0.95
"208",2014-02-13,10.716,0.79
"209",2014-02-20,9.598,0.76
"210",2014-02-26,9.838,0.42
"211",2014-03-06,10.328,2.1
"212",2014-03-13,7.912,1.7
"213",2014-03-16,3.726,431
"214",2014-03-28,7.325,81
"215",2014-04-03,6.078,40
"216",2014-04-08,5.035,83
"217",2014-04-15,5.848,44
"218",2014-04-24,6.685,24
"219",2014-04-29,7.046,24
"220",2014-05-08,7.965,32
"221",2014-05-12,3.317,87
"222",2014-05-15,4.286,99
"223",2014-05-21,6.328,20
"224",2014-05-29,7.478,13
"225",2014-06-03,8.313,22
"226",2014-06-16,8.17,6.8
"227",2014-06-19,8.518,5.2
"228",2014-07-02,7.771,2.9
"229",2014-07-07,8.3775,1.8
"230",2014-07-22,9.507,2.7
"231",2014-07-31,9.396,3
"232",2014-08-06,11.774,1.2
"233",2014-08-13,11.776,1.1
"234",2014-08-21,11.447,0.29
"235",2014-08-28,10.559,0.31
"236",2014-09-03,11.071,3.1
"237",2014-09-11,13.677,0.95
"238",2014-09-18,11.053,1.2
"239",2014-09-24,12.237,0.44
"240",2014-10-01,11.876,0.22
"241",2014-10-09,11.334,0.26
"242",2014-10-10,10.983,24
"243",2014-10-13,2.797,350
"244",2014-10-23,9.284,6.5
"245",2014-10-29,9.944,5.2
"246",2014-11-06,9.928,15
