"","Date","concentrations.TN","Flow"
"1",2009-07-07,1.23,5.5
"2",2009-07-14,0.78,2.8
"3",2009-07-28,0.65,2.1
"4",2009-08-04,0.84,2.2
"5",2009-08-11,1.22,16
"6",2009-08-18,0.73,2.1
"7",2009-08-25,0.78,2.2
"8",2009-09-01,1.06,2.9
"9",2009-09-05,2.17,63
"10",2009-09-08,2.238,14
"11",2009-09-10,1.47,409
"12",2009-09-15,2.15,32
"13",2009-09-22,2.16,773
"14",2009-09-29,3.59,29
"15",2009-10-06,3.37,23
"16",2009-10-09,1.47,1500
"17",2009-10-13,3.265,269
"18",2009-10-20,3.51,41
"19",2009-10-27,1.68,186
"20",2009-11-03,2.83,67
"21",2009-11-10,3.1,32
"22",2009-11-17,2.5,34
"23",2009-11-23,2.19,27
"24",2009-12-01,2.22,24
"25",2009-12-08,2.48,20
"26",2009-12-15,2.265,16
"27",2009-12-21,2.53,14
"28",2009-12-29,1.83,25
"29",2010-01-05,1.99,22
"30",2010-01-12,2.51,22
"31",2010-01-26,2.03,70
"32",2010-02-03,1.9,134
"33",2010-02-10,2.54,85
"34",2010-02-16,2.445,63
"35",2010-02-23,1.98,71
"36",2010-03-02,2.51,42
"37",2010-03-08,2.42,37
"38",2010-03-16,2.27,34
"39",2010-03-22,1.68,273
"40",2010-03-30,3.03,83
"41",2010-04-07,2.24,52
"42",2010-04-13,2.36,30
"43",2010-04-20,2.48,24
"44",2010-04-27,1.8,30
"45",2010-05-04,1.91,28
"46",2010-05-11,1.8,67
"47",2010-05-13,1.79,142
"48",2010-05-14,1.45,412
"49",2010-05-18,1.64,83
"50",2010-05-25,2.29,34
"51",2010-06-01,2.33,17
"52",2010-06-08,2.2,17
"53",2010-06-15,1.89,10
"54",2010-06-23,1.02,4.6
"55",2010-08-04,0.35,1.6
"56",2010-08-09,0.26,1.2
"57",2010-08-18,0.295,0.58
"58",2010-08-25,0.22,0.26
"59",2010-09-02,0.25,0.38
"60",2010-09-08,0.77,0.82
"61",2010-09-15,4.47,41
"62",2010-09-23,3.34,6.1
"63",2010-09-30,2.52,5
"64",2010-10-07,2.42,3.9
"65",2010-10-13,2.3,3.9
"66",2010-10-21,2.29,5.6
"67",2010-10-28,1.65,6.1
"68",2010-11-03,2.14,14
