"","Date","concentrations.TP","Flow"
"1",2009-07-07,0.062,5.5
"2",2009-07-14,0.052,2.8
"3",2009-07-21,0.072,5.1
"4",2009-07-28,0.054,2.1
"5",2009-08-04,0.06,2.2
"6",2009-08-11,0.14,16
"7",2009-08-18,0.076,2.1
"8",2009-08-25,0.063,2.2
"9",2009-09-01,0.078,2.9
"10",2009-09-05,0.55,63
"11",2009-09-08,0.11,14
"12",2009-09-10,0.566,409
"13",2009-09-15,0.116,32
"14",2009-09-22,0.314,773
"15",2009-09-29,0.074,29
"16",2009-10-06,0.062,23
"17",2009-10-09,0.494,1500
"18",2009-10-13,0.083,269
"19",2009-10-20,0.056,41
"20",2009-10-27,0.076,186
"21",2009-11-03,0.05,67
"22",2009-11-10,0.048,32
"23",2009-11-17,0.044,34
"24",2009-11-23,0.04,27
"25",2009-12-01,0.04,24
"26",2009-12-08,0.042,20
"27",2009-12-15,0.016,16
"28",2009-12-21,0.016,14
"29",2009-12-29,0.022,25
"30",2010-01-05,0.024,22
"31",2010-01-12,0.02,22
"32",2010-01-26,0.026,70
"33",2010-02-03,0.046,134
"34",2010-02-10,0.038,85
"35",2010-02-16,0.033,63
"36",2010-02-23,0.038,71
"37",2010-03-02,0.038,42
"38",2010-03-08,0.032,37
"39",2010-03-16,0.05,34
"40",2010-03-22,0.088,273
"41",2010-03-30,0.036,83
"42",2010-04-07,0.048,52
"43",2010-04-13,0.036,30
"44",2010-04-20,0.032,24
"45",2010-04-27,0.038,30
"46",2010-05-04,0.054,28
"47",2010-05-11,0.123,67
"48",2010-05-13,0.264,142
"49",2010-05-14,0.8,412
"50",2010-05-18,0.072,83
"51",2010-05-25,0.066,34
"52",2010-06-01,0.064,17
"53",2010-06-08,0.082,17
"54",2010-06-15,0.074,10
"55",2010-06-23,0.084,4.6
"56",2010-08-04,0.044,1.6
"57",2010-08-09,0.038,1.2
"58",2010-08-18,0.05,0.58
"59",2010-08-25,0.028,0.26
"60",2010-09-02,0.042,0.38
"61",2010-09-08,0.066,0.82
"62",2010-09-15,0.122,41
"63",2010-09-23,0.038,6.1
"64",2010-09-30,0.046,5
"65",2010-10-07,0.042,3.9
"66",2010-10-13,0.044,3.9
"67",2010-10-21,0.044,5.6
"68",2010-10-28,0.048,6.1
"69",2010-11-03,0.102,14
"70",2010-11-11,0.052,6.7
"71",2010-11-16,0.036,7.3
"72",2010-11-29,0.07,17
"73",2010-12-09,0.032,5.7
"74",2010-12-16,0.012,4
"75",2011-01-06,0.046,8.8
"76",2011-01-12,0.032,5.5
"77",2011-01-21,0.032,4.7
"78",2011-01-26,0.036,5
"79",2011-02-06,0.052,9.8
"80",2011-02-12,0.044,19
"81",2011-02-14,0.1,131
"82",2011-02-24,0.392,75
"83",2011-02-28,0.19,113
"84",2011-03-04,0.062,39
"85",2011-03-14,0.21,115
"86",2011-03-31,0.08,22
"87",2011-04-07,0.092,14
"88",2011-04-11,0.156,86
"89",2011-04-20,0.058,21
"90",2011-04-23,0.364,263
"91",2011-04-25,0.334,4860
"92",2011-04-25,0.615,4860
"93",2011-05-11,0.046,27
"94",2011-05-18,0.034,17
"95",2011-05-23,1.31,2460
"96",2011-06-09,0.045,16
"97",2011-06-16,0.042,14
"98",2011-07-14,0.046,2.4
"99",2011-07-20,0.026,2.3
"100",2011-07-28,0.04,2
"101",2011-08-04,0.04,2.1
"102",2011-08-10,0.128,14
"103",2011-08-17,0.058,7.3
"104",2011-08-31,0.014,3.1
"105",2011-09-07,0.018,2
"106",2011-09-15,0.018,1.6
"107",2011-09-21,0.022,3.2
"108",2011-09-29,0.022,4.4
"109",2011-10-05,0.022,3.7
"110",2011-10-13,0.03,7.1
"111",2011-10-27,0.034,9.1
"112",2011-11-02,0.026,8.7
"113",2011-11-08,0.422,750
"114",2011-11-16,0.064,18
"115",2011-11-30,0.046,25
"116",2011-12-07,0.046,54
"117",2011-12-15,0.152,319
"118",2012-01-04,0.027,19
"119",2012-01-11,0.07,67
"120",2012-01-18,0.022,21
"121",2012-01-25,0.49,416
"122",2012-02-01,0.04,37
"123",2012-02-08,0.042,49
"124",2012-02-15,0.034,35
"125",2012-02-29,0.048,33
"126",2012-03-12,0.056,82
"127",2012-03-20,0.396,751
"128",2012-03-28,0.034,54
"129",2012-04-11,0.043,22
"130",2012-04-18,0.056,21
"131",2012-04-25,0.054,14
"132",2012-05-02,0.06,17
"133",2012-05-09,0.051,7.7
"134",2012-05-17,0.042,6
"135",2012-05-23,0.046,4.7
"136",2012-05-31,0.06,5.1
"137",2012-06-04,0.522,84
"138",2012-06-13,0.046,0.63
"139",2012-06-20,0.036,0.51
"140",2012-06-28,0.026,0.45
"141",2012-07-11,0.044,0.6
"142",2012-07-18,0.038,0.67
"143",2012-07-25,0.032,0.58
"144",2012-08-01,0.036,0.25
"145",2012-08-16,0.046,0.15
"146",2012-08-22,0.046,0.2
"147",2012-08-30,0.05,0.47
"148",2012-09-06,0.052,0.62
"149",2012-09-12,0.05,0.55
"150",2012-09-27,0.035,1.1
"151",2012-10-03,0.046,1.7
"152",2012-10-10,0.044,1.9
"153",2012-10-16,0.046,4.5
"154",2012-10-25,0.044,2.7
"155",2012-11-01,0.028,2.7
"156",2012-11-08,0.028,3.4
"157",2012-11-15,0.024,5.1
"158",2012-11-29,0.02,4.9
"159",2012-12-06,0.026,5.1
"160",2012-12-13,0.016,4.8
"161",2013-01-03,0.02,6.2
"162",2013-01-11,0.024,5.2
"163",2013-01-14,0.024,6.3
"164",2013-01-24,0.02,5.7
"165",2013-01-30,1.224,143
"166",2013-02-07,0.04,11
"167",2013-02-13,0.044,28
"168",2013-02-21,0.028,24
"169",2013-02-28,0.03,30
"170",2013-03-07,0.024,14
"171",2013-03-10,0.206,356
"172",2013-03-20,0.034,26
"173",2013-03-28,0.024,26
"174",2013-04-04,0.056,105
"175",2013-04-18,0.936,972
"176",2013-04-25,0.039,31
"177",2013-04-29,0.036,62
"178",2013-05-09,0.032,87
"179",2013-05-21,0.102,643
"180",2013-05-21,0.54,643
"181",2013-05-31,0.058,34
"182",2013-06-07,0.052,24
"183",2013-06-13,0.046,12
"184",2013-06-26,0.042,4.9
"185",2013-07-10,0.028,4.2
"186",2013-07-17,0.057,6.3
"187",2013-08-01,0.053,9.3
"188",2013-08-09,0.056,12
"189",2013-08-15,0.034,12
"190",2013-08-21,0.026,8.4
"191",2013-08-29,0.032,5.2
"192",2013-09-05,0.032,5.7
"193",2013-09-12,0.036,4.5
"194",2013-09-19,0.046,4.7
"195",2013-09-25,0.084,7.5
"196",2013-10-03,0.036,7.6
"197",2013-10-21,0.036,2.3
"198",2013-10-30,0.034,3.9
"199",2013-11-07,0.026,12
"200",2013-11-14,0.028,7.9
"201",2013-11-21,0.028,19
"202",2013-12-03,0.02,3.3
