"","Date","concentrations.TSS","Flow"
"1",2009-07-07,2.2,5.5
"2",2009-07-14,4.8,2.8
"3",2009-07-21,13.8,5.1
"4",2009-07-28,4.4,2.1
"5",2009-08-04,4.8,2.2
"6",2009-08-11,7.3,16
"7",2009-08-18,5.3,2.1
"8",2009-08-25,5.7,2.2
"9",2009-09-01,5.5,2.9
"10",2009-09-05,175.3,63
"11",2009-09-08,6.5,14
"12",2009-09-10,81.7,409
"13",2009-09-15,7.3,32
"14",2009-09-22,33.7,773
"15",2009-09-29,1.1,29
"16",2009-10-06,0.9,23
"17",2009-10-09,70.7,1500
"18",2009-10-13,2.6,269
"19",2009-10-20,1.3,41
"20",2009-10-27,4.2,186
"21",2009-11-03,2,67
"22",2009-11-10,2.5,32
"23",2009-11-17,1.5,34
"24",2009-11-23,1.4,27
"25",2009-12-01,6.5,24
"26",2009-12-08,0.3,20
"27",2009-12-15,1.05,16
"28",2009-12-21,2.88,14
"29",2009-12-29,0.6,25
"30",2010-01-05,0.4,22
"31",2010-01-12,0.5,22
"32",2010-01-26,1.3,70
"33",2010-02-03,1.4,134
"34",2010-02-10,1.6,85
"35",2010-02-16,1.15,63
"36",2010-02-23,1.4,71
"37",2010-03-02,1.9,42
"38",2010-03-08,2.7,37
"39",2010-03-16,3.4,34
"40",2010-03-22,4.2,273
"41",2010-03-30,3.3,83
"42",2010-04-07,2,52
"43",2010-04-13,2.9,30
"44",2010-04-20,1.5,24
"45",2010-04-27,1.9,30
"46",2010-05-04,3.2,28
"47",2010-05-11,12.15,67
"48",2010-05-13,44.3,142
"49",2010-05-14,269.7,412
"50",2010-05-18,5.3,83
"51",2010-05-25,4.3,34
"52",2010-06-01,2.9,17
"53",2010-06-08,4.4,17
"54",2010-06-15,3.9,10
"55",2010-06-23,6.2,4.6
"56",2010-08-04,6.8,1.6
"57",2010-08-09,5.5,1.2
"58",2010-08-18,5.8,0.58
"59",2010-08-25,6.2,0.26
"60",2010-09-02,3.6,0.38
"61",2010-09-08,4,0.82
"62",2010-09-15,4.3,41
"63",2010-09-23,3,6.1
"64",2010-09-30,3.4,5
"65",2010-10-07,2.2,3.9
"66",2010-10-13,5.1,3.9
"67",2010-10-21,4,5.6
"68",2010-10-28,1.6,6.1
"69",2010-11-03,4.1,14
"70",2010-11-11,2.9,6.7
"71",2010-11-16,1.9,7.3
"72",2010-11-29,2,17
"73",2010-12-09,1.1,5.7
"74",2010-12-16,1.4,4
"75",2011-01-06,0.6,8.8
"76",2011-01-12,0.3,5.5
"77",2011-01-21,1.25,4.7
"78",2011-01-26,1.1,5
"79",2011-02-06,0.5,9.8
"80",2011-02-12,0.7,19
"81",2011-02-14,4.3,131
"82",2011-02-24,56.5,75
"83",2011-02-28,18.3,113
"84",2011-03-04,4.7,39
"85",2011-03-14,19.9,115
"86",2011-03-31,1.1,22
"87",2011-04-07,2.7,14
"88",2011-04-11,17,86
"89",2011-04-20,2.6,21
"90",2011-04-23,72.3,263
"91",2011-04-25,64.6,4860
"92",2011-04-25,226.7,4860
"93",2011-05-11,1.55,27
"94",2011-05-18,1.3,17
"95",2011-05-23,415.3,2460
"96",2011-06-09,2.2,16
"97",2011-06-16,3.1,14
"98",2011-07-14,1.1,2.4
"99",2011-07-20,2.45,2.3
"100",2011-07-28,6.2,2
"101",2011-08-04,5.3,2.1
"102",2011-08-10,13.5,14
"103",2011-08-17,3,7.3
"104",2011-08-31,2.5,3.1
"105",2011-09-07,6.9,2
"106",2011-09-15,6.4,1.6
"107",2011-09-21,4.6,3.2
"108",2011-09-29,1.6,4.4
"109",2011-10-05,1.7,3.7
"110",2011-10-13,3.7,7.1
"111",2011-10-27,3.8,9.1
"112",2011-11-02,3,8.7
"113",2011-11-08,88.3,750
"114",2011-11-16,1.3,18
"115",2011-11-30,0.2,25
"116",2011-12-07,0.9,54
"117",2011-12-15,11.8,319
"118",2012-01-04,1.1,19
"119",2012-01-11,2.6,67
"120",2012-01-18,0.9,21
"121",2012-01-25,157.9,416
"122",2012-02-01,1.9,37
"123",2012-02-08,1.3,49
"124",2012-02-15,1,35
"125",2012-02-29,4,33
"126",2012-03-12,4,82
"127",2012-03-20,157.5,751
"128",2012-03-28,2,54
"129",2012-04-11,2.05,22
"130",2012-04-18,4.7,21
"131",2012-04-25,2.8,14
"132",2012-05-02,2.1,17
"133",2012-05-09,2.9,7.7
"134",2012-05-17,4.1,6
"135",2012-05-23,4.5,4.7
"136",2012-05-31,4.9,5.1
"137",2012-06-04,76.5,84
"138",2012-06-13,4.5,0.63
"139",2012-06-20,5.4,0.51
"140",2012-06-28,4.7,0.45
"141",2012-07-11,7.3,0.6
"142",2012-07-18,5.5,0.67
"143",2012-07-25,3,0.58
"144",2012-08-01,8.2,0.25
"145",2012-08-16,10.4,0.15
"146",2012-08-22,5.6,0.2
"147",2012-08-30,5.3,0.47
"148",2012-09-06,4.5,0.62
"149",2012-09-12,5.1,0.55
"150",2012-09-27,4.2,1.1
"151",2012-10-03,4.9,1.7
"152",2012-10-10,2.4,1.9
"153",2012-10-16,1.4,4.5
"154",2012-10-25,4.9,2.7
"155",2012-11-01,1.7,2.7
"156",2012-11-08,1.95,3.4
"157",2012-11-15,1.8,5.1
"158",2012-11-29,0.7,4.9
"159",2012-12-06,2.4,5.1
"160",2012-12-13,0.5,4.8
"161",2013-01-03,0.5,6.2
"162",2013-01-11,3.3,5.2
"163",2013-01-14,0.6,6.3
"164",2013-01-24,2.8,5.7
"165",2013-01-30,463.2,143
"166",2013-02-07,2.3,11
"167",2013-02-13,1.5,28
"168",2013-02-21,0.9,24
"169",2013-02-28,0.9,30
"170",2013-03-07,1.9,14
"171",2013-03-10,22.1,356
"172",2013-03-20,1.5,26
"173",2013-03-28,2.3,26
"174",2013-04-04,0.8,105
"175",2013-04-18,314.9,972
"176",2013-04-25,0.85,31
"177",2013-04-29,1.7,62
"178",2013-05-09,1.8,87
"179",2013-05-21,21.8,643
"180",2013-05-21,137.3,643
"181",2013-05-31,0.7,34
"182",2013-06-07,1.4,24
"183",2013-06-13,0.8,12
"184",2013-06-26,3.1,4.9
"185",2013-07-10,3.3,4.2
"186",2013-07-17,2.9,6.3
"187",2013-08-01,4.15,9.3
"188",2013-08-09,3.8,12
"189",2013-08-15,2.1,12
"190",2013-08-21,1.9,8.4
"191",2013-08-29,1.4,5.2
"192",2013-09-05,3.1,5.7
"193",2013-09-12,6.5,4.5
"194",2013-09-19,10.6,4.7
"195",2013-09-25,2.8,7.5
"196",2013-10-03,3,7.6
"197",2013-10-21,5.5,2.3
"198",2013-10-30,2.1,3.9
"199",2013-11-07,0.5,12
"200",2013-11-14,1.5,7.9
"201",2013-11-21,2.3,19
"202",2013-12-03,1.9,3.3
"203",2013-12-20,1.6,3.8
"204",2013-12-21,15.3,183
"205",2014-01-08,1.1,1.9
"206",2014-01-10,66.1,70
"207",2014-01-23,1.8,1.2
"208",2014-01-29,1.8,0.7
"209",2014-02-07,2.88,0.95
"210",2014-02-13,1.9,0.79
"211",2014-02-20,1.8,0.76
"212",2014-02-26,1,0.42
"213",2014-03-06,0.8,2.1
"214",2014-03-13,1,1.7
"215",2014-03-16,97,431
"216",2014-03-28,1.3,81
"217",2014-04-03,0.6,40
"218",2014-04-08,1.9,83
"219",2014-04-15,1,44
"220",2014-04-24,1.2,24
"221",2014-04-29,1.6,24
"222",2014-05-08,5.3,32
"223",2014-05-12,211.5,87
"224",2014-05-15,2.9,99
"225",2014-05-21,3.1,20
"226",2014-05-29,1.9,13
"227",2014-06-03,2.4,22
"228",2014-06-16,1.1,6.8
"229",2014-06-19,0.7,5.2
"230",2014-07-02,1.1,2.9
"231",2014-07-07,0.95,1.8
"232",2014-07-22,0.8,2.7
"233",2014-07-31,1.2,3
"234",2014-08-06,0.8,1.2
"235",2014-08-13,0.8,1.1
"236",2014-08-21,1.5,0.29
"237",2014-08-28,2,0.31
"238",2014-09-03,2.3,3.1
"239",2014-09-11,1.2,0.95
"240",2014-09-18,2.1,1.2
"241",2014-09-24,2.88,0.44
"242",2014-10-01,1.7,0.22
"243",2014-10-09,1.1,0.26
"244",2014-10-10,301.8,24
"245",2014-10-13,230.2,350
"246",2014-10-23,2,6.5
"247",2014-10-29,1.1,5.2
"248",2014-11-06,0.9,15
"249",2014-11-13,0.9,5.3
"250",2014-11-19,0.1,4.2
"251",2014-12-03,0.7,6.4
"252",2014-12-11,1,18
"253",2014-12-17,0.2,49
"254",2015-01-08,0.5,29
"255",2015-01-15,1.3,19
"256",2015-01-21,0.9,14
"257",2015-01-29,2.1,10
"258",2015-02-04,0.7,12
"259",2015-02-11,2.88,8.6
"260",2015-02-18,0.9,9.4
"261",2015-02-25,2.5,15
"262",2015-03-05,1.9,69
"263",2015-03-11,3.3,74
"264",2015-03-14,48.9,497
"265",2015-03-19,1.9,94
"266",2015-03-26,25.3,203
"267",2015-04-01,1,35
"268",2015-04-14,7.5,54
"269",2015-04-22,1.5,31
"270",2015-04-29,2.3,19
"271",2015-05-08,19.1,247
"272",2015-05-11,54.2,765
"273",2015-05-24,171.2,1630
"274",2015-06-01,2.4,121
"275",2015-06-19,41.35,1300
