Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2009-07-07,1.017,1.23,0.04,0.062,2.2,9.798,15.363
2009-07-14,0.443,0.78,0.029,0.052,4.8,10.008,13.325
2009-07-21,0.329,,0.031,0.072,13.8,9.646,12.248
2009-07-28,0.451,0.65,0.027,0.054,4.4,10.67,13.97
2009-08-04,0.65,0.84,0.034,0.06,4.8,10.751,14.314
2009-08-11,0.855,1.22,0.08,0.14,7.3,9.343,11.856
2009-08-18,0.449,0.73,0.033,0.076,5.3,9.899,16.294
2009-08-25,0.527,0.78,0.035,0.063,5.7,10.149,15.462
2009-09-01,0.855,1.06,0.0475,0.078,5.5,9.197,16.7675
2009-09-05,,2.17,0.477,0.55,175.3,3.185,7.375
2009-09-08,1.906,2.238,0.089,0.11,6.5,6.383,17.914
2009-09-10,0.907,1.47,0.284,0.566,81.7,2.642,8.743
2009-09-15,1.89,2.15,0.087,0.116,7.3,6.374,18.023
2009-09-22,1.537,2.16,0.206,0.314,33.7,2.973,8.686
2009-09-29,3.428,3.59,0.06,0.074,1.1,7.002,15.225
2009-10-06,3.16,3.37,0.047,0.062,0.9,7.825,15.137
2009-10-09,0.975,1.47,0.272,0.494,70.7,1.726,5.149
2009-10-13,3.107,3.265,0.0655,0.083,2.6,5.512,13.767
2009-10-20,3.417,3.51,0.058,0.056,1.3,6.147,16.334
2009-10-27,1.428,1.68,0.059,0.076,4.2,5.245,15.087
2009-11-03,2.683,2.83,0.047,0.05,2,5.189,13.362
2009-11-10,2.967,3.1,0.039,0.048,2.5,6.297,18.069
2009-11-17,2.37,2.5,0.031,0.044,1.5,6.46,17.794
2009-11-23,2.06,2.19,0.023,0.04,1.4,6.474,16.091
2009-12-01,2.12,2.22,0.025,0.04,6.5,6.689,18.394
2009-12-08,2.346,2.48,0.017,0.042,0.3,6.754,16.528
2009-12-15,2.1715,2.265,0.0185,0.016,1.05,7.31,17.985
2009-12-21,2.406,2.53,0.014,0.016,0,8.009,18.288
2009-12-29,1.732,1.83,0.025,0.022,0.6,6.928,20.331
2010-01-05,1.867,1.99,0.019,0.024,0.4,6.843,20.046
2010-01-12,2.37,2.51,0.017,0.02,0.5,7.572,19.638
2010-01-26,1.859,2.03,0.03,0.026,1.3,5.809,18.683
2010-02-03,1.722,1.9,0.033,0.046,1.4,6.148,18.711
2010-02-10,2.364,2.54,0.032,0.038,1.6,6.125,17.211
2010-02-16,2.3385,2.445,0.0275,0.033,1.15,6.468,17.9705
2010-02-23,1.936,1.98,0.031,0.038,1.4,6.335,19.516
2010-03-02,2.382,2.51,0.025,0.038,1.9,6.925,20.166
2010-03-08,2.317,2.42,0.027,0.032,2.7,7.326,19.621
2010-03-16,2.016,2.27,0.031,0.05,3.4,7.228,20.991
2010-03-22,1.432,1.68,0.045,0.088,4.2,5.345,18.564
2010-03-30,3.693,3.03,0.04,0.036,3.3,5.336,15.342
2010-04-07,2.044,2.24,0.037,0.048,2,5.499,16.063
2010-04-13,2.244,2.36,0.029,0.036,2.9,6.298,16.117
2010-04-20,2.247,2.48,0.028,0.032,1.5,7.157,16.202
2010-04-27,1.737,1.8,0.029,0.038,1.9,6.235,17.232
2010-05-04,1.672,1.91,0.032,0.054,3.2,6.678,17.345
2010-05-11,1.384,1.8,0.06,0.123,12.15,5.21,17.8135
2010-05-13,0.917,1.79,0.098,0.264,44.3,3.42,11.62
2010-05-14,0.636,1.45,0.199,0.8,269.7,2.678,8.11
2010-05-18,1.433,1.64,0.049,0.072,5.3,4.326,14.565
2010-05-25,2.114,2.29,0.048,0.066,4.3,6,14.613
2010-06-01,2.238,2.33,0.047,0.064,2.9,6.798,14.929
2010-06-08,1.988,2.2,0.06,0.082,4.4,6.439,15.336
2010-06-15,1.682,1.89,0.051,0.074,3.9,7.272,14.316
2010-06-23,0.861,1.02,0.038,0.084,6.2,8.334,14.108
2010-08-04,0.143,0.35,0.015,0.044,6.8,8.884,13.913
2010-08-09,0.042,0.26,0.012,0.038,5.5,8.405,12.746
2010-08-18,0.0365,0.295,0.0095,0.05,5.8,8.4995,11.932
2010-08-25,0.017,0.22,0.005,0.028,6.2,8.159,11.13
2010-09-02,0.023,0.25,0.006,0.042,3.6,7.652,10.771
2010-09-08,0.561,0.77,0.024,0.066,4,8.885,17.502
2010-09-15,4.251,4.47,0.1,0.122,4.3,6.32,19.733
2010-09-23,3.105,3.34,0.04,0.038,3,8.675,19.853
2010-09-30,2.367,2.52,0.032,0.046,3.4,9.453,20.534
2010-10-07,2.281,2.42,0.024,0.042,2.2,9.969,19.668
2010-10-13,2.098,2.3,0.026,0.044,5.1,10.134,19.195
2010-10-21,2.142,2.29,0.024,0.044,4,11.455,20.716
2010-10-28,1.453,1.65,0.04,0.048,1.6,10.165,24.932
2010-11-03,1.851,2.14,0.068,0.102,4.1,7.495,22.788
2010-11-11,1.558,1.71,0.034,0.052,2.9,9.662,24.964
2010-11-16,1.267,1.44,0.029,0.036,1.9,10.26,24.674
2010-11-29,2.715,2.77,0.052,0.07,2,8.101,26.141
2010-12-09,2.48,2.64,0.029,0.032,1.1,9.133,32.5
2010-12-16,2.357,2.47,0.02,0.012,1.4,9.595,29.758
2011-01-06,5.43,2.9,0.033,0.046,0.6,16.334,53.629
2011-01-12,2.876,2.94,0.035,0.032,0.3,9.221,27.131
2011-01-21,3.332,2.3,0.0255,0.032,1.25,14.277,38.7625
2011-01-26,1.938,2.16,0.024,0.036,1.1,10.307,28.453
2011-02-06,1.885,2.07,0.028,0.052,0.5,10.237,31.733
2011-02-12,2.595,2.77,0.028,0.044,0.7,9.314,28.618
2011-02-14,2.565,2.86,0.05,0.1,4.3,6.805,21.538
2011-02-24,1.778,2.45,0.053,0.392,56.5,7.235,25.1
2011-02-28,1.99,,0.093,0.19,18.3,5.641,18.943
2011-03-04,2.213,,0.049,0.062,4.7,7.086,20.92
2011-03-14,1.505,1.94,0.096,0.21,19.9,6.275,20.272
2011-03-31,1.736,1.96,0.026,0.08,1.1,7.274,23.607
2011-04-07,1.076,1.79,0.031,0.092,2.7,8.315,22.528
2011-04-11,0.99,1.34,0.067,0.156,17,7.311,20.469
2011-04-20,1.029,1.25,0.042,0.058,2.6,6.251,19.594
2011-04-23,0.747,1.51,0.148,0.364,72.3,3.585,12.782
2011-04-25,1.467,1.97,0.183,0.334,64.6,2.357,7.645
2011-04-25,1.379,1.87,0.164,0.615,226.7,1.822,6.393
2011-05-11,3.3705,3.665,0.0435,0.046,1.55,6.4905,16.5535
2011-05-18,2.775,3.06,0.032,0.034,1.3,6.583,16.368
2011-05-23,0.798,1.74,0.181,1.31,415.3,1.402,5.124
2011-06-09,2.935,3.105,0.033,0.045,2.2,6.625,15.6715
2011-06-16,2.878,3.18,0.031,0.042,3.1,7.313,14.579
2011-07-14,0.647,0.83,0.003,0.046,1.1,8.558,14.14
2011-07-20,0.283,0.425,0,0.026,2.45,9.3775,14.365
2011-07-28,0.28,0.49,0.02,0.04,6.2,8.797,14.173
2011-08-04,0,0.24,0.005,0.04,5.3,9.298,3.906
2011-08-10,1.47,1.88,0.067,0.128,13.5,,
2011-08-17,2.48,2.77,0.038,0.058,3,,
2011-08-31,0.92,1.22,0.01,0.014,2.5,9.439,21.58
2011-09-07,0.332,0.54,0.006,0.018,6.9,9.589,18.678
2011-09-15,0.258,0.46,0.008,0.018,6.4,9.378,17.791
2011-09-21,0.502,0.75,0.003,0.022,4.6,8.864,17.216
2011-09-29,2.273,2.54,0.012,0.022,1.6,9.315,25.474
2011-10-05,1.554,1.69,0.012,0.022,1.7,10.075,24.593
2011-10-13,0.921,1.04,0.014,0.03,3.7,9.775,21.284
2011-10-27,1.258,0.7,0.022,0.034,3.8,11.496,22.282
2011-11-02,1.87,2,0.016,0.026,3,11.056,26.676
2011-11-08,3.605,4.56,0.208,0.422,88.3,2.861,8.653
2011-11-16,5.271,5.37,0.034,0.064,1.3,8.938,25.676
2011-11-30,4.529,4.76,0.041,0.046,0.2,7.078,21.041
2011-12-07,4.498,5.11,0.041,0.046,0.9,6.591,18.674
2011-12-15,3.193,3.64,0.081,0.152,11.8,3.557,11.307
2012-01-04,3.9175,3.74,0.024,0.027,1.1,7.339,19.779
2012-01-11,2.584,2.93,0.039,0.07,2.6,6.071,20.122
2012-01-18,2.828,3,0.015,0.022,0.9,7.106,21.074
2012-01-25,1.669,2.65,0.212,0.49,157.9,3.173,9.702
2012-02-01,3.9065,3.7,0.028,0.04,1.9,6.116,18.9235
2012-02-08,3.687,3.99,0.035,0.042,1.3,5.693,16.842
2012-02-15,3.383,3.53,0.029,0.034,1,6.427,20.165
2012-02-29,2.385,2.74,0.023,0.048,4,6.497,19.094
2012-03-12,1.875,4.52,0.046,0.056,4,4.588,17.199
2012-03-20,1.384,2.11,0.176,0.396,157.5,2.009,7.975
2012-03-28,3.039,3.26,0.035,0.034,2,5.414,15.742
2012-04-11,2.4225,2.74,0.0305,0.043,2.05,6.1025,16.034
2012-04-18,2.011,2.3,0.036,0.056,4.7,5.844,18.114
2012-04-25,2.205,2.51,0.036,0.054,2.8,6.58,17.073
2012-05-02,1.956,2.14,0.04,0.06,2.1,7.507,20.492
2012-05-09,1.564,1.8,0.041,0.051,2.9,7.519,18.893
2012-05-17,1.337,1.64,0.031,0.042,4.1,7.888,17.841
2012-05-23,0.997,1.32,0.024,0.046,4.5,7.895,16.936
2012-05-31,0.466,0.9,0.007,0.06,4.9,7.951,15.512
2012-06-04,1.635,2.72,0.304,0.522,76.5,4.879,14.118
2012-06-13,0.78,1.01,0.031,0.046,4.5,6.79,16.285
2012-06-20,0.194,0.44,0.004,0.036,5.4,7.607,15.267
2012-06-28,0.045,0.28,0.006,0.026,4.7,7.718,13.948
2012-07-11,0.065,0.41,0.005,0.044,7.3,7.83,11.92
2012-07-18,0,0.29,0.001,0.038,5.5,7.606,11.723
2012-07-25,0,0.27,0.005,0.032,3,7.664,10.002
2012-08-01,0,0.34,0,0.036,8.2,7.593,9.948
2012-08-16,0.071,0.4,0.001,0.046,10.4,7.006,10.435
2012-08-22,0,0.36,0,0.046,5.6,6.796,10.272
2012-08-30,0.178,0.37,0.002,0.05,5.3,13.905,21.658
2012-09-06,0,0.37,0.004,0.052,4.5,7.612,12.132
2012-09-12,0,0.35,0.005,0.05,5.1,7.636,12.897
2012-09-27,0.1435,0.43,0.007,0.035,4.2,10.915,18.059
2012-10-03,0.166,0.48,0.009,0.046,4.9,10.422,18.457
2012-10-10,0.399,0.65,0.018,0.044,2.4,9.863,19.873
2012-10-16,2.663,2.99,0.031,0.046,1.4,10.731,43.338
2012-10-25,0.914,1.2,0.015,0.044,4.9,10.256,35.625
2012-11-01,0.766,0.92,0.016,0.028,1.7,10.557,33.629
2012-11-08,0.4895,0.665,0.012,0.028,1.95,10.647,32.4605
2012-11-15,0.532,0.65,0.012,0.024,1.8,12.062,33.097
2012-11-29,0.551,0.65,0.009,0.02,0.7,12.615,32.492
2012-12-06,0.437,0.61,0.012,0.026,2.4,12.254,31.873
2012-12-13,0.634,0.7,0.013,0.016,0.5,13.395,32.226
2013-01-03,1.791,2.01,0.016,0.02,0.5,14.828,37.666
2013-01-11,1.486,2.85,0.003,0.024,3.3,13.06,39.183
2013-01-14,1.427,1.6,0.014,0.024,0.6,12.751,39.685
2013-01-24,1.356,1.645,0.0115,0.02,2.8,12.884,38.3845
2013-01-30,2.232,4.34,0.187,1.224,463.2,4.01,14.181
2013-02-07,4.647,4.27,0.033,0.04,2.3,9.75,33.619
2013-02-13,3.902,3.69,0.032,0.044,1.5,7.688,33.948
2013-02-21,3.174,3.41,0.02,0.028,0.9,8.614,30.556
2013-02-28,3.551,3.81,0.024,0.03,0.9,7.24,26.439
2013-03-07,3.262,3.33,0.02,0.024,1.9,8.869,29.11
2013-03-10,2.707,3.3,0.109,0.206,22.1,3.521,12.291
2013-03-20,3.626,3.66,0.024,0.034,1.5,7.97,25.378
2013-03-28,2.612,2.7,0.015,0.024,2.3,7.304,25.02
2013-04-04,2.329,2.49,0.035,0.056,0.8,4.778,19.124
2013-04-18,1.242,2.88,0.239,0.936,314.9,2.235,7.347
2013-04-25,3.4515,3.67,0.0375,0.039,0.85,5.7705,20.4895
2013-04-29,2.053,2.27,0.043,0.036,1.7,4.337,16.314
2013-05-09,1.587,1.76,0.015,0.032,1.8,5.364,18.792
2013-05-21,1.766,2.32,0.065,0.102,21.8,4.94,16.548
2013-05-21,0.711,1.93,0.231,0.54,137.3,2.235,7.524
2013-05-31,2.268,2.49,0.041,0.058,0.7,5.392,16.12
2013-06-07,1.873,2.03,0.035,0.052,1.4,5.755,16.515
2013-06-13,1.981,2.27,0.031,0.046,0.8,6.514,17.089
2013-06-26,0.764,1,0.019,0.042,3.1,7.267,17.422
2013-07-10,0.327,0.52,0.01,0.028,3.3,7.855,15.864
2013-07-17,0.073,0.49,0.003,0.057,2.9,7.793,14.793
2013-08-01,0.1325,0.51,0.0055,0.053,4.15,9.557,15.686
2013-08-09,0.052,0.46,0.005,0.056,3.8,9.33,15.299
2013-08-15,0.15,0.39,0.006,0.034,2.1,10.131,16.844
2013-08-21,0.048,0.28,0.008,0.026,1.9,10.365,17.832
2013-08-29,0.025,0.26,0.003,0.032,1.4,10.052,15.562
2013-09-05,0,0.25,0.01,0.032,3.1,9.667,15.239
2013-09-12,0.02,0.34,0.005,0.036,6.5,8.976,13.933
2013-09-19,0,0.37,0.013,0.046,10.6,8.832,13.819
2013-09-25,0.645,0.82,0.013,0.084,2.8,13.694,23.451
2013-10-03,0.267,0.42,0.009,0.036,3,11.949,20.567
2013-10-21,1.73,1.78,0.019,0.036,5.5,12.422,35.723
2013-10-30,1.582,1.65,0.015,0.034,2.1,12.164,32.81
2013-11-07,1.685,1.73,0.019,0.026,0.5,12.335,34.712
2013-11-14,1.446,1.51,0.017,0.028,1.5,11.545,35.661
2013-11-21,1.222,1.33,0.015,0.028,2.3,11.356,32.266
2013-12-03,2.207,2.24,0.013,0.02,1.9,10.926,33.01
2013-12-20,3.855,3.79,0.021,0.038,1.6,9.44,29.115
2013-12-21,2.855,3.51,0.123,0.24,15.3,4.748,13.882
2014-01-08,4.719,4.59,0.025,0.032,1.1,10.761,26.613
2014-01-10,3.09,3.69,0.127,0.308,66.1,7.672,23.82
2014-01-23,3.992,3.98,0.021,0.016,1.8,8.716,23.259
2014-01-29,3.778,3.61,0.013,0.034,1.8,9.345,24.531
2014-02-07,3.186,3.22,0.013,0.022,0,10.429,25.636
2014-02-13,2.798,2.76,0.012,0.026,1.9,10.716,28.26
2014-02-20,1.948,2.12,0.016,0.028,1.8,9.598,28.568
2014-02-26,1.938,2.03,0.011,0.024,1,9.838,28.879
2014-03-06,2.008,2.01,0.011,0.024,0.8,10.328,27.606
2014-03-13,1.779,1.81,0.031,0.036,1,7.912,26.271
2014-03-16,1.7905,2.78,0.154,0.416,97,3.726,11.639
2014-03-28,2.39,2.61,0.022,0.048,1.3,7.325,21.605
2014-04-03,2.098,2.22,0.022,0.046,0.6,6.078,21.213
2014-04-08,1.402,1.55,0.025,0.04,1.9,5.035,18.035
2014-04-15,1.574,1.72,0.024,0.036,1,5.848,19.946
2014-04-24,1.348,1.64,0.016,0.044,1.2,6.685,20.27
2014-04-29,1.292,1.6,0.026,0.036,1.6,7.046,20.568
2014-05-08,0.982,1.38,0.028,0.056,5.3,7.965,20.032
2014-05-12,0.963,2.34,0.207,0.638,211.5,3.317,12.704
2014-05-15,1.086,1.4,0.054,0.074,2.9,4.286,17.559
2014-05-21,1.197,1.58,0.026,0.052,3.1,6.328,20.828
2014-05-29,1.118,1.43,0.025,0.042,1.9,7.478,20.808
2014-06-03,0.851,1.13,0.028,0.044,2.4,8.313,22.047
2014-06-16,0.543,0.8,0.02,0.038,1.1,8.17,20.121
2014-06-19,0.414,0.54,0.021,0.042,0.7,8.518,18.652
2014-07-02,0.416,0.53,0.035,0.044,1.1,7.771,17.751
2014-07-07,0.2215,0.34,0.1185,0.045,0.95,8.3775,16.8895
2014-07-22,0.114,0.28,0.008,0.034,0.8,9.507,16.483
2014-07-31,0.116,0.21,0.016,0.044,1.2,9.396,14.356
2014-08-06,0.116,0.13,0.012,0.034,0.8,11.774,16.414
2014-08-13,0.101,0.23,0.014,0.032,0.8,11.776,18.584
2014-08-21,0.046,0.22,0.019,0.03,1.5,11.447,15.691
2014-08-28,0,0.3,0.039,0.084,2,10.559,13.187
2014-09-03,0.289,0.47,0.021,0.038,2.3,11.071,14.042
2014-09-11,0.132,0.31,0.022,0.044,1.2,13.677,19.468
2014-09-18,0.122,0.3,0.018,0.042,2.1,11.053,14.972
2014-09-24,0.18,0.36,0.012,0.026,0,12.237,17.553
2014-10-01,0.118,0.34,0.012,0.036,1.7,11.876,17.195
2014-10-09,0.109,0.28,0.009,0.036,1.1,11.334,15.944
2014-10-10,1.366,2,0.104,0.19,301.8,10.983,19.087
2014-10-13,0.868,2.37,0.279,0.854,230.2,2.797,8.966
2014-10-23,2.981,3.14,0.037,0.056,2,9.284,24
2014-10-29,2.254,2.44,0.028,0.05,1.1,9.944,23.553
2014-11-06,1.41,1.75,0.034,0.046,0.9,9.928,29.446
2014-11-13,1.507,1.79,0.025,0.036,0.9,9.651,27.616
2014-11-19,1.948,2.08,0.018,0.038,0.1,9.869,25.595
2014-12-03,1.61,1.69,0.02,0.032,0.7,10.182,28.301
2014-12-11,1.779,1.78,0.024,0.034,1,9.612,29.505
