Date,Flow
2009-07-01,6.7
2009-07-02,5.1
2009-07-03,4.8
2009-07-04,5.7
2009-07-05,9.3
2009-07-06,6.6
2009-07-07,5.5
2009-07-08,5
2009-07-09,4.7
2009-07-10,4.1
2009-07-11,3.7
2009-07-12,3.3
2009-07-13,3
2009-07-14,2.8
2009-07-15,2.4
2009-07-16,2.2
2009-07-17,2.1
2009-07-18,1.9
2009-07-19,1.8
2009-07-20,1.7
2009-07-21,5.1
2009-07-22,4.7
2009-07-23,3.1
2009-07-24,2.4
2009-07-25,2.3
2009-07-26,2.1
2009-07-27,1.9
2009-07-28,2.1
2009-07-29,2.7
2009-07-30,5
2009-07-31,5.8
2009-08-01,3.7
2009-08-02,3.1
2009-08-03,2.5
2009-08-04,2.2
2009-08-05,2.4
2009-08-06,4.6
2009-08-07,3.3
2009-08-08,2.5
2009-08-09,2.1
2009-08-10,2.5
2009-08-11,16
2009-08-12,6.1
2009-08-13,3.8
2009-08-14,2.9
2009-08-15,2.5
2009-08-16,2.2
2009-08-17,2.1
2009-08-18,2.1
2009-08-19,2.1
2009-08-20,4.6
2009-08-21,6.8
2009-08-22,3.9
2009-08-23,2.7
2009-08-24,2.5
2009-08-25,2.2
2009-08-26,2
2009-08-27,2.1
2009-08-28,28
2009-08-29,8.4
2009-08-30,4.9
2009-08-31,3.6
2009-09-01,2.9
2009-09-02,3.3
2009-09-03,6.5
2009-09-04,6
2009-09-05,63
2009-09-06,57
2009-09-07,25
2009-09-08,14
2009-09-09,10
2009-09-10,409
2009-09-11,64
2009-09-12,35
2009-09-13,26
2009-09-14,42
2009-09-15,32
2009-09-16,59
2009-09-17,60
2009-09-18,36
2009-09-19,26
2009-09-20,22
2009-09-21,680
2009-09-22,773
2009-09-23,153
2009-09-24,91
2009-09-25,67
2009-09-26,50
2009-09-27,41
2009-09-28,34
2009-09-29,29
2009-09-30,26
2009-10-01,24
2009-10-02,23
2009-10-03,21
2009-10-04,20
2009-10-05,20
2009-10-06,23
2009-10-07,27
2009-10-08,519
2009-10-09,1500
2009-10-10,273
2009-10-11,138
2009-10-12,109
2009-10-13,269
2009-10-14,172
2009-10-15,112
2009-10-16,82
2009-10-17,65
2009-10-18,54
2009-10-19,47
2009-10-20,41
2009-10-21,37
2009-10-22,66
2009-10-23,63
2009-10-24,47
2009-10-25,39
2009-10-26,61
2009-10-27,186
2009-10-28,119
2009-10-29,891
2009-10-30,471
2009-10-31,160
2009-11-01,104
2009-11-02,81
2009-11-03,67
2009-11-04,57
2009-11-05,49
2009-11-06,44
2009-11-07,40
2009-11-08,36
2009-11-09,34
2009-11-10,32
2009-11-11,29
2009-11-12,28
2009-11-13,27
2009-11-14,25
2009-11-15,26
2009-11-16,38
2009-11-17,34
2009-11-18,30
2009-11-19,28
