"","Date","concentrations.Cl","Flow"
"1",2009-07-07,7.315,8.7
"2",2009-07-14,7.172,7.2
"3",2009-07-21,6.816,9
"4",2009-07-28,7.3,7
"5",2009-08-04,7.252,6.4
"6",2009-08-11,7.122,8
"7",2009-08-18,7.176,6.6
"8",2009-08-25,7.341,5.7
"9",2009-09-01,7.419,6
"10",2009-09-08,11.841,6
"11",2009-09-15,7.468,8.2
"12",2009-09-22,7.448,19
"13",2009-09-29,7.419,6.6
"14",2009-10-06,7.407,6.1
"15",2009-10-09,2.605,334
"16",2009-10-13,5.302,42
"17",2009-10-20,5.709,22
"18",2009-10-27,5.783,148
"19",2009-11-03,5.568,81
"20",2009-11-10,6.091,13
"21",2009-11-17,6.577,10
"22",2009-11-23,13.4205,9.3
"23",2009-12-01,6.876,7.9
"24",2009-12-08,6.934,7.9
"25",2009-12-15,7.12,7.2
"26",2009-12-21,7.562,8.2
"27",2009-12-29,7.219,10
"28",2010-01-05,7.05,10
"29",2010-01-12,7.118,8.3
"30",2010-01-19,7.31,8.4
"31",2010-01-26,6.878,13
"32",2010-02-03,7.194,15
"33",2010-02-10,6.264,27
"34",2010-02-16,6.433,16
"35",2010-02-23,6.887,17
"36",2010-03-02,7.011,12
"37",2010-03-08,11.856,14
"38",2010-03-16,7.043,9.6
"39",2010-03-22,6.899,42
"40",2010-03-30,5.351,72
"41",2010-04-07,6.019,48
"42",2010-04-13,6.3035,38
"43",2010-04-20,6.62,34
"44",2010-04-27,6.681,35
"45",2010-05-04,6.708,32
"46",2010-05-11,6.677,32
"47",2010-05-14,5.014,68
"48",2010-05-18,5.935,68
"49",2010-05-20,2.65,261
"50",2010-05-26,5.423,92
"51",2010-06-01,5.228,23
"52",2010-06-08,5.732,12
"53",2010-06-15,6.128,12
"54",2010-06-23,6.621,7.3
"55",2010-08-04,7.206,5.5
"56",2010-08-09,7.371,5.3
"57",2010-08-18,7.338,5.1
"58",2010-08-25,7.376,4.2
"59",2010-09-02,7.44,5.9
"60",2010-09-08,7.299,5.3
"61",2010-09-15,7.588,10
"62",2010-09-23,7.504,5.5
"63",2010-09-30,7.7195,5.8
"64",2010-10-07,7.576,5.2
"65",2010-10-13,7.936,5.5
"66",2010-10-21,7.765,6
"67",2010-10-28,7.907,6.9
"68",2010-11-03,7.692,6.8
"69",2010-11-11,7.979,6.8
"70",2010-11-16,7.854,6.9
"71",2010-11-29,7.991,7.5
"72",2010-12-09,7.935,5.8
"73",2010-12-16,7.825,5.7
"74",2011-01-06,7.759,5.4
"75",2011-01-12,7.776,5.1
"76",2011-01-21,7.894,5.2
"77",2011-01-26,7.814,5
"78",2011-02-06,7.762,6
"79",2011-02-12,7.877,6.2
"80",2011-02-15,8.518,14
"81",2011-02-24,8.119,11
"82",2011-03-01,8.32,9.1
"83",2011-03-08,8.633,6.7
"84",2011-03-14,7.985,11
"85",2011-03-31,7.609,4.9
"86",2011-04-07,7.911,4
"87",2011-04-14,7.818,4.4
"88",2011-04-20,7.926,4.2
"89",2011-04-23,4.534,116
"90",2011-04-25,4.545,1120
"91",2011-04-25,3.063,1120
"92",2011-05-11,6.064,3.5
"93",2011-05-18,6.432,2.2
"94",2011-05-23,2.146,331
"95",2011-06-09,5.7715,13
"96",2011-06-15,6.309,9.6
"97",2011-07-14,7.334,10
"98",2011-07-20,7.443,6.1
"99",2011-07-28,6.877,4.8
"100",2011-08-04,7.659,3.8
"101",2011-08-31,7.725,4.6
"102",2011-09-07,7.801,4
"103",2011-09-15,7.723,5
"104",2011-09-21,7.874,7.9
"105",2011-09-29,7.841,7.6
"106",2011-10-05,8.138,4.6
"107",2011-10-12,7.3215,30
"108",2011-10-27,7.731,11
"109",2011-11-02,7.646,8.9
"110",2011-11-08,5.716,73
"111",2011-11-16,7.601,21
"112",2011-11-30,6.635,14
"113",2011-12-07,6.916,12
"114",2012-01-04,7.279,6.4
"115",2012-01-12,7.214,5.8
"116",2012-01-18,7.407,5.4
"117",2012-01-25,7.098,16
"118",2012-02-01,7.23,10
"119",2012-02-08,7.03,11
"120",2012-02-15,38.905,9.4
"121",2012-02-29,7.315,7.5
"122",2012-03-15,7.373,7.3
"123",2012-03-20,5.969,43
"124",2012-03-28,5.497,24
"125",2012-04-11,6.385,8.3
"126",2012-04-18,5.968,10
"127",2012-04-25,6.719,7
"128",2012-05-01,6.618,9.2
"129",2012-05-09,7.251,5.9
"130",2012-05-17,7.207,4.8
"131",2012-05-23,7.201,4.2
"132",2012-05-31,7.453,4
"133",2012-06-06,9.53,5
"134",2012-06-13,7.288,4.9
"135",2012-06-20,7.485,4.5
"136",2012-06-28,7.675,4.1
"137",2012-07-11,8.254,5.2
"138",2012-07-18,7.7,4.4
"139",2012-07-25,7.923,3.1
"140",2012-08-01,7.815,2.9
"141",2012-08-16,7.639,6
"142",2012-08-22,7.759,5
"143",2012-08-27,8.334,17
"144",2012-09-06,8.073,4.9
"145",2012-09-12,8.192,4.6
"146",2012-09-27,8.339,4
"147",2012-10-03,7.955,3.4
"148",2012-10-10,8.269,4.4
"149",2012-10-16,8.8225,7.4
"150",2012-10-25,8.151,3.6
"151",2012-11-01,8.424,3.5
"152",2012-11-08,8.259,3.9
"153",2012-11-15,8.532,4.4
"154",2012-11-29,8.162,3.5
"155",2012-12-06,8.509,3.9
"156",2012-12-13,9.069,3.3
"157",2013-01-03,8.576,3.8
"158",2013-01-11,8.857,3.7
"159",2013-01-14,8.946,4.4
"160",2013-01-24,8.866,3.2
"161",2013-01-30,9.099,13
"162",2013-02-07,9.808,4
"163",2013-02-13,9.189,4.7
"164",2013-02-21,8.733,4.5
"165",2013-02-28,8.31,5.5
"166",2013-03-07,8.889,3.9
"167",2013-03-11,8.268,26
"168",2013-03-20,8.6095,5.7
"169",2013-03-28,8.125,4.8
"170",2013-04-04,7.327,11
"171",2013-04-18,2.246,319
"172",2013-04-25,5.952,5
"173",2013-04-29,5.859,4.3
"174",2013-05-09,6.199,137
"175",2013-05-21,5.046,11
"176",2013-05-31,5.283,20
"177",2013-06-07,5.713,11
"178",2013-06-13,6.301,5.7
"179",2013-06-26,6.902,4.9
"180",2013-07-10,7.511,2.8
"181",2013-07-17,7.447,4.3
"182",2013-08-01,6.173,9.9
"183",2013-08-08,3.318,43
"184",2013-08-15,5.571,21
"185",2013-08-21,5.971,6.4
"186",2013-08-29,6.728,3.4
"187",2013-09-05,7.237,2.9
"188",2013-09-12,7.46,2.9
"189",2013-09-19,7.432,3.1
"190",2013-09-25,7.479,2.7
"191",2013-10-03,7.614,2.7
"192",2013-10-21,7.681,3.8
"193",2013-10-30,6.982,12
"194",2013-11-07,7.193,13
"195",2013-11-14,7.469,7.3
"196",2013-11-21,7.436,7
"197",2013-12-03,7.735,5.1
"198",2013-12-13,7.617,6.1
"199",2013-12-20,7.058,8.9
"200",2014-01-08,7.271,4.6
"201",2014-01-11,6.625,23
"202",2014-01-23,7.041,5.6
"203",2014-01-29,7.363,4.5
"204",2014-02-06,33.132,4.2
"205",2014-02-13,7.739,4.3
"206",2014-02-20,7.506,4.4
"207",2014-02-26,7.626,4
"208",2014-03-06,7.525,4.8
"209",2014-03-13,7.597,4.4
"210",2014-03-16,6.578,30
"211",2014-03-28,6.626,9.5
"212",2014-04-03,6.616,7.3
"213",2014-04-08,6.837,7.3
"214",2014-04-15,7.219,6.3
"215",2014-04-24,7.474,5.7
"216",2014-04-29,7.632,5.3
"217",2014-05-08,7.103,5.9
"218",2014-05-13,6.811,12
"219",2014-05-15,7.0865,8.8
"220",2014-05-21,7.364,5.3
"221",2014-05-29,8.092,4.2
"222",2014-06-03,7.025,5.3
"223",2014-06-16,7.326,3.4
"224",2014-06-19,7.519,2.3
"225",2014-07-02,6.722,12
"226",2014-07-07,7.062,5.5
"227",2014-07-22,7.567,3.3
"228",2014-08-06,7.52,4.1
"229",2014-08-13,7.716,2.4
"230",2014-08-21,8.198,1.7
"231",2014-08-28,7.892,1.4
"232",2014-09-02,7.326,6.3
"233",2014-09-11,8.1525,2.1
"234",2014-09-18,7.344,5.7
"235",2014-09-24,7.818,2.2
"236",2014-10-01,8.076,1.8
"237",2014-10-09,7.932,2.4
"238",2014-10-10,4.557,35
"239",2014-10-13,4.434,71
"240",2014-10-23,6.792,7.9
"241",2014-10-29,7.379,6.7
"242",2014-11-06,7.627,8.8
"243",2014-11-13,7.748,6.1
"244",2014-11-19,7.667,4.6
"245",2014-12-02,7.961,5.5
"246",2014-12-11,8.067,6.1
"247",2014-12-17,7.069,12
"248",2015-01-08,7.386,6.1
"249",2015-01-15,7.6915,3.9
"250",2015-01-21,7.572,3.1
"251",2015-01-29,7.48,2.7
"252",2015-02-04,7.639,3
"253",2015-02-11,7.966,2.7
"254",2015-02-18,7.62,2.7
"255",2015-02-25,7.309,6.4
"256",2015-03-06,7.504,6
"257",2015-03-11,6.989,7.9
"258",2015-03-14,6.349,42
"259",2015-03-19,6.449,22
"260",2015-03-26,6.503,29
"261",2015-04-01,6.758,14
"262",2015-04-14,7.127,7.9
"263",2015-04-22,7.032,7.5
"264",2015-04-29,7.281,6.5
"265",2015-05-08,7.16,7.4
"266",2015-05-11,6.231,35
"267",2015-05-24,3.275,300
"268",2015-06-01,4.926,58
"269",2015-06-19,4.671,62
