"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30"
"1",0.75,0.9,0.9,0.8,0.9,0.75,0.2,0.2,0.65,0.25,0.6,0.7,0.85,0.2,0.8,0.2,0.2,0.25,0.2,0.7,0.3,0.2,0.8,0.2,0.65,0.2
"2",0.85,0.7,0.9,0.25,0.2,0.2,0.3,0.2,0.25,0.75,0.9,0.25,0.2,0.75,0.25,0.2,0.2,0.75,0.85,0.45,0.2,0.7,0.2,0.2,0.2,0.75
"3",0.75,0.75,0.8,0.7,0.85,0.65,0.85,0.2,0.6,0.75,0.7,0.75,0.2,0.25,0.8,0.2,0.3,0.85,0.2,0.7,0.2,0.8,0.2,0.2,0.7,0.2
"4",0.6,0.4,0.85,0.5,0.25,0.25,0.65,0.9,0.2,0.55,0.6,0.2,0.2,0.2,0.2,0.25,0.2,0.25,0.2,0.8,0.55,0.2,0.8,0.2,0.2,0.2
"5",0.7,0.2,0.65,0.25,0.2,0.2,0.85,0.9,0.25,0.75,0.25,0.3,0.2,0.7,0.25,0.2,0.2,0.4,0.2,0.75,0.2,0.7,0.7,0.2,0.65,0.2
"6",0.45,0.65,0.2,0.25,0.2,0.2,0.8,0.8,0.85,0.75,0.4,0.2,0.2,0.65,0.3,0.2,0.2,0.65,0.65,0.85,0.8,0.85,0.65,0.8,0.2,0.2
"7",0.85,0.75,0.5,0.7,0.65,0.75,0.7,0.2,0.2,0.2,0.6,0.2,0.75,0.75,0.25,0.7,0.2,0.2,0.2,0.2,0.3,0.8,0.2,0.65,0.2,0.2
"8",0.7,0.65,0.6,0.75,0.3,0.65,0.65,0.3,0.2,0.6,0.9,0.7,0.65,0.2,0.7,0.8,0.2,0.2,0.65,0.8,0.8,0.2,0.9,0.7,0.2,0.25
"9",0.9,0.8,0.75,0.75,0.85,0.75,0.2,0.8,0.6,0.55,0.8,0.2,0.55,0.2,0.75,0.2,0.25,0.75,0.2,0.8,0.8,0.2,0.2,0.2,0.25,0.7
"10",0.85,0.55,0.3,0.55,0.2,0.25,0.8,0.5,0.7,0.2,0.2,0.75,0.4,0.65,0.2,0.5,0.2,0.7,0.55,0.2,0.65,0.5,0.9,0.75,0.2,0.2
