"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,8.7,3.151,2.16332302566054,1.14771986277514,-0.0903079853985436,-0.0808151652426101,0.00110850592587983,0.2,0.00202764483344852,2.28466140725914,2.07468538029332
"2",2009-07-14,7.2,3.173,1.97408102602201,1.15467751260106,-0.0413817316889442,-0.0450931975755655,NA,NA,NA,NA,NA
"3",2009-07-21,9,2.995,2.19722457733622,1.09694423156741,-0.148625219890743,-0.146433069696694,NA,NA,NA,NA,NA
"4",2009-07-28,7,3.05,1.94591014905531,1.11514159061932,-0.0750014247701061,-0.0530877953967499,NA,NA,NA,NA,NA
"5",2009-08-04,6.4,2.983,1.85629799036563,1.09292950553261,-0.0823526702757376,-0.103716545421002,NA,NA,NA,NA,NA
"6",2009-08-11,8,2.836,2.07944154167984,1.04239460866988,-0.177617868239465,-0.16351233826784,NA,NA,NA,NA,NA
"7",2009-08-18,6.6,2.919,1.88706964903238,1.07124109187198,-0.107030636268928,-0.110975458074682,NA,NA,NA,NA,NA
"8",2009-08-25,5.7,2.925,1.7404661748405,1.07329448068382,-0.109238397840028,-0.103128455585189,NA,NA,NA,NA,NA
"9",2009-09-01,6,2.885,1.79175946922805,1.05952489996006,-0.112994275521013,-0.08444691957991,NA,NA,NA,NA,NA
"10",2009-09-08,6,0.75,1.79175946922805,-0.287682072451781,-1.46020124793285,-1.43165389199175,NA,NA,NA,NA,NA
"11",2009-09-15,8.2,2.6405,2.10413415427021,0.970968293164851,-0.25441174598562,-0.227498593561024,NA,NA,NA,NA,NA
"12",2009-09-22,19,2.572,2.94443897916644,0.944683806375373,-0.376993418167198,-0.453442927367844,NA,NA,NA,NA,NA
"13",2009-09-29,6.6,2.862,1.88706964903238,1.05152068113426,-0.126751047006648,-0.130695868812402,NA,NA,NA,NA,NA
"14",2009-10-06,6.1,2.82,1.80828877117927,1.03673688495002,-0.135695684696755,-0.121302881272034,NA,NA,NA,NA,NA
"15",2009-10-09,334,2.289,5.8111409929767,0.82811504097043,-0.137189220668495,-0.0647258118467465,NA,NA,NA,NA,NA
"16",2009-10-13,42,4.118,3.73766961828337,1.4153676086056,0.188650132316149,0.264935781847416,NA,NA,NA,NA,NA
"17",2009-10-20,22,3.727,3.09104245335832,1.31560362049712,0.00732636840064149,-0.108959970272852,NA,NA,NA,NA,NA
"18",2009-10-27,148,3.252,4.99721227376411,1.17927019168556,0.126882661650129,0.165767194081449,NA,NA,NA,NA,NA
"19",2009-11-03,81,3.944,4.39444915467244,1.37219543674039,0.23534542441604,0.257295861260854,NA,NA,NA,NA,NA
"20",2009-11-10,13,3.475,2.56494935746154,1.24559447901676,-0.0437860636119911,-0.0284349039221328,NA,NA,NA,NA,NA
"21",2009-11-17,10,3.3235,2.30258509299405,1.2010184444995,-0.0613828582170324,-0.0804960022855812,NA,NA,NA,NA,NA
"22",2009-11-23,9.3,3.7585,2.23001440015921,1.32401994163539,0.071892528444192,0.0687186766831176,NA,NA,NA,NA,NA
"23",2009-12-01,7.9,3.276,2.06686275947298,1.18662316599082,-0.0302691576414695,-0.0273361044571534,NA,NA,NA,NA,NA
"24",2009-12-08,7.9,3.358,2.06686275947298,1.21134555865535,-0.0055467649769394,-0.00261371179262326,NA,NA,NA,NA,NA
"25",2009-12-15,7.2,3.317,1.97408102602201,1.19906075996492,0.00300151567491569,-0.000709950211705612,NA,NA,NA,NA,NA
"26",2009-12-21,8.2,3.413,2.10413415427021,1.22759166992457,0.00221163077409869,0.0291247831986947,NA,NA,NA,NA,NA
"27",2009-12-29,10,3.271,2.30258509299405,1.18509574855625,-0.0773055541602823,-0.0964186982288311,NA,NA,NA,NA,NA
