"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30"
"1",0.6,0.65,0.85,0.9,0.9,0.85,0.7,0.6,0.85,0.55,0.7,0.55,0.9,0.65,0.9,0.75,0.6,0.8,0.8,0.8,0.8,0.65,0.9,0.9,0.65,0.65
"2",0.6,0.9,0.85,0.65,0.7,0.25,0.85,0.75,0.9,0.7,0.8,0.85,0.8,0.85,0.7,0.6,0.85,0.6,0.7,0.9,0.85,0.8,0.6,0.7,0.6,0.9
"3",0.75,0.75,0.6,0.55,0.55,0.8,0.8,0.8,0.65,0.75,0.9,0.75,0.7,0.7,0.7,0.85,0.8,0.65,0.85,0.6,0.65,0.85,0.8,0.65,0.65,0.3
"4",0.75,0.8,0.9,0.65,0.9,0.8,0.9,0.9,0.85,0.9,0.9,0.75,0.85,0.75,0.7,0.85,0.7,0.65,0.75,0.75,0.75,0.9,0.65,0.85,0.8,0.8
"5",0.55,0.55,0.85,0.75,0.8,0.85,0.6,0.9,0.9,0.75,0.8,0.6,0.3,0.8,0.85,0.6,0.75,0.9,0.7,0.75,0.65,0.8,0.9,0.8,0.75,0.7
"6",0.65,0.8,0.75,0.45,0.75,0.75,0.7,0.6,0.9,0.65,0.6,0.6,0.65,0.7,0.85,0.65,0.55,0.65,0.9,0.85,0.4,0.75,0.75,0.85,0.8,0.85
"7",0.9,0.75,0.65,0.6,0.9,0.8,0.85,0.85,0.65,0.85,0.9,0.7,0.9,0.8,0.85,0.9,0.75,0.4,0.65,0.9,0.75,0.85,0.8,0.9,0.6,0.6
"8",0.9,0.8,0.85,0.55,0.45,0.85,0.85,0.9,0.65,0.85,0.7,0.85,0.65,0.65,0.6,0.75,0.75,0.75,0.65,0.65,0.8,0.5,0.9,0.8,0.85,0.8
"9",0.85,0.55,0.6,0.7,0.55,0.75,0.8,0.8,0.9,0.65,0.75,0.9,0.9,0.9,0.85,0.85,0.8,0.65,0.9,0.85,0.9,0.8,0.75,0.75,0.7,0.75
"10",0.8,0.7,0.55,0.8,0.5,0.7,0.75,0.85,0.4,0.75,0.65,0.8,0.8,0.55,0.9,0.85,0.65,0.65,0.85,0.65,0.85,0.85,0.65,0.65,0.65,0.9
"11",0.8,0.45,0.75,0.9,0.7,0.6,0.65,0.7,0.85,0.65,0.85,0.9,0.75,0.9,0.55,0.85,0.85,0.8,0.8,0.8,0.75,0.9,0.6,0.85,0.85,0.7
"12",0.9,0.85,0.85,0.6,0.85,0.85,0.9,0.85,0.9,0.85,0.8,0.9,0.5,0.85,0.75,0.85,0.65,0.7,0.85,0.9,0.8,0.65,0.7,0.85,0.7,0.85
"13",0.8,0.9,0.7,0.85,0.85,0.9,0.65,0.55,0.55,0.75,0.8,0.8,0.85,0.8,0.65,0.9,0.7,0.7,0.85,0.7,0.8,0.7,0.75,0.8,0.85,0.8
"14",0.85,0.5,0.85,0.3,0.7,0.75,0.6,0.9,0.7,0.85,0.9,0.65,0.85,0.7,0.7,0.7,0.65,0.9,0.6,0.7,0.65,0.85,0.8,0.8,0.45,0.9
"15",0.9,0.7,0.75,0.7,0.8,0.8,0.4,0.7,0.6,0.9,0.7,0.7,0.85,0.75,0.7,0.8,0.65,0.85,0.75,0.8,0.65,0.9,0.9,0.75,0.85,0.8
"16",0.85,0.85,0.8,0.7,0.9,0.6,0.9,0.65,0.75,0.6,0.85,0.8,0.7,0.75,0.75,0.65,0.8,0.9,0.85,0.8,0.85,0.75,0.6,0.85,0.8,0.7
"17",0.6,0.7,0.85,0.65,0.5,0.7,0.6,0.75,0.65,0.85,0.8,0.9,0.55,0.8,0.7,0.6,0.9,0.8,0.8,0.6,0.9,0.8,0.8,0.65,0.8,0.8
"18",0.85,0.45,0.9,0.85,0.6,0.65,0.9,0.8,0.65,0.85,0.85,0.9,0.8,0.7,0.85,0.55,0.6,0.65,0.8,0.75,0.9,0.9,0.65,0.6,0.8,0.8
"19",0.65,0.6,0.85,0.75,0.8,0.9,0.75,0.8,0.85,0.85,0.9,0.8,0.7,0.65,0.85,0.75,0.9,0.9,0.75,0.8,0.85,0.9,0.7,0.9,0.7,0.8
"20",0.65,0.5,0.65,0.6,0.9,0.55,0.8,0.85,0.85,0.85,0.8,0.9,0.9,0.9,0.7,0.7,0.7,0.8,0.75,0.6,0.85,0.7,0.8,0.75,0.7,0.9
"21",0.85,0.8,0.7,0.85,0.7,0.65,0.7,0.75,0.55,0.8,0.85,0.75,0.65,0.8,0.85,0.7,0.65,0.8,0.6,0.85,0.9,0.7,0.7,0.6,0.7,0.6
"22",0.7,0.7,0.85,0.8,0.7,0.9,0.35,0.75,0.85,0.7,0.9,0.9,0.65,0.9,0.65,0.7,0.85,0.65,0.6,0.8,0.55,0.65,0.7,0.7,0.7,0.9
"23",0.55,0.6,0.7,0.75,0.75,0.7,0.55,0.6,0.6,0.8,0.35,0.8,0.45,0.6,0.65,0.7,0.65,0.7,0.7,0.6,0.75,0.5,0.9,0.65,0.9,0.75
"24",0.75,0.55,0.7,0.5,0.9,0.65,0.9,0.75,0.8,0.7,0.85,0.7,0.85,0.9,0.85,0.6,0.75,0.85,0.8,0.75,0.9,0.75,0.85,0.85,0.65,0.8
"25",0.65,0.6,0.85,0.65,0.7,0.9,0.65,0.65,0.8,0.8,0.85,0.6,0.9,0.65,0.85,0.5,0.55,0.9,0.8,0.65,0.9,0.8,0.8,0.75,0.9,0.7
