Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2009-07-07,3.151,3.25,0.053,0.058,1.3,7.315,4.572
2009-07-14,3.173,3.34,0.058,0.056,0.9,7.172,4.113
2009-07-21,2.995,,0.051,0.072,2.1,6.816,3.804
2009-07-28,3.05,3.11,0.048,0.054,0.6,7.3,4.094
2009-08-04,2.983,3.02,0.046,0.058,0.8,7.252,3.728
2009-08-11,2.836,3.04,0.051,0.076,1.3,7.122,3.538
2009-08-18,2.919,2.93,0.047,0.058,0,7.176,3.6
2009-08-25,2.925,3.18,0.081,0.068,0.5,7.341,3.565
2009-09-01,2.885,3.05,0.044,0.056,1.5,7.419,3.551
2009-09-08,0.75,0.876,0.026,0.046,2.5,11.841,27.33
2009-09-15,2.6405,2.715,0.051,0.065,0.5,7.468,3.7855
2009-09-22,2.572,2.7,0.084,0.144,2.5,7.448,4.426
2009-09-29,2.862,3.01,0.045,0.054,0.5,7.419,4.017
2009-10-06,2.82,2.99,0.046,0.054,0.4,7.407,3.676
2009-10-09,2.289,3.47,0.726,1.66,561.2,2.605,4.371
2009-10-13,4.118,4.2,0.068,0.086,2.3,5.302,7.895
2009-10-20,3.727,3.79,0.058,0.058,0.4,5.709,6.742
2009-10-27,3.252,3.44,0.056,0.066,1.6,5.783,6.616
2009-11-03,3.944,4.04,0.057,0.062,0.8,5.568,7.547
2009-11-10,3.475,3.51,0.048,0.06,0.3,6.091,6.018
2009-11-17,3.3235,3.42,0.0425,0.056,0.6,6.577,5.071
2009-11-23,3.7585,3.89,0.0445,0.056,0.55,13.4205,13.5225
2009-12-01,3.276,3.32,0.021,0.05,1.1,6.876,4.352
2009-12-08,3.358,3.43,0.037,0.046,0.3,6.934,4.075
2009-12-15,3.317,3.38,0.036,0.036,0.7,7.12,4.019
2009-12-21,3.413,3.43,0.033,0.036,0,7.562,4.087
2009-12-29,3.271,3.38,0.032,0.04,0.5,7.219,4.224
2010-01-05,3.41,3.42,0.033,0.04,0.2,7.05,4.736
2010-01-12,3.503,3.46,0.03,0.036,0.3,7.118,4.429
2010-01-19,3.285,3.45,0.034,0.042,0.5,7.31,4.209
2010-01-26,3.717,4.15,0.038,0.028,0.7,6.878,5.916
2010-02-03,3.458,3.56,0.035,0.05,0.4,7.194,5.428
2010-02-10,4.341,4.72,0.039,0.046,0.3,6.264,7.135
2010-02-16,4.067,4.42,0.036,0.038,0.4,6.433,6.263
2010-02-23,3.832,3.8,0.034,0.04,0.9,6.887,5.753
2010-03-02,3.926,3.92,0.034,0.04,1.3,7.011,5.431
2010-03-08,2.186,2.25,0.012,0.016,1.5,11.856,30.275
2010-03-16,3.434,3.58,0.036,0.042,0.7,7.043,4.49
2010-03-22,3.116,3.29,0.054,0.078,3.6,6.899,4.779
2010-03-30,5.001,5.36,0.05,0.046,2.2,5.351,7.444
