"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.85,0.247229547141097,5,0.2,0.22751766022506,5,0.75,0.132094585777907,5,0.9,0.14542337908216,5,0.85,0.140774098962755,5,0.85,0.180082180786259,5,0.75,0.0931533736394349
"folds.6",6,0.7,0.240110518771023,6,0.2,0.229242318990902,6,0.8,0.110106627356191,6,0.9,0.149979590448235,6,0.7,0.135526185435788,6,0.85,0.171428571428571,6,0.75,0.0846662113652121
"folds.7",7,0.2,0.277312172138777,7,0.2,0.244440218475118,7,0.9,0.122324426449187,7,0.85,0.137380746059101,7,0.85,0.10717142476292,7,0.75,0.134528655622783,7,0.75,0.0716852530873965
"folds.8",8,0.2,0.26669557666419,8,0.8,0.240696268931513,8,0.9,0.136370593514548,8,0.85,0.108801448069595,8,0.8,0.139828612294932,8,0.8,0.155917298853054,8,0.75,0.0694365074829414
"folds.9",9,0.2,0.287368425970735,9,0.75,0.237254706841334,9,0.9,0.13217567160134,9,0.9,0.116391317440392,9,0.9,0.146886044960308,9,0.85,0.141569194158524,9,0.75,0.0713999942834274
"folds.10",10,0.2,0.249153669490153,10,0.75,0.219079707794553,10,0.7,0.143128314060197,10,0.9,0.129346867936174,10,0.75,0.14133474521179,10,0.85,0.13530389076868,10,0.75,0.0639195923462774
"folds.11",11,0.2,0.260854169909518,11,0.75,0.210043727225877,11,0.9,0.143569651730298,11,0.85,0.111318627078732,11,0.8,0.134395851490882,11,0.85,0.139327832459847,11,0.75,0.0426303523182194
"folds.12",12,0.2,0.261434426163949,12,0.2,0.246247345370546,12,0.9,0.103883765501131,12,0.85,0.125046929965823,12,0.75,0.11259916264596,12,0.75,0.130309678247235,12,0.75,0.0529632140340475
"folds.13",13,0.2,0.254448182447862,13,0.7,0.232115382989599,13,0.9,0.137399313784936,13,0.9,0.127871108574859,13,0.65,0.128813264623086,13,0.8,0.151711326309581,13,0.75,0.0625071424490262
"folds.14",14,0.2,0.274280133871804,14,0.2,0.235876567513691,14,0.85,0.132791842631194,14,0.9,0.122844683753635,14,0.85,0.127875098499773,14,0.8,0.124932634909003,14,0.75,0.0591176619901673
