"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2009-07-07,8.7,3.151,1.14771986277514,2.16332302566054
"2",2009-07-14,7.2,3.173,1.15467751260106,1.97408102602201
"3",2009-07-21,9,2.995,1.09694423156741,2.19722457733622
"4",2009-07-28,7,3.05,1.11514159061932,1.94591014905531
"5",2009-08-04,6.4,2.983,1.09292950553261,1.85629799036563
"6",2009-08-11,8,2.836,1.04239460866988,2.07944154167984
"7",2009-08-18,6.6,2.919,1.07124109187198,1.88706964903238
"8",2009-08-25,5.7,2.925,1.07329448068382,1.7404661748405
"9",2009-09-01,6,2.885,1.05952489996006,1.79175946922805
"10",2009-09-08,6,0.75,-0.287682072451781,1.79175946922805
"11",2009-09-15,8.2,2.6405,0.970968293164851,2.10413415427021
"12",2009-09-22,19,2.572,0.944683806375373,2.94443897916644
"13",2009-09-29,6.6,2.862,1.05152068113426,1.88706964903238
"14",2009-10-06,6.1,2.82,1.03673688495002,1.80828877117927
"15",2009-10-09,334,2.289,0.82811504097043,5.8111409929767
"16",2009-10-13,42,4.118,1.4153676086056,3.73766961828337
"17",2009-10-20,22,3.727,1.31560362049712,3.09104245335832
"18",2009-10-27,148,3.252,1.17927019168556,4.99721227376411
"19",2009-11-03,81,3.944,1.37219543674039,4.39444915467244
"20",2009-11-10,13,3.475,1.24559447901676,2.56494935746154
"21",2009-11-17,10,3.3235,1.2010184444995,2.30258509299405
"22",2009-11-23,9.3,3.7585,1.32401994163539,2.23001440015921
"23",2009-12-01,7.9,3.276,1.18662316599082,2.06686275947298
"24",2009-12-08,7.9,3.358,1.21134555865535,2.06686275947298
"25",2009-12-15,7.2,3.317,1.19906075996492,1.97408102602201
"26",2009-12-21,8.2,3.413,1.22759166992457,2.10413415427021
"27",2009-12-29,10,3.271,1.18509574855625,2.30258509299405
"28",2010-01-05,10,3.41,1.22671229129543,2.30258509299405
"29",2010-01-12,8.3,3.503,1.25361974421535,2.11625551480255
"30",2010-01-19,8.4,3.285,1.18936665193657,2.12823170584927
"31",2010-01-26,13,3.717,1.31291689131512,2.56494935746154
"32",2010-02-03,15,3.458,1.2406903872611,2.70805020110221
"33",2010-02-10,27,4.341,1.46810473631746,3.29583686600433
"34",2010-02-16,16,4.067,1.40290562692509,2.77258872223978
"35",2010-02-23,17,3.832,1.34338686010861,2.83321334405622
"36",2010-03-02,12,3.926,1.36762109585427,2.484906649788
"37",2010-03-08,14,2.186,0.782073389754347,2.63905732961526
"38",2010-03-16,9.6,3.434,1.23372576247528,2.26176309847379
"39",2010-03-22,42,3.116,1.1365501280085,3.73766961828337
"40",2010-03-30,72,5.001,1.60963789243677,4.27666611901606
"41",2010-04-07,48,3.929,1.36838494057632,3.87120101090789
"42",2010-04-13,38,3.6645,1.29869190038377,3.63758615972639
"43",2010-04-20,34,3.422,1.23022517547,3.52636052461616
"44",2010-04-27,35,3.273,1.18570699551904,3.55534806148941
"45",2010-05-04,32,3.21,1.16627093714192,3.46573590279973
"46",2010-05-11,32,3.148,1.14676733055516,3.46573590279973
"47",2010-05-14,68,1.994,0.690142671539647,4.21950770517611
"48",2010-05-18,68,3.651,1.2950011026735,4.21950770517611
"49",2010-05-20,261,1.823,0.600483495696526,5.56452040732269
"50",2010-05-26,92,3.738,1.31855070903337,4.52178857704904
"51",2010-06-01,23,3.329,1.20267195859289,3.13549421592915
"52",2010-06-08,12,3.167,1.1527847675565,2.484906649788
"53",2010-06-15,12,3.077,1.1239550963399,2.484906649788
"54",2010-06-23,7.3,3.333,1.2038727993256,1.98787434815435
"55",2010-08-04,5.5,3.175,1.15530763234465,1.70474809223843
"56",2010-08-09,5.3,3.14,1.14422279992016,1.66770682055808
"57",2010-08-18,5.1,3.02,1.10525683138678,1.62924053973028
"58",2010-08-25,4.2,3.024,1.10658045831729,1.43508452528932
"59",2010-09-02,5.9,2.898,1.06402084389849,1.77495235091167
"60",2010-09-08,5.3,2.918,1.07089845010059,1.66770682055808
"61",2010-09-15,10,2.923,1.07261048612911,2.30258509299405
"62",2010-09-23,5.5,2.962,1.08586471584561,1.70474809223843
