"","Date","concentrations.SO4","Flow"
"1",2009-07-07,25.039,28
"2",2009-07-14,26.472,26
"3",2009-07-21,25.977,28
"4",2009-07-28,25.503,26
"5",2009-08-04,26.051,23
"6",2009-08-11,21.982,27
"7",2009-08-18,24.951,23
"8",2009-08-25,24.524,21
"9",2009-09-01,26.39,20
"10",2009-09-08,3.519,22
"11",2009-09-15,21.4825,24
"12",2009-09-22,15.707,44
"13",2009-09-29,21.053,24
"14",2009-10-06,23.031,15
"15",2009-10-09,6.191,1360
"16",2009-10-13,15.283,155
"17",2009-10-20,20.346,59
"18",2009-10-27,16.498,200
"19",2009-11-03,17.98,125
"20",2009-11-10,23.9685,53
"21",2009-11-17,28.063,46
"22",2009-11-23,30.244,41
"23",2009-12-01,33.415,37
"24",2009-12-08,30.531,40
"25",2009-12-15,30.978,36
"26",2009-12-21,32.461,34
"27",2009-12-29,33.937,32
"28",2010-01-05,33.354,33
"29",2010-01-12,28.751,30
"30",2010-01-19,34.816,29
"31",2010-01-26,24.388,45
"32",2010-02-03,25.407,52
"33",2010-02-10,18.491,71
"34",2010-02-16,22.326,55
"35",2010-02-23,23.081,59
"36",2010-03-02,26.848,51
"37",2010-03-16,30.583,44
"38",2010-03-22,23.287,78
"39",2010-03-30,17.632,113
"40",2010-04-07,22.787,68
"41",2010-04-13,25.996,54
"42",2010-04-20,29.343,48
"43",2010-04-27,29.475,45
"44",2010-05-04,30.773,40
"45",2010-05-11,30.343,39
"46",2010-05-14,17.519,76
"47",2010-05-18,17.016,80
"48",2010-05-20,7.281,891
"49",2010-05-26,17.687,190
"50",2010-06-01,22.199,62
"51",2010-06-08,26.9045,50
"52",2010-06-15,25.061,51
"53",2010-06-23,30.236,37
"54",2010-08-04,31.81,16
"55",2010-08-09,24.225,21
"56",2010-08-18,30.889,14
"57",2010-08-25,20.82,16
"58",2010-09-02,16.902,18
"59",2010-09-08,16.345,17
"60",2010-09-15,14.61,25
"61",2010-09-23,14.6555,20
"62",2010-09-30,13.851,21
"63",2010-10-07,14.042,19
"64",2010-10-13,12.873,20
"65",2010-10-21,14.095,20
"66",2010-10-28,14.317,16
"67",2010-11-03,14.006,16
"68",2010-11-11,14.992,20
"69",2010-11-16,15.171,17
"70",2010-11-29,16.232,17
"71",2010-12-09,18.8575,14
"72",2010-12-16,16.458,11
"73",2011-01-06,33.231,10
"74",2011-01-12,15.434,9.9
"75",2011-01-21,16.15,10
"76",2011-01-26,16.866,11
"77",2011-02-06,17.394,10
"78",2011-02-12,17.379,9.8
"79",2011-02-15,15.584,15
"80",2011-02-24,14.523,15
"81",2011-03-01,16.661,13
"82",2011-03-08,19.459,11
"83",2011-03-14,19.98,22
"84",2011-03-31,23.849,14
"85",2011-04-07,33.98,20
"86",2011-04-14,32.906,21
"87",2011-04-20,32.976,20
"88",2011-04-23,11.111,272
"89",2011-04-25,6.519,5300
"90",2011-04-25,4.911,5300
"91",2011-05-11,21.253,95
"92",2011-05-18,26.702,68
"93",2011-05-23,10.442,768
"94",2011-06-09,22.236,59
"95",2011-06-15,24.8685,55
"96",2011-07-14,27.157,38
"97",2011-07-20,29.309,29
"98",2011-07-28,28.251,20
"99",2011-08-04,27.524,16
"100",2011-08-31,27.6435,17
"101",2011-09-07,28.543,15
"102",2011-09-15,29.58,14
"103",2011-09-21,22.168,7
"104",2011-09-29,18.836,10
"105",2011-10-05,25.2195,7.2
"106",2011-10-12,21.09,16
"107",2011-10-27,19.531,9.7
