"","Date","concentrations.TP","Flow"
"1",2009-07-07,0.036,28
"2",2009-07-14,0.056,26
"3",2009-07-21,0.052,28
"4",2009-07-28,0.052,26
"5",2009-08-04,0.042,23
"6",2009-08-11,0.056,27
"7",2009-08-18,0.046,23
"8",2009-08-25,0.042,21
"9",2009-09-01,0.038,20
"10",2009-09-08,0.056,22
"11",2009-09-15,0.044,24
"12",2009-09-22,0.062,44
"13",2009-09-29,0.038,24
"14",2009-10-06,0.034,15
"15",2009-10-09,0.648,1360
"16",2009-10-13,0.092,155
"17",2009-10-20,0.04,59
"18",2009-10-27,0.054,200
"19",2009-11-03,0.028,125
"20",2009-11-10,0.04,53
"21",2009-11-17,0.032,46
"22",2009-11-23,0.026,41
"23",2009-12-01,0.024,37
"24",2009-12-08,0.016,40
"25",2009-12-15,0.028,36
"26",2009-12-21,0.014,34
"27",2009-12-29,0.022,32
"28",2010-01-05,0.042,33
"29",2010-01-12,0.02,30
"30",2010-01-19,0.02,29
"31",2010-01-26,0.008,45
"32",2010-02-03,0.02,52
"33",2010-02-10,0.028,71
"34",2010-02-16,0.03,55
"35",2010-02-23,0.024,59
"36",2010-03-02,0.02,51
"37",2010-03-16,0.025,44
"38",2010-03-22,0.044,78
"39",2010-03-30,0.028,113
"40",2010-04-07,0.036,68
"41",2010-04-13,0.018,54
"42",2010-04-20,0.022,48
"43",2010-04-27,0.034,45
"44",2010-05-04,0.044,40
"45",2010-05-11,0.032,39
"46",2010-05-14,0.108,76
"47",2010-05-18,0.046,80
"48",2010-05-20,0.486,891
"49",2010-05-26,0.058,190
"50",2010-06-01,0.056,62
"51",2010-06-08,0.043,50
"52",2010-06-15,0.052,51
"53",2010-06-23,0.058,37
"54",2010-08-04,0.034,16
"55",2010-08-09,0.038,21
"56",2010-08-18,0.036,14
"57",2010-08-25,0.036,16
"58",2010-09-02,0.048,18
"59",2010-09-08,0.044,17
"60",2010-09-15,0.04,25
"61",2010-09-23,0.022,20
"62",2010-09-30,0.028,21
"63",2010-10-07,0.028,19
"64",2010-10-13,0.034,20
"65",2010-10-21,0.026,20
"66",2010-10-28,0.026,16
"67",2010-11-03,0.034,16
"68",2010-11-11,0.032,20
"69",2010-11-16,0.024,17
"70",2010-11-29,0.034,17
"71",2010-12-09,0.022,14
"72",2010-12-16,0.014,11
"73",2011-01-06,0.02,10
"74",2011-01-12,0.01,9.9
"75",2011-01-21,0.008,10
"76",2011-01-26,0.04,11
"77",2011-02-06,0.026,10
"78",2011-02-12,0.026,9.8
"79",2011-02-15,0.022,15
"80",2011-02-24,0.088,15
"81",2011-03-01,0.026,13
"82",2011-03-08,0.02,11
"83",2011-03-14,0.152,22
"84",2011-03-31,0.03,14
"85",2011-04-07,0.036,20
"86",2011-04-14,0.026,21
"87",2011-04-20,0.018,20
"88",2011-04-23,0.244,272
"89",2011-04-25,0.975,5300
"90",2011-04-25,1.413,5300
"91",2011-05-11,0.032,95
"92",2011-05-18,0.028,68
"93",2011-05-23,0.438,768
"94",2011-06-09,0.044,59
"95",2011-06-15,0.031,55
"96",2011-07-14,0.044,38
"97",2011-07-20,0.044,29
"98",2011-07-28,0.028,20
"99",2011-08-04,0.074,16
