"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,28,0.036,3.3322045101752,-3.32423634052603,0.0510839631601274,0.0510839631601274,0.194521103877339,0.5,0.194521103877339,1.87676048142293,1.87676048142293
"2",2009-07-14,26,0.056,3.25809653802148,-2.88240358824699,0.506309759692784,0.506309759692784,NA,NA,NA,NA,NA
"3",2009-07-21,28,0.052,3.3322045101752,-2.95651156040071,0.418808743285447,0.418808743285447,NA,NA,NA,NA,NA
"4",2009-07-28,26,0.052,3.25809653802148,-2.95651156040071,0.432201787539064,0.432201787539064,NA,NA,NA,NA,NA
"5",2009-08-04,23,0.042,3.13549421592915,-3.17008566069877,0.245370410487285,0.245370410487285,NA,NA,NA,NA,NA
"6",2009-08-11,27,0.056,3.29583686600433,-2.88240358824699,0.500103620320319,0.500103620320319,NA,NA,NA,NA,NA
"7",2009-08-18,23,0.046,3.13549421592915,-3.07911388249304,0.336342188693016,0.336342188693016,NA,NA,NA,NA,NA
"8",2009-08-25,21,0.042,3.04452243772342,-3.17008566069877,0.248278257238263,0.248278257238263,NA,NA,NA,NA,NA
"9",2009-09-01,20,0.038,2.99573227355399,-3.27016911925575,0.149218645968775,0.149218645968775,NA,NA,NA,NA,NA
"10",2009-09-08,22,0.056,3.09104245335832,-2.88240358824699,0.534549550309146,0.534549550309146,NA,NA,NA,NA,NA
"11",2009-09-15,24,0.044,3.17805383034795,-3.12356564506388,0.283986673944733,0.283986673944733,NA,NA,NA,NA,NA
"12",2009-09-22,44,0.062,3.78418963391826,-2.78062089393705,0.65865946350668,0.65865946350668,NA,NA,NA,NA,NA
"13",2009-09-29,24,0.038,3.17805383034795,-3.27016911925575,0.137383199752863,0.137383199752863,NA,NA,NA,NA,NA
"14",2009-10-06,15,0.034,2.70805020110221,-3.38139475436598,0.0591344372429248,0.0591344372429248,NA,NA,NA,NA,NA
"15",2009-10-09,1360,0.648,7.2152399787301,-0.433864582629862,0.03964031731962,0.03964031731962,NA,NA,NA,NA,NA
"16",2009-10-13,155,0.092,5.04342511691925,-2.3859667019331,0.17588013809431,0.17588013809431,NA,NA,NA,NA,NA
"17",2009-10-20,59,0.04,4.07753744390572,-3.2188758248682,0.147155164282347,0.147155164282347,NA,NA,NA,NA,NA
"18",2009-10-27,200,0.054,5.29831736654804,-2.91877123241786,-0.64945415011974,-0.64945415011974,NA,NA,NA,NA,NA
"19",2009-11-03,125,0.028,4.8283137373023,-3.57555076880693,-0.760776796886548,-0.760776796886548,NA,NA,NA,NA,NA
"20",2009-11-10,53,0.04,3.97029191355212,-3.2188758248682,0.179924180720201,0.179924180720201,NA,NA,NA,NA,NA
"21",2009-11-17,46,0.032,3.8286413964891,-3.44201937618241,-0.00916722008751769,-0.00916722008751769,NA,NA,NA,NA,NA
"22",2009-11-23,41,0.026,3.71357206670431,-3.64965874096066,-0.220448379720172,-0.220448379720172,NA,NA,NA,NA,NA
"23",2009-12-01,37,0.024,3.61091791264422,-3.72970144863419,-0.332371759524828,-0.332371759524828,NA,NA,NA,NA,NA
"24",2009-12-08,40,0.016,3.68887945411394,-4.13516655674236,-0.714560648994254,-0.714560648994254,NA,NA,NA,NA,NA
"25",2009-12-15,36,0.028,3.58351893845611,-3.57555076880693,-0.182922896855063,-0.182922896855063,NA,NA,NA,NA,NA
