"","Date","concentrations.TSS","Flow"
"1",2009-07-07,3.6,28
"2",2009-07-14,3.3,26
"3",2009-07-21,6.1,28
"4",2009-07-28,3.8,26
"5",2009-08-04,3.2,23
"6",2009-08-11,5.2,27
"7",2009-08-18,2.8,23
"8",2009-08-25,3.3,21
"9",2009-09-01,3.1,20
"10",2009-09-08,0.7,22
"11",2009-09-15,2.75,24
"12",2009-09-22,9.8,44
"13",2009-09-29,1.2,24
"14",2009-10-06,2.1,15
"15",2009-10-09,244.5,1360
"16",2009-10-13,6.9,155
"17",2009-10-20,1.4,59
"18",2009-10-27,6.6,200
"19",2009-11-03,1.8,125
"20",2009-11-10,1.05,53
"21",2009-11-17,1.5,46
"22",2009-11-23,0.9,41
"23",2009-12-01,1.3,37
"24",2009-12-08,1,40
"25",2009-12-15,0.9,36
"26",2009-12-21,0.8,34
"27",2009-12-29,1.1,32
"28",2010-01-05,0.7,33
"29",2010-01-12,0.7,30
"30",2010-01-19,1.8,29
"31",2010-01-26,1.1,45
"32",2010-02-03,1.5,52
"33",2010-02-10,1.8,71
"34",2010-02-16,1.3,55
"35",2010-02-23,2,59
"36",2010-03-02,2.3,51
"37",2010-03-16,2.35,44
"38",2010-03-22,3.2,78
"39",2010-03-30,3.7,113
"40",2010-04-07,4.7,68
"41",2010-04-13,3.9,54
"42",2010-04-20,2.6,48
"43",2010-04-27,3.9,45
"44",2010-05-04,4.2,40
"45",2010-05-11,3.2,39
"46",2010-05-14,16.4,76
"47",2010-05-18,6.7,80
"48",2010-05-20,255.2,891
"49",2010-05-26,8.1,190
"50",2010-06-01,20.2,62
"51",2010-06-08,4.75,50
"52",2010-06-15,9,51
"53",2010-06-23,1.5,37
"54",2010-08-04,2.9,16
"55",2010-08-09,3.5,21
"56",2010-08-18,2.3,14
"57",2010-08-25,3.1,16
"58",2010-09-02,3.7,18
"59",2010-09-08,2.9,17
"60",2010-09-15,3.3,25
"61",2010-09-23,3.85,20
"62",2010-09-30,2.9,21
"63",2010-10-07,1.6,19
"64",2010-10-13,2,20
"65",2010-10-21,1.3,20
"66",2010-10-28,1,16
"67",2010-11-03,1.5,16
"68",2010-11-11,1.1,20
"69",2010-11-16,1.5,17
"70",2010-11-29,1.3,17
"71",2010-12-09,0.75,14
"72",2010-12-16,0.4,11
"73",2011-01-06,0.3,10
"74",2011-01-12,0.5,9.9
"75",2011-01-21,1.1,10
"76",2011-01-26,0.7,11
"77",2011-02-06,2,10
"78",2011-02-12,2.4,9.8
"79",2011-02-15,1.3,15
"80",2011-02-24,4.3,15
"81",2011-03-01,1.8,13
"82",2011-03-08,1.2,11
"83",2011-03-14,2.5,22
"84",2011-03-31,1,14
"85",2011-04-07,2.2,20
"86",2011-04-14,1.5,21
"87",2011-04-20,1.9,20
"88",2011-04-23,73.5,272
"89",2011-04-25,419.3,5300
"90",2011-04-25,756.9,5300
"91",2011-05-11,3.1,95
"92",2011-05-18,1.9,68
"93",2011-05-23,161.6,768
"94",2011-06-09,1.8,59
"95",2011-06-15,1.7,55
"96",2011-07-14,0.8,38
"97",2011-07-20,1.7,29
"98",2011-07-28,1.1,20
"99",2011-08-04,1.8,16
"100",2011-08-10,2.4,21
"101",2011-08-17,1.3,16
"102",2011-08-31,2,17
"103",2011-09-07,2.2,15
"104",2011-09-15,2.9,14
"105",2011-09-21,1.3,7
"106",2011-09-29,2,10
"107",2011-10-05,0.6,7.2
"108",2011-10-12,3.7,16
"109",2011-10-27,1.1,9.7
"110",2011-11-02,1.9,7.5
"111",2011-11-08,57.6,256
"112",2011-11-16,1,40
"113",2011-11-30,1,39
"114",2011-12-07,1.4,33
"115",2012-01-04,1.4,19
"116",2012-01-12,0.9,16
"117",2012-01-18,0.6,15
"118",2012-01-25,1.6,32
"119",2012-02-01,1.7,22
"120",2012-02-08,0.9,26
"121",2012-02-15,0.8,19
"122",2012-02-29,1.1,13
"123",2012-03-15,1.9,24
"124",2012-03-20,58.4,213
"125",2012-03-28,2,94
"126",2012-04-11,1.9,35
"127",2012-04-18,1.35,25
"128",2012-04-25,1.3,26
"129",2012-05-01,3.4,57
"130",2012-05-09,1.2,21
"131",2012-05-17,1.9,19
"132",2012-05-23,1.7,16
"133",2012-05-31,3.2,18
"134",2012-06-06,2.2,18
"135",2012-06-13,2.1,10
"136",2012-06-20,2.9,8.7
"137",2012-06-28,2.4,6.1
"138",2012-07-11,2.75,5.1
"139",2012-07-18,1.9,4.5
"140",2012-07-25,2.4,3.9
"141",2012-08-01,3.4,3.4
"142",2012-08-16,4.9,2.3
"143",2012-08-22,1.6,3.1
"144",2012-08-27,2.3,9.4
"145",2012-09-06,1.7,4.5
"146",2012-09-12,2.15,12
"147",2012-09-27,1.7,13
"148",2012-10-03,2,10
"149",2012-10-10,0.4,11
