Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2009-07-07,1.069,1.23,0.027,0.036,3.6,11.765,25.039
2009-07-14,0.966,1.14,0.029,0.056,3.3,11.928,26.472
2009-07-21,0.864,,0.032,0.052,6.1,11.522,25.977
2009-07-28,0.868,1.01,0.028,0.052,3.8,11.808,25.503
2009-08-04,0.838,0.94,0.026,0.042,3.2,11.932,26.051
2009-08-11,0.83,1.01,0.03,0.056,5.2,11.035,21.982
2009-08-18,0.736,0.85,0.03,0.046,2.8,11.86,24.951
2009-08-25,0.725,0.84,0.027,0.042,3.3,11.787,24.524
2009-09-01,0.708,0.84,0.025,0.038,3.1,12.262,26.39
2009-09-08,2.828,2.954,0.044,0.056,0.7,7.011,3.519
2009-09-15,1.0045,1.115,0.03,0.044,2.75,11.355,21.4825
2009-09-22,1.502,1.63,0.036,0.062,9.8,10.305,15.707
2009-09-29,1.364,1.51,0.025,0.038,1.2,11.098,21.053
2009-10-06,1.283,1.47,0.024,0.034,2.1,11.433,23.031
2009-10-09,1.779,2.51,0.28,0.648,244.5,4.055,6.191
2009-10-13,3.305,3.44,0.063,0.092,6.9,7.553,15.283
2009-10-20,2.787,2.95,0.037,0.04,1.4,9.239,20.346
2009-10-27,2.567,2.74,0.042,0.054,6.6,8.344,16.498
2009-11-03,2.795,2.93,0.029,0.028,1.8,8.854,17.98
2009-11-10,2.399,2.66,0.025,0.04,1.05,10.517,23.9685
2009-11-17,2.139,2.26,0.017,0.032,1.5,11.396,28.063
2009-11-23,1.912,2.05,0.018,0.026,0.9,11.798,30.244
2009-12-01,1.7,1.83,0.021,0.024,1.3,12.443,33.415
2009-12-08,1.94,2.02,0.018,0.016,1,12.053,30.531
2009-12-15,1.954,1.99,0.015,0.028,0.9,12.057,30.978
2009-12-21,1.875,1.97,0.012,0.014,0.8,12.381,32.461
2009-12-29,1.656,1.77,0.014,0.022,1.1,12.401,33.937
2010-01-05,1.753,1.86,0.015,0.042,0.7,12.484,33.354
2010-01-12,2.285,2.26,0.014,0.02,0.7,12.046,28.751
2010-01-19,1.6065,1.77,0.012,0.02,1.8,12.7015,34.816
2010-01-26,2.387,2.56,0.015,0.008,1.1,11.494,24.388
2010-02-03,2.272,2.41,0.006,0.02,1.5,11.549,25.407
2010-02-10,3.086,3.15,0.021,0.028,1.8,10.423,18.491
2010-02-16,2.698,2.88,0.018,0.03,1.3,10.983,22.326
2010-02-23,2.702,2.76,0.013,0.024,2,10.935,23.081
2010-03-02,2.442,2.56,0.009,0.02,2.3,11.402,26.848
2010-03-16,1.9595,2.18,0.015,0.025,2.35,11.962,30.583
2010-03-22,2.228,2.39,0.013,0.044,3.2,11.273,23.287
2010-03-30,3.399,3.56,0.03,0.028,3.7,8.449,17.632
2010-04-07,2.469,2.65,0.025,0.036,4.7,10.269,22.787
2010-04-13,2.097,2.22,0.006,0.018,3.9,10.851,25.996
2010-04-20,1.75,1.93,0.017,0.022,2.6,11.434,29.343
2010-04-27,1.698,1.75,0.022,0.034,3.9,11.742,29.475
2010-05-04,1.505,1.68,0.021,0.044,4.2,11.609,30.773
2010-05-11,1.433,1.6,0.023,0.032,3.2,11.609,30.343
2010-05-14,1.645,1.88,0.042,0.108,16.4,9.625,17.519
2010-05-18,2.127,2.25,0.022,0.046,6.7,9.321,17.016
2010-05-20,2.388,2.75,0.123,0.486,255.2,5.752,7.281
2010-05-26,2.46,2.6,0.035,0.058,8.1,8.283,17.687
2010-06-01,1.823,2.34,0.026,0.056,20.2,9.565,22.199
2010-06-08,1.402,1.62,0.0275,0.043,4.75,10.4635,26.9045
2010-06-15,1.306,1.47,0.033,0.052,9,10.24,25.061
2010-06-23,0.922,1,0.028,0.058,1.5,11.483,30.236
2010-08-04,0.573,0.68,0.026,0.034,2.9,12.147,31.81
2010-08-09,0.723,0.83,0.028,0.038,3.5,11.335,24.225
2010-08-18,0.486,0.48,0.03,0.036,2.3,12.179,30.889
2010-08-25,0.633,0.77,0.024,0.036,3.1,11.257,20.82
2010-09-02,0.736,0.98,0.026,0.048,3.7,10.896,16.902
2010-09-08,0.832,0.97,0.024,0.044,2.9,10.489,16.345
2010-09-15,1.178,1.33,0.027,0.04,3.3,10.094,14.61
2010-09-23,1.0965,1.26,0.0255,0.022,3.85,10.4235,14.6555
2010-09-30,1.148,1.3,0.019,0.028,2.9,10.357,13.851
2010-10-07,1.315,1.43,0.015,0.028,1.6,10.588,14.042
2010-10-13,1.428,1.55,0.018,0.034,2,10.305,12.873
2010-10-21,1.299,1.4,0.016,0.026,1.3,10.668,14.095
2010-10-28,1.228,1.34,0.022,0.026,1,10.615,14.317
2010-11-03,1.251,1.39,0.019,0.034,1.5,10.38,14.006
2010-11-11,1.367,1.4,0.02,0.032,1.1,11.011,14.992
2010-11-16,1.359,1.47,0.02,0.024,1.5,10.866,15.171
2010-11-29,1.564,1.51,0.022,0.034,1.3,10.672,16.232
2010-12-09,1.5945,1.665,0.0195,0.022,0.75,11.3415,18.8575
2010-12-16,1.899,1.97,0.018,0.014,0.4,11.021,16.458
2011-01-06,3.969,2.04,0.009,0.02,0.3,21.793,33.231
2011-01-12,2.149,2.14,0.011,0.01,0.5,10.921,15.434
2011-01-21,2.064,2.08,0.01,0.008,1.1,11,16.15
2011-01-26,1.908,2.05,0.011,0.04,0.7,11.155,16.866
2011-02-06,1.932,2.05,0.005,0.026,2,11.354,17.394
2011-02-12,2.074,2.33,0.006,0.026,2.4,11.832,17.379
2011-02-15,2.069,2.22,0.007,0.022,1.3,11.741,15.584
2011-02-24,2.473,2.55,0.015,0.088,4.3,11.255,14.523
2011-03-01,2.463,2.53,0.01,0.026,1.8,12.073,16.661
2011-03-08,2.299,2.26,0.019,0.02,1.2,12.638,19.459
2011-03-14,2.175,2.32,0.121,0.152,2.5,12.095,19.98
2011-03-31,1.715,1.92,0.016,0.03,1,12.303,23.849
2011-04-07,1.133,1.16,0.016,0.036,2.2,14.376,33.98
2011-04-14,0.961,1.15,0.015,0.026,1.5,14.105,32.906
2011-04-20,0.944,1.07,0.013,0.018,1.9,14.071,32.976
2011-04-23,1.889,2.38,0.121,0.244,73.5,8.553,11.111
2011-04-25,2.963,3.92,0.354,0.975,419.3,3.852,6.519
2011-04-25,1.974,3.37,0.352,1.413,756.9,2.395,4.911
2011-05-11,2.601,2.88,0.021,0.032,3.1,10.286,21.253
2011-05-18,2.022,2.08,0.023,0.028,1.9,11.12,26.702
2011-05-23,1.728,2.2,0.149,0.438,161.6,5.772,10.442
2011-06-09,1.6645,1.805,0.029,0.044,1.8,10.3275,22.236
2011-06-15,1.432,1.52,0.032,0.031,1.7,10.69,24.8685
2011-07-14,0.587,0.73,0.022,0.044,0.8,11.582,27.157
2011-07-20,0.481,0.54,0.024,0.044,1.7,11.872,29.309
2011-07-28,0.51,0.61,0.033,0.028,1.1,10.943,28.251
2011-08-04,0.49,0.59,0.029,0.074,1.8,11.93,27.524
2011-08-10,0.54,0.65,0.028,0.048,2.4,,
2011-08-17,0.62,0.75,0.031,0.046,1.3,,
2011-08-31,0.425,0.525,0.0295,0.025,2,12.0165,27.6435
