"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2009-07-07,28,1.069,0.0667236320429081,3.3322045101752
"2",2009-07-14,26,0.966,-0.0345914447696191,3.25809653802148
"3",2009-07-21,28,0.864,-0.146182510178081,3.3322045101752
"4",2009-07-28,26,0.868,-0.141563564321787,3.25809653802148
"5",2009-08-04,23,0.838,-0.176737178500054,3.13549421592915
"6",2009-08-11,27,0.83,-0.186329578191493,3.29583686600433
"7",2009-08-18,23,0.736,-0.306525160253261,3.13549421592915
"8",2009-08-25,21,0.725,-0.321583624127462,3.04452243772342
"9",2009-09-01,20,0.708,-0.345311185288417,2.99573227355399
"10",2009-09-08,22,2.828,1.03956974803433,3.09104245335832
"11",2009-09-15,24,1.0045,0.004489905272852,3.17805383034795
"12",2009-09-22,44,1.502,0.406797553341943,3.78418963391826
"13",2009-09-29,24,1.364,0.31042155942127,3.17805383034795
"14",2009-10-06,15,1.283,0.249201085633499,2.70805020110221
"15",2009-10-09,1360,1.779,0.576051408683698,7.2152399787301
"16",2009-10-13,155,3.305,1.19543647330365,5.04342511691925
"17",2009-10-20,59,2.787,1.02496574849981,4.07753744390572
"18",2009-10-27,200,2.567,0.942737901889003,5.29831736654804
"19",2009-11-03,125,2.795,1.02783210660706,4.8283137373023
"20",2009-11-10,53,2.399,0.875051983857558,3.97029191355212
"21",2009-11-17,46,2.139,0.760338430100268,3.8286413964891
"22",2009-11-23,41,1.912,0.64814981462921,3.71357206670431
"23",2009-12-01,37,1.7,0.53062825106217,3.61091791264422
"24",2009-12-08,40,1.94,0.662687973075237,3.68887945411394
"25",2009-12-15,36,1.954,0.669878553620591,3.58351893845611
"26",2009-12-21,34,1.875,0.628608659422374,3.52636052461616
"27",2009-12-29,32,1.656,0.504405055963068,3.46573590279973
"28",2010-01-05,33,1.753,0.561328605939097,3.49650756146648
"29",2010-01-12,30,2.285,0.826366024346168,3.40119738166216
"30",2010-01-19,29,1.6065,0.474057899573776,3.36729582998647
"31",2010-01-26,45,2.387,0.870037347356693,3.80666248977032
"32",2010-02-03,52,2.272,0.820660500858905,3.95124371858143
"33",2010-02-10,71,3.086,1.12687575394097,4.26267987704132
"34",2010-02-16,55,2.698,0.992510757785564,4.00733318523247
"35",2010-02-23,59,2.702,0.993992239538007,4.07753744390572
"36",2010-03-02,51,2.442,0.892817375688513,3.93182563272433
"37",2010-03-16,44,1.9595,0.672689338657549,3.78418963391826
"38",2010-03-22,78,2.228,0.801104322065038,4.35670882668959
"39",2010-03-30,113,3.399,1.22348127071398,4.72738781871234
"40",2010-04-07,68,2.469,0.903813210363042,4.21950770517611
"41",2010-04-13,54,2.097,0.740507751919783,3.98898404656427
"42",2010-04-20,48,1.75,0.559615787935423,3.87120101090789
"43",2010-04-27,45,1.698,0.529451087889156,3.80666248977032
"44",2010-05-04,40,1.505,0.408792898200839,3.68887945411394
"45",2010-05-11,39,1.433,0.359770148846035,3.66356164612965
"46",2010-05-14,76,1.645,0.497740384217335,4.33073334028633
