"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"1",2009-07-07,28,0.036,-3.32423634052603,3.3322045101752
"2",2009-07-14,26,0.056,-2.88240358824699,3.25809653802148
"3",2009-07-21,28,0.052,-2.95651156040071,3.3322045101752
"4",2009-07-28,26,0.052,-2.95651156040071,3.25809653802148
"5",2009-08-04,23,0.042,-3.17008566069877,3.13549421592915
"6",2009-08-11,27,0.056,-2.88240358824699,3.29583686600433
"7",2009-08-18,23,0.046,-3.07911388249304,3.13549421592915
"8",2009-08-25,21,0.042,-3.17008566069877,3.04452243772342
"9",2009-09-01,20,0.038,-3.27016911925575,2.99573227355399
"10",2009-09-08,22,0.056,-2.88240358824699,3.09104245335832
"11",2009-09-15,24,0.044,-3.12356564506388,3.17805383034795
"12",2009-09-22,44,0.062,-2.78062089393705,3.78418963391826
"13",2009-09-29,24,0.038,-3.27016911925575,3.17805383034795
"14",2009-10-06,15,0.034,-3.38139475436598,2.70805020110221
"15",2009-10-09,1360,0.648,-0.433864582629862,7.2152399787301
"16",2009-10-13,155,0.092,-2.3859667019331,5.04342511691925
"17",2009-10-20,59,0.04,-3.2188758248682,4.07753744390572
"18",2009-10-27,200,0.054,-2.91877123241786,5.29831736654804
"19",2009-11-03,125,0.028,-3.57555076880693,4.8283137373023
"20",2009-11-10,53,0.04,-3.2188758248682,3.97029191355212
"21",2009-11-17,46,0.032,-3.44201937618241,3.8286413964891
"22",2009-11-23,41,0.026,-3.64965874096066,3.71357206670431
"23",2009-12-01,37,0.024,-3.72970144863419,3.61091791264422
"24",2009-12-08,40,0.016,-4.13516655674236,3.68887945411394
"25",2009-12-15,36,0.028,-3.57555076880693,3.58351893845611
"26",2009-12-21,34,0.014,-4.26869794936688,3.52636052461616
"27",2009-12-29,32,0.022,-3.81671282562382,3.46573590279973
"28",2010-01-05,33,0.042,-3.17008566069877,3.49650756146648
"29",2010-01-12,30,0.02,-3.91202300542815,3.40119738166216
"30",2010-01-19,29,0.02,-3.91202300542815,3.36729582998647
"31",2010-01-26,45,0.008,-4.8283137373023,3.80666248977032
"32",2010-02-03,52,0.02,-3.91202300542815,3.95124371858143
"33",2010-02-10,71,0.028,-3.57555076880693,4.26267987704132
"34",2010-02-16,55,0.03,-3.50655789731998,4.00733318523247
"35",2010-02-23,59,0.024,-3.72970144863419,4.07753744390572
"36",2010-03-02,51,0.02,-3.91202300542815,3.93182563272433
"37",2010-03-16,44,0.025,-3.68887945411394,3.78418963391826
"38",2010-03-22,78,0.044,-3.12356564506388,4.35670882668959
"39",2010-03-30,113,0.028,-3.57555076880693,4.72738781871234
"40",2010-04-07,68,0.036,-3.32423634052603,4.21950770517611
"41",2010-04-13,54,0.018,-4.01738352108597,3.98898404656427
"42",2010-04-20,48,0.022,-3.81671282562382,3.87120101090789
"43",2010-04-27,45,0.034,-3.38139475436598,3.80666248977032
"44",2010-05-04,40,0.044,-3.12356564506388,3.68887945411394
"45",2010-05-11,39,0.032,-3.44201937618241,3.66356164612965
"46",2010-05-14,76,0.108,-2.22562405185792,4.33073334028633
"47",2010-05-18,80,0.046,-3.07911388249304,4.38202663467388
"48",2010-05-20,891,0.486,-0.721546655081643,6.79234442747081
"49",2010-05-26,190,0.058,-2.84731226843572,5.24702407216049
"50",2010-06-01,62,0.056,-2.88240358824699,4.12713438504509
"51",2010-06-08,50,0.043,-3.14655516328857,3.91202300542815
"52",2010-06-15,51,0.052,-2.95651156040071,3.93182563272433
"53",2010-06-23,37,0.058,-2.84731226843572,3.61091791264422
"54",2010-08-04,16,0.034,-3.38139475436598,2.77258872223978
"55",2010-08-09,21,0.038,-3.27016911925575,3.04452243772342
"56",2010-08-18,14,0.036,-3.32423634052603,2.63905732961526
"57",2010-08-25,16,0.036,-3.32423634052603,2.77258872223978
"58",2010-09-02,18,0.048,-3.03655426807425,2.89037175789616
"59",2010-09-08,17,0.044,-3.12356564506388,2.83321334405622
"60",2010-09-15,25,0.04,-3.2188758248682,3.2188758248682
"61",2010-09-23,20,0.022,-3.81671282562382,2.99573227355399
"62",2010-09-30,21,0.028,-3.57555076880693,3.04452243772342
"63",2010-10-07,19,0.028,-3.57555076880693,2.94443897916644
"64",2010-10-13,20,0.034,-3.38139475436598,2.99573227355399
"65",2010-10-21,20,0.026,-3.64965874096066,2.99573227355399
"66",2010-10-28,16,0.026,-3.64965874096066,2.77258872223978
"67",2010-11-03,16,0.034,-3.38139475436598,2.77258872223978
"68",2010-11-11,20,0.032,-3.44201937618241,2.99573227355399
"69",2010-11-16,17,0.024,-3.72970144863419,2.83321334405622
"70",2010-11-29,17,0.034,-3.38139475436598,2.83321334405622
"71",2010-12-09,14,0.022,-3.81671282562382,2.63905732961526
"72",2010-12-16,11,0.014,-4.26869794936688,2.39789527279837
"73",2011-01-06,10,0.02,-3.91202300542815,2.30258509299405
"74",2011-01-12,9.9,0.01,-4.60517018598809,2.29253475714054
"75",2011-01-21,10,0.008,-4.8283137373023,2.30258509299405
"76",2011-01-26,11,0.04,-3.2188758248682,2.39789527279837
"77",2011-02-06,10,0.026,-3.64965874096066,2.30258509299405
"78",2011-02-12,9.8,0.026,-3.64965874096066,2.28238238567653
"79",2011-02-15,15,0.022,-3.81671282562382,2.70805020110221
"80",2011-02-24,15,0.088,-2.43041846450393,2.70805020110221
"81",2011-03-01,13,0.026,-3.64965874096066,2.56494935746154
"82",2011-03-08,11,0.02,-3.91202300542815,2.39789527279837
"83",2011-03-14,22,0.152,-1.88387475813586,3.09104245335832
"84",2011-03-31,14,0.03,-3.50655789731998,2.63905732961526
"85",2011-04-07,20,0.036,-3.32423634052603,2.99573227355399
"86",2011-04-14,21,0.026,-3.64965874096066,3.04452243772342
"87",2011-04-20,20,0.018,-4.01738352108597,2.99573227355399
"88",2011-04-23,272,0.244,-1.41058705368894,5.605802066296
"89",2011-04-25,5300,0.975,-0.0253178079842899,8.57546209954021
"90",2011-04-25,5300,1.413,0.34571510370239,8.57546209954021
"91",2011-05-11,95,0.032,-3.44201937618241,4.55387689160054
"92",2011-05-18,68,0.028,-3.57555076880693,4.21950770517611
"93",2011-05-23,768,0.438,-0.825536368605691,6.64378973314767
"94",2011-06-09,59,0.044,-3.12356564506388,4.07753744390572
"95",2011-06-15,55,0.031,-3.47376807449699,4.00733318523247
"96",2011-07-14,38,0.044,-3.12356564506388,3.63758615972639
"97",2011-07-20,29,0.044,-3.12356564506388,3.36729582998647
"98",2011-07-28,20,0.028,-3.57555076880693,2.99573227355399
"99",2011-08-04,16,0.074,-2.60369018577797,2.77258872223978
"100",2011-08-10,21,0.048,-3.03655426807425,3.04452243772342
"101",2011-08-17,16,0.046,-3.07911388249304,2.77258872223978
"102",2011-08-31,17,0.025,-3.68887945411394,2.83321334405622
"103",2011-09-07,15,0.024,-3.72970144863419,2.70805020110221
"104",2011-09-15,14,0.024,-3.72970144863419,2.63905732961526
"105",2011-09-21,7,0.028,-3.57555076880693,1.94591014905531
"106",2011-09-29,10,0.032,-3.44201937618241,2.30258509299405
"107",2011-10-05,7.2,0.033,-3.41124771751566,1.97408102602201
"108",2011-10-12,16,0.036,-3.32423634052603,2.77258872223978
"109",2011-10-27,9.7,0.026,-3.64965874096066,2.27212588550934
"110",2011-11-02,7.5,0.028,-3.57555076880693,2.01490302054226
"111",2011-11-08,256,0.368,-0.999672340813206,5.54517744447956
"112",2011-11-16,40,0.046,-3.07911388249304,3.68887945411394
"113",2011-11-30,39,0.032,-3.44201937618241,3.66356164612965
"114",2011-12-07,33,0.028,-3.57555076880693,3.49650756146648
"115",2012-01-04,19,0.016,-4.13516655674236,2.94443897916644
"116",2012-01-12,16,0.022,-3.81671282562382,2.77258872223978
"117",2012-01-18,15,0.015,-4.19970507787993,2.70805020110221
"118",2012-01-25,32,0.032,-3.44201937618241,3.46573590279973
"119",2012-02-01,22,0.026,-3.64965874096066,3.09104245335832
"120",2012-02-08,26,0.018,-4.01738352108597,3.25809653802148
"121",2012-02-15,19,0.02,-3.91202300542815,2.94443897916644
"122",2012-02-29,13,0.028,-3.57555076880693,2.56494935746154
"123",2012-03-15,24,0.022,-3.81671282562382,3.17805383034795
"124",2012-03-20,213,0.236,-1.44392347395653,5.36129216570943
"125",2012-03-28,94,0.02,-3.91202300542815,4.54329478227
"126",2012-04-11,35,0.03,-3.50655789731998,3.55534806148941
