"","Date","concentrations.Cl","Flow"
"1",2009-07-07,13.337,316
"2",2009-07-14,15.05,260
"3",2009-07-21,15.837,267
"4",2009-07-28,15.827,285
"5",2009-08-04,15.642,217
"6",2009-08-11,14.608,468
"7",2009-08-18,16.631,185
"8",2009-08-25,16.343,193
"9",2009-09-01,19.408,162
"10",2009-09-08,14.498,213
"11",2009-09-10,12.762,486
"12",2009-09-15,14.771,257
"13",2009-09-22,12.525,3160
"14",2009-09-29,13.393,360
"15",2009-10-06,16.114,270
"16",2009-10-09,2.628,18900
"17",2009-10-13,7.131,2570
"18",2009-10-20,9.568,768
"19",2009-10-27,10.8725,1010
"20",2009-10-30,5.737,9940
"21",2009-11-03,7.546,1310
"22",2009-11-10,10.756,662
"23",2009-11-17,11.803,704
"24",2009-11-23,12.38,492
"25",2009-12-01,12.606,410
"26",2009-12-08,14.462,351
"27",2009-12-15,14.793,332
"28",2009-12-21,16.362,289
"29",2009-12-29,13.0415,385
"30",2010-01-05,13.677,353
"31",2010-01-12,16.413,292
"32",2010-01-19,17.258,311
"33",2010-01-26,12.401,853
"34",2010-02-03,16.316,1170
"35",2010-02-10,12.006,1170
"36",2010-02-16,12.066,777
"37",2010-02-23,13.709,982
"38",2010-03-02,12.8165,608
"39",2010-03-08,13.527,513
"40",2010-03-16,14.272,475
"41",2010-03-22,12.109,1570
"42",2010-03-30,8.335,1320
"43",2010-04-07,10.068,931
"44",2010-04-13,11.261,621
"45",2010-04-20,12.076,493
"46",2010-04-27,12.006,557
"47",2010-05-04,13.383,418
"48",2010-05-11,14.102,628
"49",2010-05-14,13.908,1700
"50",2010-05-14,10.308,1700
"51",2010-05-15,5.796,4440
"52",2010-05-18,7.805,1360
"53",2010-05-26,9.202,3710
"54",2010-06-01,10.445,597
"55",2010-06-08,11.856,613
"56",2010-06-15,12.726,440
"57",2010-06-23,14.955,338
"58",2010-08-04,13.466,273
"59",2010-08-09,15.862,233
"60",2010-08-18,17.473,200
"61",2010-08-25,19.015,171
"62",2010-09-02,19.8915,602
"63",2010-09-08,15.392,216
"64",2010-09-15,10.946,946
"65",2010-09-23,15.38,247
"66",2010-09-30,15.756,246
"67",2010-10-07,18.087,202
"68",2010-10-13,19.465,188
"69",2010-10-21,20.76,205
"70",2010-10-28,20.922,210
"71",2010-11-03,19.444,200
"72",2010-11-11,21.996,177
"73",2010-11-16,21.8805,177
"74",2010-11-29,15.636,283
"75",2010-12-09,21.213,196
"76",2010-12-16,22.182,183
"77",2011-01-06,36.825,218
"78",2011-01-12,20.14,178
"79",2011-01-21,22.205,177
"80",2011-01-26,22.407,174
"81",2011-02-06,23.342,213
"82",2011-02-12,28.875,275
"83",2011-02-14,25.535,673
"84",2011-02-25,21.056,753
"85",2011-02-28,8.992,2180
"86",2011-03-05,14.874,765
"87",2011-03-14,15.232,642
"88",2011-03-31,18.329,265
"89",2011-04-07,19.615,241
"90",2011-04-11,16.902,471
"91",2011-04-20,15.75,308
"92",2011-04-23,8.428,4140
"93",2011-04-25,2.377,44900
"94",2011-04-26,1.709,42700
"95",2011-05-11,9.507,871
"96",2011-05-18,10.631,608
"97",2011-05-24,1.721,31600
"98",2011-06-09,10.3925,594
"99",2011-06-16,12.146,485
"100",2011-07-14,16.644,291
"101",2011-07-20,16.884,221
"102",2011-07-28,17.714,193
"103",2011-08-04,20.066,177
"104",2011-08-31,20.586,170
"105",2011-09-07,22.087,141
"106",2011-09-15,22.4995,139
"107",2011-09-19,22.829,783
"108",2011-09-29,16.26,234
"109",2011-10-05,18.605,186
"110",2011-10-13,21.191,427
"111",2011-10-27,20.433,207
"112",2011-11-02,19.998,191
"113",2011-11-09,5.1215,7390
"114",2011-11-16,13.247,537
"115",2011-11-30,11.429,509
"116",2011-12-07,11.2965,630
"117",2011-12-15,6.269,3250
"118",2012-01-04,13.087,363
"119",2012-01-11,15.157,381
"120",2012-01-18,15.351,311
"121",2012-01-26,7.064,2700
"122",2012-02-01,11.628,571
"123",2012-02-04,8.898,2120
"124",2012-02-15,13.055,472
"125",2012-02-29,14.911,366
"126",2012-03-15,13.3455,442
"127",2012-03-20,8.142,3310
"128",2012-03-22,5.076,7290
"129",2012-03-28,8.7655,1010
"130",2012-04-11,12.081,417
"131",2012-04-16,12.069,792
"132",2012-04-25,14.152,302
"133",2012-05-02,15.876,435
"134",2012-05-09,16.082,244
"135",2012-05-17,17.754,205
"136",2012-05-23,19.111,179
"137",2012-05-31,18.421,197
"138",2012-06-04,19.952,389
"139",2012-06-13,18.806,158
"140",2012-06-20,21.854,136
"141",2012-06-28,23.827,122
"142",2012-07-11,24.546,112
"143",2012-07-18,25.85,102
"144",2012-07-25,27.249,90
"145",2012-08-01,27.676,96
"146",2012-08-16,27.259,113
"147",2012-08-21,24.583,120
"148",2012-08-27,28.216,449
"149",2012-09-04,21.194,143
"150",2012-09-06,22.128,134
"151",2012-09-11,20.694,157
"152",2012-09-25,23.267,125
"153",2012-10-02,24.776,116
"154",2012-10-09,26.285,114
"155",2012-10-13,25.783,540
"156",2012-10-16,16.715,283
"157",2012-10-23,22.542,148
"158",2012-11-01,24.627,131
"159",2012-11-15,26.61,148
"160",2012-11-27,26.158,120
"161",2012-12-04,23.717,193
"162",2012-12-11,22.632,150
"163",2013-01-03,22.383,184
"164",2013-01-11,25.618,153
"165",2013-01-15,27.77,160
"166",2013-01-22,27.347,139
"167",2013-01-30,15.076,2360
"168",2013-02-05,17.131,314
"169",2013-02-12,17.872,361
"170",2013-02-19,19.406,275
"171",2013-02-26,19.39,414
"172",2013-03-05,18.677,312
"173",2013-03-10,16.696,2390
"174",2013-03-19,14.388,439
"175",2013-03-26,15.25,416
"176",2013-04-05,10.17,925
"177",2013-04-11,10.606,1830
"178",2013-04-18,8.818,6260
"179",2013-04-25,20.928,765
"180",2013-05-03,10.468,822
"181",2013-05-10,2.836,14400
"182",2013-05-21,3.778,1680
"183",2013-05-21,9.088,1680
"184",2013-05-29,9.398,676
"185",2013-06-07,10.235,667
"186",2013-06-26,15.1955,270
"187",2013-07-10,18.766,196
"188",2013-08-01,10.167,697
"189",2013-08-08,12.534,4400
"190",2013-08-15,10.146,852
"191",2013-08-21,13.181,363
"192",2013-08-29,16.959,250
"193",2013-09-05,17.6505,210
"194",2013-09-12,20.591,183
"195",2013-09-19,20.654,170
"196",2013-09-20,21.305,699
"197",2013-10-03,18.79,208
"198",2013-10-06,9.512,1630
"199",2013-10-21,18.147,216
"200",2013-10-31,20.039,671
"201",2013-11-07,16.688,505
"202",2013-11-14,17.077,253
"203",2013-11-21,18.308,259
"204",2013-12-03,17.343,216
"205",2013-12-13,20.458,233
"206",2013-12-20,16.326,493
"207",2013-12-21,13.727,3200
"208",2014-01-08,14.8955,341
"209",2014-01-11,16.859,2380
"210",2014-01-23,14.865,359
"211",2014-01-29,16.007,288
"212",2014-02-07,19.501,261
"213",2014-02-13,21.001,256
"214",2014-02-20,19.9385,255
"215",2014-02-26,19.171,215
"216",2014-03-06,19.175,260
"217",2014-03-13,21.152,347
"218",2014-03-17,9.564,5980
"219",2014-03-28,14.201,565
"220",2014-03-29,12.964,1240
"221",2014-04-03,13.08,588
