"","Date","concentrations.SRP","Flow"
"1",2009-07-07,0.061,316
"2",2009-07-14,0.067,260
"3",2009-07-21,0.056,267
"4",2009-07-28,0.062,285
"5",2009-08-04,0.058,217
"6",2009-08-11,0.079,468
"7",2009-08-18,0.066,185
"8",2009-08-25,0.065,193
"9",2009-09-01,0.059,162
"10",2009-09-08,0.072,213
"11",2009-09-10,0.08,486
"12",2009-09-15,0.073,257
"13",2009-09-22,0.132,3160
"14",2009-09-29,0.067,360
"15",2009-10-06,0.058,270
"16",2009-10-09,0.28,18900
"17",2009-10-13,0.099,2570
"18",2009-10-20,0.068,768
"19",2009-10-27,0.06,1010
"20",2009-10-30,0.202,9940
"21",2009-11-03,0.058,1310
"22",2009-11-10,0.053,662
"23",2009-11-17,0.035,704
"24",2009-11-23,0.035,492
"25",2009-12-01,0.024,410
"26",2009-12-08,0.014,351
"27",2009-12-15,0.01,332
"28",2009-12-21,0.009,289
"29",2009-12-29,0.017,385
"30",2010-01-05,0.019,353
"31",2010-01-12,0.012,292
"32",2010-01-19,0.013,311
"33",2010-01-26,0.043,853
"34",2010-02-03,0.032,1170
"35",2010-02-10,0.043,1170
"36",2010-02-16,0.033,777
"37",2010-02-23,0.036,982
"38",2010-03-02,0.01,608
"39",2010-03-08,0.01,513
"40",2010-03-16,0.035,475
"41",2010-03-22,0.049,1570
"42",2010-03-30,0.041,1320
"43",2010-04-07,0.035,931
"44",2010-04-13,0.005,621
"45",2010-04-20,0.022,493
"46",2010-04-27,0.042,557
"47",2010-05-04,0.017,418
"48",2010-05-11,0.047,628
"49",2010-05-14,0.058,1700
"50",2010-05-14,0.086,1700
"51",2010-05-15,0.103,4440
"52",2010-05-18,0.064,1360
"53",2010-05-26,0.058,3710
"54",2010-06-01,0.058,597
"55",2010-06-08,0.049,613
"56",2010-06-15,0.06,440
"57",2010-06-23,0.058,338
"58",2010-08-04,0.066,273
"59",2010-08-09,0.064,233
"60",2010-08-18,0.072,200
"61",2010-08-25,0.065,171
"62",2010-09-02,0.0695,602
"63",2010-09-08,0.074,216
"64",2010-09-15,0.09,946
"65",2010-09-23,0.064,247
"66",2010-09-30,0.053,246
"67",2010-10-07,0.04,202
"68",2010-10-13,0.045,188
"69",2010-10-21,0.048,205
"70",2010-10-28,0.051,210
"71",2010-11-03,0.047,200
"72",2010-11-11,0.041,177
"73",2010-11-16,0.0415,177
"74",2010-11-29,0.067,283
"75",2010-12-09,0.024,196
"76",2010-12-16,0.016,183
"77",2011-01-06,0.03,218
"78",2011-01-12,0.035,178
"79",2011-01-21,0.028,177
"80",2011-01-26,0.027,174
"81",2011-02-06,0.022,213
"82",2011-02-12,0.026,275
"83",2011-02-14,0.026,673
"84",2011-02-25,0.047,753
"85",2011-02-28,0.274,2180
"86",2011-03-05,0.057,765
"87",2011-03-14,0.046,642
"88",2011-03-31,0.014,265
"89",2011-04-07,0.065,241
"90",2011-04-11,0.048,471
"91",2011-04-20,0.038,308
"92",2011-04-23,0.166,4140
"93",2011-04-25,0.268,44900
"94",2011-04-26,0.133,42700
"95",2011-05-11,0.062,871
"96",2011-05-18,0.05,608
"97",2011-05-24,0.195,31600
"98",2011-06-09,0.044,594
"99",2011-06-16,0.047,485
"100",2011-07-14,0.062,291
"101",2011-07-20,0.06,221
"102",2011-07-28,0.07,193
"103",2011-08-04,0.062,177
"104",2011-08-10,0.081,329
"105",2011-08-17,0.066,263
"106",2011-08-31,0.066,170
"107",2011-09-07,0.065,141
"108",2011-09-15,0.0605,139
"109",2011-09-19,0.081,783
"110",2011-09-29,0.062,234
"111",2011-10-05,0.056,186
"112",2011-10-13,0.065,427
"113",2011-10-27,0.053,207
"114",2011-11-02,0.043,191
"115",2011-11-09,0.1345,7390
"116",2011-11-16,0.072,537
"117",2011-11-30,0.048,509
"118",2011-12-07,0.0505,630
"119",2011-12-15,0.167,3250
"120",2012-01-04,0.031,363
"121",2012-01-11,0.03,381
"122",2012-01-18,0.013,311
"123",2012-01-26,0.119,2700
"124",2012-02-01,0.036,571
"125",2012-02-04,0.127,2120
"126",2012-02-15,0.03,472
"127",2012-02-29,0.016,366
"128",2012-03-15,0.0435,442
"129",2012-03-20,0.15,3310
"130",2012-03-22,0.092,7290
"131",2012-03-28,0.0505,1010
"132",2012-04-11,0.037,417
"133",2012-04-16,0.059,792
"134",2012-04-25,0.036,302
"135",2012-05-02,0.061,435
"136",2012-05-09,0.058,244
"137",2012-05-17,0.047,205
"138",2012-05-23,0.048,179
"139",2012-05-31,0.064,197
"140",2012-06-04,0.059,389
"141",2012-06-13,0.059,158
"142",2012-06-20,0.054,136
"143",2012-06-28,0.059,122
"144",2012-07-11,0.065,112
"145",2012-07-18,0.0555,102
"146",2012-07-25,0.059,90
"147",2012-08-01,0.055,96
"148",2012-08-16,0.061,113
"149",2012-08-21,0.068,120
"150",2012-08-27,0.071,449
"151",2012-09-04,0.076,143
"152",2012-09-06,0.076,134
"153",2012-09-11,0.074,157
"154",2012-09-25,0.07,125
"155",2012-10-02,0.077,116
"156",2012-10-09,0.069,114
"157",2012-10-13,0.096,540
"158",2012-10-16,0.069,283
"159",2012-10-23,0.062,148
"160",2012-11-01,0.057,131
"161",2012-11-15,0.049,148
"162",2012-11-27,0.038,120
"163",2012-12-04,0.041,193
"164",2012-12-11,0.047,150
"165",2013-01-03,0.03,184
"166",2013-01-11,0.011,153
"167",2013-01-15,0.03,160
"168",2013-01-22,0.018,139
"169",2013-01-30,0.064,2360
"170",2013-02-05,0.035,314
"171",2013-02-12,0.036,361
"172",2013-02-19,0.026,275
"173",2013-02-26,0.023,414
"174",2013-03-05,0.011,312
"175",2013-03-10,0.072,2390
"176",2013-03-19,0.039,439
"177",2013-03-26,0.027,416
"178",2013-04-05,0.034,925
"179",2013-04-11,0.039,1830
"180",2013-04-18,0.154,6260
"181",2013-04-25,0.05,765
"182",2013-05-03,0.044,822
"183",2013-05-10,0.264,14400
"184",2013-05-21,0.174,1680
"185",2013-05-21,0.057,1680
"186",2013-05-29,0.049,676
"187",2013-06-07,0.049,667
"188",2013-06-26,0.0565,270
"189",2013-07-10,0.049,196
"190",2013-08-01,0.071,697
"191",2013-08-08,0.176,4400
"192",2013-08-15,0.064,852
"193",2013-08-21,0.057,363
"194",2013-08-29,0.051,250
"195",2013-09-05,0.057,210
"196",2013-09-12,0.055,183
"197",2013-09-19,0.059,170
"198",2013-09-20,0.066,699
"199",2013-10-03,0.061,208
"200",2013-10-06,0.089,1630
"201",2013-10-21,0.053,216
"202",2013-10-31,0.047,671
"203",2013-11-07,0.058,505
"204",2013-11-14,0.042,253
"205",2013-11-21,0.027,259
"206",2013-12-03,0.019,216
"207",2013-12-13,0.011,233
"208",2013-12-20,0.029,493
"209",2013-12-21,0.121,3200
"210",2014-01-08,0.03,341
"211",2014-01-11,0.126,2380
"212",2014-01-23,0.022,359
"213",2014-01-29,0.011,288
"214",2014-02-07,0.014,261
"215",2014-02-13,0.009,256
"216",2014-02-20,0.0085,255
"217",2014-02-26,0.009,215
"218",2014-03-06,0.01,260
"219",2014-03-13,0.03,347
"220",2014-03-17,0.115,5980
"221",2014-03-28,0.031,565
"222",2014-03-29,0.027,1240
"223",2014-04-03,0.031,588
"224",2014-04-04,0.05,1250
"225",2014-04-08,0.053,1270
"226",2014-04-15,0.029,598
