"","Date","concentrations.TN","Flow"
"1",2009-07-07,2.64,316
"2",2009-07-14,2.73,260
"3",2009-07-28,2.52,285
"4",2009-08-04,2.31,217
"5",2009-08-11,2.28,468
"6",2009-08-18,2.19,185
"7",2009-08-25,2.19,193
"8",2009-09-01,2.44,162
"9",2009-09-08,2.404,213
"10",2009-09-10,2.26,486
"11",2009-09-15,2.32,257
"12",2009-09-22,2.34,3160
"13",2009-09-29,2.6,360
"14",2009-10-06,2.86,270
"15",2009-10-09,1.46,18900
"16",2009-10-13,2.81,2570
"17",2009-10-20,3.37,768
"18",2009-10-27,3.165,1010
"19",2009-10-30,2.44,9940
"20",2009-11-03,3.05,1310
"21",2009-11-10,3.23,662
"22",2009-11-17,3,704
"23",2009-11-23,3.12,492
"24",2009-12-01,3.02,410
"25",2009-12-08,3.26,351
"26",2009-12-15,3.18,332
"27",2009-12-21,3.26,289
"28",2009-12-29,2.605,385
"29",2010-01-05,2.65,353
"30",2010-01-12,3.17,292
"31",2010-01-19,3.1,311
"32",2010-01-26,2.5,853
"33",2010-02-03,2.57,1170
"34",2010-02-10,3,1170
"35",2010-02-16,3.04,777
"36",2010-02-23,2.59,982
"37",2010-03-02,3.15,608
"38",2010-03-08,3.17,513
"39",2010-03-16,3.3,475
"40",2010-03-22,2.27,1570
"41",2010-03-30,3.3,1320
"42",2010-04-07,2.97,931
"43",2010-04-13,2.84,621
"44",2010-04-20,3.19,493
"45",2010-04-27,2.56,557
"46",2010-05-04,2.74,418
"47",2010-05-11,2.92,628
"48",2010-05-14,2.76,1700
"49",2010-05-14,2.22,1700
"50",2010-05-15,1.69,4440
"51",2010-05-18,2.21,1360
"52",2010-05-26,2.785,3710
"53",2010-06-01,2.85,597
"54",2010-06-08,2.84,613
"55",2010-06-15,2.7,440
"56",2010-06-23,2.41,338
"57",2010-08-04,2.35,273
"58",2010-08-09,2.31,233
"59",2010-08-18,2.18,200
"60",2010-08-25,2.15,171
"61",2010-09-02,2.41,602
"62",2010-09-08,2.27,216
"63",2010-09-15,2.29,946
"64",2010-09-23,2.52,247
"65",2010-09-30,2.52,246
"66",2010-10-07,2.63,202
"67",2010-10-13,2.88,188
"68",2010-10-21,2.9,205
"69",2010-10-28,2.51,210
"70",2010-11-03,2.59,200
"71",2010-11-11,2.54,177
"72",2010-11-16,2.54,177
"73",2010-11-29,2.31,283
"74",2010-12-09,2.92,196
"75",2010-12-16,2.81,183
"76",2011-01-06,2.74,218
"77",2011-01-12,2.9,178
"78",2011-01-21,2.94,177
"79",2011-01-26,3.17,174
"80",2011-02-06,2.82,213
"81",2011-02-12,2.71,275
"82",2011-02-14,2.7,673
"83",2011-02-25,2.89,753
"84",2011-03-14,2.64,642
"85",2011-03-31,2.79,265
"86",2011-04-07,1.96,241
"87",2011-04-11,2.81,471
"88",2011-04-20,1.92,308
"89",2011-04-23,3.07,4140
"90",2011-04-25,2.19,44900
"91",2011-04-26,1.81,42700
"92",2011-05-11,3.72,871
"93",2011-05-18,3.24,608
"94",2011-05-24,1.45,31600
"95",2011-06-09,3.07,594
"96",2011-06-16,3.14,485
"97",2011-07-14,2.73,291
"98",2011-07-20,2.29,221
"99",2011-07-28,2.26,193
"100",2011-08-04,2.05,177
"101",2011-08-10,2.41,329
"102",2011-08-17,2.14,263
"103",2011-08-31,2.14,170
"104",2011-09-07,1.99,141
"105",2011-09-15,2.44,139
"106",2011-09-19,2.93,783
"107",2011-09-29,2.855,234
"108",2011-10-05,2.79,186
"109",2011-10-13,2.82,427
"110",2011-10-27,2.6,207
"111",2011-11-02,2.57,191
"112",2011-11-09,3.89,7390
"113",2011-11-16,3.95,537
"114",2011-11-30,3.77,509
"115",2011-12-07,3.33,630
"116",2011-12-15,2.82,3250
"117",2012-01-04,3.58,363
"118",2012-01-11,3.72,381
"119",2012-01-18,3.19,311
"120",2012-01-26,2.71,2700
"121",2012-02-01,3.39,571
"122",2012-02-04,3.17,2120
"123",2012-02-15,3.64,472
"124",2012-02-29,3.13,366
"125",2012-03-15,2.74,442
"126",2012-03-20,3.03,3310
"127",2012-03-22,3.09,7290
"128",2012-03-28,3.555,1010
"129",2012-04-11,3.18,417
"130",2012-04-16,3.31,792
"131",2012-04-25,2.99,302
"132",2012-05-02,2.94,435
"133",2012-05-09,2.86,244
"134",2012-05-17,2.77,205
"135",2012-05-23,2.71,179
"136",2012-05-31,2.39,197
"137",2012-06-04,2.36,389
"138",2012-06-13,2.12,158
"139",2012-06-20,1.89,136
"140",2012-06-28,1.87,122
"141",2012-07-11,1.43,112
"142",2012-07-18,1.335,102
"143",2012-07-25,1.09,90
"144",2012-08-01,1.04,96
"145",2012-08-16,1.27,113
"146",2012-08-21,1.47,120
"147",2012-08-27,2.2,449
"148",2012-09-04,1.82,143
"149",2012-09-06,1.78,134
"150",2012-09-11,1.74,157
"151",2012-09-25,2,125
"152",2012-10-02,2.1,116
"153",2012-10-09,2.26,114
"154",2012-10-13,2.89,540
"155",2012-10-16,1.97,283
"156",2012-10-23,2.89,148
"157",2012-11-01,2.21,131
"158",2012-11-15,2.13,148
"159",2012-11-27,2.38,120
"160",2012-12-04,2.42,193
"161",2012-12-11,2.44,150
"162",2013-01-03,2.7,184
"163",2013-01-11,4.79,153
"164",2013-01-15,2.83,160
"165",2013-01-22,2.77,139
"166",2013-01-30,3.38,2360
"167",2013-02-05,3.66,314
"168",2013-02-12,2.74,361
"169",2013-02-19,2.56,275
"170",2013-02-26,2.92,414
"171",2013-03-05,2.66,312
"172",2013-03-10,3.48,2390
"173",2013-03-19,3.55,439
"174",2013-03-26,3.1,416
"175",2013-04-05,2.89,925
"176",2013-04-11,2.76,1830
"177",2013-04-18,3.08,6260
"178",2013-04-25,3.97,765
"179",2013-05-03,3.17,822
"180",2013-05-10,2.28,14400
"181",2013-05-21,1.9,1680
"182",2013-05-21,3.58,1680
"183",2013-05-29,3.04,676
"184",2013-06-07,2.82,667
"185",2013-06-26,2.78,270
"186",2013-07-10,2.68,196
"187",2013-08-01,2.03,697
"188",2013-08-08,3.45,4400
"189",2013-08-15,2.77,852
"190",2013-08-21,3.01,363
