"","Date","concentrations.TP","Flow"
"1",2009-07-07,0.08,316
"2",2009-07-14,0.088,260
"3",2009-07-21,0.086,267
"4",2009-07-28,0.102,285
"5",2009-08-04,0.084,217
"6",2009-08-11,0.13,468
"7",2009-08-18,0.096,185
"8",2009-08-25,0.092,193
"9",2009-09-01,0.08,162
"10",2009-09-08,0.11,213
"11",2009-09-10,0.144,486
"12",2009-09-15,0.106,257
"13",2009-09-22,0.204,3160
"14",2009-09-29,0.058,360
"15",2009-10-06,0.096,270
"16",2009-10-09,0.96,18900
"17",2009-10-13,0.168,2570
"18",2009-10-20,0.082,768
"19",2009-10-27,0.079,1010
"20",2009-10-30,0.853,9940
"21",2009-11-03,0.076,1310
"22",2009-11-10,0.01,662
"23",2009-11-17,0.062,704
"24",2009-11-23,0.052,492
"25",2009-12-01,0.032,410
"26",2009-12-08,0.028,351
"27",2009-12-15,0.016,332
"28",2009-12-21,0.016,289
"29",2009-12-29,0.033,385
"30",2010-01-05,0.028,353
"31",2010-01-12,0.016,292
"32",2010-01-19,0.034,311
"33",2010-01-26,0.044,853
"34",2010-02-03,0.054,1170
"35",2010-02-10,0.064,1170
"36",2010-02-16,0.038,777
"37",2010-02-23,0.068,982
"38",2010-03-02,0.028,608
"39",2010-03-08,0.034,513
"40",2010-03-16,0.05,475
"41",2010-03-22,0.11,1570
"42",2010-03-30,0.052,1320
"43",2010-04-07,0.064,931
"44",2010-04-13,0.036,621
"45",2010-04-20,0.044,493
"46",2010-04-27,0.066,557
"47",2010-05-04,0.048,418
"48",2010-05-11,0.076,628
"49",2010-05-14,0.112,1700
"50",2010-05-14,0.242,1700
"51",2010-05-15,0.402,4440
"52",2010-05-18,0.129,1360
"53",2010-05-26,0.101,3710
"54",2010-06-01,0.088,597
"55",2010-06-08,0.086,613
"56",2010-06-15,0.086,440
"57",2010-06-23,0.118,338
"58",2010-08-04,0.084,273
"59",2010-08-09,0.092,233
"60",2010-08-18,0.088,200
"61",2010-08-25,0.084,171
"62",2010-09-02,0.107,602
"63",2010-09-08,0.108,216
"64",2010-09-15,0.154,946
"65",2010-09-23,0.072,247
"66",2010-09-30,0.07,246
"67",2010-10-07,0.056,202
"68",2010-10-13,0.06,188
"69",2010-10-21,0.068,205
"70",2010-10-28,0.064,210
"71",2010-11-03,0.062,200
"72",2010-11-11,0.062,177
"73",2010-11-16,0.052,177
"74",2010-11-29,0.084,283
"75",2010-12-09,0.03,196
"76",2010-12-16,0.016,183
"77",2011-01-06,0.046,218
"78",2011-01-12,0.034,178
"79",2011-01-21,0.034,177
"80",2011-01-26,0.04,174
"81",2011-02-06,0.044,213
"82",2011-02-12,0.044,275
"83",2011-02-14,0.072,673
"84",2011-02-25,0.102,753
"85",2011-02-28,1.018,2180
"86",2011-03-05,0.098,765
"87",2011-03-14,0.12,642
"88",2011-03-31,0.04,265
"89",2011-04-07,0.05,241
"90",2011-04-11,0.114,471
"91",2011-04-20,0.06,308
"92",2011-04-23,0.763,4140
"93",2011-04-25,1.06,44900
"94",2011-04-26,1.144,42700
"95",2011-05-11,0.082,871
"96",2011-05-18,0.062,608
"97",2011-05-24,0.988,31600
"98",2011-06-09,0.061,594
"99",2011-06-16,0.06,485
"100",2011-07-14,0.09,291
"101",2011-07-20,0.08,221
"102",2011-07-28,0.072,193
"103",2011-08-04,0.084,177
"104",2011-08-10,0.1,329
"105",2011-08-17,0.096,263
