"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,316,0.08,5.75574221358691,-2.52572864430826,0.527476172916657,0.492899589917071,0.256181916449608,0.65,0.245098893761908,1.98310240868693,2.03766439881292
"2",2009-07-14,260,0.088,5.56068163101553,-2.43041846450393,0.562150534798058,0.572934312856836,NA,NA,NA,NA,NA
"3",2009-07-21,267,0.086,5.58724865840025,-2.45340798272863,0.548693943728754,0.556594682066119,NA,NA,NA,NA,NA
"4",2009-07-28,285,0.102,5.65248918026865,-2.28278246569787,0.747659787492814,0.736251123872953,NA,NA,NA,NA,NA
"5",2009-08-04,217,0.084,5.37989735354046,-2.47693848013882,0.430334753731806,0.441078645975709,NA,NA,NA,NA,NA
"6",2009-08-11,468,0.13,6.14846829591765,-2.04022082852655,0.774316137273406,0.787771788281894,NA,NA,NA,NA,NA
"7",2009-08-18,185,0.096,5.22035582507832,-2.3434070875143,0.476693595085778,0.497166882168587,NA,NA,NA,NA,NA
"8",2009-08-25,193,0.092,5.26269018890489,-2.3859667019331,0.455845484413731,0.476881195494449,NA,NA,NA,NA,NA
"9",2009-09-01,162,0.08,5.08759633523238,-2.52572864430826,0.224967092762624,0.244437726759791,NA,NA,NA,NA,NA
"10",2009-09-08,213,0.11,5.36129216570943,-2.20727491318972,0.690603568707413,0.702483971182378,NA,NA,NA,NA,NA
"11",2009-09-10,486,0.144,6.18620862390049,-1.93794197940614,0.843707237154454,0.864915436771748,NA,NA,NA,NA,NA
"12",2009-09-15,257,0.106,5.54907608489522,-2.24431618487007,0.74372056838909,0.755256396268892,NA,NA,NA,NA,NA
"13",2009-09-22,3160,0.204,8.05832730658096,-1.58963528513792,-0.564475941769826,-0.501257933690519,NA,NA,NA,NA,NA
"14",2009-09-29,360,0.058,5.88610403145016,-2.84731226843572,0.16247801965758,0.144115601483242,NA,NA,NA,NA,NA
"15",2009-10-06,270,0.096,5.59842195899838,-2.3434070875143,0.662689963987435,0.668642604056028,NA,NA,NA,NA,NA
"16",2009-10-09,18900,0.96,9.84691720104773,-0.0408219945202552,0.0695449377235244,0.065438290630285,NA,NA,NA,NA,NA
"17",2009-10-13,2570,0.168,7.85166117788927,-1.78379129957888,-0.578117940642258,-0.520361804143812,NA,NA,NA,NA,NA
"18",2009-10-20,768,0.082,6.64378973314767,-2.50103603171788,0.0423438683801463,0.0345472302385179,NA,NA,NA,NA,NA
"19",2009-10-27,1010,0.079,6.9177056098353,-2.53830742651512,-0.233479508720577,-0.278896965904242,NA,NA,NA,NA,NA
"20",2009-10-30,9940,0.853,9.20432229965062,-0.158995731490458,0.188441758347974,0.193534153842336,NA,NA,NA,NA,NA
"21",2009-11-03,1310,0.076,7.1777824161952,-2.57702193869581,-0.588128174047133,-0.629096573606855,NA,NA,NA,NA,NA
"22",2009-11-10,662,0.01,6.49526555593701,-4.60517018598809,-1.99175985699321,-1.96612369116931,NA,NA,NA,NA,NA
"23",2009-11-17,704,0.062,6.55677835615804,-2.78062089393705,-0.189554696795701,-0.180368954239049,NA,NA,NA,NA,NA
"24",2009-11-23,492,0.052,6.19847871649231,-2.95651156040071,-0.184739793372744,-0.161268417246724,NA,NA,NA,NA,NA
"25",2009-12-01,410,0.032,6.01615715969835,-3.44201937618241,-0.526851271385887,-0.519280281613379,NA,NA,NA,NA,NA
"26",2009-12-08,351,0.028,5.86078622346587,-3.57555076880693,-0.554551808234868,-0.576451255642377,NA,NA,NA,NA,NA
"27",2009-12-15,332,0.016,5.80513496891649,-4.13516655674236,-1.0930403486034,-1.12327516791994,NA,NA,NA,NA,NA
"28",2009-12-21,289,0.016,5.66642668811243,-4.13516655674236,-1.09840616741933,-1.11512560184054,NA,NA,NA,NA,NA
"29",2009-12-29,385,0.033,5.95324333428778,-3.41124771751566,-0.444839297545755,-0.449479340039205,NA,NA,NA,NA,NA
"30",2010-01-05,353,0.028,5.8664680569333,-3.57555076880693,-0.557017070261654,-0.578071405431478,NA,NA,NA,NA,NA
"31",2010-01-12,292,0.016,5.67675380226828,-4.13516655674236,-1.0940547007135,-1.11459089522088,NA,NA,NA,NA,NA
"32",2010-01-19,311,0.034,5.73979291217923,-3.38139475436598,-0.326830540163824,-0.361505127580658,NA,NA,NA,NA,NA
"33",2010-01-26,853,0.044,6.74875954749168,-3.12356564506388,-0.662245416494495,-0.682857478115661,NA,NA,NA,NA,NA
"34",2010-02-03,1170,0.054,7.0647590277918,-2.91877123241786,-0.777856375949375,-0.833879051003367,NA,NA,NA,NA,NA
"35",2010-02-10,1170,0.064,7.0647590277918,-2.74887219562247,-0.607957339153985,-0.663980014207977,NA,NA,NA,NA,NA
"36",2010-02-16,777,0.038,6.65544035036765,-3.27016911925575,-0.735362764618478,-0.744269194746448,NA,NA,NA,NA,NA
"37",2010-02-23,982,0.068,6.88959130835447,-2.68824757380603,-0.355153884115091,-0.396817693929096,NA,NA,NA,NA,NA
"38",2010-03-02,608,0.028,6.41017488196617,-3.57555076880693,-0.926106295044437,-0.889315565502059,NA,NA,NA,NA,NA
"39",2010-03-08,513,0.034,6.24027584517077,-3.38139475436598,-0.637653640878938,-0.609411949058705,NA,NA,NA,NA,NA
"40",2010-03-16,475,0.05,6.16331480403464,-2.99573227355399,-0.194421139707209,-0.177896107384137,NA,NA,NA,NA,NA
"41",2010-03-22,1570,0.11,7.35883089834235,-2.20727491318972,-0.473689963945096,-0.469474348764253,NA,NA,NA,NA,NA
"42",2010-03-30,1320,0.052,7.18538701558042,-2.95651156040071,-0.978438603207106,-1.01773956542501,NA,NA,NA,NA,NA
"43",2010-04-07,931,0.064,6.83625927727707,-2.74887219562247,-0.36465146453675,-0.398498386009087,NA,NA,NA,NA,NA
"44",2010-04-13,621,0.036,6.43133108193348,-3.32423634052603,-0.685443700227183,-0.649205008360488,NA,NA,NA,NA,NA
"45",2010-04-20,493,0.044,6.20050917404269,-3.12356564506388,-0.353369207906259,-0.329551034657742,NA,NA,NA,NA,NA
"46",2010-04-27,557,0.066,6.32256523992728,-2.71810053695571,-0.02134501032956,0.0124883488180072,NA,NA,NA,NA,NA
