"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.65,0.0812466639817492,5,0.7,0.147042267975669,5,0.45,0.0877380144730519,5,0.55,0.14471999706682,5,0.3,0.23330150414589,5,0.85,0.105579064096582,5,0.4,0.2253704433476
"folds.6",6,0.75,0.116916156946344,6,0.7,0.146997153936075,6,0.5,0.0868966075756889,6,0.75,0.154998354171644,6,0.3,0.231798645908249,6,0.85,0.114749060731561,6,0.4,0.210092302358283
"folds.7",7,0.75,0.11827415402447,7,0.85,0.143658466865134,7,0.45,0.072625682756986,7,0.45,0.124985713469294,7,0.25,0.22600343143503,7,0.75,0.0748876709833209,7,0.35,0.222609752798067
"folds.8",8,0.65,0.10014784988573,8,0.75,0.148547388164896,8,0.45,0.0769043933353987,8,0.45,0.138597199370945,8,0.2,0.264952825989835,8,0.85,0.0948091530929587,8,0.35,0.21791217103621
"folds.9",9,0.7,0.102921606783304,9,0.7,0.13023134830613,9,0.4,0.0936831394235104,9,0.55,0.110661277632905,9,0.3,0.255248978090661,9,0.85,0.0725905486623572,9,0.35,0.218678778493171
"folds.10",10,0.8,0.0845154254728517,10,0.7,0.141280586357902,10,0.5,0.0691714816781527,10,0.45,0.129161345073611,10,0.4,0.248579638616468,10,0.85,0.0750849858629594,10,0.4,0.203662886723555
"folds.11",11,0.75,0.0816975507339012,11,0.8,0.118412113279971,11,0.45,0.0865495021737885,11,0.45,0.103035559544326,11,0.2,0.230086496601533,11,0.85,0.100351423324561,11,0.35,0.20270869820146
"folds.12",12,0.75,0.0816663195883226,12,0.65,0.135315202699596,12,0.5,0.0656599153958937,12,0.45,0.112485826771597,12,0.35,0.246404760754432,12,0.85,0.08315218406203,12,0.85,0.228770003028619
"folds.13",13,0.75,0.0740173724781651,13,0.75,0.13633691760503,13,0.45,0.0621797919794868,13,0.6,0.110951359079701,13,0.2,0.261098542660797,13,0.85,0.0773542078324622,13,0.4,0.224062673447973
"folds.14",14,0.7,0.0926701413727249,14,0.6,0.127938920375853,14,0.5,0.0771693076346829,14,0.45,0.10352954818282,14,0.2,0.229962286171504,14,0.85,0.066401684266812,14,0.35,0.234207303952054
"folds.15",15,0.75,0.0950617414835093,15,0.6,0.149911538541085,15,0.45,0.0658461410085229,15,0.4,0.122474487139159,15,0.2,0.23610141369975,15,0.8,0.0814160391358572,15,0.35,0.220780156606114
"folds.16",16,0.7,0.0753495256813748,16,0.55,0.13393952336173,16,0.45,0.0680935730732171,16,0.35,0.121894065750988,16,0.2,0.264360993139831,16,0.85,0.0766718424753927,16,0.35,0.190262975904404
"folds.17",17,0.75,0.0773871792366415,17,0.5,0.129050694041733,17,0.45,0.0735124590301063,17,0.6,0.109246024538887,17,0.3,0.246661380711886,17,0.85,0.075869113933007,17,0.35,0.229197802461239
