Date,Flow
2009-07-01,301
2009-07-02,291
2009-07-03,299
2009-07-04,342
2009-07-05,402
2009-07-06,355
2009-07-07,316
2009-07-08,298
2009-07-09,285
2009-07-10,273
2009-07-11,262
2009-07-12,253
2009-07-13,244
2009-07-14,260
2009-07-15,238
2009-07-16,229
2009-07-17,225
2009-07-18,217
2009-07-19,208
2009-07-20,201
2009-07-21,267
2009-07-22,500
2009-07-23,317
2009-07-24,266
2009-07-25,243
2009-07-26,229
2009-07-27,221
2009-07-28,285
2009-07-29,260
2009-07-30,244
2009-07-31,341
2009-08-01,277
2009-08-02,273
2009-08-03,233
2009-08-04,217
2009-08-05,212
2009-08-06,562
2009-08-07,333
2009-08-08,240
2009-08-09,207
2009-08-10,202
2009-08-11,468
2009-08-12,382
2009-08-13,275
2009-08-14,237
2009-08-15,215
2009-08-16,196
2009-08-17,183
2009-08-18,185
2009-08-19,191
2009-08-20,228
2009-08-21,496
2009-08-22,297
2009-08-23,229
2009-08-24,203
2009-08-25,193
2009-08-26,183
2009-08-27,175
2009-08-28,183
2009-08-29,190
2009-08-30,176
2009-08-31,165
2009-09-01,162
2009-09-02,177
2009-09-03,282
2009-09-04,238
2009-09-05,241
2009-09-06,435
2009-09-07,255
2009-09-08,213
2009-09-09,201
2009-09-10,486
2009-09-11,738
2009-09-12,410
2009-09-13,313
2009-09-14,274
2009-09-15,257
2009-09-16,268
2009-09-17,367
2009-09-18,354
2009-09-19,313
2009-09-20,269
2009-09-21,263
2009-09-22,3160
2009-09-23,1710
2009-09-24,968
2009-09-25,708
2009-09-26,559
2009-09-27,464
2009-09-28,392
2009-09-29,360
2009-09-30,334
2009-10-01,316
2009-10-02,298
2009-10-03,290
2009-10-04,267
2009-10-05,256
2009-10-06,270
2009-10-07,351
2009-10-08,437
2009-10-09,18900
2009-10-10,11700
2009-10-11,3830
2009-10-12,2740
2009-10-13,2570
2009-10-14,3320
2009-10-15,1980
2009-10-16,1430
2009-10-17,1140
2009-10-18,961
2009-10-19,848
2009-10-20,768
2009-10-21,710
2009-10-22,703
2009-10-23,861
2009-10-24,755
2009-10-25,672
2009-10-26,661
2009-10-27,1010
2009-10-28,1700
2009-10-29,1680
2009-10-30,9940
2009-10-31,4110
2009-11-01,2290
2009-11-02,1630
2009-11-03,1310
2009-11-04,1110
2009-11-05,975
2009-11-06,882
2009-11-07,816
2009-11-08,750
2009-11-09,700
2009-11-10,662
2009-11-11,623
2009-11-12,592
2009-11-13,570
2009-11-14,545
2009-11-15,522
2009-11-16,619
2009-11-17,704
2009-11-18,610
2009-11-19,563
2009-11-20,533
2009-11-21,526
2009-11-22,518
2009-11-23,492
2009-11-24,476
2009-11-25,477
2009-11-26,460
2009-11-27,435
2009-11-28,421
2009-11-29,407
2009-11-30,405
2009-12-01,410
2009-12-02,398
2009-12-03,387
2009-12-04,374
2009-12-05,361
2009-12-06,351
2009-12-07,343
2009-12-08,351
2009-12-09,374
2009-12-10,368
2009-12-11,350
2009-12-12,341
2009-12-13,343
2009-12-14,338
2009-12-15,332
2009-12-16,321
2009-12-17,318
2009-12-18,314
2009-12-19,305
2009-12-20,295
2009-12-21,289
2009-12-22,293
2009-12-23,295
2009-12-24,300
2009-12-25,476
2009-12-26,524
2009-12-27,437
2009-12-28,404
2009-12-29,385
2009-12-30,382
2009-12-31,395
2010-01-01,410
2010-01-02,386
2010-01-03,374
2010-01-04,363
2010-01-05,353
2010-01-06,342
2010-01-07,336
2010-01-08,318
2010-01-09,312
2010-01-10,306
2010-01-11,294
2010-01-12,292
2010-01-13,300
2010-01-14,303
2010-01-15,306
2010-01-16,311
2010-01-17,314
2010-01-18,310
2010-01-19,311
2010-01-20,311
2010-01-21,852
2010-01-22,1220
2010-01-23,838
2010-01-24,1090
2010-01-25,1090
2010-01-26,853
2010-01-27,732
2010-01-28,663
2010-01-29,825
2010-01-30,924
2010-01-31,793
2010-02-01,775
2010-02-02,835
2010-02-03,1170
2010-02-04,1390
2010-02-05,2600
2010-02-06,2330
2010-02-07,1700
2010-02-08,1430
2010-02-09,1400
2010-02-10,1170
2010-02-11,1050
2010-02-12,991
2010-02-13,967
2010-02-14,921
2010-02-15,845
2010-02-16,777
2010-02-17,730
2010-02-18,690
2010-02-19,663
2010-02-20,643
2010-02-21,687
2010-02-22,1200
2010-02-23,982
2010-02-24,852
2010-02-25,785
2010-02-26,741
2010-02-27,701
2010-02-28,660
2010-03-01,630
2010-03-02,608
2010-03-03,587
2010-03-04,571
2010-03-05,553
2010-03-06,537
2010-03-07,521
2010-03-08,513
2010-03-09,572
2010-03-10,584
2010-03-11,556
2010-03-12,531
2010-03-13,515
2010-03-14,502
2010-03-15,485
2010-03-16,475
2010-03-17,463
2010-03-18,459
2010-03-19,448
2010-03-20,469
2010-03-21,1150
2010-03-22,1570
2010-03-23,3530
2010-03-24,3370
2010-03-25,4020
2010-03-26,5920
2010-03-27,2870
2010-03-28,2030
2010-03-29,1580
2010-03-30,1320
2010-03-31,1150
2010-04-01,1020
2010-04-02,1010
2010-04-03,1890
2010-04-04,1430
2010-04-05,1150
2010-04-06,1030
2010-04-07,931
2010-04-08,843
2010-04-09,767
2010-04-10,719
2010-04-11,671
2010-04-12,641
2010-04-13,621
2010-04-14,594
2010-04-15,566
2010-04-16,544
2010-04-17,531
2010-04-18,512
2010-04-19,502
2010-04-20,493
2010-04-21,482
2010-04-22,472
2010-04-23,458
2010-04-24,522
2010-04-25,1060
2010-04-26,656
2010-04-27,557
2010-04-28,508
2010-04-29,482
2010-04-30,467
2010-05-01,471
2010-05-02,461
2010-05-03,433
2010-05-04,418
2010-05-05,405
2010-05-06,392
2010-05-07,378
2010-05-08,367
2010-05-09,356
2010-05-10,451
2010-05-11,628
2010-05-12,474
2010-05-13,443
2010-05-14,1700
2010-05-15,4440
2010-05-16,3370
2010-05-17,2390
2010-05-18,1360
2010-05-19,1030
2010-05-20,3970
2010-05-21,3030
2010-05-22,1620
2010-05-23,1200
2010-05-24,974
2010-05-25,852
2010-05-26,3710
2010-05-27,1340
2010-05-28,974
2010-05-29,822
2010-05-30,727
2010-05-31,654
2010-06-01,597
2010-06-02,561
2010-06-03,598
2010-06-04,616
2010-06-05,517
2010-06-06,480
2010-06-07,464
2010-06-08,613
2010-06-09,489
2010-06-10,451
2010-06-11,430
2010-06-12,431
2010-06-13,400
2010-06-14,402
2010-06-15,440
2010-06-16,425
2010-06-17,429
2010-06-18,401
2010-06-19,379
2010-06-20,367
2010-06-21,357
2010-06-22,348
2010-06-23,338
2010-06-24,327
2010-06-25,343
2010-06-26,337
2010-06-27,318
2010-06-28,333
2010-06-29,353
2010-06-30,322
2010-07-01,303
2010-07-02,296
2010-07-03,300
2010-07-04,312
2010-07-05,296
2010-07-06,291
2010-07-07,289
2010-07-08,326
2010-07-09,460
2010-07-10,830
2010-07-11,523
2010-07-12,402
2010-07-13,9220
2010-07-14,3380
2010-07-15,1350
2010-07-16,7940
2010-07-17,4690
2010-07-18,1770
2010-07-19,1100
2010-07-20,840
2010-07-21,692
2010-07-22,593
2010-07-23,524
2010-07-24,473
2010-07-25,428
2010-07-26,402
2010-07-27,932
2010-07-28,529
2010-07-29,413
2010-07-30,372
2010-07-31,342
2010-08-01,314
2010-08-02,297
2010-08-03,283
2010-08-04,273
2010-08-05,265
2010-08-06,259
2010-08-07,250
2010-08-08,239
2010-08-09,233
2010-08-10,229
2010-08-11,225
2010-08-12,219
2010-08-13,213
2010-08-14,208
2010-08-15,202
2010-08-16,199
2010-08-17,195
2010-08-18,200
2010-08-19,196
2010-08-20,193
2010-08-21,184
2010-08-22,176
2010-08-23,171
2010-08-24,173
2010-08-25,171
2010-08-26,166
2010-08-27,166
2010-08-28,170
2010-08-29,164
2010-08-30,161
2010-08-31,164
2010-09-01,171
2010-09-02,602
2010-09-03,617
2010-09-04,425
2010-09-05,288
2010-09-06,239
2010-09-07,215
2010-09-08,216
2010-09-09,1380
2010-09-10,2010
2010-09-11,685
2010-09-12,483
2010-09-13,394
2010-09-14,446
2010-09-15,946
2010-09-16,550
