"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2009-07-07,316,0.061,-2.79688141480883,5.75574221358691
"2",2009-07-14,260,0.067,-2.70306265959117,5.56068163101553
"3",2009-07-21,267,0.056,-2.88240358824699,5.58724865840025
"4",2009-07-28,285,0.062,-2.78062089393705,5.65248918026865
"5",2009-08-04,217,0.058,-2.84731226843572,5.37989735354046
"6",2009-08-11,468,0.079,-2.53830742651512,6.14846829591765
"7",2009-08-18,185,0.066,-2.71810053695571,5.22035582507832
"8",2009-08-25,193,0.065,-2.7333680090865,5.26269018890489
"9",2009-09-01,162,0.059,-2.83021783507642,5.08759633523238
"10",2009-09-08,213,0.072,-2.63108915996608,5.36129216570943
"11",2009-09-10,486,0.08,-2.52572864430826,6.18620862390049
"12",2009-09-15,257,0.073,-2.61729583783375,5.54907608489522
"13",2009-09-22,3160,0.132,-2.02495335639577,8.05832730658096
"14",2009-09-29,360,0.067,-2.70306265959117,5.88610403145016
"15",2009-10-06,270,0.058,-2.84731226843572,5.59842195899838
"16",2009-10-09,18900,0.28,-1.27296567581289,9.84691720104773
"17",2009-10-13,2570,0.099,-2.31263542884755,7.85166117788927
"18",2009-10-20,768,0.068,-2.68824757380603,6.64378973314767
"19",2009-10-27,1010,0.06,-2.81341071676004,6.9177056098353
"20",2009-10-30,9940,0.202,-1.59948758158093,9.20432229965062
"21",2009-11-03,1310,0.058,-2.84731226843572,7.1777824161952
"22",2009-11-10,662,0.053,-2.93746336543002,6.49526555593701
"23",2009-11-17,704,0.035,-3.35240721749272,6.55677835615804
"24",2009-11-23,492,0.035,-3.35240721749272,6.19847871649231
"25",2009-12-01,410,0.024,-3.72970144863419,6.01615715969835
"26",2009-12-08,351,0.014,-4.26869794936688,5.86078622346587
"27",2009-12-15,332,0.01,-4.60517018598809,5.80513496891649
"28",2009-12-21,289,0.009,-4.71053070164592,5.66642668811243
"29",2009-12-29,385,0.017,-4.07454193492592,5.95324333428778
"30",2010-01-05,353,0.019,-3.9633162998157,5.8664680569333
"31",2010-01-12,292,0.012,-4.42284862919414,5.67675380226828
"32",2010-01-19,311,0.013,-4.3428059215206,5.73979291217923
"33",2010-01-26,853,0.043,-3.14655516328857,6.74875954749168
"34",2010-02-03,1170,0.032,-3.44201937618241,7.0647590277918
"35",2010-02-10,1170,0.043,-3.14655516328857,7.0647590277918
"36",2010-02-16,777,0.033,-3.41124771751566,6.65544035036765
"37",2010-02-23,982,0.036,-3.32423634052603,6.88959130835447
"38",2010-03-02,608,0.01,-4.60517018598809,6.41017488196617
"39",2010-03-08,513,0.01,-4.60517018598809,6.24027584517077
"40",2010-03-16,475,0.035,-3.35240721749272,6.16331480403464
"41",2010-03-22,1570,0.049,-3.01593498087151,7.35883089834235
"42",2010-03-30,1320,0.041,-3.19418321227783,7.18538701558042
"43",2010-04-07,931,0.035,-3.35240721749272,6.83625927727707
"44",2010-04-13,621,0.005,-5.29831736654804,6.43133108193348
"45",2010-04-20,493,0.022,-3.81671282562382,6.20050917404269
"46",2010-04-27,557,0.042,-3.17008566069877,6.32256523992728
"47",2010-05-04,418,0.017,-4.07454193492592,6.03548143252476
"48",2010-05-11,628,0.047,-3.05760767727208,6.4425401664682
"49",2010-05-14,1700,0.058,-2.84731226843572,7.43838353004431
"50",2010-05-14,1700,0.086,-2.45340798272863,7.43838353004431
"51",2010-05-15,4440,0.103,-2.2730262907525,8.39840965542627
"52",2010-05-18,1360,0.064,-2.74887219562247,7.2152399787301
"53",2010-05-26,3710,0.058,-2.84731226843572,8.21878715560148
"54",2010-06-01,597,0.058,-2.84731226843572,6.3919171133926
"55",2010-06-08,613,0.049,-3.01593498087151,6.41836493593621
"56",2010-06-15,440,0.06,-2.81341071676004,6.08677472691231
"57",2010-06-23,338,0.058,-2.84731226843572,5.82304589548302
"58",2010-08-04,273,0.066,-2.71810053695571,5.60947179518496
"59",2010-08-09,233,0.064,-2.74887219562247,5.4510384535657
"60",2010-08-18,200,0.072,-2.63108915996608,5.29831736654804
"61",2010-08-25,171,0.065,-2.7333680090865,5.14166355650266
"62",2010-09-02,602,0.0695,-2.66642852641139,6.40025744530882
"63",2010-09-08,216,0.074,-2.60369018577797,5.37527840768417
"64",2010-09-15,946,0.09,-2.40794560865187,6.85224256905188
"65",2010-09-23,247,0.064,-2.74887219562247,5.50938833662798
"66",2010-09-30,246,0.053,-2.93746336543002,5.50533153593236
"67",2010-10-07,202,0.04,-3.2188758248682,5.30826769740121
"68",2010-10-13,188,0.045,-3.10109278921182,5.23644196282995
