"","TN.Date","TN.Flow","TN.concentrations.TN","lnC","lnQ"
"1",2009-07-07,316,2.64,0.970778917158225,5.75574221358691
"2",2009-07-14,260,2.73,1.00430160919687,5.56068163101553
"3",2009-07-28,285,2.52,0.924258901523332,5.65248918026865
"4",2009-08-04,217,2.31,0.837247524533702,5.37989735354046
"5",2009-08-11,468,2.28,0.824175442966349,6.14846829591765
"6",2009-08-18,185,2.19,0.783901543828409,5.22035582507832
"7",2009-08-25,193,2.19,0.783901543828409,5.26269018890489
"8",2009-09-01,162,2.44,0.89199803930511,5.08759633523238
"9",2009-09-08,213,2.404,0.877134016672961,5.36129216570943
"10",2009-09-10,486,2.26,0.815364813284194,6.18620862390049
"11",2009-09-15,257,2.32,0.841567185678219,5.54907608489522
"12",2009-09-22,3160,2.34,0.85015092936961,8.05832730658096
"13",2009-09-29,360,2.6,0.955511445027436,5.88610403145016
"14",2009-10-06,270,2.86,1.05082162483176,5.59842195899838
"15",2009-10-09,18900,1.46,0.378436435720245,9.84691720104773
"16",2009-10-13,2570,2.81,1.03318448334565,7.85166117788927
"17",2009-10-20,768,3.37,1.21491274436427,6.64378973314767
"18",2009-10-27,1010,3.165,1.15215305559614,6.9177056098353
"19",2009-10-30,9940,2.44,0.89199803930511,9.20432229965062
"20",2009-11-03,1310,3.05,1.11514159061932,7.1777824161952
"21",2009-11-10,662,3.23,1.17248213723457,6.49526555593701
"22",2009-11-17,704,3,1.09861228866811,6.55677835615804
"23",2009-11-23,492,3.12,1.13783300182139,6.19847871649231
"24",2009-12-01,410,3.02,1.10525683138678,6.01615715969835
"25",2009-12-08,351,3.26,1.18172719537862,5.86078622346587
"26",2009-12-15,332,3.18,1.15688119679209,5.80513496891649
"27",2009-12-21,289,3.26,1.18172719537862,5.66642668811243
"28",2009-12-29,385,2.605,0.95743267520533,5.95324333428778
"29",2010-01-05,353,2.65,0.974559639998131,5.8664680569333
"30",2010-01-12,292,3.17,1.15373158788919,5.67675380226828
"31",2010-01-19,311,3.1,1.1314021114911,5.73979291217923
"32",2010-01-26,853,2.5,0.916290731874155,6.74875954749168
"33",2010-02-03,1170,2.57,0.943905898907128,7.0647590277918
"34",2010-02-10,1170,3,1.09861228866811,7.0647590277918
"35",2010-02-16,777,3.04,1.11185751541813,6.65544035036765
"36",2010-02-23,982,2.59,0.951657875711446,6.88959130835447
"37",2010-03-02,608,3.15,1.14740245283754,6.41017488196617
"38",2010-03-08,513,3.17,1.15373158788919,6.24027584517077
"39",2010-03-16,475,3.3,1.19392246847243,6.16331480403464
"40",2010-03-22,1570,2.27,0.819779831493311,7.35883089834235
"41",2010-03-30,1320,3.3,1.19392246847243,7.18538701558042
"42",2010-04-07,931,2.97,1.08856195281461,6.83625927727707
"43",2010-04-13,621,2.84,1.04380405217311,6.43133108193348
"44",2010-04-20,493,3.19,1.16002091679675,6.20050917404269
"45",2010-04-27,557,2.56,0.940007258491471,6.32256523992728
"46",2010-05-04,418,2.74,1.00795792039998,6.03548143252476
"47",2010-05-11,628,2.92,1.07158361628019,6.4425401664682
"48",2010-05-14,1700,2.76,1.01523067972906,7.43838353004431
"49",2010-05-14,1700,2.22,0.797507195884188,7.43838353004431
"50",2010-05-15,4440,1.69,0.524728528934982,8.39840965542627
"51",2010-05-18,1360,2.21,0.792992515529661,7.2152399787301
"52",2010-05-26,3710,2.785,1.02424787337925,8.21878715560148
"53",2010-06-01,597,2.85,1.04731899428056,6.3919171133926
"54",2010-06-08,613,2.84,1.04380405217311,6.41836493593621
"55",2010-06-15,440,2.7,0.993251773010283,6.08677472691231
"56",2010-06-23,338,2.41,0.879626747502564,5.82304589548302
"57",2010-08-04,273,2.35,0.854415328156068,5.60947179518496
"58",2010-08-09,233,2.31,0.837247524533702,5.4510384535657
"59",2010-08-18,200,2.18,0.779324876800998,5.29831736654804
"60",2010-08-25,171,2.15,0.765467842139571,5.14166355650266
"61",2010-09-02,602,2.41,0.879626747502564,6.40025744530882
"62",2010-09-08,216,2.27,0.819779831493311,5.37527840768417
"63",2010-09-15,946,2.29,0.828551817566148,6.85224256905188
"64",2010-09-23,247,2.52,0.924258901523332,5.50938833662798
"65",2010-09-30,246,2.52,0.924258901523332,5.50533153593236
"66",2010-10-07,202,2.63,0.966983846189673,5.30826769740121
"67",2010-10-13,188,2.88,1.05779029414785,5.23644196282995
"68",2010-10-21,205,2.9,1.06471073699243,5.32300997913841
"69",2010-10-28,210,2.51,0.920282753143692,5.34710753071747
"70",2010-11-03,200,2.59,0.951657875711446,5.29831736654804
"71",2010-11-11,177,2.54,0.932164081030445,5.17614973257383
"72",2010-11-16,177,2.54,0.932164081030445,5.17614973257383
"73",2010-11-29,283,2.31,0.837247524533702,5.64544689764324
"74",2010-12-09,196,2.92,1.07158361628019,5.27811465923052
"75",2010-12-16,183,2.81,1.03318448334565,5.20948615284142
"76",2011-01-06,218,2.74,1.00795792039998,5.38449506278909
"77",2011-01-12,178,2.9,1.06471073699243,5.18178355029209
"78",2011-01-21,177,2.94,1.07840958135059,5.17614973257383
"79",2011-01-26,174,3.17,1.15373158788919,5.15905529921453
"80",2011-02-06,213,2.82,1.03673688495002,5.36129216570943
"81",2011-02-12,275,2.71,0.99694863489161,5.61677109766657
"82",2011-02-14,673,2.7,0.993251773010283,6.51174532964473
"83",2011-02-25,753,2.89,1.06125650212434,6.62406522779989
"84",2011-03-14,642,2.64,0.970778917158225,6.46458830368996
"85",2011-03-31,265,2.79,1.02604159583327,5.57972982598622
"86",2011-04-07,241,1.96,0.672944473242426,5.48479693349065
"87",2011-04-11,471,2.81,1.03318448334565,6.15485809401642
"88",2011-04-20,308,1.92,0.65232518603969,5.73009978297357
"89",2011-04-23,4140,3.07,1.12167756159911,8.32845106681936
"90",2011-04-25,44900,2.19,0.783901543828409,10.7121930737303
"91",2011-04-26,42700,1.81,0.593326845277734,10.6619541992167
"92",2011-05-11,871,3.72,1.31372366828506,6.7696419768525
"93",2011-05-18,608,3.24,1.17557332980424,6.41017488196617
"94",2011-05-24,31600,1.45,0.371563556432483,10.360912399575
"95",2011-06-09,594,3.07,1.12167756159911,6.38687931936265
"96",2011-06-16,485,3.14,1.14422279992016,6.18414889093748
"97",2011-07-14,291,2.73,1.00430160919687,5.67332326717149
"98",2011-07-20,221,2.29,0.828551817566148,5.39816270151775
"99",2011-07-28,193,2.26,0.815364813284194,5.26269018890489
"100",2011-08-04,177,2.05,0.717839793150317,5.17614973257383
"101",2011-08-10,329,2.41,0.879626747502564,5.79605775076537
"102",2011-08-17,263,2.14,0.76080582903376,5.57215403217776
"103",2011-08-31,170,2.14,0.76080582903376,5.13579843705026
"104",2011-09-07,141,1.99,0.688134638736401,4.94875989037817
"105",2011-09-15,139,2.44,0.89199803930511,4.93447393313069
"106",2011-09-19,783,2.93,1.07500242302898,6.6631326959908
"107",2011-09-29,234,2.855,1.04907184310797,5.4553211153577
"108",2011-10-05,186,2.79,1.02604159583327,5.2257466737132
"109",2011-10-13,427,2.82,1.03673688495002,6.05678401322862
"110",2011-10-27,207,2.6,0.955511445027436,5.33271879326537
"111",2011-11-02,191,2.57,0.943905898907128,5.25227342804663
"112",2011-11-09,7390,3.89,1.35840915763035,8.90788301394225
"113",2011-11-16,537,3.95,1.37371557891303,6.28599809450886
"114",2011-11-30,509,3.77,1.32707500145992,6.23244801655052
"115",2011-12-07,630,3.33,1.20297230399235,6.44571981938558
"116",2011-12-15,3250,2.82,1.03673688495002,8.08641027532378
"117",2012-01-04,363,3.58,1.27536280041261,5.89440283426485
"118",2012-01-11,381,3.72,1.31372366828506,5.9427993751267
"119",2012-01-18,311,3.19,1.16002091679675,5.73979291217923
"120",2012-01-26,2700,2.71,0.99694863489161,7.90100705199242
"121",2012-02-01,571,3.39,1.22082992139236,6.34738920965601
"122",2012-02-04,2120,3.17,1.15373158788919,7.65917136766606
"123",2012-02-15,472,3.64,1.29198368164865,6.15697898558556
"124",2012-02-29,366,3.13,1.14103300455206,5.90263333340137
"125",2012-03-15,442,2.74,1.00795792039998,6.0913098820777
"126",2012-03-20,3310,3.03,1.10856261952128,8.10470346837111
"127",2012-03-22,7290,3.09,1.12817109090965,8.8942588250027
"128",2012-03-28,1010,3.555,1.2683550632552,6.9177056098353
"129",2012-04-11,417,3.18,1.15688119679209,6.0330862217988
"130",2012-04-16,792,3.31,1.19694818938897,6.67456139181443
"131",2012-04-25,302,2.99,1.0952733874026,5.71042701737487
"132",2012-05-02,435,2.94,1.07840958135059,6.07534603108868
"133",2012-05-09,244,2.86,1.05082162483176,5.4971682252932
"134",2012-05-17,205,2.77,1.01884732019925,5.32300997913841
"135",2012-05-23,179,2.71,0.99694863489161,5.18738580584075
"136",2012-05-31,197,2.39,0.871293365943419,5.28320372873799
"137",2012-06-04,389,2.36,0.858661619037519,5.96357934361845
"138",2012-06-13,158,2.12,0.751416088683921,5.06259503302697
"139",2012-06-20,136,1.89,0.636576829071551,4.91265488573605
