Date,Flow
7/1/2009,27
7/2/2009,27
7/3/2009,29
7/4/2009,30
7/5/2009,31
7/6/2009,29
7/7/2009,28
7/8/2009,28
7/9/2009,27
7/10/2009,27
7/11/2009,27
7/12/2009,27
7/13/2009,26
7/14/2009,26
7/15/2009,25
7/16/2009,26
7/17/2009,25
7/18/2009,23
7/19/2009,23
7/20/2009,23
7/21/2009,28
7/22/2009,27
7/23/2009,25
7/24/2009,24
7/25/2009,24
7/26/2009,24
7/27/2009,24
7/28/2009,26
7/29/2009,25
7/30/2009,25
7/31/2009,25
8/1/2009,25
8/2/2009,24
8/3/2009,24
8/4/2009,23
8/5/2009,23
8/6/2009,24
8/7/2009,23
8/8/2009,26
8/9/2009,22
8/10/2009,22
8/11/2009,27
8/12/2009,24
8/13/2009,23
8/14/2009,22
8/15/2009,22
8/16/2009,21
8/17/2009,22
8/18/2009,23
8/19/2009,22
8/20/2009,24
8/21/2009,24
8/22/2009,22
8/23/2009,22
8/24/2009,22
8/25/2009,21
8/26/2009,21
8/27/2009,21
8/28/2009,22
8/29/2009,22
8/30/2009,22
8/31/2009,20
9/1/2009,20
9/2/2009,23
9/3/2009,24
9/4/2009,23
9/5/2009,23
9/6/2009,22
9/7/2009,22
9/8/2009,22
9/9/2009,24
9/10/2009,34
9/11/2009,29
9/12/2009,26
9/13/2009,25
9/14/2009,25
9/15/2009,24
9/16/2009,24
9/17/2009,24
9/18/2009,23
9/19/2009,23
9/20/2009,22
9/21/2009,27
9/22/2009,44
9/23/2009,36
9/24/2009,31
9/25/2009,28
9/26/2009,27
9/27/2009,26
9/28/2009,25
9/29/2009,24
9/30/2009,24
10/1/2009,18
10/2/2009,17
10/3/2009,16
10/4/2009,16
10/5/2009,16
10/6/2009,15
10/7/2009,13
10/8/2009,60
10/9/2009,1360
10/10/2009,479
10/11/2009,249
10/12/2009,178
10/13/2009,155
10/14/2009,134
10/15/2009,115
10/16/2009,98
10/17/2009,81
10/18/2009,70
10/19/2009,62
10/20/2009,59
10/21/2009,55
10/22/2009,66
10/23/2009,67
10/24/2009,64
10/25/2009,62
10/26/2009,110
10/27/2009,200
10/28/2009,300
10/29/2009,400
10/30/2009,600
10/31/2009,390
11/1/2009,300
11/2/2009,200
11/3/2009,125
11/4/2009,100
11/5/2009,80
11/6/2009,61
11/7/2009,59
11/8/2009,56
11/9/2009,53
11/10/2009,53
11/11/2009,49
11/12/2009,48
11/13/2009,49
11/14/2009,45
11/15/2009,46
