Date,Flow
7/1/2009,301
7/2/2009,291
7/3/2009,299
7/4/2009,342
7/5/2009,402
7/6/2009,355
7/7/2009,316
7/8/2009,298
7/9/2009,285
7/10/2009,273
7/11/2009,262
7/12/2009,253
7/13/2009,244
7/14/2009,260
7/15/2009,238
7/16/2009,229
7/17/2009,225
7/18/2009,217
7/19/2009,208
7/20/2009,201
7/21/2009,267
7/22/2009,500
7/23/2009,317
7/24/2009,266
7/25/2009,243
7/26/2009,229
7/27/2009,221
7/28/2009,285
7/29/2009,260
7/30/2009,244
7/31/2009,341
8/1/2009,277
8/2/2009,273
8/3/2009,233
8/4/2009,217
8/5/2009,212
8/6/2009,562
8/7/2009,333
8/8/2009,240
8/9/2009,207
8/10/2009,202
8/11/2009,468
8/12/2009,382
8/13/2009,275
8/14/2009,237
8/15/2009,215
8/16/2009,196
8/17/2009,183
8/18/2009,185
8/19/2009,191
8/20/2009,228
8/21/2009,496
8/22/2009,297
8/23/2009,229
8/24/2009,203
8/25/2009,193
8/26/2009,183
8/27/2009,175
8/28/2009,183
8/29/2009,190
8/30/2009,176
8/31/2009,165
9/1/2009,162
9/2/2009,177
9/3/2009,282
9/4/2009,238
9/5/2009,241
9/6/2009,435
9/7/2009,255
9/8/2009,213
9/9/2009,201
9/10/2009,486
9/11/2009,738
9/12/2009,410
9/13/2009,313
9/14/2009,274
9/15/2009,257
9/16/2009,268
9/17/2009,367
9/18/2009,354
9/19/2009,313
9/20/2009,269
9/21/2009,263
9/22/2009,3160
9/23/2009,1710
9/24/2009,968
9/25/2009,708
9/26/2009,559
9/27/2009,464
9/28/2009,392
9/29/2009,360
9/30/2009,334
10/1/2009,316
10/2/2009,298
10/3/2009,290
10/4/2009,267
10/5/2009,256
10/6/2009,270
10/7/2009,351
10/8/2009,437
10/9/2009,18900
10/10/2009,11700
10/11/2009,3830
10/12/2009,2740
10/13/2009,2570
10/14/2009,3320
10/15/2009,1980
10/16/2009,1430
10/17/2009,1140
10/18/2009,961
10/19/2009,848
10/20/2009,768
10/21/2009,710
10/22/2009,703
10/23/2009,861
10/24/2009,755
10/25/2009,672
10/26/2009,661
10/27/2009,1010
10/28/2009,1700
10/29/2009,1680
10/30/2009,9940
10/31/2009,4110
11/1/2009,2290
11/2/2009,1630
11/3/2009,1310
11/4/2009,1110
11/5/2009,975
11/6/2009,882
11/7/2009,816
11/8/2009,750
11/9/2009,700
11/10/2009,662
11/11/2009,623
11/12/2009,592
11/13/2009,570
11/14/2009,545
11/15/2009,522
11/16/2009,619
11/17/2009,704
11/18/2009,610
11/19/2009,563
11/20/2009,533
11/21/2009,526
11/22/2009,518
11/23/2009,492
11/24/2009,476
11/25/2009,477
11/26/2009,460
11/27/2009,435
11/28/2009,421
11/29/2009,407
11/30/2009,405
12/1/2009,410
12/2/2009,398
12/3/2009,387
12/4/2009,374
12/5/2009,361
12/6/2009,351
12/7/2009,343
12/8/2009,351
12/9/2009,374
12/10/2009,368
12/11/2009,350
12/12/2009,341
12/13/2009,343
12/14/2009,338
12/15/2009,332
12/16/2009,321
12/17/2009,318
12/18/2009,314
12/19/2009,305
12/20/2009,295
12/21/2009,289
12/22/2009,293
12/23/2009,295
12/24/2009,300
12/25/2009,476
12/26/2009,524
12/27/2009,437
12/28/2009,404
12/29/2009,385
12/30/2009,382
12/31/2009,395
1/1/2010,410
1/2/2010,386
1/3/2010,374
1/4/2010,363
1/5/2010,353
1/6/2010,342
1/7/2010,336
1/8/2010,318
1/9/2010,312
1/10/2010,306
1/11/2010,294
1/12/2010,292
1/13/2010,300
1/14/2010,303
1/15/2010,306
1/16/2010,311
1/17/2010,314
1/18/2010,310
1/19/2010,311
1/20/2010,311
1/21/2010,852
1/22/2010,1220
1/23/2010,838
1/24/2010,1090
1/25/2010,1090
1/26/2010,853
1/27/2010,732
1/28/2010,663
1/29/2010,825
1/30/2010,924
1/31/2010,793
2/1/2010,775
2/2/2010,835
2/3/2010,1170
2/4/2010,1390
2/5/2010,2600
2/6/2010,2330
2/7/2010,1700
2/8/2010,1430
2/9/2010,1400
2/10/2010,1170
2/11/2010,1050
2/12/2010,991
2/13/2010,967
2/14/2010,921
2/15/2010,845
2/16/2010,777
2/17/2010,730
2/18/2010,690
2/19/2010,663
2/20/2010,643
2/21/2010,687
2/22/2010,1200
2/23/2010,982
2/24/2010,852
2/25/2010,785
2/26/2010,741
2/27/2010,701
2/28/2010,660
3/1/2010,630
3/2/2010,608
3/3/2010,587
3/4/2010,571
3/5/2010,553
3/6/2010,537
3/7/2010,521
3/8/2010,513
3/9/2010,572
3/10/2010,584
3/11/2010,556
3/12/2010,531
3/13/2010,515
3/14/2010,502
3/15/2010,485
3/16/2010,475
3/17/2010,463
3/18/2010,459
3/19/2010,448
3/20/2010,469
3/21/2010,1150
3/22/2010,1570
3/23/2010,3530
3/24/2010,3370
3/25/2010,4020
3/26/2010,5920
3/27/2010,2870
3/28/2010,2030
3/29/2010,1580
3/30/2010,1320
3/31/2010,1150
4/1/2010,1020
4/2/2010,1010
4/3/2010,1890
4/4/2010,1430
4/5/2010,1150
4/6/2010,1030
4/7/2010,931
4/8/2010,843
4/9/2010,767
4/10/2010,719
4/11/2010,671
4/12/2010,641
4/13/2010,621
4/14/2010,594
4/15/2010,566
4/16/2010,544
4/17/2010,531
4/18/2010,512
4/19/2010,502
4/20/2010,493
4/21/2010,482
4/22/2010,472
4/23/2010,458
4/24/2010,522
4/25/2010,1060
4/26/2010,656
4/27/2010,557
4/28/2010,508
4/29/2010,482
4/30/2010,467
5/1/2010,471
5/2/2010,461
5/3/2010,433
5/4/2010,418
5/5/2010,405
5/6/2010,392
5/7/2010,378
5/8/2010,367
5/9/2010,356
5/10/2010,451
5/11/2010,628
5/12/2010,474
5/13/2010,443
5/14/2010,1700
5/15/2010,4440
5/16/2010,3370
5/17/2010,2390
5/18/2010,1360
5/19/2010,1030
5/20/2010,3970
5/21/2010,3030
5/22/2010,1620
5/23/2010,1200
5/24/2010,974
5/25/2010,852
5/26/2010,3710
5/27/2010,1340
5/28/2010,974
5/29/2010,822
5/30/2010,727
5/31/2010,654
6/1/2010,597
6/2/2010,561
6/3/2010,598
6/4/2010,616
6/5/2010,517
6/6/2010,480
6/7/2010,464
6/8/2010,613
6/9/2010,489
6/10/2010,451
6/11/2010,430
6/12/2010,431
6/13/2010,400
6/14/2010,402
6/15/2010,440
6/16/2010,425
6/17/2010,429
6/18/2010,401
6/19/2010,379
6/20/2010,367
6/21/2010,357
6/22/2010,348
6/23/2010,338
6/24/2010,327
6/25/2010,343
6/26/2010,337
6/27/2010,318
6/28/2010,333
6/29/2010,353
6/30/2010,322
7/1/2010,303
7/2/2010,296
7/3/2010,300
7/4/2010,312
7/5/2010,296
7/6/2010,291
7/7/2010,289
7/8/2010,326
7/9/2010,460
7/10/2010,830
7/11/2010,523
7/12/2010,402
7/13/2010,9220
7/14/2010,3380
7/15/2010,1350
7/16/2010,7940
7/17/2010,4690
7/18/2010,1770
7/19/2010,1100
7/20/2010,840
7/21/2010,692
7/22/2010,593
7/23/2010,524
7/24/2010,473
7/25/2010,428
7/26/2010,402
7/27/2010,932
7/28/2010,529
7/29/2010,413
7/30/2010,372
7/31/2010,342
8/1/2010,314
8/2/2010,297
8/3/2010,283
8/4/2010,273
8/5/2010,265
8/6/2010,259
8/7/2010,250
8/8/2010,239
8/9/2010,233
8/10/2010,229
8/11/2010,225
8/12/2010,219
8/13/2010,213
8/14/2010,208
8/15/2010,202
8/16/2010,199
8/17/2010,195
8/18/2010,200
8/19/2010,196
8/20/2010,193
8/21/2010,184
8/22/2010,176
8/23/2010,171
8/24/2010,173
8/25/2010,171
8/26/2010,166
8/27/2010,166
8/28/2010,170
8/29/2010,164
8/30/2010,161
8/31/2010,164
9/1/2010,171
9/2/2010,602
9/3/2010,617
9/4/2010,425
9/5/2010,288
9/6/2010,239
9/7/2010,215
9/8/2010,216
9/9/2010,1380
9/10/2010,2010
9/11/2010,685
9/12/2010,483
9/13/2010,394
9/14/2010,446
9/15/2010,946
9/16/2010,550
9/17/2010,436
9/18/2010,372
9/19/2010,327
9/20/2010,299
9/21/2010,276
9/22/2010,259
9/23/2010,247
9/24/2010,377
9/25/2010,523
9/26/2010,343
9/27/2010,293
9/28/2010,276
9/29/2010,262
9/30/2010,246
10/1/2010,236
10/2/2010,224
10/3/2010,212
10/4/2010,204
10/5/2010,205
10/6/2010,204
10/7/2010,202
10/8/2010,198
10/9/2010,193
10/10/2010,186
10/11/2010,182
10/12/2010,185
10/13/2010,188
10/14/2010,182
10/15/2010,181
10/16/2010,182
10/17/2010,176
10/18/2010,174
10/19/2010,190
10/20/2010,220
10/21/2010,205
10/22/2010,193
10/23/2010,193
10/24/2010,241
10/25/2010,251
10/26/2010,227
10/27/2010,229
10/28/2010,210
10/29/2010,198
10/30/2010,192
10/31/2010,185
11/1/2010,180
11/2/2010,183
11/3/2010,200
11/4/2010,198
11/5/2010,182
11/6/2010,180
11/7/2010,177
11/8/2010,172
11/9/2010,175
11/10/2010,179
11/11/2010,177
11/12/2010,180
11/13/2010,181
11/14/2010,187
11/15/2010,176
11/16/2010,177
11/17/2010,178
11/18/2010,173
11/19/2010,174
11/20/2010,175
11/21/2010,173
11/22/2010,171
11/23/2010,181
11/24/2010,210
11/25/2010,323
11/26/2010,776
11/27/2010,428
11/28/2010,324
11/29/2010,283
11/30/2010,264
12/1/2010,248
12/2/2010,237
12/3/2010,227
12/4/2010,220
12/5/2010,206
12/6/2010,197
12/7/2010,198
12/8/2010,197
12/9/2010,196
12/10/2010,194
12/11/2010,192
12/12/2010,182
12/13/2010,180
12/14/2010,181
12/15/2010,182
12/16/2010,183
12/17/2010,198
12/18/2010,216
12/19/2010,215
12/20/2010,214
12/21/2010,191
12/22/2010,177
12/23/2010,169
12/24/2010,173
12/25/2010,171
12/26/2010,162
12/27/2010,158
12/28/2010,163
12/29/2010,177
12/30/2010,192
12/31/2010,221
1/1/2011,411
1/2/2011,302
1/3/2011,256
1/4/2011,238
1/5/2011,227
1/6/2011,218
1/7/2011,211
1/8/2011,200
1/9/2011,192
1/10/2011,184
1/11/2011,182
1/12/2011,178
1/13/2011,177
1/14/2011,179
1/15/2011,179
1/16/2011,175
1/17/2011,172
1/18/2011,176
1/19/2011,175
1/20/2011,178
1/21/2011,177
1/22/2011,178
1/23/2011,175
1/24/2011,170
1/25/2011,173
1/26/2011,174
1/27/2011,173
1/28/2011,174
1/29/2011,184
1/30/2011,180
1/31/2011,176
2/1/2011,193
2/2/2011,235
2/3/2011,211
2/4/2011,209
2/5/2011,213
2/6/2011,213
2/7/2011,231
2/8/2011,283
2/9/2011,300
2/10/2011,292
2/11/2011,274
2/12/2011,275
2/13/2011,298
2/14/2011,673
2/15/2011,865
2/16/2011,858
2/17/2011,733
2/18/2011,607
2/19/2011,516
2/20/2011,457
2/21/2011,424
2/22/2011,393
2/23/2011,363
2/24/2011,357
2/25/2011,753
2/26/2011,613
2/27/2011,510
2/28/2011,2180
3/1/2011,1150
3/2/2011,701
3/3/2011,560
3/4/2011,490
3/5/2011,765
3/6/2011,698
3/7/2011,556
3/8/2011,489
3/9/2011,448
3/10/2011,406
3/11/2011,372
3/12/2011,348
3/13/2011,329
3/14/2011,642
3/15/2011,943
3/16/2011,634
3/17/2011,530
3/18/2011,473
3/19/2011,428
3/20/2011,391
3/21/2011,364
3/22/2011,349
3/23/2011,333
3/24/2011,308
3/25/2011,292
3/26/2011,281
3/27/2011,277
3/28/2011,265
3/29/2011,266
3/30/2011,270
3/31/2011,265
4/1/2011,319
4/2/2011,320
4/3/2011,290
4/4/2011,269
4/5/2011,264
4/6/2011,252
4/7/2011,241
4/8/2011,237
4/9/2011,230
4/10/2011,218
4/11/2011,471
4/12/2011,811
4/13/2011,468
4/14/2011,374
4/15/2011,527
4/16/2011,633
4/17/2011,432
4/18/2011,355
4/19/2011,326
4/20/2011,308
4/21/2011,303
4/22/2011,2670
4/23/2011,4140
4/24/2011,24400
4/25/2011,44900
4/26/2011,42700
4/27/2011,9600
4/28/2011,8790
4/29/2011,4830
4/30/2011,3610
5/1/2011,3040
5/2/2011,7520
