Date,Flow
7/1/2009,308
7/2/2009,300
7/3/2009,303
7/4/2009,345
7/5/2009,386
7/6/2009,362
7/7/2009,327
7/8/2009,310
7/9/2009,299
7/10/2009,287
7/11/2009,278
7/12/2009,267
7/13/2009,259
7/14/2009,260
7/15/2009,254
7/16/2009,248
7/17/2009,243
7/18/2009,234
7/19/2009,226
7/20/2009,224
7/21/2009,270
7/22/2009,446
7/23/2009,333
7/24/2009,283
7/25/2009,259
7/26/2009,246
7/27/2009,238
7/28/2009,283
7/29/2009,281
7/30/2009,268
7/31/2009,330
8/1/2009,302
8/2/2009,285
8/3/2009,259
8/4/2009,241
8/5/2009,235
8/6/2009,468
8/7/2009,368
8/8/2009,269
8/9/2009,237
8/10/2009,225
8/11/2009,394
8/12/2009,404
8/13/2009,301
8/14/2009,265
8/15/2009,243
8/16/2009,227
8/17/2009,220
8/18/2009,222
8/19/2009,225
8/20/2009,263
8/21/2009,449
8/22/2009,332
8/23/2009,265
8/24/2009,240
8/25/2009,230
8/26/2009,222
8/27/2009,215
8/28/2009,228
8/29/2009,233
8/30/2009,219
8/31/2009,210
9/1/2009,205
9/2/2009,218
9/3/2009,294
9/4/2009,285
9/5/2009,271
9/6/2009,472
9/7/2009,317
9/8/2009,263
9/9/2009,252
9/10/2009,445
9/11/2009,750
9/12/2009,453
9/13/2009,360
9/14/2009,365
9/15/2009,350
9/16/2009,333
9/17/2009,430
9/18/2009,411
9/19/2009,374
9/20/2009,331
9/21/2009,316
9/22/2009,2990
9/23/2009,1790
9/24/2009,922
9/25/2009,640
9/26/2009,501
9/27/2009,425
9/28/2009,367
9/29/2009,336
9/30/2009,311
10/1/2009,294
10/2/2009,277
10/3/2009,269
10/4/2009,252
10/5/2009,243
10/6/2009,249
10/7/2009,304
10/8/2009,365
10/9/2009,17300
10/10/2009,12000
10/11/2009,3170
10/12/2009,2360
10/13/2009,2210
10/14/2009,2760
10/15/2009,1880
10/16/2009,1450
10/17/2009,1180
10/18/2009,1010
10/19/2009,899
10/20/2009,815
10/21/2009,752
10/22/2009,737
10/23/2009,936
10/24/2009,840
10/25/2009,731
10/26/2009,723
10/27/2009,1100
10/28/2009,1750
10/29/2009,1610
10/30/2009,7660
10/31/2009,3620
11/1/2009,2140
11/2/2009,1620
11/3/2009,1330
11/4/2009,1130
11/5/2009,991
11/6/2009,887
11/7/2009,817
11/8/2009,744
11/9/2009,690
11/10/2009,652
11/11/2009,613
11/12/2009,581
11/13/2009,560
11/14/2009,537
11/15/2009,519
11/16/2009,595
11/17/2009,725
11/18/2009,626
11/19/2009,565
11/20/2009,538
11/21/2009,528
11/22/2009,523
11/23/2009,501
11/24/2009,491
11/25/2009,490
11/26/2009,476
11/27/2009,450
11/28/2009,434
11/29/2009,423
11/30/2009,421
12/1/2009,426
12/2/2009,417
12/3/2009,409
12/4/2009,397
12/5/2009,379
12/6/2009,367
12/7/2009,363
12/8/2009,369
12/9/2009,394
12/10/2009,394
12/11/2009,374
12/12/2009,363
12/13/2009,364
12/14/2009,359
12/15/2009,353
12/16/2009,343
12/17/2009,339
12/18/2009,337
12/19/2009,329
12/20/2009,319
12/21/2009,312
12/22/2009,312
12/23/2009,315
12/24/2009,318
12/25/2009,431
12/26/2009,535
12/27/2009,455
12/28/2009,417
12/29/2009,397
12/30/2009,393
12/31/2009,406
1/1/2010,423
1/2/2010,400
1/3/2010,386
1/4/2010,378
1/5/2010,368
1/6/2010,354
1/7/2010,350
1/8/2010,329
1/9/2010,316
1/10/2010,309
1/11/2010,309
1/12/2010,307
1/13/2010,307
1/14/2010,308
1/15/2010,310
1/16/2010,311
1/17/2010,314
1/18/2010,311
1/19/2010,306
1/20/2010,308
1/21/2010,687
1/22/2010,1260
1/23/2010,829
1/24/2010,1010
1/25/2010,1080
1/26/2010,835
1/27/2010,701
1/28/2010,612
1/29/2010,781
1/30/2010,929
1/31/2010,786
2/1/2010,750
2/2/2010,806
2/3/2010,1150
2/4/2010,1350
2/5/2010,2270
2/6/2010,2140
2/7/2010,1620
2/8/2010,1360
2/9/2010,1350
2/10/2010,1160
2/11/2010,1030
2/12/2010,971
2/13/2010,946
2/14/2010,898
2/15/2010,826
2/16/2010,755
2/17/2010,704
2/18/2010,660
2/19/2010,627
2/20/2010,606
2/21/2010,648
2/22/2010,1160
2/23/2010,979
2/24/2010,836
2/25/2010,759
2/26/2010,712
2/27/2010,672
2/28/2010,630
3/1/2010,597
3/2/2010,576
3/3/2010,549
3/4/2010,526
3/5/2010,503
3/6/2010,479
3/7/2010,457
3/8/2010,449
3/9/2010,497
3/10/2010,523
3/11/2010,490
3/12/2010,461
3/13/2010,441
3/14/2010,420
3/15/2010,401
3/16/2010,393
3/17/2010,380
3/18/2010,371
3/19/2010,358
3/20/2010,373
3/21/2010,999
3/22/2010,1430
3/23/2010,3010
3/24/2010,2930
3/25/2010,3380
3/26/2010,4980
3/27/2010,2580
3/28/2010,1910
3/29/2010,1540
3/30/2010,1310
3/31/2010,1130
4/1/2010,1010
4/2/2010,999
4/3/2010,1800
4/4/2010,1420
4/5/2010,1150
4/6/2010,1020
4/7/2010,915
4/8/2010,826
4/9/2010,745
4/10/2010,689
4/11/2010,637
4/12/2010,602
4/13/2010,579
4/14/2010,551
4/15/2010,520
4/16/2010,499
4/17/2010,485
4/18/2010,468
4/19/2010,451
4/20/2010,440
4/21/2010,428
4/22/2010,416
4/23/2010,407
4/24/2010,440
