"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2011-07-14,0.02,0.169,-3.91202300542815,-1.77785656405906,1.02068013854075,1.02068013854075,0.426690323157273,0.5,0.426690323157273,6.49510428800681,6.49510428800681
"2",2011-08-10,0.23,0.21,-1.46967597005894,-1.56064774826467,0.51964437112938,0.51964437112938,NA,NA,NA,NA,NA
"3",2011-08-17,0.02,0.06,-3.91202300542815,-2.81341071676004,-0.0148740141602337,-0.0148740141602337,NA,NA,NA,NA,NA
"4",2011-09-17,0.08,0.731,-2.52572864430826,-0.313341819232359,1.59331200995664,1.59331200995664,NA,NA,NA,NA,NA
"5",2011-09-21,0.14,0.499,-1.96611285637283,-0.695149183230618,1.21049041601615,1.21049041601615,NA,NA,NA,NA,NA
"6",2011-09-27,0.16,0.706,-1.83258146374831,-0.348140041488895,1.63936549999604,1.63936549999604,NA,NA,NA,NA,NA
"7",2011-10-05,0.05,0.082,-2.99573227355399,-2.50103603171788,-0.336961810199353,-0.336961810199353,NA,NA,NA,NA,NA
"8",2011-10-14,0.06,0.183,-2.81341071676004,-1.69826912614072,0.372041420147931,0.372041420147931,NA,NA,NA,NA,NA
"9",2011-10-27,1.3,0.129,0.262364264467491,-2.04794287462046,-1.19238992511593,-1.19238992511593,NA,NA,NA,NA,NA
"10",2011-11-02,0.9,0.004,-0.105360515657826,-5.52146091786225,-4.87512239864588,-4.87512239864588,NA,NA,NA,NA,NA
"11",2011-11-09,3.5,3.639,1.25276296849537,1.29170891863002,2.30710052034544,2.30710052034544,NA,NA,NA,NA,NA
"12",2011-11-16,0.75,0.599,-0.287682072451781,-0.512493680866688,0.144013387046713,0.144013387046713,NA,NA,NA,NA,NA
"13",2011-11-30,0.58,1.348,-0.544727175441672,0.298622012490115,1.10479667386949,1.10479667386949,NA,NA,NA,NA,NA
"14",2011-12-07,0.8,1.637,-0.22314355131421,0.492865298388998,1.14126861794336,1.14126861794336,NA,NA,NA,NA,NA
"15",2011-12-14,15,0.574,2.70805020110221,-0.555125882662571,0.0276004266383383,0.0276004266383383,NA,NA,NA,NA,NA
"16",2012-01-04,0.6,0.976,-0.510825623765991,-0.0242926925690446,0.751095097669326,0.751095097669326,NA,NA,NA,NA,NA
"17",2012-01-11,1,0.762,0,-0.271808723295491,0.424317790799804,0.424317790799804,NA,NA,NA,NA,NA
"18",2012-01-18,0.63,0.576,-0.462035459596559,-0.551647618286246,0.18167822754316,0.18167822754316,NA,NA,NA,NA,NA
