"","Date","concentrations.SRP","Flow"
"1",2011-07-14,0.01,0.02
"2",2011-08-10,0.032,0.23
"3",2011-08-17,0.02,0.02
"4",2011-09-17,0.05,0.08
"5",2011-09-21,0.012,0.14
"6",2011-09-27,0.017,0.16
"7",2011-10-05,0.017,0.05
"8",2011-10-14,0.012,0.06
"9",2011-10-27,0.027,1.3
"10",2011-11-02,0.005,0.9
"11",2011-11-09,0.019,3.5
"12",2011-11-16,0.005,0.75
"13",2011-11-30,0.01,0.58
"14",2011-12-07,0.014,0.8
"15",2011-12-14,0.112,15
"16",2012-01-04,0.009,0.6
"17",2012-01-11,0.011,1
"18",2012-01-18,0.003,0.63
"19",2012-01-25,0.113,17
"20",2012-02-01,0.008,0.92
"21",2012-02-08,0.014,0.65
"22",2012-02-15,0.008,0.57
"23",2012-03-08,0.013,0.93
"24",2012-03-13,0.007,0.44
"25",2012-03-20,0.057,26
"26",2012-03-28,0.014,0.48
"27",2012-04-11,0.011,0.34
"28",2012-04-15,0.054,2.4
"29",2012-04-25,0.013,0.19
"30",2012-04-30,0.092,0.82
"31",2012-05-09,0.015,0.1
"32",2012-05-17,0.005,0.03
"33",2012-05-23,0.017,0.03
"34",2012-05-31,0.041,0.87
"35",2012-06-06,0.019,0.06
"36",2012-06-13,0.021,0.03
"37",2012-07-11,0.028,0.03
"38",2012-07-26,0.043,0.76
"39",2012-08-15,0.019,0.01
"40",2012-08-16,0.059,1
"41",2012-08-20,0.011,0.03
"42",2012-08-27,0.041,4.7
"43",2012-08-29,0.019,0.07
"44",2012-09-05,0.012,0.03
"45",2012-09-10,0.067,0.06
"46",2012-09-11,0.018,0.03
"47",2012-09-25,0.014,0.03
"48",2012-09-25,0.014,0.03
"49",2012-10-01,0.019,0.03
"50",2012-10-09,0.014,0.03
"51",2012-10-12,0.098,5.5
"52",2012-10-15,0.02,0.29
"53",2012-10-24,0.017,0.27
"54",2012-10-31,0.009,0.19
"55",2012-11-07,0.01,0.03
"56",2012-11-11,0.109,1
"57",2012-11-28,0.007,0.03
"58",2012-12-05,0.009,0.21
"59",2012-12-12,0.007,0.1
"60",2013-01-10,0.004,0.2
"61",2013-01-15,0.005,0.1
"62",2013-01-23,0.005,0.09
"63",2013-01-29,0.028,16
"64",2013-02-06,0.007,0.49
"65",2013-02-11,0.008,0.92
"66",2013-02-20,0.009,0.65
"67",2013-02-27,0.005,0.85
"68",2013-03-06,0.003,0.7
"69",2013-03-09,0.022,1.8
"70",2013-03-19,0.005,0.48
"71",2013-03-29,0.011,3.5
"72",2013-04-03,0.01,3.2
"73",2013-04-10,0.045,9.9
"74",2013-04-24,0.009,0.3
"75",2013-05-03,0.017,1.5
"76",2013-05-09,15.138,15
"77",2013-05-20,0.114,3.4
"78",2013-05-21,0.114,22
"79",2013-05-30,0.032,7.6
"80",2013-06-06,0.021,0.65
"81",2013-06-12,0.021,0.38
"82",2013-06-12,0.003,0.38
"83",2013-06-25,0.013,0.1
"84",2013-07-08,0.009,0.02
"85",2013-07-16,0.081,0.31
"86",2013-07-31,0.026,2.3
"87",2013-08-07,0.021,0.06
"88",2013-08-07,0.023,0.06
"89",2013-08-13,0.038,7.2
"90",2013-08-20,0.021,0.07
"91",2013-08-28,0.017,0.06
"92",2013-09-04,0.021,0.02
"93",2013-09-23,0.021,0.07
"94",2013-09-28,0.004,0.65
"95",2013-10-05,0.102,27
"96",2013-10-24,0.017,0.48
"97",2013-10-30,0.022,3.6
"98",2013-11-06,0.011,2
"99",2013-11-13,0.004,0.71
"100",2013-11-21,0.088,16
"101",2013-12-02,0.002,1
"102",2013-12-12,0.008,1.1
"103",2013-12-18,0.007,1.6
"104",2014-01-09,0.015,1.5
"105",2014-01-10,0.021,10
"106",2014-01-22,0.008,1.1
"107",2014-01-28,0.008,0.75
"108",2014-02-06,0.008,0.95
"109",2014-02-12,0.008,0.87
"110",2014-02-21,0.005,0.98
"111",2014-02-26,0.004,0.65
"112",2014-03-07,0.005,5
"113",2014-03-11,0.004,1.8
"114",2014-03-16,0.132,39
"115",2014-03-27,0.01,1.5
"116",2014-03-27,0.009,1.5
"117",2014-04-03,0.032,3.1
"118",2014-04-03,0.008,3.1
"119",2014-04-07,0.011,8.2
"120",2014-04-13,0.009,1.2
"121",2014-04-22,0.005,0.35
"122",2014-04-27,0.04,0.49
"123",2014-04-28,0.004,0.52
"124",2014-05-08,0.033,2.3
"125",2014-05-12,0.03,5.1
"126",2014-05-20,0.019,0.33
"127",2014-05-28,0.025,0.22
"128",2014-06-02,0.037,0.42
"129",2014-06-06,0.071,2.7
"130",2014-06-10,0.03,0.91
"131",2014-06-16,0.023,0.43
"132",2014-07-01,0.03,0.05
"133",2014-07-09,0.016,0.01
"134",2014-07-10,0.121,0.03
"135",2014-07-23,0.013,0.02
"136",2014-08-07,0.09,0.08
"137",2014-08-12,0.017,0.02
"138",2014-08-30,0.065,0.03
"139",2014-09-02,0.089,1.3
"140",2014-09-06,0.022,0.04
"141",2014-09-10,0.016,0.03
"142",2014-09-17,0.015,3.2
"143",2014-09-17,0.092,3.2
"144",2014-09-24,0.014,0.04
"145",2014-10-10,0.143,12
"146",2014-10-13,0.039,16
"147",2014-10-22,0.014,0.32
"148",2014-10-29,0.02,0.07
"149",2014-11-04,0.14,2.5
"150",2014-11-12,0.011,0.25
"151",2014-11-19,0.002,0.12
"152",2014-12-03,0.009,0.21
"153",2014-12-05,0.1,2.1
"154",2014-12-10,0.015,0.09
"155",2014-12-17,0.011,4.7
"156",2015-01-07,0.01,0.8
"157",2015-01-14,0.009,0.65
"158",2015-01-21,0.008,0.65
"159",2015-01-28,0.008,0.56
"160",2015-02-04,0.004,0.89
"161",2015-02-11,0.007,1.1
"162",2015-02-18,0.002,0.91
"163",2015-02-25,0.008,1.2
"164",2015-03-04,0.024,6.5
"165",2015-03-10,0.006,7.7
"166",2015-03-18,0.044,5.9
"167",2015-03-25,0.038,5.2
"168",2015-04-01,0.008,2.4
"169",2015-04-13,0.011,6.1
"170",2015-04-17,0.06,5.9
"171",2015-04-22,0.016,2.2
"172",2015-04-24,0.126,8.3
"173",2015-06-01,0.022,2.2
