"","Date","concentrations.TP","Flow"
"1",2011-07-14,0.034,0.02
"2",2011-08-10,0.094,0.23
"3",2011-08-17,0.046,0.02
"4",2011-09-21,0.024,0.14
"5",2011-09-27,0.018,0.16
"6",2011-10-05,0.024,0.05
"7",2011-10-14,0.016,0.06
"8",2011-10-27,0.262,1.3
"9",2011-11-02,0.016,0.9
"10",2011-11-09,0.042,3.5
"11",2011-11-16,0.026,0.75
"12",2011-11-30,0.016,0.58
"13",2011-12-07,0.014,0.8
"14",2011-12-14,0.472,15
"15",2012-01-04,0.012,0.6
"16",2012-01-11,0.014,1
"17",2012-01-18,0.008,0.63
"18",2012-01-25,0.242,17
"19",2012-02-01,0.016,0.92
"20",2012-02-08,0.01,0.65
"21",2012-02-15,0.016,0.57
"22",2012-03-08,0.026,0.93
"23",2012-03-13,0.002,0.44
"24",2012-03-20,0.106,26
"25",2012-03-28,0.012,0.48
"26",2012-04-11,0.018,0.34
"27",2012-04-15,0.27,2.4
"28",2012-04-25,0.022,0.19
"29",2012-04-30,0.29,0.82
"30",2012-05-09,0.022,0.1
"31",2012-05-17,0.016,0.03
"32",2012-05-23,0.034,0.03
"33",2012-05-31,0.086,0.87
"34",2012-06-13,0.034,0.03
"35",2012-07-11,0.048,0.03
"36",2012-07-26,0.264,0.76
"37",2012-08-15,0.022,0.01
"38",2012-08-16,0.14,1
"39",2012-08-20,0.026,0.03
"40",2012-08-27,0.336,4.7
"41",2012-08-29,0.04,0.07
"42",2012-09-05,0.05,0.03
"43",2012-09-10,0.266,0.06
"44",2012-09-11,0.086,0.03
"45",2012-10-01,0.026,0.03
"46",2012-10-09,0.03,0.03
"47",2012-10-12,0.396,5.5
"48",2012-10-15,0.026,0.29
"49",2012-10-24,0.038,0.27
"50",2012-10-31,0.03,0.19
"51",2012-11-07,0.024,0.03
"52",2012-11-11,0.17,1
"53",2012-11-28,0.018,0.03
"54",2012-12-05,0.022,0.21
"55",2012-12-12,0.022,0.1
"56",2013-01-10,0.016,0.2
"57",2013-01-15,0.01,0.1
"58",2013-01-23,0.01,0.09
"59",2013-01-29,0.204,16
"60",2013-02-06,0.012,0.49
"61",2013-02-11,0.018,0.92
"62",2013-02-20,0.09,0.65
"63",2013-02-27,0.008,0.85
"64",2013-03-06,0.006,0.7
"65",2013-03-09,0.044,1.8
"66",2013-03-19,0.012,0.48
"67",2013-03-29,0.044,3.5
