"","Date","concentrations.TSS","Flow"
"1",2011-07-14,2.1,0.02
"2",2011-08-10,5.3,0.23
"3",2011-08-17,1.2,0.02
"4",2011-09-17,23,0.08
"5",2011-09-21,1.3,0.14
"6",2011-09-27,0.8,0.16
"7",2011-10-05,1,0.05
"8",2011-10-14,0.6,0.06
"9",2011-10-27,13.8,1.3
"10",2011-11-02,0.8,0.9
"11",2011-11-09,0.7,3.5
"12",2011-11-16,1.3,0.75
"13",2011-11-30,0.3,0.58
"14",2011-12-07,1.3,0.8
"15",2011-12-14,275.5,15
"16",2012-01-04,0.6,0.6
"17",2012-01-11,0.9,1
"18",2012-01-18,0.6,0.63
"19",2012-01-25,41.4,17
"20",2012-02-01,1.1,0.92
"21",2012-02-08,0.8,0.65
"22",2012-02-15,1,0.57
"23",2012-03-08,4,0.93
"24",2012-03-13,0.5,0.44
"25",2012-03-20,6.9,26
"26",2012-03-28,1,0.48
"27",2012-04-11,1.3,0.34
"28",2012-04-15,275.1,2.4
"29",2012-04-25,3.3,0.19
"30",2012-04-30,18.6,0.82
"31",2012-05-09,4.3,0.1
"32",2012-05-17,2.5,0.03
"33",2012-05-23,2,0.03
"34",2012-05-31,35.2,0.87
"35",2012-06-06,1.3,0.06
"36",2012-06-13,1.4,0.03
"37",2012-07-11,3.7,0.03
"38",2012-07-26,44.3,0.76
"39",2012-08-15,1.9,0.01
"40",2012-08-16,22.1,1
"41",2012-08-20,2.1,0.03
"42",2012-08-27,264.3,4.7
"43",2012-08-29,7.1,0.07
"44",2012-09-05,12.3,0.03
"45",2012-09-10,128,0.06
"46",2012-09-11,2.5,0.03
"47",2012-09-25,2.6,0.03
"48",2012-09-25,0.9,0.03
"49",2012-10-01,5.9,0.03
"50",2012-10-09,0.8,0.03
"51",2012-10-12,171.9,5.5
"52",2012-10-15,1,0.29
"53",2012-10-24,1.9,0.27
"54",2012-10-31,2.4,0.19
"55",2012-11-07,2.2,0.03
"56",2012-11-11,9.1,1
"57",2012-11-28,2.3,0.03
"58",2012-12-05,1.1,0.21
"59",2012-12-12,1.1,0.1
"60",2013-01-10,0.7,0.2
"61",2013-01-15,1.9,0.1
"62",2013-01-23,1.5,0.09
"63",2013-01-29,99.2,16
"64",2013-02-06,2,0.49
"65",2013-02-11,1.2,0.92
"66",2013-02-20,24.5,0.65
"67",2013-02-27,0.7,0.85
"68",2013-03-06,0.4,0.7
"69",2013-03-09,24.6,1.8
"70",2013-03-19,0.6,0.48
"71",2013-03-29,15.3,3.5
"72",2013-04-03,5.2,3.2
"73",2013-04-10,723.5,9.9
"74",2013-04-24,1,0.3
