"","Cl.Date","Cl.Flow","Cl.concentrations.Cl","lnC","lnQ"
"1",2011-07-14,0.02,9.764,2.27870215253071,-3.91202300542815
"2",2011-08-10,0.23,5.056,1.62057565684456,-1.46967597005894
"3",2011-08-17,0.02,27.622,3.31861255665574,-3.91202300542815
"4",2011-09-17,0.08,3.615,1.28509185561073,-2.52572864430826
"5",2011-09-21,0.14,13.537,2.60542667720365,-1.96611285637283
"6",2011-09-27,0.16,15.022,2.70951579326382,-1.83258146374831
"7",2011-10-05,0.05,18.022,2.89159323381285,-2.99573227355399
"8",2011-10-14,0.06,10.641,2.36471446445959,-2.81341071676004
"9",2011-10-27,1.3,8.137,2.09642156171452,0.262364264467491
"10",2011-11-02,0.9,14.518,2.67538925886265,-0.105360515657826
"11",2011-11-09,3.5,12.63,2.5360749363624,1.25276296849537
"12",2011-11-16,0.75,16.659,2.81295061092758,-0.287682072451781
"13",2011-11-30,0.58,15.006,2.70845012112354,-0.544727175441672
"14",2011-12-07,0.8,13.912,2.63275177705198,-0.22314355131421
"15",2011-12-14,15,2.606,0.957816478702653,2.70805020110221
"16",2012-01-04,0.6,14.2,2.65324196460721,-0.510825623765991
"17",2012-01-11,1,11.9,2.47653840011748,0
"18",2012-01-18,0.63,15.4,2.73436750941958,-0.462035459596559
"19",2012-01-25,17,3.7,1.30833281965018,2.83321334405622
"20",2012-02-01,0.92,13.63,2.61227324570844,-0.083381608939051
"21",2012-02-08,0.65,12.06,2.48989419129904,-0.430782916092454
"22",2012-02-15,0.57,25.59,3.2422016501717,-0.562118918153541
"23",2012-03-08,0.93,8.54,2.14476100780048,-0.0725706928348354
"24",2012-03-13,0.44,19.07,2.94811641961233,-0.82098055206983
"25",2012-03-20,26,6.62,1.89009536994892,3.25809653802148
"26",2012-03-28,0.48,12.84,2.55256529826182,-0.7339691750802
"27",2012-04-11,0.34,14.436,2.66972508678054,-1.07880966137193
"28",2012-04-15,2.4,3.052,1.11579711342221,0.8754687373539
"29",2012-04-25,0.19,15.136,2.71707601230952,-1.66073120682165
"30",2012-04-30,0.82,6.156,1.81742721597663,-0.198450938723838
"31",2012-05-09,0.1,16.208,2.78550494750633,-2.30258509299405
"32",2012-05-17,0.03,15.247,2.72438276238977,-3.50655789731998
"33",2012-05-23,0.03,19.962,2.99383046626439,-3.50655789731998
"34",2012-05-31,0.87,7.327,1.99156615517783,-0.139262067333508
"35",2012-06-06,0.06,10.406,2.34238256286811,-2.81341071676004
"36",2012-06-13,0.03,16.113,2.77962639959143,-3.50655789731998
"37",2012-07-11,0.03,18.419,2.91338274053697,-3.50655789731998
"38",2012-07-26,0.76,2.341,0.850578188508774,-0.27443684570176
"39",2012-08-15,0.01,13.946,2.63519272879882,-4.60517018598809
"40",2012-08-16,1,3.356,1.21074978860496,0
"41",2012-08-20,0.03,15.476,2.73929043683827,-3.50655789731998
"42",2012-08-27,4.7,1.789,0.581656804526582,1.54756250871601
"43",2012-08-29,0.07,11.212,2.41698463330254,-2.65926003693278
"44",2012-09-05,0.03,12.484,2.52444782440853,-3.50655789731998
"45",2012-09-10,0.06,2.77,1.01884732019925,-2.81341071676004
"46",2012-09-11,0.03,10.541,2.35527241527305,-3.50655789731998
"47",2012-09-25,0.03,16.52,2.80457176809283,-3.50655789731998
"48",2012-09-25,0.03,18.391,2.91186141451684,-3.50655789731998
"49",2012-10-01,0.03,17.569,2.86613598538292,-3.50655789731998
"50",2012-10-09,0.03,15.789,2.75931349503975,-3.50655789731998
"51",2012-10-12,5.5,3.205,1.16471209037263,1.70474809223843
"52",2012-10-15,0.29,41.154,3.71732112774524,-1.23787435600162
"53",2012-10-24,0.27,19.333,2.96181348035037,-1.30933331998376
"54",2012-10-31,0.19,46.814,3.84618230348771,-1.66073120682165
"55",2012-11-07,0.03,20.823,3.03605814502556,-3.50655789731998
"56",2012-11-11,1,7.055,1.95373658530478,0
"57",2012-11-28,0.03,16.535,2.80547934643376,-3.50655789731998
