"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2011-07-14,0.02,0.169,-1.77785656405906,-3.91202300542815
"2",2011-08-10,0.23,0.21,-1.56064774826467,-1.46967597005894
"3",2011-08-17,0.02,0.06,-2.81341071676004,-3.91202300542815
"4",2011-09-17,0.08,0.731,-0.313341819232359,-2.52572864430826
"5",2011-09-21,0.14,0.499,-0.695149183230618,-1.96611285637283
"6",2011-09-27,0.16,0.706,-0.348140041488895,-1.83258146374831
"7",2011-10-05,0.05,0.082,-2.50103603171788,-2.99573227355399
"8",2011-10-14,0.06,0.183,-1.69826912614072,-2.81341071676004
"9",2011-10-27,1.3,0.129,-2.04794287462046,0.262364264467491
"10",2011-11-02,0.9,0.004,-5.52146091786225,-0.105360515657826
"11",2011-11-09,3.5,3.639,1.29170891863002,1.25276296849537
"12",2011-11-16,0.75,0.599,-0.512493680866688,-0.287682072451781
"13",2011-11-30,0.58,1.348,0.298622012490115,-0.544727175441672
"14",2011-12-07,0.8,1.637,0.492865298388998,-0.22314355131421
"15",2011-12-14,15,0.574,-0.555125882662571,2.70805020110221
"16",2012-01-04,0.6,0.976,-0.0242926925690446,-0.510825623765991
"17",2012-01-11,1,0.762,-0.271808723295491,0
"18",2012-01-18,0.63,0.576,-0.551647618286246,-0.462035459596559
"19",2012-01-25,17,1.008,0.00796816964917688,2.83321334405622
"20",2012-02-01,0.92,1.032,0.031498667059371,-0.083381608939051
"21",2012-02-08,0.65,1.167,0.154436353304419,-0.430782916092454
"22",2012-02-15,0.57,0.875,-0.133531392624523,-0.562118918153541
"23",2012-03-08,0.93,0.412,-0.886731929632611,-0.0725706928348354
"24",2012-03-13,0.44,0.326,-1.12085789761543,-0.82098055206983
"25",2012-03-20,26,1.354,0.303063174490083,3.25809653802148
"26",2012-03-28,0.48,0.656,-0.421594490038048,-0.7339691750802
"27",2012-04-11,0.34,0.139,-1.97328134585145,-1.07880966137193
"28",2012-04-15,2.4,0.213,-1.54646311327271,0.8754687373539
"29",2012-04-25,0.19,0.166,-1.79576749062559,-1.66073120682165
"30",2012-04-30,0.82,0.205,-1.58474529984373,-0.198450938723838
"31",2012-05-09,0.1,0.095,-2.3538783873816,-2.30258509299405
"32",2012-05-17,0.03,0.009,-4.71053070164592,-3.50655789731998
"33",2012-05-23,0.03,0.11,-2.20727491318972,-3.50655789731998
"34",2012-05-31,0.87,0.648,-0.433864582629862,-0.139262067333508
"35",2012-06-06,0.06,0.15,-1.89711998488588,-2.81341071676004
"36",2012-06-13,0.03,0.13,-2.04022082852655,-3.50655789731998
"37",2012-07-11,0.03,0.05,-2.99573227355399,-3.50655789731998
"38",2012-07-26,0.76,0.924,-0.0790432073404529,-0.27443684570176
"39",2012-08-15,0.01,0.013,-4.3428059215206,-4.60517018598809
"40",2012-08-16,1,0.701,-0.355247391947547,0
"41",2012-08-20,0.03,0.004,-5.52146091786225,-3.50655789731998
"42",2012-08-27,4.7,0.41,-0.891598119283784,1.54756250871601
"43",2012-08-29,0.07,0.1,-2.30258509299405,-2.65926003693278
"44",2012-09-05,0.03,0.141,-1.95899538860397,-3.50655789731998
"45",2012-09-10,0.06,0.405,-0.903868211875598,-2.81341071676004
"46",2012-09-11,0.03,0.086,-2.45340798272863,-3.50655789731998
"47",2012-09-25,0.03,0.07,-2.65926003693278,-3.50655789731998
"48",2012-09-25,0.03,0.061,-2.79688141480883,-3.50655789731998
"49",2012-10-01,0.03,0.09,-2.40794560865187,-3.50655789731998
"50",2012-10-09,0.03,0.004,-5.52146091786225,-3.50655789731998
"51",2012-10-12,5.5,0.445,-0.809680996815897,1.70474809223843
"52",2012-10-15,0.29,0.546,-0.605136303237232,-1.23787435600162
"53",2012-10-24,0.27,0.004,-5.52146091786225,-1.30933331998376
"54",2012-10-31,0.19,0.004,-5.52146091786225,-1.66073120682165
"55",2012-11-07,0.03,0.01,-4.60517018598809,-3.50655789731998
"56",2012-11-11,1,0.261,-1.34323487165944,0
"57",2012-11-28,0.03,0.004,-5.52146091786225,-3.50655789731998
"58",2012-12-05,0.21,0.087,-2.44184716032755,-1.56064774826467
"59",2012-12-12,0.1,0.066,-2.71810053695571,-2.30258509299405
"60",2013-01-10,0.2,0.152,-1.88387475813586,-1.6094379124341
"61",2013-01-15,0.1,0.106,-2.24431618487007,-2.30258509299405
"62",2013-01-23,0.09,0.029,-3.54045944899566,-2.40794560865187
"63",2013-01-29,16,0.215,-1.53711725085447,2.77258872223978
"64",2013-02-06,0.49,1.053,0.0516432331518384,-0.713349887877465
"65",2013-02-11,0.92,1.678,0.517602608045014,-0.083381608939051
"66",2013-02-20,0.65,0.733,-0.310609577095486,-0.430782916092454
"67",2013-02-27,0.85,1.474,0.387979793767145,-0.162518929497775
"68",2013-03-06,0.7,0.859,-0.151986356997882,-0.356674943938732
"69",2013-03-09,1.8,0.634,-0.455706324544911,0.587786664902119
"70",2013-03-19,0.48,0.685,-0.378336440719912,-0.7339691750802
"71",2013-03-29,3.5,0.468,-0.75928698306449,1.25276296849537
"72",2013-04-03,3.2,1.384,0.324977857195478,1.16315080980568
"73",2013-04-10,9.9,0.415,-0.879476758751439,2.29253475714054
"74",2013-04-24,0.3,0.089,-2.41911890925,-1.20397280432594
"75",2013-05-03,1.5,0.805,-0.216913001563574,0.405465108108164
"76",2013-05-09,15,0.041,-3.19418321227783,2.70805020110221
"77",2013-05-20,3.4,0.505,-0.683196849706777,1.22377543162212
"78",2013-05-21,22,0.598,-0.514164525031505,3.09104245335832
"79",2013-05-30,7.6,0.422,-0.862749964946125,2.02814824729229
"80",2013-06-06,0.65,0.548,-0.601479992034121,-0.430782916092454
"81",2013-06-12,0.38,0.406,-0.901402119380404,-0.967584026261706
"82",2013-06-12,0.38,0.004,-5.52146091786225,-0.967584026261706
"83",2013-06-25,0.1,0.191,-1.65548185093551,-2.30258509299405
"84",2013-07-08,0.02,0.134,-2.00991547903123,-3.91202300542815
"85",2013-07-16,0.31,0.481,-0.731888008876376,-1.17118298150295
"86",2013-07-31,2.3,0.707,-0.346724613085564,0.832909122935104
"87",2013-08-07,0.06,0.158,-1.84516024595517,-2.81341071676004
"88",2013-08-07,0.06,0.16,-1.83258146374831,-2.81341071676004
"89",2013-08-13,7.2,0.433,-0.837017550979647,1.97408102602201
"90",2013-08-20,0.07,0.31,-1.17118298150295,-2.65926003693278
"91",2013-08-28,0.06,0.164,-1.80788885115794,-2.81341071676004
"92",2013-09-04,0.02,0.102,-2.28278246569787,-3.91202300542815
"93",2013-09-23,0.07,0.149,-1.90380897303668,-2.65926003693278
"94",2013-09-28,0.65,0.31,-1.17118298150295,-0.430782916092454
"95",2013-10-05,27,0.508,-0.677273831403655,3.29583686600433
"96",2013-10-24,0.48,0.261,-1.34323487165944,-0.7339691750802
"97",2013-10-30,3.6,0.004,-5.52146091786225,1.28093384546206
"98",2013-11-06,2,0.186,-1.68200860526894,0.693147180559945
"99",2013-11-13,0.71,0.126,-2.07147337203066,-0.342490308946776
"100",2013-11-21,16,0.606,-0.500875292912823,2.77258872223978
"101",2013-12-02,1,0.32,-1.13943428318836,0
"102",2013-12-12,1.1,0.483,-0.727738625329564,0.0953101798043249
"103",2013-12-18,1.6,1.036,0.0353671438372913,0.470003629245736
"104",2014-01-09,1.5,0.752,-0.285018955032297,0.405465108108164
"105",2014-01-10,10,0.624,-0.471604910612709,2.30258509299405
"106",2014-01-22,1.1,0.647,-0.435408984481236,0.0953101798043249
"107",2014-01-28,0.75,0.582,-0.541284831250699,-0.287682072451781
"108",2014-02-06,0.95,0.624,-0.471604910612709,-0.0512932943875506
"109",2014-02-12,0.87,0.552,-0.594207232705042,-0.139262067333508
"110",2014-02-21,0.98,0.268,-1.31676829847128,-0.0202027073175195
"111",2014-02-26,0.65,0.359,-1.02443289049386,-0.430782916092454
"112",2014-03-07,5,0.96,-0.0408219945202552,1.6094379124341
"113",2014-03-11,1.8,0.627,-0.466808738349216,0.587786664902119
"114",2014-03-16,39,1.299,0.261594737688462,3.66356164612965
"115",2014-03-27,1.5,0.451,-0.796287939479459,0.405465108108164
"116",2014-03-27,1.5,0.49,-0.713349887877465,0.405465108108164
"117",2014-04-03,3.1,0.379,-0.970219073899711,1.1314021114911
"118",2014-04-03,3.1,0.527,-0.640554730440775,1.1314021114911
"119",2014-04-07,8.2,0.807,-0.214431610712188,2.10413415427021
"120",2014-04-13,1.2,0.471,-0.752897184965719,0.182321556793955
"121",2014-04-22,0.35,0.236,-1.44392347395653,-1.04982212449868
"122",2014-04-27,0.49,0.331,-1.10563690360507,-0.713349887877465
"123",2014-04-28,0.52,0.145,-1.93102153656156,-0.653926467406664
"124",2014-05-08,2.3,0.243,-1.41469383564159,0.832909122935104
"125",2014-05-12,5.1,0.287,-1.24827306322252,1.62924053973028
"126",2014-05-20,0.33,0.414,-0.881889305156823,-1.10866262452161
"127",2014-05-28,0.22,0.376,-0.978166135592243,-1.51412773262978
"128",2014-06-02,0.42,0.539,-0.61803970807314,-0.867500567704723
"129",2014-06-06,2.7,0.434,-0.834710744881732,0.993251773010283
"130",2014-06-10,0.91,0.425,-0.85566611005772,-0.0943106794712413
"131",2014-06-16,0.43,0.372,-0.988861424708991,-0.843970070294529
"132",2014-07-01,0.05,0.216,-1.53247687129797,-2.99573227355399
"133",2014-07-09,0.01,0.111,-2.1982250776698,-4.60517018598809
"134",2014-07-10,0.03,0.615,-0.486133011175619,-3.50655789731998
"135",2014-07-23,0.02,0.119,-2.12863178587061,-3.91202300542815
"136",2014-08-07,0.08,0.611,-0.492658319810542,-2.52572864430826
"137",2014-08-12,0.02,0.08,-2.52572864430826,-3.91202300542815
"138",2014-08-30,0.03,0.648,-0.433864582629862,-3.50655789731998
"139",2014-09-02,1.3,0.533,-0.629233854816292,0.262364264467491
"140",2014-09-06,0.04,0.294,-1.22417551164346,-3.2188758248682
"141",2014-09-10,0.03,0.14,-1.96611285637283,-3.50655789731998
"142",2014-09-17,3.2,0.08,-2.52572864430826,1.16315080980568
"143",2014-09-17,3.2,0.571,-0.560366069326127,1.16315080980568
"144",2014-09-24,0.04,0.162,-1.82015894374975,-3.2188758248682
"145",2014-10-10,12,0.598,-0.514164525031505,2.484906649788
"146",2014-10-13,16,1.428,0.356274863917393,2.77258872223978
"147",2014-10-22,0.32,0.238,-1.43548460531066,-1.13943428318836
"148",2014-10-29,0.07,0.058,-2.84731226843572,-2.65926003693278
"149",2014-11-04,2.5,0.332,-1.10262031006565,0.916290731874155
"150",2014-11-12,0.25,0.078,-2.55104645229255,-1.38629436111989
"151",2014-11-19,0.12,0.101,-2.29263476214088,-2.12026353620009
"152",2014-12-03,0.21,0.116,-2.15416508787577,-1.56064774826467
"153",2014-12-05,2.1,0.004,-5.52146091786225,0.741937344729377
"154",2014-12-10,0.09,0.388,-0.946749939358864,-2.40794560865187
"155",2014-12-17,4.7,0.722,-0.325730140089311,1.54756250871601
"156",2015-01-07,0.8,0.935,-0.06720874969345,-0.22314355131421
"157",2015-01-14,0.65,0.777,-0.25231492861449,-0.430782916092454
"158",2015-01-21,0.65,0.413,-0.884307686021104,-0.430782916092454
"159",2015-01-28,0.56,0.428,-0.84863208340034,-0.579818495252942
"160",2015-02-04,0.89,0.271,-1.30563645810244,-0.116533816255952
