"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2011-07-14,0.02,0.01,-4.60517018598809,-3.91202300542815
"2",2011-08-10,0.23,0.032,-3.44201937618241,-1.46967597005894
"3",2011-08-17,0.02,0.02,-3.91202300542815,-3.91202300542815
"4",2011-09-17,0.08,0.05,-2.99573227355399,-2.52572864430826
"5",2011-09-21,0.14,0.012,-4.42284862919414,-1.96611285637283
"6",2011-09-27,0.16,0.017,-4.07454193492592,-1.83258146374831
"7",2011-10-05,0.05,0.017,-4.07454193492592,-2.99573227355399
"8",2011-10-14,0.06,0.012,-4.42284862919414,-2.81341071676004
"9",2011-10-27,1.3,0.027,-3.61191841297781,0.262364264467491
"10",2011-11-02,0.9,0.005,-5.29831736654804,-0.105360515657826
"11",2011-11-09,3.5,0.019,-3.9633162998157,1.25276296849537
"12",2011-11-16,0.75,0.005,-5.29831736654804,-0.287682072451781
"13",2011-11-30,0.58,0.01,-4.60517018598809,-0.544727175441672
"14",2011-12-07,0.8,0.014,-4.26869794936688,-0.22314355131421
"15",2011-12-14,15,0.112,-2.18925640768704,2.70805020110221
"16",2012-01-04,0.6,0.009,-4.71053070164592,-0.510825623765991
"17",2012-01-11,1,0.011,-4.50986000618377,0
"18",2012-01-18,0.63,0.003,-5.80914299031403,-0.462035459596559
"19",2012-01-25,17,0.113,-2.1803674602698,2.83321334405622
"20",2012-02-01,0.92,0.008,-4.8283137373023,-0.083381608939051
"21",2012-02-08,0.65,0.014,-4.26869794936688,-0.430782916092454
"22",2012-02-15,0.57,0.008,-4.8283137373023,-0.562118918153541
"23",2012-03-08,0.93,0.013,-4.3428059215206,-0.0725706928348354
"24",2012-03-13,0.44,0.007,-4.96184512992682,-0.82098055206983
"25",2012-03-20,26,0.057,-2.86470401114759,3.25809653802148
"26",2012-03-28,0.48,0.014,-4.26869794936688,-0.7339691750802
"27",2012-04-11,0.34,0.011,-4.50986000618377,-1.07880966137193
"28",2012-04-15,2.4,0.054,-2.91877123241786,0.8754687373539
"29",2012-04-25,0.19,0.013,-4.3428059215206,-1.66073120682165
"30",2012-04-30,0.82,0.092,-2.3859667019331,-0.198450938723838
"31",2012-05-09,0.1,0.015,-4.19970507787993,-2.30258509299405
"32",2012-05-17,0.03,0.005,-5.29831736654804,-3.50655789731998
"33",2012-05-23,0.03,0.017,-4.07454193492592,-3.50655789731998
"34",2012-05-31,0.87,0.041,-3.19418321227783,-0.139262067333508
"35",2012-06-06,0.06,0.019,-3.9633162998157,-2.81341071676004
"36",2012-06-13,0.03,0.021,-3.86323284125871,-3.50655789731998
"37",2012-07-11,0.03,0.028,-3.57555076880693,-3.50655789731998
"38",2012-07-26,0.76,0.043,-3.14655516328857,-0.27443684570176
"39",2012-08-15,0.01,0.019,-3.9633162998157,-4.60517018598809
"40",2012-08-16,1,0.059,-2.83021783507642,0
"41",2012-08-20,0.03,0.011,-4.50986000618377,-3.50655789731998
"42",2012-08-27,4.7,0.041,-3.19418321227783,1.54756250871601
"43",2012-08-29,0.07,0.019,-3.9633162998157,-2.65926003693278
"44",2012-09-05,0.03,0.012,-4.42284862919414,-3.50655789731998
"45",2012-09-10,0.06,0.067,-2.70306265959117,-2.81341071676004
"46",2012-09-11,0.03,0.018,-4.01738352108597,-3.50655789731998
"47",2012-09-25,0.03,0.014,-4.26869794936688,-3.50655789731998
"48",2012-09-25,0.03,0.014,-4.26869794936688,-3.50655789731998
"49",2012-10-01,0.03,0.019,-3.9633162998157,-3.50655789731998
"50",2012-10-09,0.03,0.014,-4.26869794936688,-3.50655789731998
"51",2012-10-12,5.5,0.098,-2.32278780031156,1.70474809223843
"52",2012-10-15,0.29,0.02,-3.91202300542815,-1.23787435600162
"53",2012-10-24,0.27,0.017,-4.07454193492592,-1.30933331998376
"54",2012-10-31,0.19,0.009,-4.71053070164592,-1.66073120682165
"55",2012-11-07,0.03,0.01,-4.60517018598809,-3.50655789731998
"56",2012-11-11,1,0.109,-2.21640739675299,0
"57",2012-11-28,0.03,0.007,-4.96184512992682,-3.50655789731998
"58",2012-12-05,0.21,0.009,-4.71053070164592,-1.56064774826467
"59",2012-12-12,0.1,0.007,-4.96184512992682,-2.30258509299405
"60",2013-01-10,0.2,0.004,-5.52146091786225,-1.6094379124341
