"","TN.Date","TN.Flow","TN.concentrations.TN","lnC","lnQ"
"1",2011-07-14,0.02,0.36,-1.02165124753198,-3.91202300542815
"2",2011-08-10,0.23,0.57,-0.562118918153541,-1.46967597005894
"3",2011-08-17,0.02,0.32,-1.13943428318836,-3.91202300542815
"4",2011-09-21,0.14,0.75,-0.287682072451781,-1.96611285637283
"5",2011-09-27,0.16,0.84,-0.174353387144778,-1.83258146374831
"6",2011-10-05,0.05,0.21,-1.56064774826467,-2.99573227355399
"7",2011-10-14,0.06,0.28,-1.27296567581289,-2.81341071676004
"8",2011-10-27,1.3,0.27,-1.30933331998376,0.262364264467491
"9",2011-11-02,0.9,0.13,-2.04022082852655,-0.105360515657826
"10",2011-11-09,3.5,4.44,1.49065437644413,1.25276296849537
"11",2011-11-16,0.75,0.61,-0.49429632181478,-0.287682072451781
"12",2011-11-30,0.58,1.32,0.27763173659828,-0.544727175441672
"13",2011-12-07,0.8,1.85,0.615185639090233,-0.22314355131421
"14",2011-12-14,15,1.7,0.53062825106217,2.70805020110221
"15",2012-01-04,0.6,1.05,0.048790164169432,-0.510825623765991
"16",2012-01-11,1,0.93,-0.0725706928348354,0
"17",2012-01-18,0.63,0.73,-0.3147107448397,-0.462035459596559
"18",2012-01-25,17,1.64,0.494696241836107,2.83321334405622
"19",2012-02-01,0.92,1.04,0.0392207131532813,-0.083381608939051
"20",2012-02-08,0.65,1.48,0.392042087776024,-0.430782916092454
"21",2012-02-15,0.57,1.02,0.0198026272961797,-0.562118918153541
"22",2012-03-08,0.93,0.68,-0.385662480811985,-0.0725706928348354
"23",2012-03-13,0.44,0.58,-0.544727175441672,-0.82098055206983
"24",2012-03-20,26,1.94,0.662687973075237,3.25809653802148
"25",2012-03-28,0.48,0.91,-0.0943106794712413,-0.7339691750802
"26",2012-04-11,0.34,0.39,-0.941608539858445,-1.07880966137193
"27",2012-04-15,2.4,1.05,0.048790164169432,0.8754687373539
"28",2012-04-25,0.19,0.38,-0.967584026261706,-1.66073120682165
"29",2012-04-30,0.82,2.07,0.727548607277278,-0.198450938723838
"30",2012-05-09,0.1,0.3,-1.20397280432594,-2.30258509299405
