"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"1",2011-07-14,0.02,2.1,0.741937344729377,-3.91202300542815
"2",2011-08-10,0.23,5.3,1.66770682055808,-1.46967597005894
"3",2011-08-17,0.02,1.2,0.182321556793955,-3.91202300542815
"4",2011-09-17,0.08,23,3.13549421592915,-2.52572864430826
"5",2011-09-21,0.14,1.3,0.262364264467491,-1.96611285637283
"6",2011-09-27,0.16,0.8,-0.22314355131421,-1.83258146374831
"7",2011-10-05,0.05,1,0,-2.99573227355399
"8",2011-10-14,0.06,0.6,-0.510825623765991,-2.81341071676004
"9",2011-10-27,1.3,13.8,2.62466859216316,0.262364264467491
"10",2011-11-02,0.9,0.8,-0.22314355131421,-0.105360515657826
"11",2011-11-09,3.5,0.7,-0.356674943938732,1.25276296849537
"12",2011-11-16,0.75,1.3,0.262364264467491,-0.287682072451781
"13",2011-11-30,0.58,0.3,-1.20397280432594,-0.544727175441672
"14",2011-12-07,0.8,1.3,0.262364264467491,-0.22314355131421
"15",2011-12-14,15,275.5,5.61858762859297,2.70805020110221
"16",2012-01-04,0.6,0.6,-0.510825623765991,-0.510825623765991
"17",2012-01-11,1,0.9,-0.105360515657826,0
"18",2012-01-18,0.63,0.6,-0.510825623765991,-0.462035459596559
"19",2012-01-25,17,41.4,3.72328088083127,2.83321334405622
"20",2012-02-01,0.92,1.1,0.0953101798043249,-0.083381608939051
"21",2012-02-08,0.65,0.8,-0.22314355131421,-0.430782916092454
"22",2012-02-15,0.57,1,0,-0.562118918153541
"23",2012-03-08,0.93,4,1.38629436111989,-0.0725706928348354
"24",2012-03-13,0.44,0.5,-0.693147180559945,-0.82098055206983
"25",2012-03-20,26,6.9,1.93152141160321,3.25809653802148
"26",2012-03-28,0.48,1,0,-0.7339691750802
"27",2012-04-11,0.34,1.3,0.262364264467491,-1.07880966137193
"28",2012-04-15,2.4,275.1,5.61713466793053,0.8754687373539
"29",2012-04-25,0.19,3.3,1.19392246847243,-1.66073120682165
"30",2012-04-30,0.82,18.6,2.92316158071916,-0.198450938723838
"31",2012-05-09,0.1,4.3,1.45861502269952,-2.30258509299405
"32",2012-05-17,0.03,2.5,0.916290731874155,-3.50655789731998
"33",2012-05-23,0.03,2,0.693147180559945,-3.50655789731998
"34",2012-05-31,0.87,35.2,3.56104608260405,-0.139262067333508
"35",2012-06-06,0.06,1.3,0.262364264467491,-2.81341071676004
"36",2012-06-13,0.03,1.4,0.336472236621213,-3.50655789731998
"37",2012-07-11,0.03,3.7,1.30833281965018,-3.50655789731998
"38",2012-07-26,0.76,44.3,3.79098467705109,-0.27443684570176
"39",2012-08-15,0.01,1.9,0.641853886172395,-4.60517018598809
"40",2012-08-16,1,22.1,3.09557760852371,0
"41",2012-08-20,0.03,2.1,0.741937344729377,-3.50655789731998
"42",2012-08-27,4.7,264.3,5.57708482161024,1.54756250871601
"43",2012-08-29,0.07,7.1,1.96009478404727,-2.65926003693278
"44",2012-09-05,0.03,12.3,2.50959926237837,-3.50655789731998
"45",2012-09-10,0.06,128,4.85203026391962,-2.81341071676004
"46",2012-09-11,0.03,2.5,0.916290731874155,-3.50655789731998
"47",2012-09-25,0.03,2.6,0.955511445027436,-3.50655789731998
"48",2012-09-25,0.03,0.9,-0.105360515657826,-3.50655789731998
"49",2012-10-01,0.03,5.9,1.77495235091167,-3.50655789731998
"50",2012-10-09,0.03,0.8,-0.22314355131421,-3.50655789731998
"51",2012-10-12,5.5,171.9,5.1469129123888,1.70474809223843
"52",2012-10-15,0.29,1,0,-1.23787435600162
"53",2012-10-24,0.27,1.9,0.641853886172395,-1.30933331998376
"54",2012-10-31,0.19,2.4,0.8754687373539,-1.66073120682165
"55",2012-11-07,0.03,2.2,0.78845736036427,-3.50655789731998
"56",2012-11-11,1,9.1,2.2082744135228,0
"57",2012-11-28,0.03,2.3,0.832909122935104,-3.50655789731998
"58",2012-12-05,0.21,1.1,0.0953101798043249,-1.56064774826467
"59",2012-12-12,0.1,1.1,0.0953101798043249,-2.30258509299405
"60",2013-01-10,0.2,0.7,-0.356674943938732,-1.6094379124341
"61",2013-01-15,0.1,1.9,0.641853886172395,-2.30258509299405
"62",2013-01-23,0.09,1.5,0.405465108108164,-2.40794560865187
"63",2013-01-29,16,99.2,4.59713801429083,2.77258872223978
"64",2013-02-06,0.49,2,0.693147180559945,-0.713349887877465
"65",2013-02-11,0.92,1.2,0.182321556793955,-0.083381608939051
"66",2013-02-20,0.65,24.5,3.19867311755068,-0.430782916092454
"67",2013-02-27,0.85,0.7,-0.356674943938732,-0.162518929497775
"68",2013-03-06,0.7,0.4,-0.916290731874155,-0.356674943938732
"69",2013-03-09,1.8,24.6,3.20274644293832,0.587786664902119
"70",2013-03-19,0.48,0.6,-0.510825623765991,-0.7339691750802
"71",2013-03-29,3.5,15.3,2.72785282839839,1.25276296849537
"72",2013-04-03,3.2,5.2,1.64865862558738,1.16315080980568
"73",2013-04-10,9.9,723.5,6.58410054607154,2.29253475714054
"74",2013-04-24,0.3,1,0,-1.20397280432594
"75",2013-05-03,1.5,2.2,0.78845736036427,0.405465108108164
"76",2013-05-20,3.4,208.3,5.33897934826693,1.22377543162212
"77",2013-05-21,22,51.9,3.94931879017184,3.09104245335832
"78",2013-05-30,7.6,111.7,4.71581670607516,2.02814824729229
