"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,140,19.685,4.9416424226093,2.9798569243957,-0.266112500756424,-0.369038901395962,3.26886019867617e-07,0.1,3.63689022731562e-07,4.16663027280606,3.81793182668844
"2",2009-07-14,120,24.114,4.78749174278205,3.18279258469512,-0.141940488022697,-0.106246076400254,NA,NA,NA,NA,NA
"3",2009-07-21,263,24.125,5.57215403217776,3.18324864722505,0.256092307860944,0.0918050517410696,NA,NA,NA,NA,NA
"4",2009-07-28,124,24.342,4.82028156560504,3.19220325345236,-0.112121562124644,-0.145996939024198,NA,NA,NA,NA,NA
"5",2009-08-04,91,25.34,4.51085950651685,3.23238417489299,-0.261607518602837,-0.223480424545341,NA,NA,NA,NA,NA
"6",2009-08-11,222,19.417,5.40267738187228,2.96614897101232,-0.0562351823443659,-0.160864291963903,NA,NA,NA,NA,NA
"7",2009-08-18,83,27.855,4.4188406077966,3.32701248347278,-0.205683822627365,-0.169023250627342,NA,NA,NA,NA,NA
"8",2009-08-25,86,28.418,4.45434729625351,3.34702274721588,-0.16908446139725,-0.156473454143863,NA,NA,NA,NA,NA
"9",2009-09-01,79,31.927,4.36944785246702,3.46345204678488,-0.101219312237192,-0.122407025215637,NA,NA,NA,NA,NA
"10",2009-09-08,79,26.273,4.36944785246702,3.26854179588302,-0.296129563139053,-0.317317276117497,NA,NA,NA,NA,NA
"11",2009-09-10,292,15.77,5.67675380226828,2.75810940097495,-0.111060250933186,0.000638816095397843,NA,NA,NA,NA,NA
"12",2009-09-15,103,27.1885,4.63472898822964,3.30279408978167,-0.140388566972176,-0.15454362609399,NA,NA,NA,NA,NA
"13",2009-09-22,499,10.3575,6.21260609575152,2.33771089496942,-0.211050293961681,-0.338895027406532,NA,NA,NA,NA,NA
"14",2009-09-29,115,26.53,4.74493212836325,3.27827616814965,-0.076791468032646,-0.0881468204823928,NA,NA,NA,NA,NA
"15",2009-10-06,124,31.45,4.82028156560504,3.44839898314645,0.144074167569446,0.110198790669892,NA,NA,NA,NA,NA
"16",2009-10-13,598,13.883,6.39359075395063,2.63066507005267,0.223306656708994,0.121353898296681,NA,NA,NA,NA,NA
"17",2009-10-20,211,17.014,5.35185813347607,2.83403653455369,-0.214808083110023,-0.150668095707759,NA,NA,NA,NA,NA
"18",2009-10-27,371,17.139,5.91620206260743,2.84135656841043,0.101255275218091,0.197301458293197,NA,NA,NA,NA,NA
"19",2009-11-03,290,13.899,5.66988092298052,2.63181689510262,-0.241061490575855,-0.146279871661107,NA,NA,NA,NA,NA
"20",2009-11-10,191,17.117,5.25227342804663,2.84007212171353,-0.241273339566637,-0.203893062747231,NA,NA,NA,NA,NA
