"","Date","concentrations.SO4","Flow"
"1",2009-07-07,17.649,140
"2",2009-07-14,26.263,120
"3",2009-07-21,26.665,263
"4",2009-07-28,26.869,124
"5",2009-08-04,27.063,91
"6",2009-08-11,23.554,222
"7",2009-08-18,32.867,83
"8",2009-08-25,32.259,86
"9",2009-09-01,34.208,79
"10",2009-09-08,26.828,79
"11",2009-09-10,15.55,292
"12",2009-09-15,30.9115,103
"13",2009-09-22,12.841,499
"14",2009-09-29,31.906,115
"15",2009-10-06,33.478,124
"16",2009-10-13,19.944,598
"17",2009-10-20,21.09,211
"18",2009-10-27,18.572,371
"19",2009-11-03,14.959,290
"20",2009-11-10,19.3,191
"21",2009-11-17,19.592,175
"22",2009-11-23,22.232,135
"23",2009-12-01,17.111,119
"24",2009-12-08,25.565,110
"25",2009-12-15,27.172,96
"26",2009-12-21,25.845,81
"27",2009-12-29,19.21,91
"28",2010-01-05,21.078,85
"29",2010-01-12,26.787,82
"30",2010-01-19,28.373,87
"31",2010-01-26,18.6945,152
"32",2010-02-03,18.833,192
"33",2010-02-10,16.643,210
"34",2010-02-16,17.18,153
"35",2010-02-23,16.903,182
"36",2010-03-02,19.365,125
"37",2010-03-08,21.35,109
"38",2010-03-16,21.85,91
"39",2010-03-22,15.194,462
"40",2010-03-30,16.217,276
"41",2010-04-07,15.684,215
"42",2010-04-13,19.182,168
"43",2010-04-20,23.4455,137
"44",2010-04-24,11.618,361
"45",2010-04-27,16.532,156
"46",2010-05-04,24.103,120
"47",2010-05-11,21.135,153
"48",2010-05-14,6.384,1020
"49",2010-05-18,14.951,274
"50",2010-05-26,15.368,308
"51",2010-06-01,17.093,178
"52",2010-06-08,24.13,153
"53",2010-06-15,20.964,153
"54",2010-06-23,27.415,139
"55",2010-08-04,31.266,43
"56",2010-08-09,30.517,37
"57",2010-08-18,37.697,34
"58",2010-08-25,36.466,59
"59",2010-09-02,27.242,164
"60",2010-09-08,31.094,70
"61",2010-09-15,22.846,172
"62",2010-09-23,34.175,74
"63",2010-09-30,37.189,73
"64",2010-10-07,40.319,62
"65",2010-10-13,38.971,62
"66",2010-10-21,41.909,72
"67",2010-10-28,34.386,100
"68",2010-11-03,42.251,91
"69",2010-11-11,42.689,102
"70",2010-11-16,36.522,103
"71",2010-11-29,21.756,96
"72",2010-12-09,43.381,80
"73",2010-12-16,42.7645,75
"74",2011-01-06,36.3,92
"75",2011-01-12,42.975,84
"76",2011-01-21,47.326,81
"77",2011-01-26,44.676,80
"78",2011-02-06,39.952,65
"79",2011-02-12,39.087,72
"80",2011-02-15,26.624,142
"81",2011-02-24,34.191,120
"82",2011-02-28,25.463,139
"83",2011-03-08,29.32,100
"84",2011-03-14,16.945,164
"85",2011-03-31,38.677,91
"86",2011-04-07,40.625,83
"87",2011-04-11,24.584,191
"88",2011-04-20,35.876,92
"89",2011-04-23,7.85,3960
"90",2011-04-25,3.735,15800
"91",2011-04-26,8.381,3260
"92",2011-05-11,22.611,228
"93",2011-05-18,20.123,174
"94",2011-05-23,3.83,6670
"95",2011-06-09,21.8735,214
"96",2011-06-15,21.9595,200
"97",2011-07-14,35.311,169
"98",2011-07-20,42.084,96
"99",2011-07-28,41.967,92
"100",2011-08-04,46.594,87
"101",2011-08-31,46.467,87
"102",2011-09-07,36.854,78
"103",2011-09-15,45.515,77
"104",2011-09-19,20.761,203
"105",2011-09-29,39.84,101
"106",2011-10-05,43.597,83
"107",2011-10-12,39.577,218
"108",2011-10-27,39.667,112
"109",2011-11-02,46.274,96
"110",2011-11-08,6.099,2150
"111",2011-11-16,30.376,158
"112",2011-11-30,26.692,128
"113",2011-12-07,26.264,134
"114",2012-01-04,22.013,102
"115",2012-01-12,33.472,96
"116",2012-01-18,35.945,89
"117",2012-01-25,11.334,343
"118",2012-02-01,29.853,119
"119",2012-02-08,22.738,137
"120",2012-02-15,30.271,124
"121",2012-02-29,37.912,101
"122",2012-03-15,32.434,95
"123",2012-03-20,6.782,707
"124",2012-03-28,19.548,192
"125",2012-04-11,21.475,146
"126",2012-04-15,27.61,206
"127",2012-04-25,32.337,115
"128",2012-04-30,18.646,164
"129",2012-05-09,31.988,98
"130",2012-05-17,35.467,83
"131",2012-05-23,37.669,75
"132",2012-05-31,27.822,97
"133",2012-06-06,22.655,97
"134",2012-06-13,39.6585,76
"135",2012-06-20,45.945,108
"136",2012-06-28,46.104,55
"137",2012-07-11,42.24,58
"138",2012-07-18,60.611,55
"139",2012-07-25,55.96,53
"140",2012-08-01,62.124,61
"141",2012-08-16,37.178,61
"142",2012-08-22,34.041,53
"143",2012-08-27,22.2755,361
"144",2012-09-06,41.893,78
"145",2012-09-12,42.99,80
"146",2012-09-27,45.511,80
"147",2012-10-03,55.514,62
"148",2012-10-10,48.61,58
"149",2012-10-12,56.851,256
"150",2012-10-16,34.273,115
"151",2012-10-25,46.948,80
"152",2012-11-01,48.227,70
"153",2012-11-08,52.429,71
"154",2012-11-15,51.154,76
"155",2012-11-29,51.371,64
"156",2012-12-06,48.464,93
"157",2012-12-13,51.448,68
"158",2013-01-03,23.589,81
"159",2013-01-11,52.592,72
"160",2013-01-14,52.324,80
"161",2013-01-24,57.393,68
"162",2013-01-30,12.003,504
"163",2013-02-07,47.5275,88
"164",2013-02-13,53.797,97
"165",2013-02-21,54.641,108
"166",2013-02-21,11.887,108
"167",2013-02-28,47.325,99
"168",2013-03-07,53.187,80
"169",2013-03-10,8.391,765
"170",2013-03-20,35.066,118
"171",2013-03-28,45.964,104
"172",2013-04-04,37.131,143
"173",2013-04-18,5.239,3230
"174",2013-04-25,25.762,199
"175",2013-04-29,21.471,261
"176",2013-05-09,27.925,414
"177",2013-05-21,19.43,430
"178",2013-05-31,15.922,346
"179",2013-06-07,23.16,172
"180",2013-06-13,31.1535,134
