"","Date","concentrations.TN","Flow"
"1",2009-07-07,4.2,140
"2",2009-07-14,4.03,120
"3",2009-07-28,3.91,124
"4",2009-08-04,3.82,91
"5",2009-08-11,3.22,222
"6",2009-08-18,3.93,83
"7",2009-08-25,3.91,86
"8",2009-09-01,4.16,79
"9",2009-09-08,3.778,79
"10",2009-09-10,2.57,292
"11",2009-09-15,3.93,103
"12",2009-09-22,1.89,499
"13",2009-09-29,4,115
"14",2009-10-06,4.5,124
"15",2009-10-13,3.93,598
"16",2009-10-20,4.71,211
"17",2009-10-27,3.69,371
"18",2009-11-03,4.22,290
"19",2009-11-10,4.5,191
"20",2009-11-17,4.67,175
"21",2009-11-23,4.46,135
"22",2009-12-01,4.75,119
"23",2009-12-08,5.12,110
"24",2009-12-15,4.9,96
"25",2009-12-21,4.81,81
"26",2009-12-29,4.63,91
"27",2010-01-05,4.59,85
"28",2010-01-12,4.05,82
"29",2010-01-19,3.9,87
"30",2010-01-26,3.795,152
"31",2010-02-03,3.65,192
"32",2010-02-10,4.28,210
"33",2010-02-16,4.68,153
"34",2010-02-23,3.79,182
"35",2010-03-02,4.87,125
"36",2010-03-08,4.52,109
"37",2010-03-16,4.57,91
"38",2010-03-22,2.46,462
"39",2010-03-30,4.42,276
"40",2010-04-07,4.38,215
"41",2010-04-13,4.52,168
"42",2010-04-20,4.66,137
"43",2010-04-24,2.12,361
"44",2010-04-27,3.8,156
"45",2010-05-04,4.15,120
"46",2010-05-11,3.69,153
"47",2010-05-14,1.89,1020
"48",2010-05-18,3.53,274
"49",2010-05-26,3.89,308
"50",2010-06-01,3.92,178
"51",2010-06-08,4.04,153
"52",2010-06-15,4.035,153
"53",2010-06-23,3.72,139
"54",2010-08-04,3.65,43
"55",2010-08-09,3.44,37
"56",2010-08-18,3.61,34
"57",2010-08-25,3.51,59
"58",2010-09-02,3.18,164
"59",2010-09-08,3.81,70
"60",2010-09-15,2.95,172
"61",2010-09-23,4.05,74
"62",2010-09-30,4.15,73
"63",2010-10-07,4.36,62
"64",2010-10-13,4.3,62
"65",2010-10-21,3.99,72
"66",2010-10-28,3.78,100
"67",2010-11-03,4.22,91
"68",2010-11-11,3.73,102
"69",2010-11-16,3.43,103
"70",2010-11-29,1.61,96
"71",2010-12-09,4.75,80
"72",2010-12-16,4.925,75
"73",2011-01-06,4.22,92
"74",2011-01-12,4.11,84
"75",2011-01-21,4.03,81
"76",2011-01-26,4.25,80
"77",2011-02-06,4.13,65
"78",2011-02-12,4.15,72
"79",2011-02-15,2.95,142
"80",2011-02-24,3.4,120
"81",2011-03-08,3.31,100
"82",2011-03-14,2.28,164
"83",2011-03-31,4.1,91
"84",2011-04-07,3.6,83
"85",2011-04-11,2.17,191
"86",2011-04-20,3.02,92
"87",2011-04-23,2.49,3960
"88",2011-04-25,2.01,15800
"89",2011-04-26,3.11,3260
"90",2011-05-11,8.66,228
"91",2011-05-18,5.15,174
"92",2011-05-23,1.65,6670
"93",2011-06-09,5.325,214
"94",2011-06-15,4.235,200
"95",2011-07-14,3.99,169
"96",2011-07-20,4.5,96
"97",2011-07-28,3.85,92
"98",2011-08-04,3.35,87
"99",2011-08-10,2.71,220
"100",2011-08-17,3.11,130
"101",2011-08-31,3.37,87
"102",2011-09-07,3.44,78
"103",2011-09-15,3.9,77
"104",2011-09-19,2.35,203
"105",2011-09-29,3.8,101
"106",2011-10-05,3.56,83
"107",2011-10-12,3.71,218
"108",2011-10-27,1.72,112
"109",2011-11-02,3.55,96
"110",2011-11-08,1.59,2150
"111",2011-11-16,3.89,158
"112",2011-11-30,4.31,128
"113",2011-12-07,4.36,134
"114",2012-01-04,4.25,102
"115",2012-01-12,8.32,96
"116",2012-01-18,4.15,89
"117",2012-01-25,2.18,343
"118",2012-02-01,3.92,119
"119",2012-02-08,4.42,137
"120",2012-02-15,4.3,124
"121",2012-02-29,4.25,101
"122",2012-03-15,3.8,95
"123",2012-03-20,3.02,707
"124",2012-03-28,4.59,192
"125",2012-04-11,4.33,146
"126",2012-04-15,4.19,206
"127",2012-04-25,4.26,115
"128",2012-04-30,3.16,164
"129",2012-05-09,3.76,98
"130",2012-05-17,3.84,83
"131",2012-05-23,3.85,75
"132",2012-05-31,3.35,97
"133",2012-06-06,3.42,97
"134",2012-06-13,3.22,76
"135",2012-06-20,3.16,108
"136",2012-06-28,3.1,55
"137",2012-07-11,3.05,58
"138",2012-07-18,3.1,55
"139",2012-07-25,2.75,53
"140",2012-08-01,2.9,61
"141",2012-08-16,2.92,61
"142",2012-08-22,3.08,53
"143",2012-08-27,2.355,361
"144",2012-09-06,1.56,78
"145",2012-09-12,3.03,80
"146",2012-09-27,3.14,80
"147",2012-10-03,5.7,62
"148",2012-10-10,3.63,58
"149",2012-10-12,3.93,256
"150",2012-10-16,3.83,115
"151",2012-10-25,3.54,80
"152",2012-11-01,5.39,70
"153",2012-11-08,4.8,71
"154",2012-11-15,4.82,76
"155",2012-11-29,5.02,64
"156",2012-12-06,5.05,93
"157",2012-12-13,5.34,68
"158",2013-01-03,3.51,81
"159",2013-01-11,8.83,72
"160",2013-01-14,7.04,80
"161",2013-01-24,6.31,68
"162",2013-01-30,3.38,504
"163",2013-02-07,5.19,88
"164",2013-02-13,5.6,97
"165",2013-02-21,5.58,108
"166",2013-02-21,2.32,108
"167",2013-02-28,4.44,99
"168",2013-03-07,5.06,80
"169",2013-03-10,1.48,765
"170",2013-03-20,4.28,118
"171",2013-03-28,5.42,104
"172",2013-04-04,5.27,143
"173",2013-04-18,3.61,3230
"174",2013-04-25,4.71,199
"175",2013-04-29,3.73,261
"176",2013-05-09,4.44,414
"177",2013-05-21,3.63,430
"178",2013-05-31,3.47,346
"179",2013-06-07,3.87,172
"180",2013-06-13,3.975,134
"181",2013-06-26,3.82,99
"182",2013-07-10,4.52,80
"183",2013-07-17,4.06,78
"184",2013-08-01,3.43,158
"185",2013-08-08,2.43,2100
"186",2013-08-15,3.7,283
"187",2013-08-21,3.91,182
"188",2013-08-29,4.35,140
"189",2013-09-05,4.37,123
"190",2013-09-12,4.89,114
"191",2013-09-19,4.4,106
"192",2013-09-20,2.84,367
"193",2013-10-03,4.21,118
"194",2013-10-05,3.17,553
"195",2013-10-21,3.94,120
"196",2013-10-21,3.88,120
"197",2013-10-30,3.88,235
"198",2013-11-07,3.695,198
"199",2013-11-14,4.63,118
"200",2013-11-21,4.2,143
"201",2013-12-03,4.13,88
"202",2013-12-13,4.75,100
"203",2013-12-20,4.51,138
"204",2014-01-08,5.41,112
"205",2014-01-10,3.5,260
"206",2014-01-23,4.586666667,118
"207",2014-01-29,5.67,105
"208",2014-02-06,6.6,95
"209",2014-02-13,6.14,93
"210",2014-02-20,4.19,92
"211",2014-02-26,7.72,84
"212",2014-03-06,5.76,99
"213",2014-03-13,5.2,93
"214",2014-03-16,2.36,598
"215",2014-03-28,4.66,181
"216",2014-04-03,4.44,164
"217",2014-04-08,4.335,167
"218",2014-04-15,3.74,139
"219",2014-04-24,4.615,122
"220",2014-04-29,4.14,118
"221",2014-05-08,5.1,293
"222",2014-05-13,3.04,429
"223",2014-05-15,3.21,214
"224",2014-05-21,3.86,134
"225",2014-05-29,5.54,128
"226",2014-06-03,3.96,176
"227",2014-06-16,3.45,146
