"","Date","concentrations.TP","Flow"
"1",2009-07-07,0.106,140
"2",2009-07-14,0.11,120
"3",2009-07-21,0.146,263
"4",2009-07-28,0.142,124
"5",2009-08-04,0.13,91
"6",2009-08-11,0.196,222
"7",2009-08-18,0.136,83
"8",2009-08-25,0.12,86
"9",2009-09-01,0.12,79
"10",2009-09-08,0.124,79
"11",2009-09-10,0.374,292
"12",2009-09-15,0.127,103
"13",2009-09-22,0.255,499
"14",2009-09-29,0.142,115
"15",2009-10-06,0.137,124
"16",2009-10-13,0.23,598
"17",2009-10-20,0.092,211
"18",2009-10-27,0.088,371
"19",2009-11-03,0.084,290
"20",2009-11-10,0.07,191
"21",2009-11-17,0.076,175
"22",2009-11-23,0.062,135
"23",2009-12-01,0.066,119
"24",2009-12-08,0.068,110
"25",2009-12-15,0.086,96
"26",2009-12-21,0.056,81
"27",2009-12-29,0.066,91
"28",2010-01-05,0.056,85
"29",2010-01-12,0.048,82
"30",2010-01-19,0.058,87
"31",2010-01-26,0.046,152
"32",2010-02-03,0.054,192
"33",2010-02-10,0.05,210
"34",2010-02-16,0.044,153
"35",2010-02-23,0.048,182
"36",2010-03-02,0.05,125
"37",2010-03-08,0.044,109
"38",2010-03-16,0.052,91
"39",2010-03-22,0.086,462
"40",2010-03-30,0.052,276
"41",2010-04-07,0.06,215
"42",2010-04-13,0.722,168
"43",2010-04-20,0.071,137
"44",2010-04-24,0.158,361
"45",2010-04-27,0.076,156
"46",2010-05-04,0.078,120
"47",2010-05-11,0.1,153
"48",2010-05-14,1.225,1020
"49",2010-05-18,0.11,274
"50",2010-05-26,0.088,308
"51",2010-06-01,0.076,178
"52",2010-06-08,0.09,153
"53",2010-06-15,0.11,153
"54",2010-06-23,0.126,139
"55",2010-08-04,0.106,43
"56",2010-08-09,0.096,37
"57",2010-08-18,0.12,34
"58",2010-08-25,0.132,59
"59",2010-09-02,0.234,164
"60",2010-09-08,0.136,70
"61",2010-09-15,0.14,172
"62",2010-09-23,0.106,74
"63",2010-09-30,0.104,73
"64",2010-10-07,0.1,62
