"","Date","concentrations.TSS","Flow"
"1",2009-07-07,3.1,140
"2",2009-07-14,4,120
"3",2009-07-21,17.6,263
"4",2009-07-28,4,124
"5",2009-08-04,5.4,91
"6",2009-08-11,23.7,222
"7",2009-08-18,5,83
"8",2009-08-25,2.5,86
"9",2009-09-01,2.4,79
"10",2009-09-08,2.9,79
"11",2009-09-10,83.7,292
"12",2009-09-15,3.4,103
"13",2009-09-22,48.85,499
"14",2009-09-29,2.1,115
"15",2009-10-06,2.5,124
"16",2009-10-13,56.9,598
"17",2009-10-20,6.1,211
"18",2009-10-27,5,371
"19",2009-11-03,8.1,290
"20",2009-11-10,2.3,191
"21",2009-11-17,0.9,175
"22",2009-11-23,1,135
"23",2009-12-01,2.4,119
"24",2009-12-08,1.6,110
"25",2009-12-15,12.9,96
"26",2009-12-21,1.1,81
"27",2009-12-29,1.7,91
"28",2010-01-05,0.5,85
"29",2010-01-12,1.4,82
"30",2010-01-19,2.3,87
"31",2010-01-26,2.4,152
"32",2010-02-03,4.1,192
"33",2010-02-10,1.9,210
"34",2010-02-16,2.2,153
"35",2010-02-23,1.5,182
"36",2010-03-02,1.9,125
"37",2010-03-08,1.7,109
"38",2010-03-16,3.5,91
"39",2010-03-22,9.9,462
"40",2010-03-30,4.5,276
"41",2010-04-07,5.5,215
"42",2010-04-13,3.4,168
"43",2010-04-20,2.35,137
"44",2010-04-24,35.2,361
"45",2010-04-27,3.4,156
"46",2010-05-04,3.6,120
"47",2010-05-11,6.5,153
"48",2010-05-14,659,1020
"49",2010-05-18,10.7,274
"50",2010-05-26,9.4,308
"51",2010-06-01,5.1,178
"52",2010-06-08,6.3,153
"53",2010-06-15,7,153
"54",2010-06-23,5.9,139
"55",2010-08-04,4.3,43
"56",2010-08-09,4.5,37
"57",2010-08-18,3.5,34
"58",2010-08-25,3.7,59
"59",2010-09-02,16.7,164
"60",2010-09-08,4.9,70
"61",2010-09-15,7,172
"62",2010-09-23,2.5,74
"63",2010-09-30,2.3,73
"64",2010-10-07,1.45,62
"65",2010-10-13,2,62
"66",2010-10-21,1.4,72
"67",2010-10-28,0.9,100
"68",2010-11-03,1.6,91
"69",2010-11-11,1.7,102
"70",2010-11-16,1.8,103
"71",2010-11-29,2.1,96
"72",2010-12-09,1.5,80
"73",2010-12-16,1.55,75
"74",2011-01-06,1.7,92
"75",2011-01-12,1.2,84
"76",2011-01-21,1.4,81
"77",2011-01-26,0.8,80
"78",2011-02-06,2.9,65
"79",2011-02-12,4.9,72
"80",2011-02-15,5.1,142
"81",2011-02-24,26.9,120
"82",2011-02-28,50.3,139
"83",2011-03-08,0.3,100
"84",2011-03-14,15.7,164
"85",2011-03-31,1.6,91
"86",2011-04-07,3.4,83
"87",2011-04-11,39.9,191
"88",2011-04-20,2.5,92
"89",2011-04-23,340.7,3960
"90",2011-04-25,300,15800
"91",2011-04-26,116.1,3260
"92",2011-05-11,4.3,228
"93",2011-05-18,1.5,174
"94",2011-05-23,181.4,6670
"95",2011-06-09,3.25,214
"96",2011-06-15,3.75,200
"97",2011-07-14,5.1,169
"98",2011-07-20,3.2,96
"99",2011-07-28,3.5,92
"100",2011-08-04,3.3,87
"101",2011-08-10,39.7,220
"102",2011-08-17,3.3,130
"103",2011-08-31,3.3,87
"104",2011-09-07,2,78
"105",2011-09-15,1.1,77
"106",2011-09-19,9.2,203
"107",2011-09-29,2.3,101
"108",2011-10-05,1.1,83
"109",2011-10-12,43.9,218
"110",2011-10-27,61.1,112
"111",2011-11-02,0.85,96
"112",2011-11-08,660.6,2150
"113",2011-11-16,2.1,158
"114",2011-11-30,1.1,128
"115",2011-12-07,2,134
"116",2012-01-04,1.2,102
"117",2012-01-12,1.1,96
"118",2012-01-18,1.1,89
"119",2012-01-25,94.5,343
"120",2012-02-01,2.2,119
"121",2012-02-08,2.5,137
"122",2012-02-15,1.9,124
"123",2012-02-29,2.7,101
"124",2012-03-15,2.3,95
"125",2012-03-20,51.7,707
"126",2012-03-28,3.9,192
"127",2012-04-11,3.2,146
"128",2012-04-15,86.5,206
"129",2012-04-25,2.9,115
"130",2012-04-30,48,164
"131",2012-05-09,3.7,98
"132",2012-05-17,3.5,83
"133",2012-05-23,3.8,75
"134",2012-05-31,5.1,97
"135",2012-06-06,3.5,97
"136",2012-06-13,2.7,76
"137",2012-06-20,4.1,108
"138",2012-06-28,3.3,55
"139",2012-07-11,2.6,58
"140",2012-07-18,3.1,55
"141",2012-07-25,2.4,53
"142",2012-08-01,3.1,61
"143",2012-08-16,4.3,61
"144",2012-08-22,2.9,53
"145",2012-08-27,40.75,361
"146",2012-09-06,5.8,78
"147",2012-09-12,2.7,80
"148",2012-09-27,2.3,80
"149",2012-10-03,2.2,62
"150",2012-10-10,1.4,58
"151",2012-10-12,152.3,256
"152",2012-10-16,1.9,115
"153",2012-10-25,1.4,80
"154",2012-11-01,1.1,70
"155",2012-11-08,1.1,71
"156",2012-11-15,0.9,76
"157",2012-11-29,0.2,64
"158",2012-12-06,1.2,93
"159",2012-12-13,2.88,68
"160",2013-01-03,0.6,81
"161",2013-01-11,1.3,72
"162",2013-01-14,0.6,80
"163",2013-01-24,1.5,68
"164",2013-01-30,991.9,504
"165",2013-02-07,1.35,88
"166",2013-02-13,1.6,97
"167",2013-02-21,2.3,108
"168",2013-02-21,124.1,108
"169",2013-02-28,2.3,99
"170",2013-03-07,2.3,80
"171",2013-03-10,46.1,765
"172",2013-03-20,2.1,118
"173",2013-03-28,1.9,104
"174",2013-04-04,1.4,143
"175",2013-04-18,589.1,3230
"176",2013-04-25,2.1,199
"177",2013-04-29,3.1,261
"178",2013-05-09,2.4,414
"179",2013-05-21,21.1,430
"180",2013-05-31,17.3,346
"181",2013-06-07,2.9,172
"182",2013-06-13,2.45,134
"183",2013-06-26,4.1,99
"184",2013-07-10,3.2,80
"185",2013-07-17,1,78
"186",2013-08-01,6.7,158
"187",2013-08-08,706.4,2100
"188",2013-08-15,4.9,283
"189",2013-08-21,1.9,182
"190",2013-08-29,1.8,140
"191",2013-09-05,2.4,123
"192",2013-09-12,2.1,114
"193",2013-09-19,1.4,106
"194",2013-09-20,57.5,367
"195",2013-10-03,1.7,118
"196",2013-10-05,1190.3,553
"197",2013-10-21,1.9,120
"198",2013-10-21,0.8,120
"199",2013-10-30,1.3,235
"200",2013-11-07,1.7,198
"201",2013-11-14,1,118
"202",2013-11-21,3.5,143
"203",2013-12-03,1.4,88
"204",2013-12-13,1.3,100
"205",2013-12-20,2.1,138
"206",2014-01-08,3.2,112
"207",2014-01-10,79.8,260
"208",2014-01-23,0.466666667,118
"209",2014-01-29,1.8,105
"210",2014-02-06,1.8,95
"211",2014-02-13,2.9,93
"212",2014-02-20,2.5,92
"213",2014-02-26,1.6,84
"214",2014-03-06,3,99
"215",2014-03-13,2.1,93
"216",2014-03-16,60.5,598
"217",2014-03-28,2.9,181
"218",2014-04-03,4.5,164
"219",2014-04-08,1.6,167
"220",2014-04-15,0.5,139
"221",2014-04-24,1.75,122
"222",2014-04-29,2.9,118
"223",2014-05-08,656.6,293
"224",2014-05-13,28.8,429
"225",2014-05-15,5,214
"226",2014-05-21,3.9,134
"227",2014-05-29,4.9,128
"228",2014-06-03,11.3,176
"229",2014-06-16,7.3,146
"230",2014-07-02,4.3,118
"231",2014-07-07,3.2,94
"232",2014-07-22,3.2,84
"233",2014-07-31,9.9,163
"234",2014-08-06,3.05,89
"235",2014-08-13,2.3,91
"236",2014-08-21,3.5,82
"237",2014-08-28,3.4,73
"238",2014-09-02,162.1,253
"239",2014-09-06,13.6,127
"240",2014-09-11,3.5,108
"241",2014-09-17,26.2,140
"242",2014-09-24,1.1,119
"243",2014-10-01,1.7,104
"244",2014-10-09,3.1,110
"245",2014-10-10,590.6,1500
"246",2014-10-13,401.5,1470
"247",2014-10-23,2.1,132
"248",2014-10-29,1.5,114
"249",2014-11-06,1.9,133
"250",2014-11-13,0.3,104
"251",2014-11-19,2.88,96
"252",2014-12-02,0.9,104
"253",2014-12-11,1.3,114
"254",2014-12-17,0.4,154
"255",2015-01-08,2.2,128
"256",2015-01-15,2.1,115
"257",2015-01-21,0.5,109
"258",2015-01-29,1.9,99
"259",2015-02-04,1.6,106
"260",2015-02-11,1.7,96
"261",2015-02-18,0.3,93
"262",2015-02-25,2.5,123
"263",2015-03-06,1.1,154
"264",2015-03-11,2.5,167
"265",2015-03-14,54.4,434
"266",2015-03-19,5.9,219
"267",2015-03-26,173.1,666
"268",2015-04-01,3.4,197
"269",2015-04-14,1.2,162
"270",2015-04-22,2.85,161
"271",2015-04-29,2.2,146
"272",2015-05-08,143.3,492
"273",2015-05-24,236.5,1270
"274",2015-06-01,6.5,355
"275",2015-06-19,273.5,3080
