Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2009-07-07,4.065,4.2,0.092,0.106,3.1,19.685,17.649
2009-07-14,3.963,4.03,0.094,0.11,4,24.114,26.263
2009-07-21,3.704,,0.101,0.146,17.6,24.125,26.665
2009-07-28,3.707,3.91,0.104,0.142,4,24.342,26.869
2009-08-04,3.805,3.82,0.087,0.13,5.4,25.34,27.063
2009-08-11,2.788,3.22,0.113,0.196,23.7,19.417,23.554
2009-08-18,3.884,3.93,0.106,0.136,5,27.855,32.867
2009-08-25,3.607,3.91,0.101,0.12,2.5,28.418,32.259
2009-09-01,3.883,4.16,0.104,0.12,2.4,31.927,34.208
2009-09-08,3.526,3.778,0.086,0.124,2.9,26.273,26.828
2009-09-10,2.174,2.57,0.167,0.374,83.7,15.77,15.55
2009-09-15,3.7915,3.93,0.1035,0.127,3.4,27.1885,30.9115
2009-09-22,1.5275,1.89,0.127,0.255,48.85,10.3575,12.841
2009-09-29,3.809,4,0.112,0.142,2.1,26.53,31.906
2009-10-06,4.332,4.5,0.108,0.137,2.5,31.45,33.478
2009-10-13,3.738,3.93,0.139,0.23,56.9,13.883,19.944
2009-10-20,4.372,4.71,0.072,0.092,6.1,17.014,21.09
2009-10-27,3.479,3.69,0.063,0.088,5,17.139,18.572
2009-11-03,4.174,4.22,0.057,0.084,8.1,13.899,14.959
2009-11-10,4.449,4.5,0.053,0.07,2.3,17.117,19.3
2009-11-17,4.392,4.67,0.048,0.076,0.9,21.717,19.592
2009-11-23,4.286,4.46,0.047,0.062,1,20.018,22.232
2009-12-01,4.737,4.75,0.053,0.066,2.4,21.587,17.111
2009-12-08,4.747,5.12,0.051,0.068,1.6,25.24,25.565
2009-12-15,4.545,4.9,0.049,0.086,12.9,25.333,27.172
2009-12-21,4.524,4.81,0.042,0.056,1.1,25.182,25.845
2009-12-29,4.585,4.63,0.043,0.066,1.7,23.18,19.21
2010-01-05,4.354,4.59,0.044,0.056,0.5,25.535,21.078
2010-01-12,4.054,4.05,0.041,0.048,1.4,27.9,26.787
2010-01-19,3.615,3.9,0.041,0.058,2.3,32.291,28.373
2010-01-26,3.64,3.795,0.0435,0.046,2.4,20.799,18.6945
2010-02-03,3.438,3.65,0.027,0.054,4.1,31.679,18.833
2010-02-10,4.104,4.28,0.033,0.05,1.9,20.684,16.643
2010-02-16,4.288,4.68,0.03,0.044,2.2,20.042,17.18
2010-02-23,3.684,3.79,0.031,0.048,1.5,21.938,16.903
2010-03-02,4.427,4.87,0.029,0.05,1.9,21.242,19.365
2010-03-08,4.28,4.52,0.028,0.044,1.7,22.132,21.35
2010-03-16,4.187,4.57,0.031,0.052,3.5,23.79,21.85
2010-03-22,2.142,2.46,0.035,0.086,9.9,17.899,15.194
2010-03-30,4.198,4.42,0.046,0.052,4.5,13.314,16.217
2010-04-07,4.095,4.38,0.052,0.06,5.5,18.327,15.684
2010-04-13,4.197,4.52,0.047,0.722,3.4,18.953,19.182
2010-04-20,4.3025,4.66,0.0565,0.071,2.35,22.2135,23.4455
2010-04-24,1.912,2.12,0.063,0.158,35.2,12.102,11.618
2010-04-27,3.736,3.8,0.057,0.076,3.4,17.816,16.532
2010-05-04,3.888,4.15,0.057,0.078,3.6,22.365,24.103
2010-05-11,3.429,3.69,0.063,0.1,6.5,19.573,21.135
2010-05-14,0.978,1.89,0.139,1.225,659,5.75,6.384
2010-05-18,3.32,3.53,0.075,0.11,10.7,12.683,14.951
2010-05-26,3.814,3.89,0.062,0.088,9.4,13.933,15.368
2010-06-01,4.005,3.92,0.059,0.076,5.1,16.559,17.093
2010-06-08,4.011,4.04,0.07,0.09,6.3,20.209,24.13
2010-06-15,3.8105,4.035,0.086,0.11,7,20.9455,20.964
2010-06-23,3.498,3.72,0.074,0.126,5.9,23.409,27.415
2010-08-04,3.467,3.65,0.085,0.106,4.3,27.509,31.266
2010-08-09,3.313,3.44,0.08,0.096,4.5,27.948,30.517
2010-08-18,3.472,3.61,0.1,0.12,3.5,31.28,37.697
2010-08-25,3.277,3.51,0.106,0.132,3.7,36.343,36.466
2010-09-02,2.881,3.18,0.158,0.234,16.7,23.797,27.242
2010-09-08,3.691,3.81,0.116,0.136,4.9,25.774,31.094
2010-09-15,2.664,2.95,0.104,0.14,7,15.45,22.846
2010-09-23,3.838,4.05,0.1,0.106,2.5,29.061,34.175
2010-09-30,3.994,4.15,0.094,0.104,2.3,28.153,37.189
2010-10-07,4.251,4.36,0.0845,0.1,1.45,35.9375,40.319
2010-10-13,4.162,4.3,0.086,0.104,2,34.661,38.971
2010-10-21,3.84,3.99,0.094,0.114,1.4,37.857,41.909
2010-10-28,3.582,3.78,0.095,0.114,0.9,31.23,34.386
2010-11-03,4.049,4.22,0.1,0.118,1.6,39.653,42.251
2010-11-11,3.73,3.73,0.1,0.122,1.7,39.425,42.689
2010-11-16,3.261,3.43,0.084,0.104,1.8,40.057,36.522
2010-11-29,3.274,1.61,0.075,0.092,2.1,22.888,21.756
2010-12-09,4.31,4.75,0.068,0.082,1.5,38.139,43.381
2010-12-16,4.596,4.925,0.062,0.073,1.55,38.2065,42.7645
2011-01-06,3.953,4.22,0.058,0.078,1.7,36.911,36.3
2011-01-12,4.012,4.11,0.057,0.068,1.2,40.349,42.975
2011-01-21,4.017,4.03,0.055,0.066,1.4,41.161,47.326
2011-01-26,3.792,4.25,0.05,0.07,0.8,45.043,44.676
2011-02-06,3.906,4.13,0.043,0.064,2.9,41.348,39.952
2011-02-12,3.872,4.15,0.046,0.072,4.9,42.876,39.087
2011-02-15,2.715,2.95,0.045,0.076,5.1,43.462,26.624
2011-02-24,3.138,3.4,0.066,0.134,26.9,36.815,34.191
2011-02-28,2.216,,0.072,0.2,50.3,24.604,25.463
2011-03-08,3.22,3.31,0.052,0.064,0.3,32.063,29.32
2011-03-14,2.23,2.28,0.048,0.1,15.7,19.585,16.945
2011-03-31,3.466,4.1,0.049,0.062,1.6,32.262,38.677
2011-04-07,3.312,3.6,0.045,0.07,3.4,36.13,40.625
2011-04-11,1.704,2.17,0.083,0.206,39.9,20.369,24.584
2011-04-20,2.679,3.02,0.055,0.072,2.5,34.29,35.876
2011-04-23,1.344,2.49,0.227,0.795,340.7,7.99,7.85
2011-04-25,1.293,2.01,0.492,0.946,300,2.038,3.735
2011-04-26,2.962,3.11,0.159,0.306,116.1,5.073,8.381
2011-05-11,7.783,8.66,0.055,0.064,4.3,20.069,22.611
2011-05-18,4.547,5.15,0.059,0.068,1.5,18.727,20.123
2011-05-23,0.776,1.65,0.251,0.613,181.4,2.601,3.83
2011-06-09,5.152,5.325,0.062,0.081,3.25,16.8635,21.8735
2011-06-15,4.0655,4.235,0.0755,0.084,3.75,19.7295,21.9595
2011-07-14,3.726,3.99,0.087,0.124,5.1,32.88,35.311
2011-07-20,4.281,4.5,0.089,0.11,3.2,32.932,42.084
2011-07-28,3.65,3.85,0.099,0.104,3.5,39.404,41.967
2011-08-04,3.01,3.35,0.114,0.14,3.3,36.329,46.594
2011-08-10,2.18,2.71,0.115,0.1515,39.7,,
2011-08-17,2.82,3.11,0.103,0.136,3.3,,
2011-08-31,3.57,3.37,0.113,0.128,3.3,29.804,46.467
2011-09-07,3.105,3.44,0.102,0.106,2,30.036,36.854
2011-09-15,3.241,3.9,0.098,0.112,1.1,39.25,45.515
2011-09-19,1.953,2.35,0.09,0.118,9.2,16.865,20.761
