"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.55,0.0984782167977948,5,0.9,0.190929520066052,5,0.65,0.132079135215157,5,0.5,0.131199334244204,5,0.9,0.124146062756574,5,0.55,0.164639370895845,5,0.6,0.113856336258122
"folds.6",6,0.5,0.0846662113652121,6,0.9,0.188701254010953,6,0.6,0.135484768328324,6,0.4,0.11304685681935,6,0.9,0.081597568991399,6,0.55,0.109642275475423,6,0.55,0.0763250299972534
"folds.7",7,0.55,0.0976300806773262,7,0.9,0.168973491460426,7,0.6,0.116885606034101,7,0.5,0.125291496853033,7,0.9,0.0970167248362837,7,0.45,0.111684687346812,7,0.55,0.0764252335719729
"folds.8",8,0.5,0.0792116771437038,8,0.85,0.196614198004984,8,0.75,0.122578587869504,8,0.5,0.10351476282371,8,0.9,0.0725905486623572,8,0.6,0.0908070391949156,8,0.55,0.0830293776384022
"folds.9",9,0.55,0.0721110255092798,9,0.85,0.202960235373477,9,0.65,0.0945666809339164,9,0.4,0.0828386678910229,9,0.9,0.0758892856302482,9,0.5,0.11259916264596,9,0.55,0.0753292094470556
"folds.10",10,0.5,0.0692599362944423,10,0.9,0.18070158058105,10,0.75,0.107380688416949,10,0.4,0.100630664373465,10,0.9,0.0808374534331149,10,0.6,0.094916719672929,10,0.6,0.0694291593155593
"folds.11",11,0.5,0.0620154687747093,11,0.9,0.187194649321752,11,0.65,0.0907395915209439,11,0.4,0.096727051278221,11,0.9,0.080584598720974,11,0.6,0.115179540416743,11,0.6,0.0755928946018455
"folds.12",12,0.5,0.0764319091394025,12,0.9,0.174744711753215,12,0.7,0.0959591749928381,12,0.4,0.0857142857142857,12,0.9,0.0779128241258479,12,0.5,0.0865671851859607,12,0.55,0.101739964655799
"folds.13",13,0.55,0.0818410604994429,13,0.9,0.199297234690053,13,0.75,0.0958527782698072,13,0.45,0.0985662524520892,13,0.9,0.0677932029583124,13,0.5,0.0896079898041168,13,0.55,0.0605164845142147
"folds.14",14,0.6,0.0873708960088413,14,0.9,0.19192898346492,14,0.7,0.102921606783304,14,0.35,0.102140359609826,14,0.9,0.0682432623571211,14,0.6,0.084370417487048,14,0.6,0.0654653670707977
"folds.15",15,0.5,0.0755658923167897,15,0.9,0.199297234690053,15,0.65,0.108157104175701,15,0.4,0.0992625872345155,15,0.9,0.0553652067859317,15,0.55,0.0933558039033942,15,0.6,0.0614534833206784
"folds.16",16,0.5,0.0700145757419591,16,0.9,0.209021041807679,16,0.75,0.0952976004580452,16,0.35,0.0852666884736666,16,0.9,0.0476059505798618,16,0.6,0.0876274581884664,16,0.6,0.0514682386704338
"folds.17",17,0.5,0.0594961840655966,17,0.9,0.204600157599636,17,0.7,0.0942207568448066,17,0.4,0.100122374102487,17,0.9,0.0441356905879297,17,0.6,0.0676425177242955,17,0.6,0.0543983793275994
"folds.18",18,0.55,0.0683926240204904,18,0.9,0.151401614851335,18,0.6,0.0873884128124407,18,0.45,0.095276182860189,18,0.9,0.0497339862443692,18,0.6,0.0714285714285715,18,0.6,0.0546323519313513
"folds.19",19,0.55,0.0651215504002371,19,0.9,0.173205080756888,19,0.7,0.0817162836918577,19,0.4,0.0910539198855854,19,0.9,0.0430471976380553,19,0.55,0.100529211918624,19,0.55,0.0714928282402922
"folds.20",20,0.55,0.0563878695885445,20,0.9,0.165060285832733,20,0.65,0.0868966075756888,20,0.4,0.0900623366885177,20,0.9,0.0605164845142147,20,0.55,0.101519074311085,20,0.6,0.0610787380755199
"folds.21",21,0.55,0.0640551420612725,21,0.9,0.168353369858928,21,0.75,0.0944587157418088,21,0.45,0.101020305091681,21,0.9,0.0612455746006458,21,0.55,0.0966215001214237,21,0.55,0.0625071424490263
"folds.22",22,0.6,0.0636957051703085,22,0.9,0.182823657648343,22,0.75,0.0901302911775786,22,0.4,0.0839095723176481,22,0.9,0.0674309926926054,22,0.55,0.0844912747578357,22,0.55,0.0514682386704338
"folds.23",23,0.55,0.0769574491494608,23,0.9,0.175963818173289,23,0.65,0.0899489651220658,23,0.4,0.0910483163950182,23,0.9,0.0463900939460843,23,0.6,0.125279279847801,23,0.6,0.0519124066017332
"folds.24",24,0.5,0.0711135912265923,24,0.9,0.157871686466431,24,0.75,0.0870432686210996,24,0.4,0.0795394908975717,24,0.9,0.0718629648308899,24,0.6,0.0986076537990592,24,0.6,0.0436708467646651
"folds.25",25,0.55,0.0720260723768888,25,0.9,0.180478389231486,25,0.7,0.075213980463361,25,0.4,0.0861654791428584,25,0.9,0.0635754412858761,25,0.55,0.124166609596846,25,0.6,0.0637597531554897
"folds.26",26,0.55,0.0700145757419591,26,0.9,0.165211676219278,26,0.7,0.0852666884736666,26,0.4,0.0757614408414158,26,0.9,0.0439038838875123,26,0.55,0.102364893535682,26,0.6,0.0458034844053755
"folds.27",27,0.55,0.0685788686439912,27,0.9,0.160661896222966,27,0.75,0.0749149177264394,27,0.4,0.0744023809142845,27,0.9,0.0677932029583124,27,0.55,0.10690449676497,27,0.6,0.0557783514438704
"folds.28",28,0.5,0.064174506986332,28,0.9,0.187344493336937,28,0.65,0.0813219853798617,28,0.4,0.0854818276427385,28,0.9,0.0513988009071601,28,0.6,0.08315218406203,28,0.55,0.0391230398217976
"folds.29",29,0.55,0.0671276578541185,29,0.9,0.16161177972827,29,0.75,0.0881151843570999,29,0.4,0.0810895196932479,29,0.9,0.0335029697130245,29,0.6,0.081215259448868,29,0.6,0.0517943342579523
"folds.30",30,0.6,0.0708260300356603,30,0.9,0.144335210746458,30,0.75,0.0768048149000877,30,0.4,0.0750578008563251,30,0.9,0.0253344969299546,30,0.55,0.0881151843571,30,0.6,0.0331354671564092
