"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"1",2009-07-07,140,0.106,-2.24431618487007,4.9416424226093
"2",2009-07-14,120,0.11,-2.20727491318972,4.78749174278205
"3",2009-07-21,263,0.146,-1.9241486572738,5.57215403217776
"4",2009-07-28,124,0.142,-1.95192822138088,4.82028156560504
"5",2009-08-04,91,0.13,-2.04022082852655,4.51085950651685
"6",2009-08-11,222,0.196,-1.62964061975162,5.40267738187228
"7",2009-08-18,83,0.136,-1.99510039324608,4.4188406077966
"8",2009-08-25,86,0.12,-2.12026353620009,4.45434729625351
"9",2009-09-01,79,0.12,-2.12026353620009,4.36944785246702
"10",2009-09-08,79,0.124,-2.0874737133771,4.36944785246702
"11",2009-09-10,292,0.374,-0.983499481567605,5.67675380226828
"12",2009-09-15,103,0.127,-2.06356819252355,4.63472898822964
"13",2009-09-22,499,0.255,-1.36649173382371,6.21260609575152
"14",2009-09-29,115,0.142,-1.95192822138088,4.74493212836325
"15",2009-10-06,124,0.137,-1.98777435315401,4.82028156560504
"16",2009-10-13,598,0.23,-1.46967597005894,6.39359075395063
"17",2009-10-20,211,0.092,-2.3859667019331,5.35185813347607
"18",2009-10-27,371,0.088,-2.43041846450393,5.91620206260743
"19",2009-11-03,290,0.084,-2.47693848013882,5.66988092298052
"20",2009-11-10,191,0.07,-2.65926003693278,5.25227342804663
"21",2009-11-17,175,0.076,-2.57702193869581,5.16478597392351
"22",2009-11-23,135,0.062,-2.78062089393705,4.90527477843843
"23",2009-12-01,119,0.066,-2.71810053695571,4.77912349311153
"24",2009-12-08,110,0.068,-2.68824757380603,4.70048036579242
"25",2009-12-15,96,0.086,-2.45340798272863,4.56434819146784
"26",2009-12-21,81,0.056,-2.88240358824699,4.39444915467244
"27",2009-12-29,91,0.066,-2.71810053695571,4.51085950651685
"28",2010-01-05,85,0.056,-2.88240358824699,4.44265125649032
"29",2010-01-12,82,0.048,-3.03655426807425,4.40671924726425
"30",2010-01-19,87,0.058,-2.84731226843572,4.46590811865458
"31",2010-01-26,152,0.046,-3.07911388249304,5.02388052084628
"32",2010-02-03,192,0.054,-2.91877123241786,5.25749537202778
"33",2010-02-10,210,0.05,-2.99573227355399,5.34710753071747
"34",2010-02-16,153,0.044,-3.12356564506388,5.03043792139244
"35",2010-02-23,182,0.048,-3.03655426807425,5.2040066870768
"36",2010-03-02,125,0.05,-2.99573227355399,4.8283137373023
"37",2010-03-08,109,0.044,-3.12356564506388,4.69134788222914
"38",2010-03-16,91,0.052,-2.95651156040071,4.51085950651685
"39",2010-03-22,462,0.086,-2.45340798272863,6.13556489108174
"40",2010-03-30,276,0.052,-2.95651156040071,5.62040086571715
"41",2010-04-07,215,0.06,-2.81341071676004,5.37063802812766
"42",2010-04-13,168,0.722,-0.325730140089311,5.12396397940326
"43",2010-04-20,137,0.071,-2.64507540194082,4.91998092582813
"44",2010-04-24,361,0.158,-1.84516024595517,5.88887795833288
"45",2010-04-27,156,0.076,-2.57702193869581,5.04985600724954
"46",2010-05-04,120,0.078,-2.55104645229255,4.78749174278205
"47",2010-05-11,153,0.1,-2.30258509299405,5.03043792139244
"48",2010-05-14,1020,1.225,0.20294084399669,6.92755790627832
"49",2010-05-18,274,0.11,-2.20727491318972,5.61312810638807
"50",2010-05-26,308,0.088,-2.43041846450393,5.73009978297357
"51",2010-06-01,178,0.076,-2.57702193869581,5.18178355029209
"52",2010-06-08,153,0.09,-2.40794560865187,5.03043792139244
"53",2010-06-15,153,0.11,-2.20727491318972,5.03043792139244
"54",2010-06-23,139,0.126,-2.07147337203066,4.93447393313069
"55",2010-08-04,43,0.106,-2.24431618487007,3.76120011569356
"56",2010-08-09,37,0.096,-2.3434070875143,3.61091791264422
"57",2010-08-18,34,0.12,-2.12026353620009,3.52636052461616
"58",2010-08-25,59,0.132,-2.02495335639577,4.07753744390572
"59",2010-09-02,164,0.234,-1.45243416362444,5.0998664278242
"60",2010-09-08,70,0.136,-1.99510039324608,4.24849524204936
"61",2010-09-15,172,0.14,-1.96611285637283,5.14749447681345
"62",2010-09-23,74,0.106,-2.24431618487007,4.30406509320417
