"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"1",2009-07-07,140,3.1,1.1314021114911,4.9416424226093
"2",2009-07-14,120,4,1.38629436111989,4.78749174278205
"3",2009-07-21,263,17.6,2.86789890204411,5.57215403217776
"4",2009-07-28,124,4,1.38629436111989,4.82028156560504
"5",2009-08-04,91,5.4,1.68639895357023,4.51085950651685
"6",2009-08-11,222,23.7,3.16547504814109,5.40267738187228
"7",2009-08-18,83,5,1.6094379124341,4.4188406077966
"8",2009-08-25,86,2.5,0.916290731874155,4.45434729625351
"9",2009-09-01,79,2.4,0.8754687373539,4.36944785246702
"10",2009-09-08,79,2.9,1.06471073699243,4.36944785246702
"11",2009-09-10,292,83.7,4.42723897749543,5.67675380226828
"12",2009-09-15,103,3.4,1.22377543162212,4.63472898822964
"13",2009-09-22,499,48.85,3.88875437848879,6.21260609575152
"14",2009-09-29,115,2.1,0.741937344729377,4.74493212836325
"15",2009-10-06,124,2.5,0.916290731874155,4.82028156560504
"16",2009-10-13,598,56.9,4.04129534113228,6.39359075395063
"17",2009-10-20,211,6.1,1.80828877117927,5.35185813347607
"18",2009-10-27,371,5,1.6094379124341,5.91620206260743
"19",2009-11-03,290,8.1,2.09186406167839,5.66988092298052
"20",2009-11-10,191,2.3,0.832909122935104,5.25227342804663
"21",2009-11-17,175,0.9,-0.105360515657826,5.16478597392351
"22",2009-11-23,135,1,0,4.90527477843843
"23",2009-12-01,119,2.4,0.8754687373539,4.77912349311153
"24",2009-12-08,110,1.6,0.470003629245736,4.70048036579242
"25",2009-12-15,96,12.9,2.55722731136763,4.56434819146784
"26",2009-12-21,81,1.1,0.0953101798043249,4.39444915467244
"27",2009-12-29,91,1.7,0.53062825106217,4.51085950651685
"28",2010-01-05,85,0.5,-0.693147180559945,4.44265125649032
"29",2010-01-12,82,1.4,0.336472236621213,4.40671924726425
"30",2010-01-19,87,2.3,0.832909122935104,4.46590811865458
"31",2010-01-26,152,2.4,0.8754687373539,5.02388052084628
"32",2010-02-03,192,4.1,1.41098697371026,5.25749537202778
"33",2010-02-10,210,1.9,0.641853886172395,5.34710753071747
"34",2010-02-16,153,2.2,0.78845736036427,5.03043792139244
"35",2010-02-23,182,1.5,0.405465108108164,5.2040066870768
"36",2010-03-02,125,1.9,0.641853886172395,4.8283137373023
"37",2010-03-08,109,1.7,0.53062825106217,4.69134788222914
"38",2010-03-16,91,3.5,1.25276296849537,4.51085950651685
"39",2010-03-22,462,9.9,2.29253475714054,6.13556489108174
