"","Date","concentrations.Cl","Flow"
"1",2011-07-28,12.5075,1.315636464
"2",2011-08-04,13.711,1.006670171
"3",2011-08-31,13.012,1.498211547
"4",2011-09-07,13.845,1.062082862
"5",2011-09-15,14.137,1.103181966
"6",2011-09-21,9.581,2.024534114
"7",2011-09-29,11.693,2.230208677
"8",2011-10-05,12.679,1.635059149
"9",2011-10-12,8.142,24.80622885
"10",2011-10-27,12.014,3.572949308
"11",2011-11-02,14.078,3.787719156
"12",2011-11-08,2.555,28.81434184
"13",2011-11-16,9.6105,4.145860078
"14",2011-11-30,9.242,4.271763732
"15",2011-12-07,9.145,4.178241281
"16",2012-01-04,10.17,3.362902556
"17",2012-01-11,10.117,2.906317198
"18",2012-01-18,11.061,2.519774472
"19",2012-01-25,5.46,12.11213272
"20",2012-02-01,9.755,3.4879038
"21",2012-02-08,9.723,3.893376262
"22",2012-02-15,13.2135,3.173400239
"23",2012-02-29,11.245,2.827760646
"24",2012-03-15,11.616,2.769262031
"25",2012-03-20,2.898,189.9904726
"26",2012-03-28,8.61,6.179701744
"27",2012-04-11,7.268,5.414919265
"28",2012-04-18,10.06,3.506440602
"29",2012-04-25,10.585,2.821701487
"30",2012-04-30,8.299,9.019849622
"31",2012-05-09,12.378,2.214249328
"32",2012-05-17,11.647,1.86353975
"33",2012-05-23,12.228,1.647547955
"34",2012-05-31,8.437,1.638405461
"35",2012-06-06,10.058,1.58514659
"36",2012-06-13,12.702,1.802391146
"37",2012-06-20,13.751,1.554010051
"38",2012-06-28,13.829,1.566775068
"39",2012-07-11,14.866,1.635537807
"40",2012-07-18,14.84,1.5296918
"41",2012-07-25,14.852,1.38532222
"42",2012-08-01,15.148,1.88030891
"43",2012-08-16,11.441,2.814262861
"44",2012-08-23,12.171,2.648063437
"45",2012-08-30,10.542,3.287619649
"46",2012-09-06,12.8025,2.99645788
"47",2012-09-12,11.457,3.09210446
"48",2012-10-03,13.5685,2.784246861
"49",2012-10-10,14.955,2.136608182
"50",2012-10-16,10.002,28.298087
"51",2012-11-01,15.662,3.231582705
"52",2012-11-08,15.474,3.211579522
"53",2012-11-15,13.03,3.273308765
"54",2012-11-29,15.283,2.90349218
"55",2012-12-06,12.779,3.087511655
"56",2012-12-13,29.372,2.631922207
"57",2013-01-03,13.429,3.225926661
"58",2013-01-11,14.595,4.005237437
"59",2013-01-14,13.795,3.495140303
"60",2013-01-24,14.892,2.55801809
"61",2013-01-30,8.503,5.452477779
"62",2013-02-07,14.205,2.918097182
"63",2013-02-13,12.499,4.040113589
"64",2013-02-21,16.299,5.809046961
"65",2013-02-26,13.859,4.584250099
"66",2013-02-28,13.487,4.001726731
"67",2013-03-07,15.23,3.509763745
"68",2013-03-11,9.409,17.01703901
"69",2013-03-20,12.42,4.352065728
"70",2013-03-28,12.05,4.279840317
"71",2013-04-04,8.855,12.70432855
"72",2013-04-10,5.394,57.60102782
"73",2013-04-18,1.86,456.602115
"74",2013-04-18,1.813,456.602115
"75",2013-04-18,2.238,456.602115
"76",2013-04-25,8.568,6.530603015
"77",2013-04-29,7.096,11.10441926
"78",2013-05-09,8.74,124.7575446
