"","Date","concentrations.TN","Flow"
"1",2011-07-28,2.205,1.315636464
"2",2011-08-04,1.8,1.006670171
"3",2011-08-10,2.36,3.265186276
"4",2011-08-10,1.86,3.265186276
"5",2011-08-17,2.065,1.821711063
"6",2011-08-31,1.89,1.498211547
"7",2011-09-07,1.89,1.062082862
"8",2011-09-15,2.06,1.103181966
"9",2011-09-21,1.745,2.024534114
"10",2011-09-29,3.14,2.230208677
"11",2011-10-05,2.95,1.635059149
"12",2011-10-12,1.97,24.80622885
"13",2011-10-27,1.89,3.572949308
"14",2011-11-02,1.98,3.787719156
"15",2011-11-08,1.52,28.81434184
"16",2011-11-16,2.755,4.145860078
"17",2011-11-30,3,4.271763732
"18",2011-12-07,2.98,4.178241281
"19",2012-01-04,3.16,3.362902556
"20",2012-01-11,3.12,2.906317198
"21",2012-01-18,3.13,2.519774472
"22",2012-01-25,1.47,12.11213272
"23",2012-02-01,2.82,3.4879038
"24",2012-02-08,2.74,3.893376262
"25",2012-02-15,2.95,3.173400239
"26",2012-02-29,2.9,2.827760646
"27",2012-03-15,2.31,2.769262031
"28",2012-03-20,1.57,189.9904726
"29",2012-03-28,2.57,6.179701744
"30",2012-04-11,2.51,5.414919265
"31",2012-04-18,2.51,3.506440602
"32",2012-04-25,2.75,2.821701487
"33",2012-04-30,2.48,9.019849622
"34",2012-05-09,2.14,2.214249328
"35",2012-05-17,2.19,1.86353975
"36",2012-05-23,2.1,1.647547955
"37",2012-05-31,1.76,1.638405461
"38",2012-06-06,2.1,1.58514659
"39",2012-06-13,1.63,1.802391146
"40",2012-06-20,1.57,1.554010051
"41",2012-06-28,1.57,1.566775068
"42",2012-07-11,1.23,1.635537807
"43",2012-07-18,1.13,1.5296918
"44",2012-07-25,1.07,1.38532222
"45",2012-08-01,0.96,1.88030891
"46",2012-08-16,1.42,2.814262861
"47",2012-08-23,1.85,2.648063437
"48",2012-08-30,1.64,3.287619649
"49",2012-09-06,1.81,2.99645788
"50",2012-09-12,1.71,3.09210446
"51",2012-10-03,1.805,2.784246861
"52",2012-10-10,2.01,2.136608182
"53",2012-10-16,2.17,28.298087
"54",2012-11-01,1.91,3.231582705
"55",2012-11-08,1.78,3.211579522
"56",2012-11-15,1.825,3.273308765
"57",2012-11-29,1.79,2.90349218
"58",2012-12-06,1.66,3.087511655
"59",2012-12-13,1.79,2.631922207
"60",2013-01-03,2.47,3.225926661
"61",2013-01-11,2.14,4.005237437
"62",2013-01-14,2.25,3.495140303
"63",2013-01-24,1.97,2.55801809
"64",2013-01-30,1.9,5.452477779
"65",2013-02-07,2.21,2.918097182
"66",2013-02-13,1.75,4.040113589
"67",2013-02-21,1.81,5.809046961
"68",2013-02-26,2.18,4.584250099
"69",2013-02-28,2.03,4.001726731
"70",2013-03-07,2,3.509763745
"71",2013-03-11,2.8,17.01703901
"72",2013-03-20,2.54,4.352065728
"73",2013-03-28,2.32,4.279840317
"74",2013-04-04,2.63,12.70432855
"75",2013-04-10,2.86,57.60102782
"76",2013-04-18,2.49,456.602115
"77",2013-04-18,2.21,456.602115
"78",2013-04-18,2.38,456.602115
"79",2013-04-25,3.26,6.530603015
"80",2013-04-29,2.7,11.10441926
"81",2013-05-09,2.61,124.7575446
"82",2013-05-10,1.95,479.2638996
"83",2013-05-21,2.34,126.1091726
"84",2013-05-31,2.01,237.9595285
"85",2013-06-07,2.49,13.15989008
"86",2013-06-13,2.83,6.565373303
"87",2013-06-26,2.56,5.442274025
"88",2013-07-10,2.34,4.462864988
"89",2013-07-17,2.24,5.519277459
"90",2013-08-01,2.3,6.813667935
"91",2013-08-08,1.98,570.9094152
"92",2013-08-15,2.5,22.34324516
"93",2013-08-21,2.79,9.622103507
"94",2013-08-29,2.78,6.935624735
"95",2013-09-05,2.82,5.622921381
"96",2013-09-12,2.76,4.712925587
"97",2013-09-19,2.5,4.473929736
"98",2013-09-25,2.27,4.341804903
"99",2013-10-03,2.09,5.434281192
"100",2013-10-21,2.18,5.370640322
"101",2013-10-30,1.46,78.62936385
"102",2013-11-07,1.62,9.897657471
"103",2013-11-14,2.26,6.143022537
"104",2013-12-03,2.43,4.423256221
"105",2013-12-13,2.59,67.76833587
"106",2013-12-20,2.74,85.01695685
"107",2014-01-07,3.13,5.871240949
"108",2014-01-10,1.94,63.99902155
"109",2014-01-23,3.02,5.616765802
"110",2014-01-29,3.075,5.285126424
"111",2014-02-07,3.01,4.564937787
"112",2014-02-13,2.82,4.889735115
"113",2014-02-20,2.34,4.378194259
"114",2014-02-25,2.41,4.144380586
"115",2014-03-06,2.46,5.930214798
"116",2014-03-13,2.12,5.079422306
"117",2014-03-16,1.94,128.107815
"118",2014-03-28,2.77,7.519140064
"119",2014-04-03,2.65,7.163217345
"120",2014-04-08,1.99,8.734820523
"121",2014-04-15,2.405,5.610528578
"122",2014-04-24,2.14,5.278387608
"123",2014-04-29,2.17,4.547301251
"124",2014-05-08,2.21,17.81625197
"125",2014-05-13,1.79,13.87217727
"126",2014-05-15,1.93,6.339730886
"127",2014-05-21,2.05,4.465447812
"128",2014-05-29,1.965,4.258866386
"129",2014-06-03,1.75,9.762290361
"130",2014-06-16,1.84,19.30062395
"131",2014-06-19,2.1,6.831889908
"132",2014-07-02,2.38,6.607718005
"133",2014-07-07,2.67,5.12337062
"134",2014-07-22,2.54,4.07433838
"135",2014-07-31,1.35,9.697899621
"136",2014-08-06,1.85,4.022676044
"137",2014-08-13,2.16,5.024018828
"138",2014-08-21,2.28,4.249204533
"139",2014-08-28,1.77,3.699076733
"140",2014-09-02,1.24,62.1510258
"141",2014-09-11,1.87,4.208169295
"142",2014-09-18,1.69,13.56002745
"143",2014-09-24,1.78,3.993025295
"144",2014-10-01,1.92,3.491634787
"145",2014-10-09,1.88,3.664997547
"146",2014-10-10,1.51,383.5740622
"147",2014-10-13,3.18,229.6299893
"148",2014-10-23,2.57,4.788122086
"149",2014-10-29,2.35,4.79980038
"150",2014-11-04,2.055,11.06005169
"151",2014-11-13,2.45,6.742235253
"152",2014-11-19,2.83,5.668717947
"153",2014-12-03,2.39,4.887180441
"154",2014-12-11,2.25,5.275956775
"155",2014-12-17,4.66,47.73889426
"156",2015-01-08,2.53,6.560009873
"157",2015-01-15,2.8,5.931305613
"158",2015-01-21,2.73,5.309484472
"159",2015-01-29,2.81,4.959004761
"160",2015-02-04,2.26,4.988174369
"161",2015-02-11,2.43,4.500881903
"162",2015-02-18,2.54,4.540946152
"163",2015-02-25,2.335,6.282789597
"164",2015-03-06,2.04,9.152296462
"165",2015-03-11,1.89,13.94910403
"166",2015-03-14,2.45,152.5495583
"167",2015-03-19,2.34,15.85931312
"168",2015-03-26,2.36,117.8008921
"169",2015-04-01,2.34,11.44171847
"170",2015-04-14,2.61,8.556741117
"171",2015-04-22,2.38,8.04459499
"172",2015-04-29,2.31,6.275275645
"173",2015-05-08,1.48,38.05894257
"174",2015-05-24,1.5,742.4995616
"175",2015-06-01,2.11,18.08669993
"176",2015-06-19,1.62,176.0106646
