Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2011-07-14,2.033,2.17,0.025,0.05,1.5,10.907,8.35
2011-07-20,1.76,1.98,0.031,0.062,1.1,12.676,8.852
2011-07-28,2.025,2.205,0.026,0.034,2.25,12.5075,8.3515
2011-08-04,1.56,1.8,0.033,0.108,1.3,13.711,8.906
2011-08-10,1.98,2.36,0.016,0.07,5.5,,
2011-08-10,1.6,1.86,0.037,0.054,2.7,,
2011-08-17,1.84,2.065,0.0495,0.072,1,,
2011-08-31,1.58,1.89,0.027,0.034,1.3,13.012,10.787
2011-09-07,1.629,1.89,0.018,0.022,1.7,13.845,9.914
2011-09-15,1.656,2.06,0.021,0.024,7.5,14.137,10.167
2011-09-21,1.3715,1.745,0.033,0.051,1.3,9.581,10.895
2011-09-29,2.886,3.14,0.037,0.05,0.9,11.693,13.051
2011-10-05,2.85,2.95,0.029,0.036,0,12.679,13.079
2011-10-12,1.682,1.97,0.03,0.068,9.1,8.142,8.357
2011-10-27,1.751,1.89,0.03,0.064,1.3,12.014,13.697
2011-11-02,1.28,1.98,0.02,0.028,0.7,14.078,13.202
2011-11-08,0.861,1.52,0.257,0.402,45.3,2.555,5.804
2011-11-16,2.4295,2.755,0.042,0.06,1.45,9.6105,14.024
2011-11-30,2.832,3,0.035,0.05,4.3,9.242,13.253
2011-12-07,2.679,2.98,0.042,0.052,1.1,9.145,13.558
2012-01-04,3.196,3.16,0.015,0.018,0.7,10.17,12.198
2012-01-11,2.949,3.12,0.016,0.022,0.3,10.117,11.937
2012-01-18,2.964,3.13,0.006,0.012,0.5,11.061,11.474
2012-01-25,0.762,1.47,0.112,0.25,33.5,5.46,7.846
2012-02-01,2.914,2.82,0.032,0.05,1.1,9.755,13.753
2012-02-08,2.604,2.74,0.033,0.058,1.3,9.723,14.049
2012-02-15,2.6975,2.95,0.016,0.024,0.95,13.2135,13.837
2012-02-29,2.624,2.9,0.013,0.026,0.5,11.245,12.129
2012-03-15,1.739,2.31,0.021,0.028,1.3,11.616,13.237
2012-03-20,0.584,1.57,0.137,0.285,62.9,2.898,5.239
2012-03-28,2.248,2.57,0.041,0.036,0.5,8.61,12.047
2012-04-11,2.097,2.51,0.045,0.056,1.8,7.268,9.759
2012-04-18,2.168,2.51,0.041,0.056,1.5,10.06,10.026
2012-04-25,2.481,2.75,0.043,0.054,1.5,10.585,9.446
2012-04-30,1.912,2.48,0.047,0.134,13.3,8.299,8.52
2012-05-09,1.892,2.14,0.047,0.062,1.9,12.378,9.865
2012-05-17,1.988,2.19,0.041,0.046,2.3,11.647,9.489
2012-05-23,1.851,2.1,0.037,0.07,1.8,12.228,9.485
2012-05-31,1.3165,1.76,0.048,0.08,2.9,8.437,7.953
2012-06-06,1.687,2.1,0.044,0.064,1.1,10.058,10.294
2012-06-13,1.412,1.63,0.041,0.057,1.7,12.702,9.745
2012-06-20,1.38,1.57,0.045,0.062,15.7,13.751,9.395
2012-06-28,1.314,1.57,0.329,0.054,1.6,13.829,9.488
2012-07-11,0.985,1.23,0.042,0.054,0.3,14.866,10.313
2012-07-18,0.949,1.13,0.038,0.06,0.9,14.84,9.912
2012-07-25,0.956,1.07,0.044,0.062,1,14.852,9.448
2012-08-01,0.792,0.96,0.035,0.048,1.8,15.148,10.254
2012-08-16,1.19,1.42,0.038,0.058,1.9,11.441,12.988
2012-08-23,1.251,1.85,0.033,0.064,1.4,12.171,14.291
2012-08-30,1.399,1.64,0.057,0.08,1.1,10.542,12.784
2012-09-06,1.5745,1.81,0.05,0.077,2.7,12.8025,13.0475
2012-09-12,1.453,1.71,0.046,0.068,1.2,11.457,13.135
2012-10-03,1.5585,1.805,0.0345,0.049,1,13.5685,13.4905
2012-10-10,1.857,2.01,0.035,0.05,0.4,14.955,14.351
2012-10-16,1.851,2.17,0.065,0.086,1.1,10.002,15.026
2012-11-01,1.683,1.91,0.032,0.044,0.9,15.662,14.362
2012-11-08,1.602,1.78,0.028,0.04,0.4,15.474,14.647
2012-11-15,1.6685,1.825,0.0305,0.038,0.9,13.03,14.5315
2012-11-29,1.627,1.79,0.017,0.03,0,15.283,15.933
2012-12-06,1.49,1.66,0.017,0.034,0.9,12.779,14.52
2012-12-13,3.339,1.79,0.019,0.02,0,29.372,32.739
2013-01-03,2.269,2.47,0.011,0.012,0,13.429,17.649
2013-01-11,1.985,2.14,0.008,0.012,0.4,14.595,18.08
2013-01-14,2.131,2.25,0.006,0.016,0.3,13.795,19.041
2013-01-24,1.703,1.97,0.007,0.01,0.3,14.892,20.353
2013-01-30,1.478,1.9,0.036,0.072,4.1,8.503,15.278
2013-02-07,2.212,2.21,0.006,0.012,0.7,14.205,19.734
2013-02-13,1.775,1.75,0.004,0.012,0.7,12.499,21.29
