"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2011-07-28,1.315636464,2.025,0.705569700558502,0.274320551579861
"2",2011-08-04,1.006670171,1.56,0.444685821261446,0.00664802383843718
"3",2011-08-10,3.265186276,1.98,0.683096844706444,1.18331681347463
"4",2011-08-10,3.265186276,1.6,0.470003629245736,1.18331681347463
"5",2011-08-17,1.821711063,1.84,0.609765571620894,0.599776203935147
"6",2011-08-31,1.498211547,1.58,0.457424847038875,0.404272094750643
"7",2011-09-07,1.062082862,1.629,0.487966329619908,0.0602319442581048
"8",2011-09-15,1.103181966,1.656,0.504405055963068,0.0981987003727686
"9",2011-09-21,2.024534114,1.3715,0.315905031395521,0.7053396069285
"10",2011-09-29,2.230208677,2.886,1.05987146035168,0.802095158224006
"11",2011-10-05,1.635059149,2.85,1.04731899428056,0.491678980453263
"12",2011-10-12,24.80622885,1.682,0.519983561550756,3.21109478494117
"13",2011-10-27,3.572949308,1.751,0.560187053303715,1.27339139142314
"14",2011-11-02,3.787719156,1.28,0.246860077931526,1.33176403213179
"15",2011-11-08,28.81434184,0.861,-0.149660774554406,3.36087324374629
"16",2011-11-16,4.145860078,2.4295,0.887685474863821,1.42211026477067
"17",2011-11-30,4.271763732,2.832,1.04098317583147,1.45202679394868
"18",2011-12-07,4.178241281,2.679,0.985443590562472,1.42989041182591
"19",2012-01-04,3.362902556,3.196,1.16190002790403,1.21280445701868
"20",2012-01-11,2.906317198,2.949,1.08146612983314,1.0668867119787
"21",2012-01-18,2.519774472,2.964,1.08653970743384,0.924169402280299
"22",2012-01-25,12.11213272,0.762,-0.271808723295491,2.49420765436293
"23",2012-02-01,3.4879038,2.914,1.06952670777301,1.24930092539116
"24",2012-02-08,3.893376262,2.604,0.957048724346323,1.35927671486981
"25",2012-02-15,3.173400239,2.6975,0.992325418150153,1.15480364363139
"26",2012-02-29,2.827760646,2.624,0.964699871081843,1.03948510725296
"27",2012-03-15,2.769262031,1.739,0.553310235372146,1.01858086990308
"28",2012-03-20,189.9904726,0.584,-0.53785429615391,5.2469739266927
"29",2012-03-28,6.179701744,2.248,0.810040932031445,1.8212700088163
"30",2012-04-11,5.414919265,2.097,0.740507751919783,1.68915797083119
"31",2012-04-18,3.506440602,2.168,0.7738050835774,1.25460144945309
"32",2012-04-25,2.821701487,2.481,0.908661704709664,1.03734006718343
"33",2012-04-30,9.019849622,1.912,0.64814981462921,2.19942766231693
"34",2012-05-09,2.214249328,1.892,0.637634470629686,0.794913442218743
"35",2012-05-17,1.86353975,1.988,0.687129108234382,0.622477770538762
"36",2012-05-23,1.647547955,1.851,0.61572603359136,0.499288094709902
"37",2012-05-31,1.638405461,1.3165,0.274976699954227,0.49372348898738
"38",2012-06-06,1.58514659,1.687,0.522951803563831,0.460676888857112
"39",2012-06-13,1.802391146,1.412,0.34500713907105,0.589114197784729
"40",2012-06-20,1.554010051,1.38,0.322083499169113,0.440838719749507
"41",2012-06-28,1.566775068,1.314,0.273075920062419,0.449019409994649
"42",2012-07-11,1.635537807,0.985,-0.0151136378100482,0.491971684207261
"43",2012-07-18,1.5296918,0.949,-0.0523464803722092,0.425066277204507
"44",2012-07-25,1.38532222,0.956,-0.0449973659307358,0.325932762400024
"45",2012-08-01,1.88030891,0.792,-0.233193887167711,0.631436077173606
"46",2012-08-16,2.814262861,1.19,0.173953307123438,1.03470036619881
"47",2012-08-23,2.648063437,1.251,0.223943231484774,0.973828594358805
"48",2012-08-30,3.287619649,1.399,0.335757695683344,1.19016379197468
"49",2012-09-06,2.99645788,1.5745,0.453937761558942,1.09743088441818
"50",2012-09-12,3.09210446,1.453,0.373630384588146,1.12885191411311
"51",2012-10-03,2.784246861,1.5585,0.443723820225255,1.02397740987731
"52",2012-10-10,2.136608182,1.857,0.618962282370569,0.759219609970974
"53",2012-10-16,28.298087,1.851,0.61572603359136,3.34279420519126
"54",2012-11-01,3.231582705,1.683,0.520577915208669,1.172972018771
"55",2012-11-08,3.211579522,1.602,0.471252848646168,1.16676287904701
"56",2012-11-15,3.273308765,1.6685,0.511925019209292,1.18580132806928
"57",2012-11-29,2.90349218,1.627,0.486737828236901,1.06591421252515
"58",2012-12-06,3.087511655,1.49,0.398776119957368,1.12736547684576
"59",2012-12-13,2.631922207,3.339,1.20567136096152,0.967714456415323
"60",2013-01-03,3.225926661,2.269,0.819339205797705,1.17122024571863
"61",2013-01-11,4.005237437,1.985,0.685618914139154,1.3876028639066
"62",2013-01-14,3.495140303,2.131,0.75659135311648,1.25137351879991
"63",2013-01-24,2.55801809,1.703,0.532391401680551,0.939232775062841
"64",2013-01-30,5.452477779,1.478,0.39068982252601,1.69607014370708
"65",2013-02-07,2.918097182,2.212,0.793897083660088,1.07093175386404
"66",2013-02-13,4.040113589,1.775,0.573800422927379,1.39627280766692
"67",2013-02-21,5.809046961,1.68,0.518793793415168,1.75941652315744
"68",2013-02-26,4.584250099,2.018,0.702106921931417,1.52262653704282
"69",2013-02-28,4.001726731,2.091,0.737642420446497,1.3867259507217
"70",2013-03-07,3.509763745,1.673,0.514618422004687,1.25554872609561
"71",2013-03-11,17.01703901,2.491,0.912684236280043,2.83421513680014
"72",2013-03-20,4.352065728,2.54,0.932164081030445,1.47065061238077
"73",2013-03-28,4.279840317,2.307,0.835947979191617,1.45391569978555
"74",2013-04-04,12.70432855,2.434,0.889535994565335,2.54194276610362
"75",2013-04-10,57.60102782,1.443,0.366724279791734,4.05354041163986
"76",2013-04-18,456.602115,0.48,-0.7339691750802,6.12381236614804
"77",2013-04-18,456.602115,0.483,-0.727738625329564,6.12381236614804
"78",2013-04-18,456.602115,0.667,-0.404965233066513,6.12381236614804
"79",2013-04-25,6.530603015,3.019,1.1049256507247,1.87649928435402
"80",2013-04-29,11.10441926,2.375,0.864997437486605,2.40734316061649
"81",2013-05-09,124.7575446,2.394,0.872965607135781,4.82637221055843
"82",2013-05-10,479.2638996,0.674,-0.39452516806983,6.17225138432208
"83",2013-05-21,126.1091726,1.691,0.525320069916443,4.8371479810074
"84",2013-05-31,237.9595285,0.788,-0.238257189124258,5.47210061089229
"85",2013-06-07,13.15989008,2.181,0.779783487219492,2.5771735732787
"86",2013-06-13,6.565373303,2.499,0.915890651852815,1.88180936874286
"87",2013-06-26,5.442274025,2.339,0.849723487602042,1.69419699282359
"88",2013-07-10,4.462864988,2.185,0.781615828547554,1.49579093378915
"89",2013-07-17,5.519277459,1.985,0.685618914139154,1.7082469566128
"90",2013-08-01,6.813667935,1.884,0.633397176154171,1.9189305852952
"91",2013-08-08,570.9094152,0.58,-0.544727175441672,6.34723055468919
"92",2013-08-15,22.34324516,1.969,0.677525799656989,3.10652404540127
"93",2013-08-21,9.622103507,2.386,0.869618323675724,2.26406290054636
"94",2013-08-29,6.935624735,2.535,0.930193637043147,1.93667113406417
"95",2013-09-05,5.622921381,2.723,1.00173421369162,1.72685134752994
"96",2013-09-12,4.712925587,2.41,0.879626747502564,1.55030885893513
"97",2013-09-19,4.473929736,2.5075,0.919286240853953,1.49826715798261
"98",2013-09-25,4.341804903,2.263,0.8166913666514,1.46829013792703
"99",2013-10-03,5.434281192,2.034,0.710004297626368,1.69272725644487
"100",2013-10-21,5.370640322,2.179,0.778866055962483,1.68094714200808
"101",2013-10-30,78.62936385,0.987,-0.0130852395486555,4.36474521554719
"102",2013-11-07,9.897657471,1.462,0.379805361327587,2.29229811005092
"103",2013-11-14,6.143022537,2.303,0.834212620838548,1.81531689090369
"104",2013-12-03,4.423256221,2.446,0.894454037264981,1.48687612644191
"105",2013-12-13,67.76833587,2.618,0.962410667487708,4.21609506329097
"106",2013-12-20,85.01695685,2.678,0.985070247268981,4.4428507289473
"107",2014-01-07,5.871240949,3.087,1.12719974552002,1.77006601677815
"108",2014-01-10,63.99902155,1.223,0.201306856705035,4.15886779496156
"109",2014-01-23,5.616765802,2.938,1.07772907775169,1.72575601818221
"110",2014-01-29,5.285126424,3.072,1.12232881528543,1.66489654032275
"111",2014-02-07,4.564937787,2.931,1.07534366172876,1.51840488569558
"112",2014-02-13,4.889735115,2.781,1.02281057525183,1.58713813330795
"113",2014-02-20,4.378194259,2.175,0.777028664540647,1.47663636974716
"114",2014-02-25,4.144380586,2.302,0.833778310299691,1.42175334099109
"115",2014-03-06,5.930214798,2.489,0.911881023385455,1.78006043461332
"116",2014-03-13,5.079422306,1.963,0.674473915294324,1.62519753583252
"117",2014-03-16,128.107815,0.941,-0.0608121393967575,4.8528722140676
"118",2014-03-28,7.519140064,2.51,0.920282753143692,2.01745177823143
"119",2014-04-03,7.163217345,2.467,0.90300283754722,1.96895922990547
"120",2014-04-08,8.734820523,1.799,0.587230954968396,2.16731739649456
"121",2014-04-15,5.610528578,2.211,0.793444901875309,1.72464493577348
"122",2014-04-24,5.278387608,1.796,0.585561969880008,1.66362067380831
"123",2014-04-29,4.547301251,1.831,0.604862265692374,1.51453392534234
"124",2014-05-08,17.81625197,1.525,0.421994410059375,2.88011107276031
"125",2014-05-13,13.87217727,1.427,0.355574338494699,2.62988519893577
"126",2014-05-15,6.339730886,1.584,0.459953293392234,1.84683632054508
"127",2014-05-21,4.465447812,1.577,0.455524307980901,1.49636950314036
"128",2014-05-29,4.258866386,1.5505,0.438577459558367,1.44900301829587
"129",2014-06-03,9.762290361,1.154,0.143234168085908,2.27852704102999
"130",2014-06-16,19.30062395,1.356,0.304539189518204,2.96013742440381
"131",2014-06-19,6.831889908,1.987,0.68662596356968,1.92160134218782
"132",2014-07-02,6.607718005,2.14,0.76080582903376,1.88823836051995
"133",2014-07-07,5.12337062,2.28,0.824175442966349,1.63381254666983
"134",2014-07-22,4.07433838,2.175,0.777028664540647,1.4047083727747
"135",2014-07-31,9.697899621,1.118,0.111541374732908,2.27190932814496
"136",2014-08-06,4.022676044,1.657,0.505008738444426,1.39194736374962
"137",2014-08-13,5.024018828,1.846,0.61302113608066,1.61423017677034
"138",2014-08-21,4.249204533,1.76,0.56531380905006,1.4467317967122
"139",2014-08-28,3.699076733,1.542,0.433080275141138,1.30808325689036
"140",2014-09-02,62.1510258,0.762,-0.271808723295491,4.12956732304979
"141",2014-09-11,4.208169295,1.586,0.461215123212656,1.43702770632766
"142",2014-09-18,13.56002745,1.399,0.335757695683344,2.60712630684648
"143",2014-09-24,3.993025295,1.526,0.422649932862265,1.38454916289698
"144",2014-10-01,3.491634787,1.684,0.521171915820135,1.25037004688361
"145",2014-10-09,3.664997547,1.631,0.489193323638877,1.29882766603416
"146",2014-10-10,383.5740622,0.499,-0.695149183230618,5.94953272393484
"147",2014-10-13,229.6299893,0.427,-0.850971265753513,5.43646927133408
"148",2014-10-23,4.788122086,2.446,0.894454037264981,1.56613828569981
"149",2014-10-29,4.79980038,2.176,0.777488328993696,1.56857432954906
"150",2014-11-04,11.06005169,1.71,0.536493370514568,2.40333966968182
"151",2014-11-13,6.742235253,2.168,0.7738050835774,1.90839150985483
"152",2014-11-19,5.668717947,2.679,0.985443590562472,1.73496298053236
"153",2014-12-03,4.887180441,2.355,0.856540727468381,1.58661554025833
"154",2014-12-11,5.275956775,2.363,0.859931998204771,1.66316004206184
"155",2014-12-17,47.73889426,2.023,0.704581558185609,3.86574645893319
"156",2015-01-08,6.560009873,2.498,0.915490411703386,1.88099210798535
"157",2015-01-15,5.931305613,2.709,0.996579563102958,1.7802443596019
"158",2015-01-21,5.309484472,2.68,0.985816794522765,1.66949474428832
"159",2015-01-29,4.959004761,2.742,1.00868758114012,1.60120506757913
"160",2015-02-04,4.988174369,2.328,0.845009529869191,1.60706998490526
"161",2015-02-11,4.500881903,2.3272,0.844665828198855,1.50427335601945
