"","Date","concentrations.TN","Flow"
"1",2009-07-07,2.65,33
"2",2009-07-14,2.91,22
"3",2009-07-28,3.14,32
"4",2009-08-04,2.425,24
"5",2009-08-11,2.71,52
"6",2009-08-18,2.55,23
"7",2009-08-20,2.48,67
"8",2009-08-25,2.36,24
"9",2009-09-01,2.71,20
"10",2009-09-05,3.02,153
"11",2009-09-08,2.848,36
"12",2009-09-10,3.58,273
"13",2009-09-15,2.49,66
"14",2009-09-22,2.08,2730
"15",2009-09-29,2.89,86
"16",2009-10-06,3.4,62
"17",2009-10-09,1.54,9880
"18",2009-10-13,2.4,1310
"19",2009-10-20,3.34,213
"20",2009-10-27,2.47,604
"21",2009-11-03,2.52,313
"22",2009-11-10,2.82,139
"23",2009-11-17,2.35,183
"24",2009-11-23,2.25,116
"25",2009-12-01,2.36,92
"26",2009-12-08,2.8,69
"27",2009-12-15,2.85,61
"28",2009-12-21,2.68,51
"29",2009-12-29,1.97,117
"30",2010-01-05,1.9,87
"31",2010-01-12,2.95,59
"32",2010-01-19,2.51,64
"33",2010-01-26,1.82,370
"34",2010-02-03,1.83,611
"35",2010-02-10,2.41,426
"36",2010-02-16,2.6,305
"37",2010-02-23,2.1,367
"38",2010-03-02,2.49,211
"39",2010-03-08,2.79,171
"40",2010-03-16,2.77,152
"41",2010-03-22,1.71,892
"42",2010-03-30,2.9,346
"43",2010-04-07,2.48,213
"44",2010-04-13,2.66,113
"45",2010-04-20,3.27,78
"46",2010-04-27,2.16,94
"47",2010-05-04,2.625,60
"48",2010-05-11,2.78,96
"49",2010-05-14,1.52,1240
"50",2010-05-14,1.45,1240
"51",2010-05-18,1.54,319
"52",2010-05-25,2.42,873
"53",2010-06-01,5.38,107
"54",2010-06-08,3.02,105
"55",2010-06-15,2.87,52
"56",2010-06-23,2.6,27
"57",2010-08-04,3.22,45
"58",2010-08-09,2.815,35
"59",2010-08-18,2.75,28
"60",2010-08-25,3.45,21
"61",2010-09-02,3.84,58
"62",2010-09-08,3.74,27
"63",2010-09-15,2.93,152
"64",2010-09-23,3.14,27
"65",2010-09-30,3.52,24
"66",2010-10-07,4.05,20
"67",2010-10-13,4.4,16
"68",2010-10-21,4.585,21
"69",2010-10-28,2.45,24
"70",2010-11-03,1.87,35
"71",2010-11-11,4.77,21
"72",2010-11-16,3.86,21
"73",2010-11-29,2.4,41
"74",2010-12-09,3.38,25
"75",2010-12-16,3.61,33
"76",2011-01-06,2,47
"77",2011-01-12,2.54,35
"78",2011-01-21,2.78,33
"79",2011-01-26,3.26,33
"80",2011-02-06,2.5,53
"81",2011-02-12,2.41,81
"82",2011-02-14,2.38,389
"83",2011-02-25,2.52,298
"84",2011-03-14,2.38,351
"85",2011-03-31,3.15,64
"86",2011-04-07,2.45,55
"87",2011-04-11,3.41,310
"88",2011-04-20,2.42,82
"89",2011-04-23,2.45,2970
"90",2011-04-25,1.41,20000
"91",2011-04-26,1.95,12300
"92",2011-05-11,3.75,62
"93",2011-05-18,3.27,45
"94",2011-05-24,1.1,6680
"95",2011-06-09,3.455,66
"96",2011-06-15,3.775,54
"97",2011-07-14,3.7,27
"98",2011-07-20,3.6,24
"99",2011-07-28,3.36,21
"100",2011-08-04,3.78,21
"101",2011-08-10,4.14,25
"102",2011-08-17,3.33,26
"103",2011-08-31,4.1,18
"104",2011-09-07,5.61,18
"105",2011-09-15,5.77,17
"106",2011-09-21,3.89,22
"107",2011-09-29,3.71,26
"108",2011-10-05,4.05,23
"109",2011-10-13,6.52,34
"110",2011-10-28,3.84,33
"111",2011-11-02,3.44,27
"112",2011-11-08,2.86,1700
"113",2011-11-16,4.63,112
"114",2011-11-30,6.18,140
"115",2011-12-07,3.28,196
"116",2012-01-04,3.78,99
"117",2012-01-11,4.01,180
"118",2012-01-18,3.12,99
"119",2012-01-25,2.47,893
"120",2012-02-01,3.36,152
"121",2012-02-04,2.53,857
"122",2012-02-15,3.5,111
"123",2012-02-29,3.05,87
"124",2012-03-15,2.09,102
"125",2012-03-20,2.04,2400
"126",2012-03-22,2.43,1610
"127",2012-03-28,3.09,259
"128",2012-04-11,3.07,85
"129",2012-04-15,3.27,109
"130",2012-04-25,3.5,54
"131",2012-05-02,3.38,53
"132",2012-05-09,3.6,40
"133",2012-05-17,3.79,37
"134",2012-05-23,3.97,34
"135",2012-05-31,3.39,36
"136",2012-06-06,2.23,31
"137",2012-06-13,2.92,14
"138",2012-06-20,3.25,13
"139",2012-06-28,3.05,12
"140",2012-07-11,2.92,12
"141",2012-07-18,2.8,10
"142",2012-07-25,2.73,9.5
"143",2012-08-01,2.77,9.1
"144",2012-08-16,3.27,11
"145",2012-08-22,3.6,11
"146",2012-09-06,2.67,12
"147",2012-09-12,3.48,12
"148",2012-09-27,5.71,13
"149",2012-10-03,4.91,13
"150",2012-10-10,4.83,14
"151",2012-10-16,2.7,24
"152",2012-10-25,3.38,22
"153",2012-11-01,3.36,21
"154",2012-11-08,2.37,20
"155",2012-11-15,2.05,22
"156",2012-11-29,3.91,21
"157",2012-12-06,1.99,23
"158",2012-12-13,4.135,20
"159",2013-01-03,4.31,25
"160",2013-01-11,3.66,21
"161",2013-01-14,3.44,22
"162",2013-01-24,4.27,21
"163",2013-01-30,3.44,444
"164",2013-02-07,3.51,36
"165",2013-02-13,2.86,55
"166",2013-02-21,2.97,54
"167",2013-03-01,2.72,63
"168",2013-03-05,3.52,45
"169",2013-03-10,3.1,1020
"170",2013-03-19,3.24,112
"171",2013-03-26,2.53,118
"172",2013-04-05,2.42,278
"173",2013-04-11,2.27,508
"174",2013-04-18,3.16,2430
"175",2013-04-25,3.21,151
"176",2013-05-03,2.88,201
"177",2013-05-10,1.95,3300
"178",2013-05-21,1.95,1620
"179",2013-05-21,2.95,1620
"180",2013-05-29,3.15,137
"181",2013-06-07,2.8,128
"182",2013-06-26,2.89,59
"183",2013-07-10,2.77,50
"184",2013-07-17,2.57,72
"185",2013-08-01,2.16,53
"186",2013-08-08,2.17,376
"187",2013-08-15,2.65,21
"188",2013-08-21,2.53,17
"189",2013-08-29,2.11,16
"190",2013-09-05,2.19,16
"191",2013-09-12,1.72,18
"192",2013-09-19,1.65,17
"193",2013-09-20,1.72,148
"194",2013-10-03,1.61,29
"195",2013-10-05,1.9,173
"196",2013-10-21,2.27,37
"197",2013-10-31,2.11,49
"198",2013-11-07,2.68,46
"199",2013-11-14,2.29,36
"200",2013-11-21,2.91,91
"201",2013-12-03,2.29,39
"202",2013-12-13,2.68,45
"203",2013-12-20,3.04,110
"204",2013-12-21,2.66,1260
"205",2014-01-08,3.31,95
"206",2014-01-10,3.39,322
"207",2014-01-23,3.2,88
"208",2014-01-29,3.76,72
"209",2014-02-07,3.205,74
"210",2014-02-13,3.01,79
"211",2014-02-20,2.45,75
"212",2014-02-26,2.73,65
"213",2014-03-06,2.56,94
"214",2014-03-13,2.06,115
"215",2014-03-16,2.32,2310
"216",2014-03-28,2.81,166
"217",2014-04-03,2.25,165
"218",2014-04-04,2.36,347
"219",2014-04-08,1.86,316
"220",2014-04-15,2.01,117
"221",2014-04-24,2.13,65
"222",2014-04-29,2.28,59
"223",2014-05-09,2.84,98
"224",2014-05-13,2.1,247
"225",2014-05-15,1.71,188
"226",2014-05-21,2.26,60
"227",2014-05-29,2.88,44
"228",2014-06-03,2.985,56
"229",2014-06-16,2.77,43
"230",2014-07-02,2.52,24
"231",2014-07-07,2.58,17
"232",2014-07-22,3.12,13
"233",2014-07-31,2.11,26
"234",2014-08-06,2.02,15
"235",2014-08-13,1.91,19
"236",2014-08-21,2.03,14
"237",2014-08-28,2.15,13
"238",2014-09-02,2.205,149
"239",2014-09-11,2.39,16
"240",2014-09-18,3.02,28
"241",2014-09-24,2.36,12
"242",2014-10-01,2.78,11
"243",2014-10-09,2.71,14
"244",2014-10-10,3.14,428
"245",2014-10-13,2.45,966
"246",2014-10-23,3.15,51
"247",2014-10-29,2.99,41
"248",2014-11-06,1.82,100
"249",2014-11-13,2.18,38
"250",2014-11-19,3.365,27
"251",2014-12-02,2.31,34
"252",2014-12-11,2.02,75
"253",2014-12-17,2.11,167
"254",2015-01-04,1.92,NA
"255",2015-01-08,2.66,117
"256",2015-01-15,2.92,72
"257",2015-01-21,2.43,55
"258",2015-01-29,2.81,44
"259",2015-02-04,2.63,52
"260",2015-02-11,2.83,41
"261",2015-02-18,3.09,43
"262",2015-02-25,2.65,81
"263",2015-03-05,1.87,350
"264",2015-03-11,1.92,372
"265",2015-03-14,2.43,1990
"266",2015-03-19,2.37,411
"267",2015-03-26,2.66,1190
"268",2015-04-01,2.365,185
"269",2015-04-14,2.31,197
"270",2015-04-22,1.88,124
"271",2015-04-29,2.04,73
"272",2015-05-08,2.11,844
"273",2015-05-11,1.61,2590
"274",2015-05-17,1.99,1380
"275",2015-05-24,1.93,2260
"276",2015-06-01,2.15,414
"277",2015-06-19,1.45,5120
