"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,33,2.65,3.49650756146648,0.974559639998131,-0.104907831400297,-0.118715544185266,0.00113898801188727,0.65,0.00121525289524251,-2.64562140355196,-2.63370822271014
"2",2009-07-14,22,2.91,3.09104245335832,1.0681530811834,-0.0706389705521768,-0.0583804238656369,NA,NA,NA,NA,NA
"3",2009-07-28,32,3.14,3.46573590279973,1.14422279992016,0.0577954333681112,0.0473863989017271,NA,NA,NA,NA,NA
"4",2009-08-04,24,2.425,3.17805383034795,0.885831524389446,-0.251344632894664,-0.23667947278178,NA,NA,NA,NA,NA
"5",2009-08-11,52,2.71,3.95124371858143,0.99694863489161,-0.0329680925239112,-0.0338850828089258,NA,NA,NA,NA,NA
"6",2009-08-18,23,2.55,3.13549421592915,0.936093359170335,-0.201713562128925,-0.188555342897856,NA,NA,NA,NA,NA
"7",2009-08-20,67,2.48,4.20469261939097,0.908258560176891,-0.108356861396725,-0.108773798076723,NA,NA,NA,NA,NA
"8",2009-08-25,24,2.36,3.17805383034795,0.858661619037519,-0.278514538246591,-0.263849378133707,NA,NA,NA,NA,NA
"9",2009-09-01,20,2.71,2.99573227355399,0.99694863489161,-0.143588299412029,-0.131898119649905,NA,NA,NA,NA,NA
"10",2009-09-05,153,3.02,5.03043792139244,1.10525683138678,0.111932712700603,0.119691327515577,NA,NA,NA,NA,NA
"11",2009-09-08,36,2.848,3.58351893845611,1.04661699354973,-0.0198870980202548,-0.0348890860628006,NA,NA,NA,NA,NA
"12",2009-09-10,273,3.58,5.60947179518496,1.27536280041261,0.355716755823674,0.349617288805656,NA,NA,NA,NA,NA
"13",2009-09-15,66,2.49,4.18965474202643,0.912282710476616,-0.104400338039969,-0.105114959763074,NA,NA,NA,NA,NA
"14",2009-09-22,2730,2.08,7.91205688817901,0.732367893713227,0.0326685643626309,0.0450152545022533,NA,NA,NA,NA,NA
"15",2009-09-29,86,2.89,4.45434729625351,1.06125650212434,0.0440906888923822,0.046236828354236,NA,NA,NA,NA,NA
"16",2009-10-06,62,3.4,4.12713438504509,1.22377543162212,0.205556456676044,0.204145922217701,NA,NA,NA,NA,NA
"17",2009-10-09,9880,1.54,9.19826779074191,0.431782416425538,-0.0421537075380252,-0.0476014042628519,NA,NA,NA,NA,NA
"18",2009-10-13,1310,2.4,7.1777824161952,0.8754687373539,0.0820246426248602,0.0978437776962753,NA,NA,NA,NA,NA
"19",2009-10-20,213,3.34,5.36129216570943,1.20597080698861,0.248837822918466,0.252050446577032,NA,NA,NA,NA,NA
"20",2009-10-27,604,2.47,6.40357419793482,0.904218150639886,0.0612692589209557,0.0515900815888077,NA,NA,NA,NA,NA
"21",2009-11-03,313,2.52,5.74620319054015,0.924258901523332,0.0216390096234125,0.0139063096317756,NA,NA,NA,NA,NA
"22",2009-11-10,139,2.82,4.93447393313069,1.03673688495002,0.037041822770052,0.0441982429005165,NA,NA,NA,NA,NA
"23",2009-11-17,183,2.35,5.20948615284142,0.854415328156068,-0.122775198334614,-0.115404329795444,NA,NA,NA,NA,NA
"24",2009-11-23,116,2.25,4.75359019110636,0.810930216216329,-0.198697500579013,-0.192579034683469,NA,NA,NA,NA,NA
"25",2009-12-01,92,2.36,4.52178857704904,0.858661619037519,-0.159414449343293,-0.155264737951387,NA,NA,NA,NA,NA
"26",2009-12-08,69,2.8,4.23410650459726,1.02961941718116,0.0129263325539075,0.0131459807156966,NA,NA,NA,NA,NA
"27",2009-12-15,61,2.85,4.11087386417331,1.04731899428056,0.0283167645983233,0.0269102578815497,NA,NA,NA,NA,NA
"28",2009-12-21,51,2.68,3.93182563272433,0.985816794522765,-0.0456890229667989,-0.0465925767723171,NA,NA,NA,NA,NA
"29",2009-12-29,117,1.97,4.76217393479776,0.678033542749897,-0.331157421871964,-0.325008616367291,NA,NA,NA,NA,NA
