"","Date","concentrations.TSS","Flow"
"1",2009-07-07,10.4,33
"2",2009-07-14,13.6,22
"3",2009-07-21,11.3,38
"4",2009-07-28,15.3,32
"5",2009-08-04,44.7,24
"6",2009-08-11,19.2,52
"7",2009-08-18,8.5,23
"8",2009-08-20,27.4,67
"9",2009-08-25,9.2,24
"10",2009-09-01,8.7,20
"11",2009-09-05,79.1,153
"12",2009-09-08,15.3,36
"13",2009-09-10,47.8,273
"14",2009-09-15,9.1,66
"15",2009-09-22,351.1,2730
"16",2009-09-29,4.1,86
"17",2009-10-06,3.4,62
"18",2009-10-09,98.6,9880
"19",2009-10-13,27.1,1310
"20",2009-10-20,5.4,213
"21",2009-10-27,6.5,604
"22",2009-11-03,7.1,313
"23",2009-11-10,3,139
"24",2009-11-17,3.7,183
"25",2009-11-23,2.5,116
"26",2009-12-01,2.5,92
"27",2009-12-08,1.55,69
"28",2009-12-15,1.3,61
"29",2009-12-21,1,51
"30",2009-12-29,1.8,117
"31",2010-01-05,1.1,87
"32",2010-01-12,1.1,59
"33",2010-01-19,3.1,64
"34",2010-01-26,4.6,370
"35",2010-02-03,22.1,611
"36",2010-02-10,4.25,426
"37",2010-02-16,2.5,305
"38",2010-02-23,7.4,367
"39",2010-03-02,4.3,211
"40",2010-03-08,7.7,171
"41",2010-03-16,5.4,152
"42",2010-03-22,14.1,892
"43",2010-03-30,9.7,346
"44",2010-04-07,12.3,213
"45",2010-04-13,9.1,113
"46",2010-04-20,5.5,78
"47",2010-04-27,6.9,94
"48",2010-05-04,8.95,60
"49",2010-05-11,16.1,96
"50",2010-05-14,67.7,1240
"51",2010-05-14,442.8,1240
"52",2010-05-18,22,319
"53",2010-05-25,19.5,873
"54",2010-06-01,9.2,107
"55",2010-06-08,27.2,105
"56",2010-06-15,15,52
"57",2010-06-23,1.25,27
"58",2010-08-04,7.9,45
"59",2010-08-09,8.85,35
"60",2010-08-18,10.3,28
"61",2010-08-25,9.1,21
"62",2010-09-02,14.8,58
"63",2010-09-08,9.6,27
"64",2010-09-15,30.5,152
"65",2010-09-23,7.4,27
"66",2010-09-30,8.4,24
"67",2010-10-07,3.1,20
"68",2010-10-13,5,16
"69",2010-10-21,3.45,21
"70",2010-10-28,2.1,24
"71",2010-11-03,4,35
"72",2010-11-11,3.9,21
"73",2010-11-16,2.5,21
"74",2010-11-29,4.3,41
"75",2010-12-09,1.3,25
"76",2010-12-16,1.5,33
"77",2011-01-06,2.3,47
"78",2011-01-12,1.05,35
"79",2011-01-21,1.5,33
"80",2011-01-26,0.8,33
"81",2011-02-06,4.2,53
"82",2011-02-12,2.2,81
"83",2011-02-14,80.8,389
"84",2011-02-25,76.7,298
"85",2011-02-28,289.5,1200
"86",2011-03-05,57.3,355
"87",2011-03-14,74.5,351
"88",2011-03-31,2.1,64
"89",2011-04-07,7.4,55
"90",2011-04-11,60.7,310
"91",2011-04-20,8.2,82
"92",2011-04-23,308.3,2970
"93",2011-04-25,139.6,20000
"94",2011-04-26,147,12300
"95",2011-05-11,9.2,62
"96",2011-05-18,6.1,45
"97",2011-05-24,216.3,6680
"98",2011-06-09,6.8,66
"99",2011-06-15,7.85,54
"100",2011-07-14,4.5,27
"101",2011-07-20,3.5,24
"102",2011-07-28,4.2,21
"103",2011-08-04,4.5,21
"104",2011-08-10,6,25
"105",2011-08-17,7.2,26
"106",2011-08-31,6.4,18
"107",2011-09-07,4.3,18
"108",2011-09-15,3.3,17
"109",2011-09-21,4.5,22
"110",2011-09-29,3.5,26
"111",2011-10-05,5.2,23
"112",2011-10-13,0.1,34
"113",2011-10-28,2.9,33
"114",2011-11-02,3,27
"115",2011-11-08,945.1,1700
"116",2011-11-16,8.3,112
"117",2011-11-30,2.5,140
"118",2011-12-07,2.9,196
"119",2012-01-04,2.1,99
"120",2012-01-11,8.1,180
"121",2012-01-18,3,99
"122",2012-01-25,320.5,893
"123",2012-02-01,9.1,152
"124",2012-02-04,83.5,857
"125",2012-02-15,4.3,111
"126",2012-02-29,15.5,87
"127",2012-03-15,10.1,102
"128",2012-03-20,383.4,2400
"129",2012-03-22,51.3,1610
"130",2012-03-28,13.9,259
"131",2012-04-11,8.3,85
"132",2012-04-15,16.4,109
"133",2012-04-25,2.5,54
"134",2012-05-02,10.3,53
"135",2012-05-09,7.5,40
"136",2012-05-17,8.3,37
"137",2012-05-23,6.8,34
"138",2012-05-31,6.8,36
"139",2012-06-06,2.3,31
"140",2012-06-13,10.3,14
"141",2012-06-20,7.1,13
"142",2012-06-28,6.6,12
"143",2012-07-11,3.9,12
"144",2012-07-18,4.2,10
"145",2012-07-25,3.95,9.5
"146",2012-08-01,4.3,9.1
"147",2012-08-16,5.1,11
"148",2012-08-22,6.9,11
"149",2012-09-06,7,12
"150",2012-09-12,5.1,12
"151",2012-09-27,10,13
"152",2012-10-03,3.6,13
"153",2012-10-10,1.6,14
"154",2012-10-16,2.7,24
"155",2012-10-25,6.3,22
"156",2012-11-01,1.9,21
"157",2012-11-08,0.9,20
"158",2012-11-15,1.7,22
"159",2012-11-29,1.6,21
"160",2012-12-06,2.5,23
"161",2012-12-13,1.7,20
"162",2013-01-03,2.3,25
"163",2013-01-11,2.3,21
"164",2013-01-14,1,22
"165",2013-01-24,2.1,21
"166",2013-01-30,174.3,444
"167",2013-02-07,3.3,36
"168",2013-02-13,3.4,55
"169",2013-02-21,1.9,54
"170",2013-03-01,2.5,63
"171",2013-03-05,4.1,45
"172",2013-03-10,447,1020
"173",2013-03-19,5.5,112
"174",2013-03-26,1.9,118
"175",2013-04-05,8,278
"176",2013-04-11,85.8,508
"177",2013-04-18,780.6,2430
"178",2013-04-25,4.5,151
"179",2013-05-03,6.3,201
"180",2013-05-10,518.5,3300
"181",2013-05-21,215.7,1620
"182",2013-05-21,95,1620
"183",2013-05-29,7.8,137
"184",2013-06-07,6.8,128
"185",2013-06-26,8.4,59
"186",2013-07-10,5.9,50
"187",2013-07-17,16.2,72
"188",2013-08-01,8.7,53
"189",2013-08-08,36,376
"190",2013-08-15,5.6,21
"191",2013-08-21,5.1,17
"192",2013-08-29,3.8,16
"193",2013-09-05,3.9,16
"194",2013-09-12,7.8,18
"195",2013-09-19,5,17
"196",2013-09-20,46.1,148
"197",2013-10-03,7.1,29
"198",2013-10-05,33,173
"199",2013-10-21,3.6,37
"200",2013-10-31,6.4,49
"201",2013-11-07,1.7,46
"202",2013-11-14,2.88,36
"203",2013-11-21,11.9,91
"204",2013-12-03,2.1,39
"205",2013-12-13,2.4,45
"206",2013-12-20,5,110
"207",2013-12-21,246.8,1260
"208",2014-01-08,2,95
"209",2014-01-10,228.1,322
"210",2014-01-23,1.7,88
"211",2014-01-29,1.7,72
"212",2014-02-07,6.05,74
"213",2014-02-13,1.6,79
"214",2014-02-20,5.7,75
"215",2014-02-26,1.5,65
"216",2014-03-06,2.9,94
"217",2014-03-13,3.9,115
"218",2014-03-16,335.9,2310
"219",2014-03-28,8.1,166
"220",2014-04-03,10.1,165
"221",2014-04-04,35.4,347
"222",2014-04-08,19.6,316
"223",2014-04-15,3.6,117
"224",2014-04-24,5.5,65
"225",2014-04-29,5.9,59
"226",2014-05-09,24.9,98
"227",2014-05-13,53.8,247
"228",2014-05-15,15.5,188
"229",2014-05-21,8.7,60
"230",2014-05-29,8.7,44
"231",2014-06-03,16.4,56
"232",2014-06-16,8.6,43
"233",2014-07-02,8.1,24
"234",2014-07-07,6.2,17
"235",2014-07-22,8.8,13
"236",2014-07-31,7.8,26
"237",2014-08-06,5.7,15
"238",2014-08-13,4.8,19
"239",2014-08-21,5.6,14
"240",2014-08-28,6.2,13
"241",2014-09-02,18.75,149
"242",2014-09-11,5.3,16
"243",2014-09-18,8.3,28
"244",2014-09-24,3.7,12
"245",2014-10-01,5.5,11
"246",2014-10-09,3.6,14
"247",2014-10-10,96,428
"248",2014-10-13,243.9,966
"249",2014-10-23,3.8,51
"250",2014-10-29,3.6,41
"251",2014-11-06,5.2,100
"252",2014-11-13,1.2,38
"253",2014-11-19,0.75,27
"254",2014-12-02,1.2,34
"255",2014-12-11,3.1,75
"256",2014-12-17,3.7,167
"257",2015-01-04,11.4,NA
"258",2015-01-08,1.75,117
"259",2015-01-15,2.3,72
"260",2015-01-21,1.4,55
"261",2015-01-29,3.9,44
"262",2015-02-04,1.7,52
"263",2015-02-11,1.7,41
"264",2015-02-18,0.3,43
"265",2015-02-25,2.2,81
"266",2015-03-05,18.5,350
"267",2015-03-11,22.1,372
"268",2015-03-14,209.9,1990
"269",2015-03-19,14.9,411
"270",2015-03-26,248.6,1190
"271",2015-04-01,8.1,185
"272",2015-04-14,12.9,197
"273",2015-04-22,4.1,124
"274",2015-04-29,3.5,73
"275",2015-05-08,217.5,844
"276",2015-05-11,283.2,2590
"277",2015-05-17,428.3,1380
"278",2015-05-24,393.8,2260
"279",2015-06-01,10.2,414
"280",2015-06-19,110.7,5120
