"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,33,10.4,3.49650756146648,2.34180580614733,1.07650691735962,1.12370614240721,0.792395705886473,0.4,0.748682491444578,-0.789770784770383,-0.95852474117919
"2",2009-07-14,22,13.6,3.09104245335832,2.61006979274201,1.22529088274719,1.20780635202096,NA,NA,NA,NA,NA
"3",2009-07-21,38,11.3,3.63758615972639,2.42480272571829,1.14274536649454,1.1887447982387,NA,NA,NA,NA,NA
"4",2009-07-28,32,15.3,3.46573590279973,2.72785282839839,1.4606387695221,1.49753163582381,NA,NA,NA,NA,NA
"5",2009-08-04,24,44.7,3.17805383034795,3.79997350161952,2.45377148832175,2.42501167824232,NA,NA,NA,NA,NA
"6",2009-08-11,52,19.2,3.95124371858143,2.95491027903374,1.5247015167395,1.46656830476336,NA,NA,NA,NA,NA
"7",2009-08-18,23,8.5,3.13549421592915,2.14006616349627,0.773985647260659,0.752962162270362,NA,NA,NA,NA,NA
"8",2009-08-20,67,27.4,4.20469261939097,3.31054301339402,1.79916606401776,1.80583340508394,NA,NA,NA,NA,NA
"9",2009-08-25,24,9.2,3.17805383034795,2.21920348405499,0.873001470757223,0.844241660677794,NA,NA,NA,NA,NA
"10",2009-09-01,20,8.7,2.99573227355399,2.16332302566054,0.734625994431256,0.725711836266217,NA,NA,NA,NA,NA
"11",2009-09-05,153,79.1,5.03043792139244,4.37071287477361,2.34037590955076,2.31326896810529,NA,NA,NA,NA,NA
"12",2009-09-08,36,15.3,3.58351893845611,2.72785282839839,1.45581597095735,1.51043601810408,NA,NA,NA,NA,NA
"13",2009-09-10,273,47.8,5.60947179518496,3.86702563949741,1.09156801452887,1.0656423687838,NA,NA,NA,NA,NA
"14",2009-09-15,66,9.1,4.18965474202643,2.2082744135228,0.696484744800118,0.703605161605075,NA,NA,NA,NA,NA
"15",2009-09-22,2730,351.1,7.91205688817901,5.86107108317439,0.379347332642217,0.294447508412998,NA,NA,NA,NA,NA
"16",2009-09-29,86,4.1,4.45434729625351,1.41098697371026,-0.14556786951492,-0.111568631708743,NA,NA,NA,NA,NA
"17",2009-10-06,62,3.4,4.12713438504509,1.22377543162212,-0.278759609738503,-0.27673622132572,NA,NA,NA,NA,NA
"18",2009-10-09,9880,98.6,9.19826779074191,4.59107126160859,-0.733790897070669,-0.695249965528871,NA,NA,NA,NA,NA
"19",2009-10-13,1310,27.1,7.1777824161952,3.29953372788566,-1.68109121066623,-1.7599409680529,NA,NA,NA,NA,NA
"20",2009-10-20,213,5.4,5.36129216570943,1.68639895357023,-0.759858169649529,-0.78582492015479,NA,NA,NA,NA,NA
"21",2009-10-27,604,6.5,6.40357419793482,1.87180217690159,-2.02450226690611,-2.02613787002119,NA,NA,NA,NA,NA
"22",2009-11-03,313,7.1,5.74620319054015,1.96009478404727,-0.997981441806582,-1.01760730500268,NA,NA,NA,NA,NA
"23",2009-11-10,139,3,4.93447393313069,1.09861228866811,-0.815295030358573,-0.849690193185007,NA,NA,NA,NA,NA
"24",2009-11-17,183,3.7,5.20948615284142,1.30833281965018,-0.948594256521661,-0.969381985654326,NA,NA,NA,NA,NA
"25",2009-11-23,116,2.5,4.75359019110636,0.916290731874155,-0.826729711115328,-0.834140320845013,NA,NA,NA,NA,NA
"26",2009-12-01,92,2.5,4.52178857704904,0.916290731874155,-0.672083779466314,-0.615613351511607,NA,NA,NA,NA,NA
"27",2009-12-08,69,1.55,4.23410650459726,0.438254930931155,-1.07090766890711,-1.06608799101954,NA,NA,NA,NA,NA
"28",2009-12-15,61,1.3,4.11087386417331,0.262364264467491,-1.23431280915112,-1.23679143366575,NA,NA,NA,NA,NA
"29",2009-12-21,51,1,3.93182563272433,0,-1.41962053115662,-1.47380861820632,NA,NA,NA,NA,NA
"30",2009-12-29,117,1.8,4.76217393479776,0.587786664902119,-1.16203997449482,-1.17374577370344,NA,NA,NA,NA,NA
"31",2010-01-05,87,1.1,4.46590811865458,0.0953101798043249,-1.4664104164806,-1.42809053545469,NA,NA,NA,NA,NA
"32",2010-01-12,59,1.1,4.07753744390572,0.0953101798043249,-1.38799389143058,-1.40523548709076,NA,NA,NA,NA,NA
"33",2010-01-19,64,3.1,4.15888308335967,1.1314021114911,-0.378539182424134,-0.372226341057632,NA,NA,NA,NA,NA
"34",2010-01-26,370,4.6,5.91350300563827,1.52605630349505,-1.66092106717014,-1.66740497751195,NA,NA,NA,NA,NA
"35",2010-02-03,611,22.1,6.4150969591716,3.09557760852371,-0.817947904553503,-0.820421459490013,NA,NA,NA,NA,NA
"36",2010-02-10,426,4.25,6.05443934626937,1.44691898293633,-1.94358096203835,-1.93997484759141,NA,NA,NA,NA,NA
"37",2010-02-16,305,2.5,5.72031177660741,0.916290731874155,-2.0074716318136,-2.02869713280285,NA,NA,NA,NA,NA
"38",2010-02-23,367,7.4,5.90536184805457,2.00148000021012,-1.17394147872052,-1.18109254798131,NA,NA,NA,NA,NA
"39",2010-03-02,211,4.3,5.35185813347607,1.45861502269952,-0.975497451317215,-1.00123582933097,NA,NA,NA,NA,NA
"40",2010-03-08,171,7.7,5.14166355650266,2.04122032885964,-0.13168564147424,-0.15209643847927,NA,NA,NA,NA,NA
"41",2010-03-16,152,5.4,5.02388052084628,1.68639895357023,-0.335644912442797,-0.363278461783435,NA,NA,NA,NA,NA
"42",2010-03-22,892,14.1,6.79346613258001,2.64617479738412,-1.83437849512988,-1.87482220622707,NA,NA,NA,NA,NA
"43",2010-03-30,346,9.7,5.84643877505772,2.27212588550934,-0.820751702939322,-0.832765608907213,NA,NA,NA,NA,NA
"44",2010-04-07,213,12.3,5.36129216570943,2.50959926237837,0.0633421391586104,0.0373753886533503,NA,NA,NA,NA,NA
"45",2010-04-13,113,9.1,4.72738781871234,2.2082744135228,0.485463249556692,0.492040703378753,NA,NA,NA,NA,NA
"46",2010-04-20,78,5.5,4.35670882668959,1.70474809223843,0.190344810883827,0.194256891230017,NA,NA,NA,NA,NA
"47",2010-04-27,94,6.9,4.54329478227,1.93152141160321,0.331807473361511,0.392871008066166,NA,NA,NA,NA,NA
"48",2010-05-04,60,8.95,4.0943445622221,2.19165353228676,0.70141884070098,0.692335421021893,NA,NA,NA,NA,NA
"49",2010-05-11,96,16.1,4.56434819146784,2.77881927199042,1.16722142847485,1.23078727022803,NA,NA,NA,NA,NA
"50",2010-05-14,1240,67.7,7.12286665859908,4.21508617991823,-0.703218250183356,-0.777771030365878,NA,NA,NA,NA,NA
"51",2010-05-14,1240,442.8,7.12286665859908,6.09311820083448,1.17481377073289,1.10026099055037,NA,NA,NA,NA,NA
"52",2010-05-18,319,22,5.76519110278484,3.09104245335832,0.107923905829165,0.0896002327120029,NA,NA,NA,NA,NA
