"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.85,0.184435155354429,5,0.65,0.139682584776328,5,0.7,0.104490991702341,5,0.45,0.103218610883179,5,0.4,0.0868966075756889,5,0.3,0.176415557646121,5,0.5,0.185232892569856
"folds.6",6,0.45,0.150105405142724,6,0.6,0.107972974698793,6,0.65,0.0895624283470952,6,0.5,0.10259888211986,6,0.45,0.0936776932043143,6,0.3,0.192377710958077,6,0.55,0.14431046463816
"folds.7",7,0.6,0.159043698269324,7,0.5,0.128924119432434,7,0.6,0.0979847968215644,7,0.5,0.104001569846865,7,0.5,0.0984004728709394,7,0.35,0.188444221163176,7,0.4,0.15878685495381
"folds.8",8,0.6,0.16161177972827,8,0.6,0.12652740285594,8,0.65,0.065745334280022,8,0.45,0.0957729031594628,8,0.45,0.0857142857142857,8,0.4,0.183572818227091,8,0.35,0.127411433825178
"folds.9",9,0.6,0.120441365190617,9,0.55,0.122395311368116,9,0.65,0.0819469714049822,9,0.5,0.0703924856843138,9,0.45,0.081215259448868,9,0.45,0.186219094134861,9,0.5,0.145619717211703
"folds.10",10,0.5,0.162706697427473,10,0.6,0.127679445551453,10,0.7,0.0880398796464606,10,0.45,0.0841766849294642,10,0.4,0.0815412753876019,10,0.25,0.190726323857628,10,0.5,0.156830859104154
"folds.11",11,0.6,0.151929763579177,11,0.5,0.129603004500321,11,0.7,0.0795138288575757,11,0.45,0.0875342498566086,11,0.4,0.083231911070263,11,0.2,0.168958393622543,11,0.4,0.182510832778859
"folds.12",12,0.6,0.135736840231082,12,0.7,0.139254575273827,12,0.7,0.075213980463361,12,0.45,0.093917028079392,12,0.45,0.0931314629314664,12,0.3,0.184158316983746,12,0.35,0.174405696405752
"folds.13",13,0.6,0.105583896422103,13,0.6,0.122624364193571,13,0.65,0.0625642526870234,13,0.55,0.0815913160645351,13,0.45,0.0830293776384022,13,0.25,0.148972672470011,13,0.4,0.142585455937476
"folds.14",14,0.55,0.123919822663606,14,0.7,0.126333701290007,14,0.65,0.067005939426049,14,0.45,0.0823382768627975,14,0.45,0.0782199932685933,14,0.3,0.149338678232823,14,0.45,0.15194319561559
"folds.15",15,0.6,0.135992196654883,15,0.55,0.117612299787159,15,0.65,0.0833238089795296,15,0.45,0.0801083450008519,15,0.45,0.0828386678910229,15,0.2,0.161905112044439,15,0.35,0.16062378404209
"folds.16",16,0.6,0.124740547063225,16,0.55,0.109082444012942,16,0.7,0.063084006188056,16,0.45,0.0701019665507731,16,0.55,0.0968956939714252,16,0.3,0.154972018540807,16,0.55,0.146161777856328
"folds.17",17,0.6,0.130634245596049,17,0.5,0.095831484749991,17,0.7,0.0734291272908365,17,0.5,0.0671960275793814,17,0.45,0.0992882836255423,17,0.3,0.152476160732872,17,0.5,0.146927720672584
"folds.18",18,0.6,0.11773370158878,18,0.6,0.10713809513227,18,0.65,0.0589015089373951,18,0.6,0.0951690225711227,18,0.4,0.068927646181799,18,0.25,0.148423690281352,18,0.4,0.1608523216735
"folds.19",19,0.5,0.115281377153326,19,0.45,0.131479027581883,19,0.65,0.0634790661299825,19,0.45,0.0819967644956501,19,0.4,0.0825363247180245,19,0.3,0.156782053325302,19,0.55,0.157803804822084
"folds.20",20,0.55,0.135962179615194,20,0.65,0.111684687346812,20,0.7,0.0664631246540178,20,0.45,0.078480466827545,20,0.5,0.0915624020512118,20,0.25,0.141525940508215,20,0.35,0.159082189000349
"folds.21",21,0.6,0.110698155507005,21,0.5,0.113303817685199,21,0.7,0.0537283416259756,21,0.5,0.0750578008563251,21,0.5,0.0795459051140168,21,0.3,0.153732473698265,21,0.5,0.13477115902938
"folds.22",22,0.6,0.107897343501561,22,0.6,0.0882077788230605,22,0.65,0.0631567534805588,22,0.55,0.0714571371451417,22,0.4,0.0809131557628931,22,0.3,0.178774170622136,22,0.45,0.132079135215157
"folds.23",23,0.6,0.111762320692309,23,0.55,0.0773871792366415,23,0.65,0.0412681623590122,23,0.5,0.0779913652991438,23,0.4,0.0879239003053092,23,0.25,0.127998724483441,23,0.35,0.141092674711138
"folds.24",24,0.55,0.138228589145454,24,0.5,0.102638656838206,24,0.65,0.0711709640404637,24,0.45,0.0863606580875003,24,0.4,0.0700510018282598,24,0.3,0.124642345475822,24,0.45,0.163273277866607
